date,Fund Market Premium
2020-06-09,24.249014272912504
2020-06-10,31.016299277094504
2020-06-11,22.76587612582665
2020-06-12,21.15342741489525
2020-06-15,21.703972730430856
2020-06-16,20.59283918389097
2020-06-17,19.200641649363924
2020-06-18,18.90599360425213
2020-06-19,16.521173046939573
2020-06-22,14.760052372775815
2020-06-23,19.64824563199212
2020-06-24,15.696491179056256
2020-06-25,15.566605721626614
2020-06-26,11.653935107172572
2020-06-29,8.72750478503085
2020-06-30,10.494406799315794
2020-07-01,11.267568163209754
2020-07-02,8.622395895447669
2020-07-03,8.625153718264993
2020-07-06,11.917260639450712
2020-07-07,10.969077220036796
2020-07-08,15.184923395701988
2020-07-09,12.577523334061857
2020-07-10,10.4870591613445
2020-07-13,9.352439617391903
2020-07-14,10.704946440306871
2020-07-15,8.512281398682058
2020-07-16,7.4021102631944675
2020-07-17,9.56592228126122
2020-07-20,8.277292963568359
2020-07-21,10.641889857328469
2020-07-22,10.9096804327672
2020-07-23,14.380569618441772
2020-07-24,13.43700784606533
2020-07-27,15.746278610102632
2020-07-28,20.52709657857706
2020-07-29,17.06066672727276
2020-07-30,15.80498450732628
2020-07-31,18.83410791714994
2020-08-03,24.79789244994404
2020-08-04,24.087146827422814
2020-08-05,23.857515021315
2020-08-06,29.14985770003992
2020-08-07,18.53730874171044
2020-08-10,20.98346941455618
2020-08-11,20.853850538437413
2020-08-12,21.07946172390699
2020-08-13,16.83047405375297
2020-08-14,19.581631871904364
2020-08-17,25.739987010935803
2020-08-18,26.090187615276985
2020-08-19,22.52959018262481
2020-08-20,25.36735461266553
2020-08-21,24.04609407568456
2020-08-24,22.62040719799712
2020-08-25,20.61074362065684
2020-08-26,22.682665205780733
2020-08-27,19.302115127675304
2020-08-28,19.896057898113884
2020-08-31,22.04190636054612
2020-09-01,22.158538453170443
2020-09-02,21.2348406304538
2020-09-03,24.31645932658545
2020-09-04,20.054781560383315
2020-09-07,20.45211332223836
2020-09-08,15.213693407668131
2020-09-09,18.684091405454403
2020-09-10,15.722106881891325
2020-09-11,13.343768696618447
2020-09-14,16.557002384169774
2020-09-15,16.47302677194048
2020-09-16,15.346270615321508
2020-09-17,14.733833947937487
2020-09-18,12.78345666438318
2020-09-21,12.310195482436107
2020-09-22,12.449658256610224
2020-09-23,8.986833979875815
2020-09-24,8.966364234871707
2020-09-25,10.489666011533416
2020-09-28,9.79693915363556
2020-09-29,7.010717822470545
