date,Coinbase Premium Gap
2017-08-17,-5.07
2017-08-18,-6.65
2017-08-19,17.43
2017-08-20,-35.3
2017-08-21,-14.0
2017-08-22,52.0
2017-08-23,29.48
2017-08-24,-3.98
2017-08-25,79.32
2017-08-26,6.88
2017-08-27,30.1
2017-08-28,-1.7
2017-08-29,11.52
2017-08-30,26.84
2017-08-31,19.05
2017-09-01,113.08
2017-09-02,177.85
2017-09-03,116.97
2017-09-04,398.14
2017-09-05,66.04
2017-09-06,-3.59
2017-09-07,-67.43
2017-09-08,67.2
2017-09-09,75.55
2017-09-10,120.99
2017-09-11,2.25
2017-09-12,0.8
2017-09-13,-89.37
2017-09-14,61.38
2017-09-15,40.02
2017-09-16,11.56
2017-09-17,19.98
2017-09-18,64.99
2017-09-19,0.07
2017-09-20,-27.94
2017-09-21,7.48
2017-09-22,23.14
2017-09-23,7.33
2017-09-24,8.99
2017-09-25,-0.97
2017-09-26,2.74
2017-09-27,7.0
2017-09-28,14.92
2017-09-29,-17.7
2017-09-30,-39.51
2017-10-01,16.33
2017-10-02,12.71
2017-10-03,-2.01
2017-10-04,6.25
2017-10-05,27.61
2017-10-06,-6.01
2017-10-07,2.0
2017-10-08,-36.51
2017-10-09,-17.4
2017-10-10,-33.06
2017-10-11,-6.44
2017-10-12,10.0
2017-10-13,-25.18
2017-10-14,-50.86
2017-10-15,-16.29
2017-10-16,-5.12
2017-10-17,-1.0
2017-10-18,62.38
2017-10-19,20.11
2017-10-20,-20.91
2017-10-21,-0.11
2017-10-22,55.03
2017-10-23,-9.94
2017-10-24,48.4
2017-10-25,49.98
2017-10-26,29.84
2017-10-27,11.17
2017-10-28,32.37
2017-10-29,-29.97
2017-10-30,3.66
2017-10-31,-17.99
2017-11-01,29.71
2017-11-02,20.0
2017-11-03,54.97
2017-11-04,55.46
2017-11-05,46.99
2017-11-06,9.64
2017-11-07,62.59
2017-11-08,164.96
2017-11-09,76.01
2017-11-10,70.64
2017-11-11,101.65
2017-11-12,75.32
2017-11-13,69.88
2017-11-14,30.01
2017-11-15,53.94
2017-11-16,-25.97
2017-11-17,15.52
2017-11-18,15.07
2017-11-19,-6.18
2017-11-20,44.01
2017-11-21,-10.51
2017-11-22,44.08
2017-11-23,11.17
2017-11-24,77.01
2017-11-25,95.49
2017-11-26,273.09
2017-11-27,118.71
2017-11-28,52.2
2017-11-29,248.1
2017-11-30,64.04
2017-12-01,86.85
2017-12-02,40.23
2017-12-03,124.59
2017-12-04,27.98
2017-12-05,18.36
2017-12-06,544.47
2017-12-07,856.9
2017-12-08,487.03
2017-12-09,610.01
2017-12-10,343.75
2017-12-11,325.74
2017-12-12,1380.12
2017-12-13,669.19
2017-12-14,409.78
2017-12-15,221.86
2017-12-16,547.35
2017-12-17,518.97
2017-12-18,182.76
2017-12-19,543.53
2017-12-20,7.91
2017-12-21,266.16
2017-12-22,883.96
2017-12-23,1775.89
2017-12-24,721.94
2017-12-25,472.64
2017-12-26,101.87
2017-12-27,-92.91
2017-12-28,267.9
2017-12-29,186.15
2017-12-30,399.98
2017-12-31,146.77
2018-01-01,100.01
2018-01-02,106.4
2018-01-03,178.63
2018-01-04,85.45
2018-01-05,-0.38
2018-01-06,29.2
2018-01-07,24.19
2018-01-08,91.2
2018-01-09,80.99
2018-01-10,-31.91
2018-01-11,69.28
2018-01-12,79.99
2018-01-13,-22.05
2018-01-14,181.24
2018-01-15,50.07
2018-01-16,670.01
2018-01-17,211.22
2018-01-18,343.56
2018-01-19,24.01
2018-01-20,-37.14
2018-01-21,-11.83
2018-01-22,6.65
2018-01-23,25.76
2018-01-24,6.8
2018-01-25,-57.27
2018-01-26,-2.11
2018-01-27,-172.0
2018-01-28,-343.95
2018-01-29,-127.99
2018-01-30,-242.51
2018-01-31,-185.11
2018-02-01,-210.29
2018-02-02,-85.51
2018-02-03,40.04
2018-02-04,-16.9
2018-02-05,-34.8
2018-02-06,36.32
2018-02-07,-23.25
2018-02-08,434.08
2018-02-09,-12.92
2018-02-10,13.51
2018-02-11,9.11
2018-02-12,-30.72
2018-02-13,-19.89
2018-02-14,22.99
2018-02-15,31.14
2018-02-16,7.51
2018-02-17,81.95
2018-02-18,-3.39
2018-02-19,-13.0
2018-02-20,34.58
2018-02-21,16.67
2018-02-22,18.96
2018-02-23,13.95
2018-02-24,-5.89
2018-02-25,7.99
2018-02-26,-24.0
2018-02-27,-2.47
2018-02-28,-19.49
2018-03-01,-24.08
2018-03-02,-39.0
2018-03-03,-31.98
2018-03-04,-45.1
2018-03-05,-76.46
2018-03-06,-16.48
2018-03-07,15.0
2018-03-08,33.25
2018-03-09,28.0
2018-03-10,25.22
2018-03-11,0.31
2018-03-12,-11.34
2018-03-13,-4.59
2018-03-14,37.02
2018-03-15,19.01
2018-03-16,15.0
2018-03-17,32.8
2018-03-18,2.01
2018-03-19,-11.0
2018-03-20,-9.98
2018-03-21,6.81
2018-03-22,-7.81
2018-03-23,29.07
2018-03-24,-15.52
2018-03-25,-17.15
2018-03-26,10.77
2018-03-27,-1.9
2018-03-28,-6.58
2018-03-29,-10.14
2018-03-30,7.78
2018-03-31,4.59
2018-04-01,3.0
2018-04-02,-10.99
2018-04-03,19.69
2018-04-04,-4.42
2018-04-05,15.09
2018-04-06,17.62
2018-04-07,-1.79
2018-04-08,2.01
2018-04-09,-11.59
2018-04-10,-18.91
2018-04-11,-10.8
2018-04-12,-7.0
2018-04-13,15.78
2018-04-14,4.1
2018-04-15,0.25
2018-04-16,-15.99
2018-04-17,7.08
2018-04-18,-20.95
2018-04-19,-4.0
2018-04-20,9.29
2018-04-21,0.11
2018-04-22,7.99
2018-04-23,-2.71
2018-04-24,25.11
2018-04-25,-4.01
2018-04-26,6.11
2018-04-27,7.2
2018-04-28,-18.01
2018-04-29,-29.99
2018-04-30,-2.18
2018-05-01,0.81
2018-05-02,-57.36
2018-05-03,-24.26
2018-05-04,-28.99
2018-05-05,-64.0
2018-05-06,-59.01
2018-05-07,-12.0
2018-05-08,-9.74
2018-05-09,-9.92
2018-05-10,8.31
2018-05-11,3.33
2018-05-12,9.06
2018-05-13,6.39
2018-05-14,6.66
2018-05-15,15.46
2018-05-16,14.0
2018-05-17,17.54
2018-05-18,-1.3
2018-05-19,2.11
2018-05-20,-10.12
2018-05-21,12.2
2018-05-22,10.59
2018-05-23,3.05
2018-05-24,9.14
2018-05-25,2.11
2018-05-26,3.99
2018-05-27,7.65
2018-05-28,8.94
2018-05-29,-1.29
2018-05-30,4.05
2018-05-31,-0.01
2018-06-01,-6.69
2018-06-02,-3.61
2018-06-03,-7.89
2018-06-04,0.37
2018-06-05,-12.49
2018-06-06,-3.84
2018-06-07,-6.15
2018-06-08,15.36
2018-06-09,4.67
2018-06-10,5.32
2018-06-11,9.0
2018-06-12,15.0
2018-06-13,9.53
2018-06-14,2.51
2018-06-15,2.32
2018-06-16,0.31
2018-06-17,-2.45
2018-06-18,-3.44
2018-06-19,-4.8
2018-06-20,-2.33
2018-06-21,0.17
2018-06-22,14.82
2018-06-23,28.31
2018-06-24,13.02
2018-06-25,-5.99
2018-06-26,3.22
2018-06-27,-1.56
2018-06-28,-2.32
2018-06-29,4.44
2018-06-30,-6.88
2018-07-01,-7.31
2018-07-02,-3.5
2018-07-03,-11.24
2018-07-04,0.49
2018-07-05,3.75
2018-07-06,-9.78
2018-07-07,-3.7
2018-07-08,-10.13
2018-07-09,1.89
2018-07-10,6.79
2018-07-11,11.97
2018-07-12,-0.82
2018-07-13,1.72
2018-07-14,-3.34
2018-07-15,-4.28
2018-07-16,5.46
2018-07-17,-2.43
2018-07-18,-2.91
2018-07-19,3.8
2018-07-20,-3.07
2018-07-21,9.22
2018-07-22,3.01
2018-07-23,-0.92
2018-07-24,-11.74
2018-07-25,-18.49
2018-07-26,11.99
2018-07-27,-4.36
2018-07-28,3.86
2018-07-29,5.34
2018-07-30,-3.91
2018-07-31,-3.66
2018-08-01,-0.59
2018-08-02,8.21
2018-08-03,-4.7
2018-08-04,-4.84
2018-08-05,5.82
2018-08-06,3.18
2018-08-07,-1.84
2018-08-08,-2.5
2018-08-09,16.66
2018-08-10,2.0
2018-08-11,3.21
2018-08-12,7.68
2018-08-13,7.32
2018-08-14,6.93
2018-08-15,1.85
2018-08-16,4.15
2018-08-17,1.0
2018-08-18,8.68
2018-08-19,12.0
2018-08-20,3.9
2018-08-21,-4.11
2018-08-22,-0.9
2018-08-23,1.35
2018-08-24,9.24
2018-08-25,3.88
2018-08-26,9.98
2018-08-27,3.26
2018-08-28,-5.1
2018-08-29,-0.32
2018-08-30,-1.84
2018-08-31,3.8
2018-09-01,-8.93
2018-09-02,-7.01
2018-09-03,-6.04
2018-09-04,0.94
2018-09-05,-12.04
2018-09-06,-21.01
2018-09-07,-0.53
2018-09-08,2.95
2018-09-09,-15.8
2018-09-10,-12.0
2018-09-11,-12.38
2018-09-12,-12.62
2018-09-13,-1.39
2018-09-14,1.41
2018-09-15,3.72
2018-09-16,-7.0
2018-09-17,2.01
2018-09-18,-0.75
2018-09-19,-4.95
2018-09-20,1.11
2018-09-21,-9.02
2018-09-22,-15.72
2018-09-23,-11.01
2018-09-24,0.7
2018-09-25,-10.65
2018-09-26,-9.46
2018-09-27,-9.12
2018-09-28,-14.57
2018-09-29,-15.38
2018-09-30,-21.57
2018-10-01,-38.78
2018-10-02,-27.33
2018-10-03,-43.97
2018-10-04,-46.34
2018-10-05,-41.71
2018-10-06,-41.84
2018-10-07,-45.26
2018-10-08,-64.94
2018-10-09,-67.13
2018-10-10,-106.44
2018-10-11,-97.99
2018-10-12,-110.0
2018-10-13,-136.93
2018-10-14,-155.85
2018-10-15,-312.08
2018-10-16,-302.16
2018-10-17,-297.19
2018-10-18,-224.0
2018-10-19,-145.89
2018-10-20,-174.4
2018-10-21,-174.23
2018-10-22,-173.55
2018-10-23,-158.37
2018-10-24,-149.52
2018-10-25,-132.51
2018-10-26,-133.76
2018-10-27,-96.48
2018-10-28,-86.31
2018-10-29,-78.5
2018-10-30,-63.24
2018-10-31,-67.75
2018-11-01,-66.0
2018-11-02,-84.18
2018-11-03,-55.13
2018-11-04,-62.57
2018-11-05,-64.99
2018-11-06,-70.61
2018-11-07,-75.34
2018-11-08,-73.6
2018-11-09,-85.1
2018-11-10,-85.63
2018-11-11,-92.21
2018-11-12,-125.2
2018-11-13,-198.32
2018-11-14,-316.95
2018-11-15,-173.88
2018-11-16,-143.7
2018-11-17,-124.12
2018-11-18,-102.0
2018-11-19,-176.53
2018-11-20,-209.63
2018-11-21,-115.96
2018-11-22,-104.64
2018-11-23,-136.81
2018-11-24,-157.45
2018-11-25,-149.09
2018-11-26,-130.88
2018-11-27,-100.21
2018-11-28,-39.82
2018-11-29,-47.84
2018-11-30,-65.32
2018-12-01,-48.01
2018-12-02,-57.82
2018-12-03,-50.54
2018-12-04,-49.8
2018-12-05,-75.45
2018-12-06,-75.49
2018-12-07,-23.54
2018-12-08,-9.93
2018-12-09,-14.19
2018-12-10,-22.73
2018-12-11,-31.03
2018-12-12,-14.76
2018-12-13,-37.06
2018-12-14,-28.46
2018-12-15,-28.72
2018-12-16,-33.67
2018-12-17,-12.26
2018-12-18,14.79
2018-12-19,20.29
2018-12-20,25.72
2018-12-21,0.4
2018-12-22,31.55
2018-12-23,15.22
2018-12-24,25.99
2018-12-25,34.21
2018-12-26,32.14
2018-12-27,21.98
2018-12-28,48.8
2018-12-29,33.99
2018-12-30,27.09
2018-12-31,-11.04
2019-01-01,28.96
2019-01-02,32.23
2019-01-03,20.79
2019-01-04,28.81
2019-01-05,27.66
2019-01-06,53.39
2019-01-07,30.56
2019-01-08,38.73
2019-01-09,37.47
2019-01-10,40.24
2019-01-11,34.38
2019-01-12,36.28
2019-01-13,37.43
2019-01-14,38.1
2019-01-15,27.7
2019-01-16,17.87
2019-01-17,24.44
2019-01-18,12.98
2019-01-19,17.35
2019-01-20,-3.09
