Datetime,Open,High,Low,Close,Volume
2026-04-11T00:00:00Z,2245.70391301,2330.42964522,2229.63951577,2286.74893769,348197.9441049205
2026-04-10T00:00:00Z,2189.96514841,2283.82303427,2175.27510873,2245.65538685,586312.1072781676
2026-04-09T00:00:00Z,2189.83338151,2245.41102865,2157.09984221,2189.72578897,588837.955890305
2026-04-08T00:00:00Z,2239.70784182,2270.51296545,2179.52076362,2189.97270379,775534.319922509
2026-04-07T00:00:00Z,2107.05285984,2273.21681377,2059.91024927,2239.649163,900141.3280966347
2026-04-06T00:00:00Z,2109.27749674,2174.37502934,2087.634635,2106.83392623,714947.1595132964
2026-04-05T00:00:00Z,2065.24371368,2122.60117326,2021.13100063,2109.08615389,306800.77863750723
2026-04-04T00:00:00Z,2053.60415911,2083.53855098,2043.87547793,2065.25074254,169858.4239956978
2026-04-03T00:00:00Z,2056.87285612,2081.78781624,2040.44649875,2053.56597024,297245.6958959329
2026-04-02T00:00:00Z,2139.8064958,2159.06776605,2016.14406587,2056.78744085,719847.0373600643
2026-04-01T00:00:00Z,2103.32950446,2167.07594496,2080.06922734,2139.7939549,701988.9669184717
2026-03-31T00:00:00Z,2024.79429146,2121.91968592,2010.96939852,2103.58534114,824823.034618284
2026-03-30T00:00:00Z,1983.21893333,2083.82297413,1978.91945187,2024.71663067,688774.6640960956
2026-03-29T00:00:00Z,1993.82217644,2018.63566412,1936.93819382,1982.96883743,325391.41701139405
2026-03-28T00:00:00Z,1991.41560374,2045.47795753,1981.54888848,1993.05014146,296275.7125838362
2026-03-27T00:00:00Z,2059.92794705,2076.00146674,1967.00781836,1992.1388744,746184.2287455298
2026-03-26T00:00:00Z,2168.22562395,2172.3315267,2032.83570395,2058.98620624,685414.5191916755
2026-03-25T00:00:00Z,2155.50642874,2198.77187062,2145.34734968,2168.26418948,589439.02656168
2026-03-24T00:00:00Z,2151.51277457,2175.54723923,2100.81272354,2155.53374928,614496.1349639464
2026-03-23T00:00:00Z,2054.02852378,2197.88042776,2022.25953327,2151.54988627,1064196.2267356517
2026-03-22T00:00:00Z,2084.54084641,2126.88903682,2025.88697432,2053.40398304,527359.005194334
2026-03-21T00:00:00Z,2146.09804344,2167.84443248,2070.32553538,2084.49758734,228222.73973247266
2026-03-20T00:00:00Z,2137.78904358,2176.65096091,2116.38113592,2145.93853684,578148.1399177877
2026-03-19T00:00:00Z,2203.48192854,2233.92755946,2099.26537085,2137.82023779,820788.2503324088
