feature,mean,standard_deviation,q05,median,q95,n,sample_start,sample_end
stablecoin_supply_growth,0.0019522635463947,0.0101082281726985,-0.00297229723350156,0.000631135108442038,0.0100711717727037,2295,2020-01-02,2026-04-14
price_adjusted_tvl_residual,4.06356139732083e-18,0.0293969937090641,-0.0425106877469039,-5.16232285727117e-05,0.0443270554798545,2295,2020-01-02,2026-04-14
price_adjusted_tvl_residual_z365,-0.0202573349193153,0.952493392562586,-1.4927311665801,0.0321953292105228,1.37086074140897,2116,2020-06-29,2026-04-14
