date,Active Receiving Addresses
2018-09-10,5
2018-09-12,4
2018-09-21,2
2018-09-22,2
2018-09-24,1
2018-09-25,6
2018-09-26,15
2018-09-27,21
2018-09-28,30
2018-09-29,18
2018-09-30,17
2018-10-01,29
2018-10-02,43
2018-10-03,17
2018-10-04,15
2018-10-05,17
2018-10-06,1
2018-10-07,2
2018-10-08,10
2018-10-09,13
2018-10-10,18
2018-10-11,25
2018-10-12,21
2018-10-13,8
2018-10-14,7
2018-10-15,40
2018-10-16,43
2018-10-17,33
2018-10-18,24
2018-10-19,20
2018-10-20,30
2018-10-21,6
2018-10-22,35
2018-10-23,127
2018-10-24,137
2018-10-25,104
2018-10-26,77
2018-10-27,62
2018-10-28,48
2018-10-29,69
2018-10-30,83
2018-10-31,97
2018-11-01,110
2018-11-02,82
2018-11-03,56
2018-11-04,72
2018-11-05,97
2018-11-06,130
2018-11-07,117
2018-11-08,125
2018-11-09,92
2018-11-10,79
2018-11-11,67
2018-11-12,108
2018-11-13,113
2018-11-14,223
2018-11-15,294
2018-11-16,290
2018-11-17,352
2018-11-18,298
2018-11-19,618
2018-11-20,780
2018-11-21,532
2018-11-22,303
2018-11-23,530
2018-11-24,396
2018-11-25,589
2018-11-26,553
2018-11-27,564
2018-11-28,626
2018-11-29,580
2018-11-30,541
2018-12-01,372
2018-12-02,272
2018-12-03,441
2018-12-04,409
2018-12-05,484
2018-12-06,591
2018-12-07,886
2018-12-08,498
2018-12-09,345
2018-12-10,353
2018-12-11,497
2018-12-12,550
2018-12-13,535
2018-12-14,674
2018-12-15,560
2018-12-16,464
2018-12-17,678
2018-12-18,717
2018-12-19,967
2018-12-20,1152
2018-12-21,989
2018-12-22,588
2018-12-23,629
2018-12-24,892
2018-12-25,626
2018-12-26,641
2018-12-27,744
2018-12-28,824
2018-12-29,548
2018-12-30,492
2018-12-31,599
2019-01-01,560
2019-01-02,748
2019-01-03,802
2019-01-04,775
2019-01-05,557
2019-01-06,522
2019-01-07,738
2019-01-08,841
2019-01-09,898
2019-01-10,1098
2019-01-11,911
2019-01-12,587
2019-01-13,583
2019-01-14,700
2019-01-15,679
2019-01-16,729
2019-01-17,772
2019-01-18,801
2019-01-19,569
2019-01-20,505
2019-01-21,455
2019-01-22,619
2019-01-23,634
2019-01-24,624
2019-01-25,687
2019-01-26,553
2019-01-27,567
2019-01-28,1075
2019-01-29,795
2019-01-30,815
2019-01-31,890
2019-02-01,810
2019-02-02,599
2019-02-03,517
2019-02-04,735
2019-02-05,725
2019-02-06,820
2019-02-07,784
2019-02-08,1012
2019-02-09,581
2019-02-10,555
2019-02-11,670
2019-02-12,802
2019-02-13,776
2019-02-14,793
2019-02-15,904
2019-02-16,650
2019-02-17,605
2019-02-18,1039
2019-02-19,1091
2019-02-20,991
2019-02-21,983
2019-02-22,968
2019-02-23,894
2019-02-24,1080
2019-02-25,1056
2019-02-26,982
2019-02-27,984
2019-02-28,988
2019-03-01,1006
2019-03-02,797
2019-03-03,602
2019-03-04,951
2019-03-05,937
2019-03-06,922
2019-03-07,1030
2019-03-08,980
2019-03-09,880
2019-03-10,676
2019-03-11,887
2019-03-12,926
2019-03-13,849
2019-03-14,988
2019-03-15,977
2019-03-16,965
2019-03-17,625
2019-03-18,864
2019-03-19,849
2019-03-20,814
2019-03-21,1141
2019-03-22,897
2019-03-23,752
2019-03-24,682
2019-03-25,867
2019-03-26,985
2019-03-27,1081
2019-03-28,958
2019-03-29,1119
2019-03-30,871
2019-03-31,703
2019-04-01,954
2019-04-02,1854
2019-04-03,2267
2019-04-04,1483
2019-04-05,1351
2019-04-06,991
2019-04-07,1057
2019-04-08,1619
2019-04-09,1090
2019-04-10,1343
2019-04-11,1486
2019-04-12,1218
2019-04-13,826
2019-04-14,688
2019-04-15,973
2019-04-16,1039
2019-04-17,983
2019-04-18,1222
2019-04-19,1246
2019-04-20,921
2019-04-21,938
2019-04-22,1027
2019-04-23,1238
2019-04-24,1434
2019-04-25,1386
2019-04-26,1761
2019-04-27,1048
2019-04-28,926
2019-04-29,1158
2019-04-30,1442
2019-05-01,1809
2019-05-02,2349
2019-05-03,2631
2019-05-04,1408
2019-05-05,1076
2019-05-06,1281
2019-05-07,1124
2019-05-08,967
2019-05-09,1063
2019-05-10,1297
2019-05-11,1433
2019-05-12,1261
2019-05-13,1420
2019-05-14,1475
2019-05-15,3238
2019-05-16,3368
2019-05-17,2807
2019-05-18,1988
2019-05-19,2093
2019-05-20,2045
2019-05-21,2342
2019-05-22,2273
2019-05-23,2364
2019-05-24,2360
2019-05-25,1659
2019-05-26,2023
2019-05-27,2708
2019-05-28,2252
2019-05-29,2489
2019-05-30,2984
2019-05-31,2537
2019-06-01,1947
2019-06-02,1554
2019-06-03,2145
2019-06-04,2545
2019-06-05,2154
2019-06-06,1926
2019-06-07,1989
2019-06-08,1321
2019-06-09,1464
2019-06-10,2094
2019-06-11,2142
2019-06-12,2100
2019-06-13,2111
2019-06-14,2390
2019-06-15,1731
2019-06-16,2050
2019-06-17,2284
2019-06-18,2218
2019-06-19,1988
2019-06-20,2106
2019-06-21,2677
2019-06-22,2784
2019-06-23,1788
2019-06-24,1950
2019-06-25,2404
2019-06-26,4128
2019-06-27,3816
2019-06-28,3057
2019-06-29,2346
2019-06-30,1878
2019-07-01,2551
2019-07-02,2486
2019-07-03,2438
2019-07-04,1983
2019-07-05,1793
2019-07-06,1469
2019-07-07,1409
2019-07-08,2142
2019-07-09,2448
2019-07-10,2707
2019-07-11,2568
2019-07-12,2116
2019-07-13,1610
2019-07-14,1750
2019-07-15,2524
2019-07-16,2421
2019-07-17,2539
2019-07-18,2181
2019-07-19,1827
2019-07-20,1499
2019-07-21,1341
2019-07-22,1585
2019-07-23,1774
2019-07-24,1756
2019-07-25,1625
2019-07-26,1681
2019-07-27,1739
2019-07-28,1323
2019-07-29,1636
2019-07-30,1634
2019-07-31,1850
2019-08-01,1768
2019-08-02,1978
2019-08-03,1458
2019-08-04,1245
2019-08-05,2062
2019-08-06,2075
2019-08-07,1948
2019-08-08,1855
2019-08-09,1891
2019-08-10,1387
2019-08-11,1025
2019-08-12,1517
2019-08-13,1700
2019-08-14,2199
2019-08-15,2394
2019-08-16,1944
2019-08-17,1217
2019-08-18,1162
2019-08-19,1473
2019-08-20,1663
2019-08-21,1795
2019-08-22,1686
2019-08-23,1413
2019-08-24,1422
2019-08-25,1225
2019-08-26,1642
2019-08-27,1685
2019-08-28,1990
2019-08-29,2290
2019-08-30,1749
2019-08-31,1147
2019-09-01,1098
2019-09-02,1578
2019-09-03,1785
2019-09-04,1808
2019-09-05,1599
2019-09-06,1998
2019-09-07,1360
2019-09-08,1169
2019-09-09,1606
2019-09-10,1541
2019-09-11,1901
2019-09-12,1851
2019-09-13,1572
2019-09-14,1194
2019-09-15,1082
2019-09-16,1732
2019-09-17,1936
2019-09-18,1934
2019-09-19,1951
2019-09-20,1630
2019-09-21,1257
2019-09-22,1070
2019-09-23,1578
2019-09-24,2902
2019-09-25,2393
2019-09-26,2070
2019-09-27,1786
2019-09-28,1150
2019-09-29,1153
2019-09-30,1654
2019-10-01,1802
2019-10-02,1669
2019-10-03,1799
2019-10-04,1857
2019-10-05,1164
2019-10-06,1227
2019-10-07,1882
2019-10-08,1894
2019-10-09,2431
2019-10-10,2256
2019-10-11,1991
2019-10-12,1155
2019-10-13,1135
2019-10-14,1481
2019-10-15,1697
2019-10-16,1896
2019-10-17,1780
2019-10-18,1940
2019-10-19,1268
2019-10-20,1222
2019-10-21,1761
2019-10-22,1683
2019-10-23,2420
2019-10-24,1954
2019-10-25,2287
2019-10-26,2391
2019-10-27,1658
2019-10-28,2101
2019-10-29,2167
2019-10-30,2070
2019-10-31,2061
2019-11-01,2092
2019-11-02,1395
2019-11-03,1198
2019-11-04,2023
2019-11-05,2064
2019-11-06,1961
2019-11-07,2104
2019-11-08,2258
2019-11-09,1411
2019-11-10,1316
2019-11-11,1510
2019-11-12,1849
2019-11-13,1726
2019-11-14,1907
2019-11-15,2127
2019-11-16,1461
2019-11-17,1260
2019-11-18,2024
2019-11-19,1994
2019-11-20,1815
2019-11-21,2566
2019-11-22,3292
2019-11-23,1818
2019-11-24,1553
2019-11-25,2704
2019-11-26,2053
2019-11-27,2341
2019-11-28,1576
2019-11-29,1936
2019-11-30,1442
2019-12-01,1425
2019-12-02,1919
2019-12-03,2056
2019-12-04,2195
2019-12-05,2054
2019-12-06,1959
2019-12-07,1500
2019-12-08,1297
2019-12-09,1765
2019-12-10,2099
2019-12-11,1875
2019-12-12,1968
2019-12-13,1952
2019-12-14,1490
2019-12-15,1367
2019-12-16,2011
2019-12-17,2600
2019-12-18,2636
2019-12-19,2260
2019-12-20,2083
2019-12-21,1374
2019-12-22,1328
2019-12-23,1969
2019-12-24,1644
2019-12-25,1234
2019-12-26,1661
2019-12-27,1882
2019-12-28,1427
2019-12-29,1347
2019-12-30,1715
2019-12-31,1886
2020-01-01,1168
2020-01-02,1844
2020-01-03,2097
