date,Active Sending Addresses (%)
2017-11-28,80.0
2017-12-21,50.0
2017-12-27,66.66666667
2017-12-28,85.71428571
2017-12-31,50.0
2018-01-10,0.0
2018-01-22,40.0
2018-01-23,63.63636364
2018-01-24,44.44444444
2018-01-25,66.66666667
2018-01-26,57.14285714
2018-01-27,83.33333333
2018-01-28,84.375
2018-01-29,78.57142857
2018-01-30,86.66666667
2018-01-31,87.87878788
2018-02-01,76.19047619
2018-02-02,87.87878788
2018-02-03,70.83333333
2018-02-04,87.27272727
2018-02-05,74.28571429
2018-02-06,90.47619048
2018-02-07,63.33333333
2018-02-08,66.66666667
2018-02-09,40.0
2018-02-10,60.60606061
2018-02-11,36.0
2018-02-12,68.96551724
2018-02-13,47.82608696
2018-02-14,73.68421053
2018-02-15,62.5
2018-02-16,66.66666667
2018-02-17,36.0
2018-02-18,55.17241379
2018-02-19,50.0
2018-02-20,47.05882353
2018-02-21,75.0
2018-02-22,52.17391304
2018-02-23,50.0
2018-02-24,55.55555556
2018-02-25,50.0
2018-02-26,62.5
2018-02-27,80.0
2018-02-28,64.0
2018-03-01,79.16666667
2018-03-02,77.77777778
2018-03-03,85.71428571
2018-03-04,62.5
2018-03-05,68.42105263
2018-03-06,64.28571429
2018-03-07,77.27272727
2018-03-08,70.0
2018-03-09,70.83333333
2018-03-10,71.42857143
2018-03-11,68.75
2018-03-12,69.23076923
2018-03-13,53.84615385
2018-03-14,82.92682927
2018-03-15,64.51612903
2018-03-16,72.72727273
2018-03-17,58.06451613
2018-03-18,74.19354839
2018-03-19,75.0
2018-03-20,80.55555556
2018-03-21,54.54545455
2018-03-22,70.0
2018-03-23,84.0
2018-03-24,86.36363636
2018-03-25,81.81818182
2018-03-26,44.82758621
2018-03-27,63.33333333
2018-03-28,56.52173913
2018-03-29,73.91304348
2018-03-30,59.52380952
2018-03-31,71.42857143
2018-04-01,68.18181818
2018-04-02,52.94117647
2018-04-03,50.0
2018-04-04,75.0
2018-04-05,70.83333333
2018-04-06,72.4137931
2018-04-07,81.25
2018-04-08,58.33333333
2018-04-09,62.96296296
2018-04-10,64.58333333
2018-04-11,62.5
2018-04-12,58.33333333
2018-04-13,67.24137931
2018-04-14,71.875
2018-04-15,65.78947368
2018-04-16,50.0
2018-04-17,68.29268293
2018-04-18,70.21276596
2018-04-19,50.0
2018-04-20,60.0
2018-04-21,70.42253521
2018-04-22,63.15789474
2018-04-23,59.67741935
2018-04-24,64.64646465
2018-04-25,59.375
2018-04-26,69.64285714
2018-04-27,62.68656716
2018-04-28,43.47826087
2018-04-29,63.26530612
2018-04-30,76.19047619
2018-05-01,60.0
2018-05-02,56.79012346
