time,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
1190329200,78.529,78.833,78.398,78.597,,,,,,
1190581200,78.388,78.637,78.313,78.527,,,,,,
1190674800,78.571,78.688,78.213,78.313,,,,,,
1190761200,78.386,78.609,78.255,78.493,,,,,,
1190847600,78.469,78.551,78.159,78.338,,,,,,
1190934000,78.294,78.378,77.666,77.719,,,,,,
1191186000,77.788,78.048,77.657,77.904,,,,,,
1191279600,77.987,78.381,77.914,78.303,,,,,,
1191366000,78.263,78.669,78.119,78.573,,,,,,
1191452400,78.665,78.72,78.334,78.481,,,,,,
1191538800,78.463,78.819,78.222,78.308,,,,,,
1191790800,78.323,78.798,78.31,78.672,,,,,,
1191884400,78.819,78.891,78.457,78.526,,,,,,
1191970800,78.492,78.525,78.199,78.375,,,,,,
1192057200,78.255,78.369,77.964,78.078,,,,,,
1192143600,78.192,78.362,78.077,78.224,,,,,,
1192395600,78.208,78.283,77.939,78.088,,,,,,
1192489200,78.052,78.339,77.992,78.251,,,,,,
1192575600,78.178,78.26,77.944,78.12,,,,,,
1192662000,77.898,78.044,77.478,77.59,,,,,,
1192748400,77.434,77.674,77.363,77.407,,,,,,
1193000400,77.279,78.203,77.093,78.06,,,,,,
1193094000,77.865,78.009,77.47,77.589,,,,,,
1193180400,77.549,77.829,77.481,77.546,,,,,,
1193266800,77.52,77.58,77.147,77.278,,,,,,
1193353200,77.22,77.301,76.977,77.027,,,,,,
1193605200,76.869,77.092,76.777,76.837,,,,,,
1193698800,76.97,77.028,76.719,76.773,,,,,,
1193785200,76.748,76.885,76.465,76.479,,,,,,
1193871600,76.609,76.868,76.51,76.594,,,,,,
1193958000,76.592,76.766,76.22,76.337,,,,,,
1194213600,76.39,76.499,76.24,76.425,,,,,,
1194307200,76.277,76.442,75.986,76.04,,,,,,
1194393600,75.571,76.02,75.077,75.412,,,,,,
1194480000,75.569,75.651,75.258,75.456,,,,,,
1194566400,75.217,75.529,74.978,75.4,,,,,,
1194818400,75.517,76.106,75.349,75.902,,,,,,
1194912000,75.789,76.153,75.653,75.881,,,,,,
1194998400,75.643,75.871,75.396,75.814,,,,,,
1195084800,75.635,76.088,75.552,76.069,,,,,,
1195171200,76.01,76.148,75.765,75.827,,,,,,
1195423200,75.777,75.963,75.671,75.78,,,,,,
1195516800,75.762,75.907,75.137,75.205,,,,,,
1195603200,75.066,75.313,74.944,75.073,,,,,,
1195776000,75.013,75.23,74.84,75.054,,,,,,
1196028000,75.066,75.176,74.756,74.859,,,,,,
1196121600,74.879,75.243,74.753,75.096,,,,,,
1196208000,75.164,75.728,75.076,75.076,,,,,,
1196294400,75.311,75.683,75.139,75.588,,,,,,
1196380800,75.711,76.181,75.484,76.147,,,,,,
1196726400,75.935,76.082,75.595,75.694,,,,,,
1196812800,75.835,76.528,75.684,76.413,,,,,,
1196899200,76.504,76.816,76.271,76.383,,,,,,
1196985600,76.441,76.51,76.206,76.288,,,,,,
1197237600,76.295,76.368,75.972,76.062,,,,,,
1197331200,76.044,76.327,75.921,76.222,,,,,,
1197417600,76.132,76.309,75.929,76.144,,,,,,
1197504000,76.157,76.743,76.022,76.562,,,,,,
1197590400,76.462,77.485,76.415,77.436,,,,,,
1197842400,77.372,77.804,77.27,77.401,,,,,,
1197936000,77.307,77.564,77.307,77.412,,,,,,
1198022400,77.456,77.796,77.343,77.587,,,,,,
1198108800,77.643,77.854,77.516,77.794,,,,,,
1198195200,77.489,77.787,77.434,77.721,,,,,,
1198447200,77.646,77.669,77.513,77.581,,,,,,
1198627200,77.577,77.633,77.127,77.15,,,,,,
1198713600,77.091,77.272,76.557,76.607,,,,,,
1198800000,76.571,76.754,76.164,76.218,,,,,,
1199052000,75.98,76.747,75.962,76.695,,,,,,
1199232000,76.35,76.693,75.9,75.972,,,,,,
1199318400,75.988,76.16,75.708,75.889,,,,,,
1199404800,75.953,76.079,75.429,75.793,,,,,,
1199656800,76.048,76.338,75.844,76.174,,,,,,
1199750400,76.104,76.25,75.948,76.111,,,,,,
1199836800,76.082,76.496,76.046,76.419,,,,,,
1199923200,76.401,76.516,75.826,75.934,,,,,,
1200009600,75.89,76.06,75.786,75.978,,,,,,
1200261600,75.615,76.022,75.361,75.613,,,,,,
1200355200,75.484,75.701,75.199,75.574,,,,,,
1200441600,75.543,76.459,75.431,76.258,,,,,,
1200528000,76.193,76.522,75.961,76.174,,,,,,
1200614400,76.299,76.492,76.139,76.383,,,,,,
1200960000,77.112,77.347,76.251,76.346,,,,,,
1201046400,76.276,76.652,76.249,76.401,,,,,,
1201132800,76.312,76.439,75.622,75.692,,,,,,
1201219200,75.745,76.043,75.632,75.973,,,,,,
1201471200,75.938,76.022,75.479,75.579,,,,,,
1201564800,75.56,75.685,75.473,75.545,,,,,,
1201651200,75.499,75.594,74.994,75.032,,,,,,
1201737600,75.096,75.448,74.972,75.178,,,,,,
1201824000,75.234,75.567,74.849,75.445,,,,,,
1202076000,75.44,75.546,75.282,75.37,,,,,,
1202169600,75.433,76.198,75.341,76.116,,,,,,
1202256000,76.095,76.321,75.987,76.141,,,,,,
1202342400,76.133,77.043,76.088,76.938,,,,,,
1202428800,76.762,76.973,76.501,76.67,,,,,,
1202680800,76.453,76.714,76.316,76.584,,,,,,
1202774400,76.473,76.667,76.198,76.315,,,,,,
1202860800,76.388,76.605,76.277,76.399,,,,,,
1202947200,76.424,76.509,76.07,76.155,,,,,,
1203033600,76.054,76.174,75.852,76.101,,,,,,
1203379200,76.021,76.322,75.807,75.998,,,,,,
1203465600,76.109,76.529,75.989,76.116,,,,,,
1203552000,76.066,76.159,75.485,75.601,,,,,,
1203638400,75.641,75.71,75.357,75.52,,,,,,
1203890400,75.526,75.682,75.436,75.529,,,,,,
1203984000,75.568,75.685,74.706,74.763,,,,,,
1204070400,74.54,74.741,74.07,74.213,,,,,,
1204156800,74.257,74.372,73.625,73.721,,,,,,
1204243200,73.831,73.887,73.56,73.714,,,,,,
1204495200,73.638,73.859,73.354,73.704,,,,,,
1204588800,73.727,73.776,73.479,73.664,,,,,,
1204675200,73.72,73.947,73.368,73.479,,,,,,
1204761600,73.426,73.469,72.863,73.001,,,,,,
1204848000,72.877,73.172,72.462,73.027,,,,,,
1205096400,72.88,73.093,72.76,72.993,,,,,,
1205190000,72.996,73.402,72.474,73.277,,,,,,
1205276400,73.185,73.205,72.204,72.404,,,,,,
1205362800,72.281,72.361,71.795,72.072,,,,,,
1205449200,71.929,72.281,71.578,71.657,,,,,,
1205701200,71.421,71.727,70.698,71.459,,,,,,
1205794800,71.497,71.954,71.036,71.571,,,,,,
1205881200,71.904,72.235,71.255,72.144,,,,,,
1205967600,72.015,72.922,71.978,72.747,,,,,,
1206306000,72.749,73.194,72.644,72.949,,,,,,
1206399600,72.946,72.969,72.177,72.276,,,,,,
1206486000,72.131,72.309,71.328,71.506,,,,,,
1206572400,71.382,71.805,71.327,71.66,,,,,,
1206658800,71.585,71.837,71.479,71.678,,,,,,
1206910800,71.61,71.831,71.346,71.802,,,,,,
1207004400,71.874,72.736,71.739,72.563,,,,,,
1207090800,72.538,72.795,72.18,72.259,,,,,,
1207177200,72.265,72.841,72.144,72.217,,,,,,
1207263600,72.152,72.324,71.797,72.021,,,,,,
1207515600,71.996,72.433,71.928,72.202,,,,,,
1207609200,72.189,72.376,71.852,72.232,,,,,,
1207695600,72.374,72.387,71.686,71.833,,,,,,
1207782000,71.875,72.19,71.415,72.117,,,,,,
1207868400,72.124,72.169,71.696,71.808,,,,,,
1208120400,72.249,72.397,71.49,71.875,,,,,,
1208214000,71.805,72.16,71.654,72.023,,,,,,
1208300400,72.068,72.089,71.276,71.408,,,,,,
1208386800,71.45,71.778,71.296,71.68,,,,,,
1208473200,71.624,72.407,71.394,72.012,,,,,,
1208725200,71.917,72.034,71.499,71.647,,,,,,
1208818800,71.684,71.924,71.191,71.329,,,,,,
1208905200,71.328,71.949,71.316,71.819,,,,,,
1208991600,71.854,72.719,71.834,72.535,,,,,,
1209078000,72.544,73.03,72.448,72.79,,,,,,
1209330000,72.717,72.79,72.439,72.79,,,,,,
1209423600,72.539,72.937,72.506,72.895,,,,,,
1209510000,72.89,73.112,72.489,72.509,,,,,,
1209596400,72.54,73.393,72.495,73.275,,,,,,
1209682800,73.241,73.698,73.107,73.5,,,,,,
1209934800,73.455,73.541,73.114,73.19,,,,,,
1210028400,73.179,73.343,72.734,72.999,,,,,,
1210114800,72.989,73.648,72.989,73.514,,,,,,
1210201200,73.764,73.836,73.239,73.474,,,,,,
1210287600,73.382,73.397,73.027,73.05,,,,,,
1210539600,73.344,73.522,72.794,72.947,,,,,,
1210633200,72.968,73.427,72.865,73.273,,,,,,
1210719600,73.327,73.624,73.241,73.399,,,,,,
1210806000,73.342,73.506,73.034,73.35,,,,,,
1210892400,73.277,73.391,72.687,72.844,,,,,,
1211144400,72.884,73.169,72.552,73.045,,,,,,
1211238000,72.936,73.034,72.347,72.405,,,,,,
1211324400,72.339,72.49,71.901,71.938,,,,,,
1211410800,71.936,72.313,71.823,72.277,,,,,,
1211497200,72.182,72.292,71.854,71.888,,,,,,
1211842800,71.937,72.396,71.842,72.338,,,,,,
1211929200,72.335,72.748,72.096,72.547,,,,,,
1212015600,72.583,73.134,72.556,73.023,,,,,,
1212102000,72.981,73.217,72.843,72.879,,,,,,
1212354000,72.975,73.151,72.74,72.929,,,,,,
1212447600,72.984,73.501,72.568,73.24,,,,,,
1212534000,73.341,73.517,73.199,73.424,,,,,,
1212620400,73.628,73.87,72.999,73.038,,,,,,
1212706800,73.115,73.155,72.338,72.39,,,,,,
1212958800,72.353,72.976,72.13,72.854,,,,,,
1213052400,73.123,73.735,73.015,73.696,,,,,,
1213138800,73.614,73.709,73.09,73.209,,,,,,
1213225200,73.515,74.038,73.5,73.859,,,,,,
1213311600,73.752,74.314,73.745,74.146,,,,,,
1213563600,73.989,74.178,73.452,73.61,,,,,,
1213657200,73.418,73.724,73.318,73.514,,,,,,
1213743600,73.552,73.774,73.393,73.44,,,,,,
1213830000,73.296,73.594,73.205,73.483,,,,,,
1213916400,73.428,73.463,72.932,73.03,,,,,,
1214168400,73.045,73.652,73.04,73.434,,,,,,
1214262000,73.485,73.511,73.04,73.241,,,,,,
1214348400,73.227,73.404,72.833,72.933,,,,,,
1214434800,72.895,73.077,72.446,72.487,,,,,,
1214521200,72.591,72.64,72.286,72.36,,,,,,
1214773200,72.3,72.567,72.041,72.463,,,,,,
1214866800,72.47,72.547,72.138,72.369,,,,,,
1214953200,72.305,72.516,72.013,72.029,,,,,,
1215039600,72.072,72.803,72.004,72.742,,,,,,
1215378000,72.944,73.158,72.562,72.67,,,,,,
1215471600,72.773,73.082,72.559,73.012,,,,,,
1215558000,72.966,73.014,72.543,72.58,,,,,,
1215644400,72.637,72.841,72.412,72.493,,,,,,
1215730800,72.488,72.592,71.795,72.096,,,,,,
1215982800,72.033,72.303,71.853,71.915,,,,,,
1216076400,71.786,71.903,71.314,71.872,,,,,,
1216162800,71.717,72.111,71.508,72.064,,,,,,
1216249200,71.921,72.405,71.823,72.242,,,,,,
1216335600,72.134,72.302,71.967,72.189,,,,,,
1216587600,72.108,72.251,71.889,71.99,,,,,,
1216681200,72.4,72.854,72.393,72.446,,,,,,
1216767600,72.4,72.854,72.393,72.811,,,,,,
1216854000,72.738,73.02,72.698,72.933,,,,,,
1216940400,72.764,72.933,72.544,72.86,,,,,,
1217192400,72.776,72.883,72.609,72.649,,,,,,
1217286000,72.661,73.428,72.621,73.309,,,,,,
1217372400,73.261,73.538,73.132,73.322,,,,,,
1217458800,73.271,73.33,72.856,73.227,,,,,,
1217545200,73.295,73.527,73.232,73.424,,,,,,
1217797200,73.28,73.535,73.196,73.462,,,,,,
1217890800,73.565,73.981,73.563,73.958,,,,,,
1217977200,73.806,74.307,73.734,74.265,,,,,,
1218063600,74.178,74.605,73.891,74.547,,,,,,
1218150000,74.997,75.903,74.876,75.845,,,,,,
1218402000,75.887,76.362,75.489,76.125,,,,,,
1218495600,76.324,76.616,75.969,76.152,,,,,,
1218582000,76.032,76.522,75.836,76.208,,,,,,
1218668400,76.354,76.823,76.099,76.669,,,,,,
1218754800,76.868,77.268,76.843,77.18,,,,,,
1219006800,76.819,77.195,76.776,77.153,,,,,,
1219100400,77.071,77.413,76.716,76.839,,,,,,
1219186800,76.821,77.24,76.793,76.958,,,,,,
1219273200,76.766,76.807,76.026,76.196,,,,,,
1219359600,76.242,76.866,76.128,76.805,,,,,,
1219611600,77.059,77.149,76.554,76.793,,,,,,
1219705200,77.006,77.619,76.992,77.251,,,,,,
1219791600,76.847,77.273,76.664,77.051,,,,,,
1219878000,76.711,77.307,76.617,77.151,,,,,,
1219964400,76.946,77.441,76.79,77.381,,,,,,
1220310000,78.023,78.149,77.989,78.061,,,,,,
1220396400,78.212,78.651,78.006,78.087,,,,,,
1220482800,78.074,78.721,77.822,78.61,,,,,,
1220569200,78.822,79.077,78.395,78.932,,,,,,
1220821200,78.318,79.844,78.228,79.589,,,,,,
1220914800,79.584,79.774,78.996,79.247,,,,,,
1221001200,79.399,80.16,79.215,79.845,,,,,,
1221087600,80.177,80.375,79.795,80.146,,,,,,
1221174000,79.94,80.053,78.906,78.966,,,,,,
1221426000,78.431,79.36,77.642,78.909,,,,,,
1221519600,78.735,79.369,78.384,79.068,,,,,,
1221606000,79.093,79.261,77.937,78.095,,,,,,
1221692400,78.02,78.412,77.26,78.196,,,,,,
1221778800,78.806,79.209,77.579,77.68,,,,,,
1222030800,77.449,77.693,75.89,76.151,,,,,,
1222124400,76.242,76.92,76.063,76.468,,,,,,
1222210800,76.641,77.05,76.4,76.788,,,,,,
1222297200,76.577,77.282,76.299,76.994,,,,,,
1222383600,76.707,77.15,76.695,76.953,,,,,,
1222635600,77.47,78.371,76.862,77.471,,,,,,
1222729200,78.014,79.694,77.728,79.448,,,,,,
1222815600,79.179,79.872,78.946,79.463,,,,,,
1222902000,79.774,80.794,79.645,80.439,,,,,,
1222988400,80.282,80.933,79.992,80.313,,,,,,
1223240400,81.096,81.745,80.594,81.675,,,,,,
1223334000,81.301,81.647,80.573,80.973,,,,,,
1223420400,81.025,81.36,80.399,80.913,,,,,,
1223506800,80.927,81.491,80.542,81.163,,,,,,
1223593200,81.619,83.191,81.289,82.997,,,,,,
1223845200,81.93,82.158,81.045,81.876,,,,,,
1223938800,81.06,81.604,80.752,81.363,,,,,,
1224025200,81.617,82.452,81.092,82.05,,,,,,
1224111600,82.244,82.84,82.004,82.455,,,,,,
1224198000,82.289,82.642,82.07,82.413,,,,,,
1224450000,82.339,83.23,81.964,83.1,,,,,,
1224543600,83.005,84.46,82.955,83.99,,,,,,
1224630000,85.202,85.921,84.387,85.37,,,,,,
1224716400,85.841,86.12,84.701,85.36,,,,,,
1224802800,85.732,86.965,84.971,86.44,,,,,,
1225054800,86.495,87.855,86.042,86.934,,,,,,
1225148400,87.387,87.884,85.756,87.028,,,,,,
1225234800,86.144,86.533,84.481,85.071,,,,,,
1225321200,84.579,85.35,83.104,84.556,,,,,,
1225407600,85.093,86.202,84.85,85.633,,,,,,
1225663200,85.221,86.631,84.904,86.354,,,,,,
1225756800,86.638,86.788,84.301,84.784,,,,,,
1225843200,85.432,85.578,83.902,84.606,,,,,,
1225929600,85.201,86.293,84.831,85.893,,,,,,
1226016000,85.853,86.352,85.339,85.907,,,,,,
1226268000,85.232,86.143,85.064,85.912,,,,,,
1226361600,86.06,87.279,85.687,87.075,,,,,,
1226448000,86.919,87.793,86.63,87.47,,,,,,
1226534400,87.743,88.147,86.132,86.938,,,,,,
1226620800,86.654,87.45,86.33,86.365,,,,,,
1226872800,87.613,87.791,86.491,86.807,,,,,,
