time,open,high,low,close,Volume,Open Interest,Open Interest (Open),Open Interest (High,Open Interest (Low),Open Interest (Close)
-92196000,119.89,119.89,119.89,119.89,,,,,,
-89776800,119.81,119.81,119.81,119.81,,,,,,
-87357600,119.79,119.79,119.79,119.79,,,,,,
-84938400,119.72,119.72,119.72,119.72,,,,,,
-81918000,119.64,119.64,119.64,119.64,,,,,,
-79498800,119.63,119.63,119.63,119.63,,,,,,
-76474800,119.7,119.7,119.7,119.7,,,,,,
-74055600,119.75,119.75,119.75,119.75,,,,,,
-71636400,119.74,119.74,119.74,119.74,,,,,,
-68608800,119.73,119.73,119.73,119.73,,,,,,
-66189600,120.27,120.27,120.27,120.27,,,,,,
-63770400,121.79,121.79,121.79,121.79,,,,,,
-60746400,122.07,122.07,122.07,122.07,,,,,,
-58327200,122.08,122.08,122.08,122.08,,,,,,
-55908000,122,122,122,122,,,,,,
-52887600,122.01,122.01,122.01,122.01,,,,,,
-50468400,122.04,122.04,122.04,122.04,,,,,,
-48049200,122.22,122.22,122.22,122.22,,,,,,
-45025200,122.18,122.18,122.18,122.18,,,,,,
-42606000,122.18,122.18,122.18,122.18,,,,,,
-39582000,121.98,121.98,121.98,121.98,,,,,,
-37159200,122.03,122.03,122.03,122.03,,,,,,
-34740000,121.95,121.95,121.95,121.95,,,,,,
-31716000,121.96,121.96,121.96,121.96,,,,,,
-29296800,122.08,122.08,122.08,122.08,,,,,,
-26877600,122.19,122.19,122.19,122.19,,,,,,
-24458400,122.29,122.29,122.29,122.29,,,,,,
-21438000,122.26,122.26,122.26,122.26,,,,,,
-19018800,122.24,122.24,122.24,122.24,,,,,,
-15994800,122.34,122.34,122.34,122.34,,,,,,
-13575600,122.36,122.36,122.36,122.36,,,,,,
-11156400,123.46,123.46,123.46,123.46,,,,,,
-8132400,123.82,123.82,123.82,123.82,,,,,,
-5709600,122.18,122.18,122.18,122.18,,,,,,
-3290400,121.77,121.77,121.77,121.77,,,,,,
-266400,121.74,121.74,121.74,121.74,,,,,,
2152800,121.75,121.75,121.75,121.75,,,,,,
4572000,121.72,121.72,121.72,121.72,,,,,,
7596000,121.6,121.6,121.6,121.6,,,,,,
10011600,121.36,121.36,121.36,121.36,,,,,,
12430800,121.32,121.32,121.32,121.32,,,,,,
15454800,120.98,120.98,120.98,120.98,,,,,,
17874000,120.9,120.9,120.9,120.9,,,,,,
20898000,120.7,120.7,120.7,120.7,,,,,,
23317200,120.62,120.62,120.62,120.62,,,,,,
25740000,120.64,120.64,120.64,120.64,,,,,,
28764000,120.55,120.55,120.55,120.55,,,,,,
31183200,120.64,120.64,120.64,120.64,,,,,,
31788000,120.53,120.55,120.49,120.53,,,,,,
32392800,120.53,120.53,120.44,120.44,,,,,,
32997600,120.41,120.41,120.31,120.31,,,,,,
33602400,120.27,120.27,120.24,120.24,,,,,,
34207200,120.26,120.28,120.24,120.26,,,,,,
34812000,120.26,120.29,120.25,120.29,,,,,,
35416800,120.22,120.22,120.18,120.18,,,,,,
36021600,120.14,120.26,120.12,120.26,,,,,,
36626400,120.25,120.25,120.17,120.17,,,,,,
37231200,120.13,120.18,120.13,120.18,,,,,,
37836000,120.19,120.19,120.16,120.18,,,,,,
38440800,120.18,120.18,120.16,120.17,,,,,,
39045600,120.18,120.18,120.17,120.18,,,,,,
39650400,120.19,120.22,120.16,120.22,,,,,,
40255200,120.22,120.31,120.22,120.23,,,,,,
40860000,120.29,120.29,120.23,120.27,,,,,,
41461200,120.27,120.27,120.18,120.19,,,,,,
42066000,120.17,120.17,119.44,119.44,,,,,,
42670800,119.12,119.56,119.12,119.34,,,,,,
43275600,119.33,119.33,118.91,118.91,,,,,,
43880400,118.98,119.43,118.98,119.43,,,,,,
44485200,119.69,119.69,119.27,119.27,,,,,,
45090000,119.23,119.25,119.19,119.24,,,,,,
45694800,119.29,119.34,119.29,119.29,,,,,,
46299600,119.32,119.32,119.16,119.21,,,,,,
46904400,119.25,119.25,119.16,119.16,,,,,,
47509200,119.21,119.21,119.17,119.17,,,,,,
48114000,119.17,119.17,118.92,118.92,,,,,,
