Datetime,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2026-04-10T00:00:00Z,84256.91806883,380045.48645056,1241058.58165758,2257633.13609488,4587607.36265306,5671455.40556687,4231201.63079978,1560871.8986794
2026-04-09T00:00:00Z,84212.25183892,380053.41123084,1240695.67072623,2257186.6032985,4592763.19288457,5673539.90873216,4224376.02184573,1560912.73441401
2026-04-08T00:00:00Z,84162.56113218,379975.81200924,1241000.91119107,2256600.37500744,4593757.1781449,5672285.67701166,4224548.22029225,1560959.06018222
2026-04-07T00:00:00Z,84173.94130558,380008.20195923,1240842.28629552,2257241.48470196,4595112.38671336,5672921.38106282,4221522.29872398,1561005.31420851
2026-04-06T00:00:00Z,84151.94673644,379953.82942757,1241228.23325012,2257874.6802124,4594715.88817054,5668223.09219243,4225189.21718932,1561059.15779214
2026-04-05T00:00:00Z,84181.14407041,379984.45101475,1241769.44536743,2258646.27507462,4593657.67286949,5668150.52751389,4224552.02923562,1561054.49982475
2026-04-04T00:00:00Z,84158.18146116,379924.26953422,1241598.00087513,2258340.10575284,4593209.34763546,5668451.7364006,4224783.44677017,1561034.08154138
2026-04-03T00:00:00Z,84132.03196529,379852.26758218,1241271.35070698,2258295.5274566,4593060.32352303,5668668.93596259,4224811.48078137,1561032.25199292
2026-04-02T00:00:00Z,84048.28823873,379742.0531816,1240877.42406337,2258340.04627262,4589841.65138263,5673127.87520578,4223695.7864843,1561038.54514193
2026-04-01T00:00:00Z,84039.83071872,379675.64064162,1240694.84114629,2259318.28912666,4580685.14140771,5680889.48742444,4223638.92761846,1561316.38688706
2026-03-31T00:00:00Z,84036.88629287,379613.30383324,1240582.41034621,2259877.70734227,4581447.71259927,5677972.72260481,4224754.78916262,1561466.76278967
2026-03-30T00:00:00Z,84002.61713129,379522.84479721,1240628.46715045,2261989.89367657,4590773.53423689,5676874.64811299,4213071.49061363,1562463.79925193
2026-03-29T00:00:00Z,84016.37097237,379410.51812518,1240829.90448404,2262454.45916624,4586330.14474825,5679223.68642428,4213831.24738624,1562805.96366436
2026-03-28T00:00:00Z,83976.62621706,379289.29399935,1240379.5753993,2261833.64287756,4586604.80375079,5682372.90424824,4211188.81594271,1562806.63253595
2026-03-27T00:00:00Z,83926.14553558,379152.30675108,1239818.98994781,2261211.4223283,4586004.27718068,5686647.89243342,4208380.93208846,1562766.57870563
2026-03-26T00:00:00Z,83839.28620139,378964.31750983,1239162.72980012,2262235.65174732,4584601.71623516,5686967.12272086,4207692.69257605,1563970.02818023
2026-03-25T00:00:00Z,83784.09986175,378920.71845961,1238914.18417859,2261731.26695949,4582678.61579345,5682021.11531029,4206731.25119365,1572136.66821413
2026-03-24T00:00:00Z,83848.1950242,378873.61222805,1238835.60406139,2262746.82245719,4583968.83934691,5683406.87581972,4209677.17356457,1565082.67246893
2026-03-23T00:00:00Z,83955.92245809,378843.32335233,1238612.72766355,2263135.31986527,4581055.06741862,5679774.33467915,4212174.24992307,1568498.22461088
2026-03-22T00:00:00Z,83971.52757604,378761.3039998,1238771.93915196,2262706.99851076,4581406.01470613,5681184.98852508,4210244.21634475,1568502.18115644
2026-03-21T00:00:00Z,83981.53479843,378687.05228867,1238374.0157136,2261901.35719093,4583742.33013641,5677047.6245141,4212808.08225814,1568500.92307068
