date,Phase 0 Success Rate (%)
2021-07-10,1193.95
2021-07-11,1194.34
2021-07-12,1195.38
2021-07-13,1197.67
2021-07-14,1199.52
2021-07-15,1201.63
2021-07-16,1208.5
2021-07-17,1211.08
2021-07-18,1211.41
2021-07-19,1211.83
2021-07-20,1213.63
2021-07-21,1216.07
2021-07-22,1217.59
2021-07-23,1222.57
2021-07-24,1223.93
2021-07-25,1224.22
2021-07-26,1224.43
2021-07-27,1226.6
2021-07-28,1229.44
2021-07-29,1230.82
2021-07-30,1233.41
2021-07-31,1234.62
2021-08-01,1236.56
2021-08-02,1237.06
2021-08-03,1241.22
2021-08-04,1246.8
2021-08-05,1251.03
2021-08-06,1252.88
2021-08-07,1255.15
2021-08-08,1256.64
2021-08-09,1259.86
2021-08-10,1264.75
2021-08-11,1269.86
2021-08-12,1272.42
2021-08-13,1275.66
2021-08-14,1281.18
2021-08-15,1283.36
2021-08-16,1286.07
2021-08-17,1304.25
2021-08-18,1322.88
2021-08-19,1335.52
2021-08-20,1340.11
2021-08-21,1347.75
2021-08-22,1353.13
2021-08-23,1358.63
2021-08-24,1362.37
2021-08-25,1363.45
2021-08-26,1364.82
2021-08-27,1366.32
2021-08-28,1373.59
2021-08-29,1384.48
2021-08-30,1386.76
2021-08-31,1388.7
2021-09-01,1393.05
2021-09-02,1408.11
2021-09-03,1412.16
2021-09-04,1413.36
2021-09-05,1426.09
2021-09-06,1428.96
2021-09-07,1433.08
2021-09-08,1436.8
2021-09-09,1439.87
2021-09-10,1444.33
2021-09-11,1457.03
2021-09-12,1458.09
2021-09-13,1459.05
2021-09-14,1461.9
2021-09-15,1463.72
2021-09-16,1465.41
2021-09-17,1466.63
2021-09-18,1473.42
2021-09-19,1474.32
2021-09-20,1475.43
2021-09-21,1477.33
2021-09-22,1479.9
2021-09-23,1481.53
2021-09-24,1482.61
2021-09-25,1484.02
2021-09-26,1484.87
2021-09-27,1485.39
2021-09-28,1489.12
2021-09-29,1490.38
2021-09-30,1491.63
2021-10-01,1492.44
2021-10-02,1493.23
2021-10-03,1494.95
2021-10-04,1495.93
2021-10-05,1506.7
2021-10-06,1507.82
2021-10-07,1509.72
