date,Number of Unique Depositors
2024-07-31,1488949
2024-08-01,1490674
2024-08-02,1490994
2024-08-03,1491218
2024-08-04,1491408
2024-08-05,1492220
2024-08-06,1492953
2024-08-07,1494357
2024-08-08,1495261
2024-08-09,1496408
2024-08-10,1496841
2024-08-11,1497174
2024-08-12,1498726
2024-08-13,1501144
2024-08-14,1502127
2024-08-15,1505089
2024-08-16,1506227
2024-08-17,1506643
2024-08-18,1506791
2024-08-19,1508898
2024-08-20,1509679
2024-08-21,1510376
2024-08-22,1510879
2024-08-23,1511692
2024-08-24,1512130
2024-08-25,1512411
2024-08-26,1513850
2024-08-27,1514843
2024-08-28,1517517
2024-08-29,1519429
2024-08-30,1521128
2024-08-31,1522155
2024-09-01,1522680
2024-09-02,1523506
2024-09-03,1526110
2024-09-04,1527127
2024-09-05,1527988
2024-09-06,1528652
2024-09-07,1529180
2024-09-08,1529621
2024-09-09,1530341
2024-09-10,1530678
2024-09-11,1533667
2024-09-12,1534581
2024-09-13,1537537
2024-09-14,1537734
2024-09-15,1538350
2024-09-16,1539139
2024-09-17,1539560
2024-09-18,1540149
2024-09-19,1540479
2024-09-20,1541456
2024-09-21,1541825
2024-09-22,1542200
2024-09-23,1542987
2024-09-24,1544587
2024-09-25,1546211
2024-09-26,1547096
2024-09-27,1549022
2024-09-28,1549341
2024-09-29,1549761
2024-09-30,1550902
2024-10-01,1552244
2024-10-02,1554492
2024-10-03,1556506
2024-10-04,1557965
2024-10-05,1558905
2024-10-06,1559471
2024-10-07,1561061
2024-10-08,1561788
2024-10-09,1562085
2024-10-10,1562639
2024-10-11,1563754
2024-10-12,1565074
2024-10-13,1565478
2024-10-14,1566487
2024-10-15,1568269
2024-10-16,1569515
2024-10-17,1571041
2024-10-18,1572718
2024-10-19,1573031
2024-10-20,1573849
2024-10-21,1575305
2024-10-22,1577826
2024-10-23,1578996
2024-10-24,1580652
2024-10-25,1581831
2024-10-26,1583940
2024-10-27,1584756
2024-10-28,1586360
2024-10-29,1589906
2024-10-30,1594419
2024-10-31,1596141
2024-11-01,1596859
2024-11-02,1597083
2024-11-03,1598166
2024-11-04,1599091
2024-11-05,1600579
2024-11-06,1602021
2024-11-07,1604813
2024-11-08,1606113
2024-11-09,1606917
2024-11-10,1607527
2024-11-11,1608385
2024-11-12,1609443
2024-11-13,1610349
2024-11-14,1611868
2024-11-15,1612816
2024-11-16,1613332
2024-11-17,1613655
2024-11-18,1614497
2024-11-19,1615539
2024-11-20,1616211
2024-11-21,1616886
2024-11-22,1620559
2024-11-23,1623417
2024-11-24,1625168
2024-11-25,1626013
2024-11-26,1627286
2024-11-27,1629346
2024-11-28,1630855
2024-11-29,1632221
2024-11-30,1633238
2024-12-01,1634220
2024-12-02,1636326
2024-12-03,1637547
2024-12-04,1640183
2024-12-05,1641510
2024-12-06,1642749
2024-12-07,1643446
2024-12-08,1643770
2024-12-09,1644191
2024-12-10,1644782
2024-12-11,1646221
2024-12-12,1646902
2024-12-13,1648249
2024-12-14,1648719
2024-12-15,1649058
2024-12-16,1649685
2024-12-17,1651815
2024-12-18,1655474
2024-12-19,1656609
2024-12-20,1657538
2024-12-21,1658051
2024-12-22,1659392
2024-12-23,1661432
2024-12-24,1663598
2024-12-25,1666036
2024-12-26,1666696
2024-12-27,1667379
2024-12-28,1667758
2024-12-29,1668333
2024-12-30,1669232
2024-12-31,1672189
2025-01-01,1672682
2025-01-02,1673326
2025-01-03,1674426
2025-01-04,1675000
2025-01-05,1675880
2025-01-06,1676555
2025-01-07,1678050
2025-01-08,1681767
2025-01-09,1684220
2025-01-10,1685653
2025-01-11,1686049
2025-01-12,1686359
2025-01-13,1689475
2025-01-14,1690749
2025-01-15,1692373
2025-01-16,1692932
2025-01-17,1693834
2025-01-18,1694723
2025-01-19,1696085
2025-01-20,1696824
2025-01-21,1699962
2025-01-22,1700949
2025-01-23,1701764
2025-01-24,1703438
2025-01-25,1705050
2025-01-26,1705604
2025-01-27,1707708
2025-01-28,1710544
2025-01-29,1711348
2025-01-30,1713456
2025-01-31,1714740
2025-02-01,1715208
2025-02-02,1716687
2025-02-03,1718079
2025-02-04,1719844
2025-02-05,1720933
2025-02-06,1722096
2025-02-07,1722851
2025-02-08,1723775
2025-02-09,1723991
2025-02-10,1724471
2025-02-11,1726738
2025-02-12,1727767
2025-02-13,1729408
2025-02-14,1731203
2025-02-15,1732496
2025-02-16,1733637
2025-02-17,1734721
2025-02-18,1736418
2025-02-19,1737876
2025-02-20,1739781
2025-02-21,1741300
2025-02-22,1741944
2025-02-23,1742786
2025-02-24,1743780
2025-02-25,1745434
2025-02-26,1746281
2025-02-27,1747059
2025-02-28,1748193
2025-03-01,1748919
2025-03-02,1749244
2025-03-03,1750686
2025-03-04,1755699
2025-03-05,1757510
2025-03-06,1759381
2025-03-07,1760253
2025-03-08,1760702
2025-03-09,1762176
2025-03-10,1763686
2025-03-11,1764881
2025-03-12,1766865
2025-03-13,1769756
2025-03-14,1770887
2025-03-15,1771300
2025-03-16,1771856
2025-03-17,1775449
2025-03-18,1777700
2025-03-19,1780653
2025-03-20,1783780
2025-03-21,1785606
2025-03-22,1786949
2025-03-23,1789233
2025-03-24,1791801
2025-03-25,1794007
2025-03-26,1795759
2025-03-27,1797376
2025-03-28,1798969
2025-03-29,1799885
2025-03-30,1800316
2025-03-31,1801573
2025-04-01,1802582
2025-04-02,1805083
2025-04-03,1805916
2025-04-04,1806816
2025-04-05,1807220
2025-04-06,1807698
2025-04-07,1808635
2025-04-08,1810155
2025-04-09,1811528
2025-04-10,1817453
2025-04-11,1818303
2025-04-12,1818788
2025-04-13,1819168
2025-04-14,1821376
2025-04-15,1822772
2025-04-16,1825126
2025-04-17,1828304
2025-04-18,1829227
2025-04-19,1829753
2025-04-20,1830278
2025-04-21,1830812
2025-04-22,1834788
2025-04-23,1836036
2025-04-24,1836845
2025-04-25,1837676
2025-04-26,1838192
2025-04-27,1838510
2025-04-28,1839416
2025-04-29,1839804
2025-04-30,1840655
2025-05-01,1842602
2025-05-02,1843461
2025-05-03,1843830
2025-05-04,1844257
2025-05-05,1845583
2025-05-06,1849171
2025-05-07,1849968
2025-05-08,1851544
2025-05-09,1853480
2025-05-10,1854016
2025-05-11,1855133
2025-05-12,1858842
2025-05-13,1859695
2025-05-14,1860900
2025-05-15,1861801
2025-05-16,1863530
2025-05-17,1864333
2025-05-18,1865014
2025-05-19,1866167
2025-05-20,1867445
2025-05-21,1869376
2025-05-22,1871829
2025-05-23,1873405
2025-05-24,1874160
2025-05-25,1874469
2025-05-26,1875407
2025-05-27,1877834
2025-05-28,1879981
2025-05-29,1882229
2025-05-30,1884365
2025-05-31,1886287
2025-06-01,1887724
2025-06-02,1894351
2025-06-03,1897123
2025-06-04,1900818
2025-06-05,1902191
2025-06-06,1903394
2025-06-07,1904600
2025-06-08,1905237
2025-06-09,1906678
2025-06-10,1909281
2025-06-11,1910647
2025-06-12,1911256
2025-06-13,1915160
2025-06-14,1917341
2025-06-15,1917939
2025-06-16,1921574
2025-06-17,1923754
2025-06-18,1924836
2025-06-19,1925949
2025-06-20,1927402
2025-06-21,1930604
2025-06-22,1932046
2025-06-23,1933504
2025-06-24,1934337
2025-06-25,1935045
2025-06-26,1935464
2025-06-27,1935991
2025-06-28,1936932
2025-06-29,1938020
2025-06-30,1938628
2025-07-01,1940548
2025-07-02,1941803
2025-07-03,1942770
2025-07-04,1943676
2025-07-05,1944841
2025-07-06,1945204
2025-07-07,1951169
2025-07-08,1954843
2025-07-09,1958234
2025-07-10,1960009
2025-07-11,1962559
2025-07-12,1963663
2025-07-13,1964129
2025-07-14,1965596
2025-07-15,1967521
2025-07-16,1969612
2025-07-17,1971268
2025-07-18,1973071
2025-07-19,1973718
2025-07-20,1974304
2025-07-21,1975226
2025-07-22,1976041
2025-07-23,1976553
2025-07-24,1977276
2025-07-25,1977617
2025-07-26,1977872
2025-07-27,1980603
2025-07-28,1981138
2025-07-29,1982213
2025-07-30,1982637
2025-07-31,1984173
2025-08-01,1985306
2025-08-02,1985547
2025-08-03,1987785
2025-08-04,1988783
2025-08-05,1989389
2025-08-06,1989870
2025-08-07,1990729
2025-08-08,1992733
2025-08-09,1993090
2025-08-10,1994564
2025-08-11,1996080
2025-08-12,1998874
2025-08-13,2002481
2025-08-14,2007762
2025-08-15,2011095
2025-08-16,2011322
2025-08-17,2011810
2025-08-18,2014011
2025-08-19,2015016
2025-08-20,2015728
2025-08-21,2017568
2025-08-22,2018200
2025-08-23,2018594
2025-08-24,2019808
2025-08-25,2020302
2025-08-26,2020923
2025-08-27,2021743
2025-08-28,2023035
2025-08-29,2025241
2025-08-30,2025574
2025-08-31,2025838
2025-09-01,2026391
2025-09-02,2026771
2025-09-03,2027707
2025-09-04,2028372
2025-09-05,2028789
2025-09-06,2029075
2025-09-07,2029459
2025-09-08,2029798
2025-09-09,2032134
2025-09-10,2032396
2025-09-11,2032746
2025-09-12,2033013
2025-09-13,2033250
2025-09-14,2033384
2025-09-15,2033689
2025-09-16,2034229
2025-09-17,2034468
2025-09-18,2034952
2025-09-19,2035408
2025-09-20,2035798
2025-09-21,2036169
2025-09-22,2036478
2025-09-23,2037180
2025-09-24,2038888
2025-09-25,2039250
2025-09-26,2040684
2025-09-27,2040879
2025-09-28,2043450
2025-09-29,2045346
2025-09-30,2046436
2025-10-01,2047206
2025-10-02,2048559
2025-10-03,2050661
2025-10-04,2050902
2025-10-05,2051311
2025-10-06,2053244
2025-10-07,2054959
2025-10-08,2058417
2025-10-09,2059422
2025-10-10,2061697
2025-10-11,2062671
2025-10-12,2064247
2025-10-13,2065604
2025-10-14,2066818
2025-10-15,2067459
2025-10-16,2069809
2025-10-17,2071091
2025-10-18,2071429
2025-10-19,2071605
2025-10-20,2072780
2025-10-21,2073765
2025-10-22,2074689
2025-10-23,2075128
2025-10-24,2078873
2025-10-25,2079151
2025-10-26,2079508
2025-10-27,2080907
2025-10-28,2082069
2025-10-29,2083308
2025-10-30,2087958
2025-10-31,2091959
2025-11-01,2092696
2025-11-02,2093780
2025-11-03,2094408
2025-11-04,2094787
2025-11-05,2096677
2025-11-06,2097068
2025-11-07,2097364
2025-11-08,2097499
2025-11-09,2097642
2025-11-10,2097822
2025-11-11,2098561
2025-11-12,2099015
2025-11-13,2099365
2025-11-14,2100145
2025-11-15,2100521
2025-11-16,2100772
2025-11-17,2101478
2025-11-18,2102066
2025-11-19,2102375
2025-11-20,2102800
2025-11-21,2103451
2025-11-22,2104388
2025-11-23,2104576
2025-11-24,2104973
2025-11-25,2105213
2025-11-26,2105583
2025-11-27,2105959
2025-11-28,2106157
2025-11-29,2106670
2025-11-30,2106875
2025-12-01,2107912
2025-12-02,2109419
2025-12-03,2109923
2025-12-04,2110247
2025-12-05,2111484
2025-12-06,2112628
2025-12-07,2112995
2025-12-08,2114018
2025-12-09,2116030
2025-12-10,2117451
2025-12-11,2118572
2025-12-12,2119122
2025-12-13,2119473
2025-12-14,2119740
2025-12-15,2120466
2025-12-16,2120979
2025-12-17,2121388
2025-12-18,2121800
2025-12-19,2122187
2025-12-20,2122817
2025-12-21,2123355
2025-12-22,2124303
2025-12-23,2124701
2025-12-24,2125894
2025-12-25,2126348
2025-12-26,2126797
2025-12-27,2127154
2025-12-28,2127789
2025-12-29,2132929
2025-12-30,2133783
2025-12-31,2135554
2026-01-01,2137153
2026-01-02,2138796
2026-01-03,2139374
2026-01-04,2140003
2026-01-05,2141310
2026-01-06,2145228
2026-01-07,2146233
2026-01-08,2147843
2026-01-09,2148835
2026-01-10,2149913
2026-01-11,2150601
2026-01-12,2152657
2026-01-13,2154087
2026-01-14,2156668
2026-01-15,2157712
2026-01-16,2158376
2026-01-17,2159816
2026-01-18,2160632
2026-01-19,2164408
2026-01-20,2167508
2026-01-21,2169838
2026-01-22,2173550
2026-01-23,2177395
2026-01-24,2177925
2026-01-25,2179627
2026-01-26,2180606
2026-01-27,2182256
2026-01-28,2183691
2026-01-29,2186598
2026-01-30,2187553
2026-01-31,2189052
2026-02-01,2189692
2026-02-02,2191149
2026-02-03,2192508
2026-02-04,2193119
2026-02-05,2194664
2026-02-06,2197085
2026-02-07,2197567
2026-02-08,2197998
2026-02-09,2199034
2026-02-10,2199577
2026-02-11,2200950
2026-02-12,2201557
2026-02-13,2202034
2026-02-14,2202397
2026-02-15,2202789
2026-02-16,2203252
2026-02-17,2203534
2026-02-18,2204974
2026-02-19,2205428
2026-02-20,2206336
2026-02-21,2206725
2026-02-22,2206954
2026-02-23,2207883
2026-02-24,2208579
2026-02-25,2209249
2026-02-26,2209562
2026-02-27,2209892
2026-02-28,2210201
2026-03-01,2210413
2026-03-02,2210764
2026-03-03,2211085
2026-03-04,2211754
2026-03-05,2212019
2026-03-06,2212330
2026-03-07,2212867
2026-03-08,2213064
2026-03-09,2213676
2026-03-10,2214133
2026-03-11,2214441
2026-03-12,2214811
2026-03-13,2215183
2026-03-14,2215376
2026-03-15,2215572
2026-03-16,2216282
2026-03-17,2217243
2026-03-18,2217948
2026-03-19,2218941
2026-03-20,2219633
2026-03-21,2219816
2026-03-22,2219970
2026-03-23,2220526
2026-03-24,2220856
2026-03-25,2221212
2026-03-26,2221730
2026-03-27,2222688
2026-03-28,2222838
2026-03-29,2223597
2026-03-30,2224047
2026-03-31,2224943
2026-04-01,2225781
2026-04-02,2226724
2026-04-03,2227611
2026-04-04,2228415
2026-04-05,2229283
2026-04-06,2230009
