date,Number of Unique Depositors
2021-08-08,205689
2021-08-09,206217
2021-08-10,207018
2021-08-11,207855
2021-08-12,208275
2021-08-13,208805
2021-08-14,209710
2021-08-15,210066
2021-08-16,210510
2021-08-17,213490
2021-08-18,216542
2021-08-19,218612
2021-08-20,219364
2021-08-21,220617
2021-08-22,221498
2021-08-23,222399
2021-08-24,223011
2021-08-25,223188
2021-08-26,223413
2021-08-27,223659
2021-08-28,224850
2021-08-29,226634
2021-08-30,227008
2021-08-31,227325
2021-09-01,228038
2021-09-02,230506
2021-09-03,231170
2021-09-04,231366
2021-09-05,233452
2021-09-06,233922
2021-09-07,234597
2021-09-08,235206
2021-09-09,235710
2021-09-10,236440
2021-09-11,238521
2021-09-12,238695
2021-09-13,238851
2021-09-14,239317
2021-09-15,239616
2021-09-16,239887
2021-09-17,240088
2021-09-18,241200
2021-09-19,241348
2021-09-20,241530
2021-09-21,241840
2021-09-22,242261
2021-09-23,242529
2021-09-24,242705
2021-09-25,242936
2021-09-26,243076
2021-09-27,243162
2021-09-28,243773
2021-09-29,243978
2021-09-30,244184
2021-10-01,244316
2021-10-02,244446
2021-10-03,244727
2021-10-04,244887
2021-10-05,246652
2021-10-06,246835
2021-10-07,247146
2021-10-08,247298
2021-10-09,247448
2021-10-10,247588
2021-10-11,247751
2021-10-12,247876
2021-10-13,248014
2021-10-14,248205
2021-10-15,248981
2021-10-16,249127
2021-10-17,249224
2021-10-18,249354
2021-10-19,249446
2021-10-20,249586
2021-10-21,249761
2021-10-22,249916
2021-10-23,250055
2021-10-24,250146
2021-10-25,250354
2021-10-26,250521
2021-10-27,250730
2021-10-28,250853
2021-10-29,251500
2021-10-30,252582
2021-10-31,252652
2021-11-01,252915
2021-11-02,253936
2021-11-03,254184
2021-11-04,254380
2021-11-05,255657
2021-11-06,255800
2021-11-07,256066
2021-11-08,256315
2021-11-09,256445
2021-11-10,256676
2021-11-11,256968
2021-11-12,257268
2021-11-13,257383
2021-11-14,257531
2021-11-15,257928
2021-11-16,259299
2021-11-17,259554
2021-11-18,259849
2021-11-19,260142
2021-11-20,260332
2021-11-21,260548
2021-11-22,261063
2021-11-23,261729
2021-11-24,262037
2021-11-25,262315
2021-11-26,262691
2021-11-27,262925
2021-11-28,263311
2021-11-29,263483
2021-11-30,263922
2021-12-01,264766
2021-12-02,265196
2021-12-03,265931
2021-12-04,266167
2021-12-05,266611
2021-12-06,266888
2021-12-07,267622
2021-12-08,267929
2021-12-09,268218
2021-12-10,268486
2021-12-11,268869
2021-12-12,269152
2021-12-13,269443
2021-12-14,270143
2021-12-15,270660
2021-12-16,271024
2021-12-17,271573
2021-12-18,271972
2021-12-19,272661
2021-12-20,273137
2021-12-21,273503
2021-12-22,273793
2021-12-23,273954
2021-12-24,274395
2021-12-25,274579
2021-12-26,274742
2021-12-27,275052
2021-12-28,275226
2021-12-29,275457
2021-12-30,275801
2021-12-31,276024
2022-01-01,276451
2022-01-02,276885
2022-01-03,277530
2022-01-04,278407
2022-01-05,278893
2022-01-06,279391
2022-01-07,279888
2022-01-08,280378
2022-01-09,280557
2022-01-10,280933
2022-01-11,281221
2022-01-12,281435
2022-01-13,281713
2022-01-14,282123
2022-01-15,282468
2022-01-16,282696
2022-01-17,282940
2022-01-18,283169
2022-01-19,284109
2022-01-20,284227
2022-01-21,284503
2022-01-22,285237
2022-01-23,286759
2022-01-24,287081
2022-01-25,287675
2022-01-26,287894
2022-01-27,288369
2022-01-28,288689
2022-01-29,289123
2022-01-30,289288
2022-01-31,289531
2022-02-01,289824
2022-02-02,290006
2022-02-03,290257
2022-02-04,290843
2022-02-05,291163
2022-02-06,291371
2022-02-07,291712
2022-02-08,292243
2022-02-09,292482
2022-02-10,293063
2022-02-11,293602
2022-02-12,293760
2022-02-13,294426
2022-02-14,294640
2022-02-15,295348
2022-02-16,295773
2022-02-17,295973
2022-02-18,296404
2022-02-19,296610
2022-02-20,296846
2022-02-21,296926
2022-02-22,297431
2022-02-23,299092
2022-02-24,299448
2022-02-25,299894
2022-02-26,300343
2022-02-27,300828
2022-02-28,301570
2022-03-01,302873
2022-03-02,303630
2022-03-03,304978
2022-03-04,305926
2022-03-05,306673
2022-03-06,307090
2022-03-07,308926
2022-03-08,310255
2022-03-09,312000
2022-03-10,313264
2022-03-11,314303
2022-03-12,315021
2022-03-13,315290
2022-03-14,316517
2022-03-15,322837
2022-03-16,324839
2022-03-17,326375
2022-03-18,327962
2022-03-19,331510
2022-03-20,331935
2022-03-21,332211
2022-03-22,333024
2022-03-23,334162
2022-03-24,334808
2022-03-25,335521
2022-03-26,335922
2022-03-27,336186
2022-03-28,336562
2022-03-29,337296
2022-03-30,339352
2022-03-31,343142
2022-04-01,344434
2022-04-02,345245
2022-04-03,346503
2022-04-04,347006
2022-04-05,349111
2022-04-06,350124
2022-04-07,351646
2022-04-08,352900
2022-04-09,353488
2022-04-10,354417
2022-04-11,354943
2022-04-12,355830
2022-04-13,358062
2022-04-14,358798
2022-04-15,361027
2022-04-16,362146
2022-04-17,362216
2022-04-18,362337
2022-04-19,364507
2022-04-20,366012
2022-04-21,367637
2022-04-22,369005
2022-04-23,369423
2022-04-24,369637
2022-04-25,370117
2022-04-26,372061
2022-04-27,374219
2022-04-28,375648
2022-04-29,376656
2022-04-30,377233
2022-05-01,378941
2022-05-02,382741
2022-05-03,384641
2022-05-04,385778
2022-05-05,386460
2022-05-06,388166
2022-05-07,388756
2022-05-08,388957
2022-05-09,391024
2022-05-10,391553
2022-05-11,392162
2022-05-12,392529
2022-05-13,392974
2022-05-14,393144
2022-05-15,393282
2022-05-16,393433
2022-05-17,393684
2022-05-18,393955
2022-05-19,394781
2022-05-20,395057
2022-05-21,395338
2022-05-22,395389
2022-05-23,395500
2022-05-24,395733
2022-05-25,396117
2022-05-26,396246
2022-05-27,396630
2022-05-28,396744
2022-05-29,397087
2022-05-30,397248
2022-05-31,397898
2022-06-01,398744
2022-06-02,399076
2022-06-03,399282
2022-06-04,399475
2022-06-05,399656
2022-06-06,399883
2022-06-07,400021
2022-06-08,400096
2022-06-09,400251
2022-06-10,400471
2022-06-11,401458
2022-06-12,402022
2022-06-13,402210
2022-06-14,402360
2022-06-15,402661
2022-06-16,402928
2022-06-17,403335
2022-06-18,403545
2022-06-19,403592
2022-06-20,403910
2022-06-21,404302
2022-06-22,404592
2022-06-23,404676
2022-06-24,404822
2022-06-25,404895
2022-06-26,405058
2022-06-27,405310
2022-06-28,405385
2022-06-29,405500
2022-06-30,405584
2022-07-01,405708
2022-07-02,405917
2022-07-03,405961
2022-07-04,406024
2022-07-05,406091
2022-07-06,406258
2022-07-07,406366
2022-07-08,406480
2022-07-09,406564
2022-07-10,406746
2022-07-11,406819
2022-07-12,406910
2022-07-13,408883
2022-07-14,409084
2022-07-15,409314
2022-07-16,409414
2022-07-17,409548
2022-07-18,409863
2022-07-19,410007
2022-07-20,410350
2022-07-21,410738
2022-07-22,410808
2022-07-23,410845
2022-07-24,410885
2022-07-25,410944
2022-07-26,411205
2022-07-27,411305
2022-07-28,411598
2022-07-29,411792
2022-07-30,411892
2022-07-31,412040
2022-08-01,412099
2022-08-02,412272
2022-08-03,412340
2022-08-04,412511
2022-08-05,412623
2022-08-06,412690
2022-08-07,412824
2022-08-08,412991
