date,Active Sending Addresses
2009-01-03,0
2009-01-04,0
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,0
2009-01-10,0
2009-01-11,0
2009-01-12,3
2009-01-13,0
2009-01-14,3
2009-01-15,11
2009-01-16,4
2009-01-17,0
2009-01-18,3
2009-01-19,16
2009-01-20,8
2009-01-21,2
2009-01-22,10
2009-01-23,9
2009-01-24,10
2009-01-25,1
2009-01-26,20
2009-01-27,3
2009-01-28,0
2009-01-29,12
2009-01-30,0
2009-01-31,20
2009-02-01,2
2009-02-02,1
2009-02-03,5
2009-02-04,0
2009-02-05,0
2009-02-06,0
2009-02-07,23
2009-02-08,1
2009-02-09,44
2009-02-10,0
2009-02-11,14
2009-02-12,0
2009-02-13,0
2009-02-14,0
2009-02-15,13
2009-02-16,30
2009-02-17,0
2009-02-18,0
2009-02-19,16
2009-02-20,0
2009-02-21,0
2009-02-22,11
2009-02-23,0
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,36
2009-02-28,7
2009-03-01,0
2009-03-02,0
2009-03-03,8
2009-03-04,25
2009-03-05,8
2009-03-06,0
2009-03-07,0
2009-03-08,26
2009-03-09,0
2009-03-10,0
2009-03-11,0
2009-03-12,3
2009-03-13,13
2009-03-14,0
2009-03-15,0
2009-03-16,48
2009-03-17,0
2009-03-18,14
2009-03-19,0
2009-03-20,12
2009-03-21,0
2009-03-22,11
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,28
2009-03-27,0
2009-03-28,20
2009-03-29,0
2009-03-30,0
2009-03-31,32
2009-04-01,0
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,17
2009-04-06,0
2009-04-07,0
2009-04-08,0
2009-04-09,0
2009-04-10,0
2009-04-11,7
2009-04-12,8
2009-04-13,1
2009-04-14,0
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-18,4
2009-04-19,8
2009-04-20,115
2009-04-21,1
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,15
2009-04-27,0
2009-04-28,0
2009-04-29,20
2009-04-30,0
2009-05-01,0
2009-05-02,14
2009-05-03,3
2009-05-04,30
2009-05-05,10
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,2
2009-05-12,0
2009-05-13,4
2009-05-14,3
2009-05-15,10
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,60
2009-05-30,0
2009-05-31,0
2009-06-01,1
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,60
2009-06-23,0
2009-06-24,3
2009-06-25,20
2009-06-26,0
2009-06-27,0
2009-06-28,1
2009-06-29,1
2009-06-30,3
2009-07-01,2
2009-07-02,1
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,121
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,2
2009-07-30,1
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,111
2009-08-08,0
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,46
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,1
2009-08-31,6
2009-09-01,0
2009-09-02,0
2009-09-03,14
2009-09-04,0
2009-09-05,0
2009-09-06,0
2009-09-07,13
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,1
2009-09-17,101
2009-09-18,0
2009-09-19,0
2009-09-20,0
2009-09-21,8
2009-09-22,40
2009-09-23,0
2009-09-24,0
2009-09-25,26
2009-09-26,0
2009-09-27,16
2009-09-28,0
2009-09-29,43
2009-09-30,0
2009-10-01,0
2009-10-02,10
2009-10-03,0
2009-10-04,0
2009-10-05,0
2009-10-06,15
2009-10-07,0
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,73
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,80
2009-10-17,0
2009-10-18,7
2009-10-19,0
2009-10-20,101
2009-10-21,18
2009-10-22,39
2009-10-23,0
2009-10-24,7
2009-10-25,0
2009-10-26,0
2009-10-27,16
2009-10-28,0
2009-10-29,41
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,41
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,51
2009-11-12,0
2009-11-13,12
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,82
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,165
2009-12-02,0
2009-12-03,0
2009-12-04,0
2009-12-05,18
2009-12-06,3
2009-12-07,0
2009-12-08,30
2009-12-09,17
2009-12-10,0
2009-12-11,0
2009-12-12,67
2009-12-13,0
2009-12-14,331
2009-12-15,7
2009-12-16,17
2009-12-17,7
2009-12-18,0
2009-12-19,1
2009-12-20,0
2009-12-21,1
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,1
2009-12-26,0
2009-12-27,5
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,2
2010-01-02,0
2010-01-03,0
2010-01-04,82
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,215
2010-01-13,2
2010-01-14,9
2010-01-15,5
2010-01-16,6
2010-01-17,0
2010-01-18,1
2010-01-19,0
2010-01-20,0
2010-01-21,12
2010-01-22,5
2010-01-23,2
2010-01-24,1
2010-01-25,58
2010-01-26,17
2010-01-27,20
2010-01-28,21
2010-01-29,19
2010-01-30,34
2010-01-31,18
2010-02-01,17
2010-02-02,21
2010-02-03,6
2010-02-04,41
2010-02-05,245
2010-02-06,30
2010-02-07,10
2010-02-08,124
2010-02-09,418
2010-02-10,606
2010-02-11,74
2010-02-12,39
2010-02-13,85
2010-02-14,54
2010-02-15,91
2010-02-16,16
2010-02-17,26
2010-02-18,58
2010-02-19,4
2010-02-20,13
2010-02-21,126
2010-02-22,267
2010-02-23,1
2010-02-24,107
2010-02-25,143
2010-02-26,20
2010-02-27,10
2010-02-28,106
2010-03-01,32
2010-03-02,40
2010-03-03,106
2010-03-04,387
2010-03-05,2
2010-03-06,92
2010-03-07,115
2010-03-08,181
2010-03-09,81
2010-03-10,42
2010-03-11,64
2010-03-12,7
2010-03-13,36
2010-03-14,8
2010-03-15,5
2010-03-16,25
2010-03-17,25
2010-03-18,81
2010-03-19,127
2010-03-20,70
2010-03-21,9
2010-03-22,40
2010-03-23,77
2010-03-24,31
2010-03-25,344
2010-03-26,76
2010-03-27,23
2010-03-28,18
2010-03-29,68
2010-03-30,11
2010-03-31,25
2010-04-01,28
2010-04-02,20
2010-04-03,25
2010-04-04,69
2010-04-05,140
2010-04-06,99
2010-04-07,103
2010-04-08,25
2010-04-09,109
2010-04-10,282
2010-04-11,166
2010-04-12,142
2010-04-13,38
2010-04-14,108
2010-04-15,689
2010-04-16,217
2010-04-17,74
2010-04-18,3202
2010-04-19,296
2010-04-20,207
2010-04-21,148
2010-04-22,55
2010-04-23,74
2010-04-24,104
2010-04-25,169
2010-04-26,92
2010-04-27,76
2010-04-28,128
2010-04-29,51
2010-04-30,43
2010-05-01,66
2010-05-02,41
2010-05-03,111
2010-05-04,179
2010-05-05,144
2010-05-06,279
2010-05-07,91
2010-05-08,278
2010-05-09,94
2010-05-10,151
2010-05-11,38
2010-05-12,122
2010-05-13,109
2010-05-14,106
2010-05-15,58
2010-05-16,46
2010-05-17,133
2010-05-18,128
2010-05-19,125
2010-05-20,75
2010-05-21,144
2010-05-22,137
2010-05-23,180
2010-05-24,112
2010-05-25,117
2010-05-26,153
2010-05-27,170
2010-05-28,100
2010-05-29,144
2010-05-30,80
2010-05-31,95
2010-06-01,102
2010-06-02,75
2010-06-03,205
2010-06-04,65
2010-06-05,87
2010-06-06,87
2010-06-07,287
2010-06-08,130
2010-06-09,154
2010-06-10,89
2010-06-11,144
2010-06-12,114
2010-06-13,138
2010-06-14,214
2010-06-15,130
2010-06-16,116
2010-06-17,85
2010-06-18,99
2010-06-19,193
2010-06-20,94
2010-06-21,146
2010-06-22,153
2010-06-23,126
2010-06-24,148
2010-06-25,61
2010-06-26,59
2010-06-27,110
2010-06-28,110
2010-06-29,209
2010-06-30,240
2010-07-01,171
2010-07-02,184
2010-07-03,136
2010-07-04,249
2010-07-05,178
2010-07-06,81
2010-07-07,186
2010-07-08,111
2010-07-09,115
2010-07-10,185
2010-07-11,265
2010-07-12,1740
2010-07-13,876
2010-07-14,5692
2010-07-15,1042
2010-07-16,832
2010-07-17,457
2010-07-18,564
2010-07-19,521
2010-07-20,541
2010-07-21,453
2010-07-22,261
2010-07-23,296
2010-07-24,650
2010-07-25,1784
2010-07-26,838
2010-07-27,435
2010-07-28,351
2010-07-29,219
2010-07-30,291
2010-07-31,200
2010-08-01,286
2010-08-02,291
2010-08-03,629
2010-08-04,339
2010-08-05,500
2010-08-06,365
2010-08-07,280
2010-08-08,313
2010-08-09,435
2010-08-10,282
2010-08-11,371
2010-08-12,238
