Datetime,Tokens Transferred (Total)
2026-04-10T00:00:00Z,782286.520913
2026-04-09T00:00:00Z,710387.793337
2026-04-08T00:00:00Z,768499.799841
2026-04-07T00:00:00Z,841486.286109
2026-04-06T00:00:00Z,601831.470057
2026-04-05T00:00:00Z,459975.223845
2026-04-04T00:00:00Z,433491.453841
2026-04-03T00:00:00Z,640381.543353
2026-04-02T00:00:00Z,871051.099427
2026-04-01T00:00:00Z,659610.70327
2026-03-31T00:00:00Z,764041.220781
2026-03-30T00:00:00Z,826187.045312
2026-03-29T00:00:00Z,474928.650134
2026-03-28T00:00:00Z,492608.34429
2026-03-27T00:00:00Z,831265.252333
2026-03-26T00:00:00Z,754281.121963
2026-03-25T00:00:00Z,691002.610351
2026-03-24T00:00:00Z,709496.525291
2026-03-23T00:00:00Z,698706.617939
2026-03-22T00:00:00Z,482220.941536
2026-03-21T00:00:00Z,387855.284778
2026-03-20T00:00:00Z,654184.813197
2026-03-19T00:00:00Z,637787.501778
2026-03-18T00:00:00Z,769566.58395
2026-03-17T00:00:00Z,807735.308324
2026-03-16T00:00:00Z,943522.745232
2026-03-15T00:00:00Z,511763.043642
2026-03-14T00:00:00Z,540491.379625
2026-03-13T00:00:00Z,761061.45759
2026-03-12T00:00:00Z,714820.071577
2026-03-11T00:00:00Z,714473.695689
2026-03-10T00:00:00Z,818687.101658
2026-03-09T00:00:00Z,725335.619722
2026-03-08T00:00:00Z,469629.741062
2026-03-07T00:00:00Z,479458.541804
2026-03-06T00:00:00Z,837503.034776
2026-03-05T00:00:00Z,832791.823492
2026-03-04T00:00:00Z,970251.255612
2026-03-03T00:00:00Z,810957.30719879
2026-03-02T00:00:00Z,838257.93217279
2026-03-01T00:00:00Z,570797.4602881
2026-02-28T00:00:00Z,560508.37000978
2026-02-27T00:00:00Z,802541.61180622
2026-02-26T00:00:00Z,997239.39195908
2026-02-25T00:00:00Z,1061502.70451692
2026-02-24T00:00:00Z,988567.4507824
2026-02-23T00:00:00Z,753426.82672054
2026-02-22T00:00:00Z,515870.75326853
2026-02-21T00:00:00Z,524976.23084016
2026-02-20T00:00:00Z,929864.53081908
2026-02-19T00:00:00Z,738528.70448794
2026-02-18T00:00:00Z,741714.25165363
2026-02-17T00:00:00Z,764904.47937434
2026-02-16T00:00:00Z,632645.64491438
2026-02-15T00:00:00Z,527096.98203274
2026-02-14T00:00:00Z,632515.15393616
2026-02-13T00:00:00Z,796377.55803892
2026-02-12T00:00:00Z,895259.38716481
2026-02-11T00:00:00Z,936953.78966746
2026-02-10T00:00:00Z,950780.16143747
2026-02-09T00:00:00Z,1102800.9575977
2026-02-08T00:00:00Z,857473.5760447
2026-02-07T00:00:00Z,1102446.36113297
2026-02-06T00:00:00Z,1734174.34763349
2026-02-05T00:00:00Z,1898413.4137485
2026-02-04T00:00:00Z,1165557.68474913
2026-02-03T00:00:00Z,1187163.98644245
2026-02-02T00:00:00Z,1193158.73343122
2026-02-01T00:00:00Z,809294.60170595
2026-01-31T00:00:00Z,915109.09493448
2026-01-30T00:00:00Z,975660.68513921
2026-01-29T00:00:00Z,802919.55679682
2026-01-28T00:00:00Z,731386.00330981
2026-01-27T00:00:00Z,712873.56858293
2026-01-26T00:00:00Z,731456.92012915
2026-01-25T00:00:00Z,574446.18548109
2026-01-24T00:00:00Z,414706.55932441
2026-01-23T00:00:00Z,914376.15027684
2026-01-22T00:00:00Z,772338.42165247
2026-01-21T00:00:00Z,801052.68589476
2026-01-20T00:00:00Z,855127.16656637
2026-01-19T00:00:00Z,564494.85909679
2026-01-18T00:00:00Z,471756.7862125
2026-01-17T00:00:00Z,546920.87419106
2026-01-16T00:00:00Z,788770.75209229
2026-01-15T00:00:00Z,1033043.26034887
2026-01-14T00:00:00Z,1068436.2305286
2026-01-13T00:00:00Z,1006158.67623216
2026-01-12T00:00:00Z,624774.88106028
2026-01-11T00:00:00Z,480834.51750636
2026-01-10T00:00:00Z,512407.77532848
2026-01-09T00:00:00Z,745667.45714635
2026-01-08T00:00:00Z,651949.95142842
2026-01-07T00:00:00Z,801738.33205096
2026-01-06T00:00:00Z,757856.98702622
2026-01-05T00:00:00Z,847291.38498379
2026-01-04T00:00:00Z,658016.91199182
2026-01-03T00:00:00Z,610374.15533595
2026-01-02T00:00:00Z,814353.99856238
2026-01-01T00:00:00Z,604080.33228462
2025-12-31T00:00:00Z,974349.92157859
2025-12-30T00:00:00Z,858458.67878817
2025-12-29T00:00:00Z,1035687.64379704
2025-12-28T00:00:00Z,513496.61783111
2025-12-27T00:00:00Z,460709.18021594
