Datetime,Tokens Transferred (Mean)
2026-04-10T00:00:00Z,1.74473431
2026-04-09T00:00:00Z,1.2122369
2026-04-08T00:00:00Z,1.37618915
2026-04-07T00:00:00Z,1.56165393
2026-04-06T00:00:00Z,1.29389115
2026-04-05T00:00:00Z,0.63389163
2026-04-04T00:00:00Z,1.00055269
2026-04-03T00:00:00Z,1.39545558
2026-04-02T00:00:00Z,1.71379375
2026-04-01T00:00:00Z,0.9653918
2026-03-31T00:00:00Z,1.45916882
2026-03-30T00:00:00Z,1.55116376
2026-03-29T00:00:00Z,0.74814534
2026-03-28T00:00:00Z,0.64551039
2026-03-27T00:00:00Z,1.25104447
2026-03-26T00:00:00Z,1.19947637
2026-03-25T00:00:00Z,1.34262078
2026-03-24T00:00:00Z,1.85431113
2026-03-23T00:00:00Z,1.29207549
2026-03-22T00:00:00Z,0.76572055
2026-03-21T00:00:00Z,0.79462259
2026-03-20T00:00:00Z,1.54588569
2026-03-19T00:00:00Z,1.44153292
2026-03-18T00:00:00Z,1.74525869
2026-03-17T00:00:00Z,2.16686959
2026-03-16T00:00:00Z,2.3283118
2026-03-15T00:00:00Z,1.25714977
2026-03-14T00:00:00Z,1.23029366
2026-03-13T00:00:00Z,1.90391022
2026-03-12T00:00:00Z,1.59148458
2026-03-11T00:00:00Z,1.77823995
2026-03-10T00:00:00Z,2.14786614
2026-03-09T00:00:00Z,1.74595396
2026-03-08T00:00:00Z,1.0358002
2026-03-07T00:00:00Z,1.09568485
2026-03-06T00:00:00Z,1.89267933
2026-03-05T00:00:00Z,1.79346873
2026-03-04T00:00:00Z,2.56896346
2026-03-03T00:00:00Z,2.12820641
2026-03-02T00:00:00Z,1.98531116
2026-03-01T00:00:00Z,1.23405528
2026-02-28T00:00:00Z,1.31956976
2026-02-27T00:00:00Z,1.93211725
2026-02-26T00:00:00Z,2.34441013
2026-02-25T00:00:00Z,2.18765048
2026-02-24T00:00:00Z,1.74440356
2026-02-23T00:00:00Z,1.66127589
2026-02-22T00:00:00Z,0.97457121
2026-02-21T00:00:00Z,1.49722852
2026-02-20T00:00:00Z,2.24928226
