feature,coefficient,standard_error_driscoll_kraay,ci_low,ci_high,pvalue,within_r_squared,entities,periods,n,sample_start,sample_end,method
log_fees_lag1,-0.00283895913381,0.00185647637014,-0.00650321898079,0.000825300713175,0.128036528919,0.00464734653493,4,59,236,2021-06-30,2026-04-30,two-way fixed effects with Driscoll-Kraay covariance
log_revenue_lag1,-8.88949213237e-05,0.00155812455786,-0.00316427651292,0.00298648667028,0.954569205039,-9.0727605806e-07,4,59,236,2021-06-30,2026-04-30,two-way fixed effects with Driscoll-Kraay covariance
