Datetime,Exchange Inflow (Total)
2026-04-09T00:00:00Z,2552108.229956
2026-04-08T00:00:00Z,3151287591.3128095
2026-04-07T00:00:00Z,3860200675.047976
2026-04-06T00:00:00Z,2317120384.97305
2026-04-05T00:00:00Z,989386986.4872173
2026-04-04T00:00:00Z,1203816613.4485636
2026-04-03T00:00:00Z,2457172856.9450927
2026-04-02T00:00:00Z,3416003596.1670146
2026-04-01T00:00:00Z,2745876628.434756
2026-03-31T00:00:00Z,2788590019.514313
2026-03-30T00:00:00Z,2760863013.557502
2026-03-29T00:00:00Z,1154649909.913988
2026-03-28T00:00:00Z,1656700409.6739042
2026-03-27T00:00:00Z,3262254582.0380597
2026-03-26T00:00:00Z,2915150873.588993
2026-03-25T00:00:00Z,2652155184.4544363
2026-03-24T00:00:00Z,2835100144.9746575
2026-03-23T00:00:00Z,2262591676.4863877
2026-03-22T00:00:00Z,1092823873.4725463
2026-03-21T00:00:00Z,2867473309.729831
2026-03-20T00:00:00Z,3723202406.177162
2026-03-19T00:00:00Z,2571588178.9106965
2026-03-18T00:00:00Z,4678429721.078318
2026-03-17T00:00:00Z,5378035672.155062
2026-03-16T00:00:00Z,3236183025.207664
2026-03-15T00:00:00Z,1397937595.2971876
2026-03-14T00:00:00Z,1345785585.5252397
2026-03-13T00:00:00Z,2733854379.0470476
2026-03-12T00:00:00Z,2691081941.9298487
2026-03-11T00:00:00Z,3087845973.8468738
2026-03-10T00:00:00Z,3508231459.1243024
2026-03-09T00:00:00Z,2845991335.859923
2026-03-08T00:00:00Z,1332086118.2095428
2026-03-07T00:00:00Z,1625052679.5591953
2026-03-06T00:00:00Z,3665801991.5234365
2026-03-05T00:00:00Z,5914915987.249247
2026-03-04T00:00:00Z,3340592078.239356
2026-03-03T00:00:00Z,3152817916.654331
2026-03-02T00:00:00Z,3007285900.21479
2026-03-01T00:00:00Z,1480434633.8767552
2026-02-28T00:00:00Z,2668196707.3989387
2026-02-27T00:00:00Z,2631602190.1631055
2026-02-26T00:00:00Z,2961848665.055753
2026-02-25T00:00:00Z,3000023351.495642
2026-02-24T00:00:00Z,3071400696.431757
2026-02-23T00:00:00Z,3019884110.805958
2026-02-22T00:00:00Z,1642387781.9805934
2026-02-21T00:00:00Z,2171921904.666564
2026-02-20T00:00:00Z,4927097151.151968
2026-02-19T00:00:00Z,2124180323.3548696
2026-02-18T00:00:00Z,2489764799.40784
2026-02-17T00:00:00Z,1586020548.820463
2026-02-16T00:00:00Z,1825474900.2701697
2026-02-15T00:00:00Z,1742291708.6616015
2026-02-14T00:00:00Z,1774355472.984411
2026-02-13T00:00:00Z,3011947415.5578585
2026-02-12T00:00:00Z,2985760754.8026133
2026-02-11T00:00:00Z,3154891528.4540963
2026-02-10T00:00:00Z,3540649354.070527
2026-02-09T00:00:00Z,4115617236.107906
2026-02-08T00:00:00Z,1492906184.821043
2026-02-07T00:00:00Z,4068373436.243011
2026-02-06T00:00:00Z,9227128255.347954
2026-02-05T00:00:00Z,5661618508.774834
2026-02-04T00:00:00Z,5471550340.428236
2026-02-03T00:00:00Z,4578710124.818087
2026-02-02T00:00:00Z,4089330413.081402
2026-02-01T00:00:00Z,1910269477.2282593
2026-01-31T00:00:00Z,3142138076.9045186
2026-01-30T00:00:00Z,3640426798.189334
2026-01-29T00:00:00Z,3672490055.446486
2026-01-28T00:00:00Z,3312384482.2816725
2026-01-27T00:00:00Z,2771210015.891503
2026-01-26T00:00:00Z,3013130136.590807
2026-01-25T00:00:00Z,1439036007.4213557
2026-01-24T00:00:00Z,1688661760.5276697
2026-01-23T00:00:00Z,3098923344.890565
2026-01-22T00:00:00Z,5610903919.73348
2026-01-21T00:00:00Z,3760094409.4096193
2026-01-20T00:00:00Z,5837911223.044207
2026-01-19T00:00:00Z,3017980989.447122
2026-01-18T00:00:00Z,1178953803.5477867
2026-01-17T00:00:00Z,1459596367.0540729
2026-01-16T00:00:00Z,3025520831.500492
2026-01-15T00:00:00Z,3538473838.064985
2026-01-14T00:00:00Z,3637302313.0557795
2026-01-13T00:00:00Z,3372959563.8283668
2026-01-12T00:00:00Z,3153558851.4046125
2026-01-11T00:00:00Z,1133129362.7942953
2026-01-10T00:00:00Z,1896708992.552576
2026-01-09T00:00:00Z,4286740265.443518
2026-01-08T00:00:00Z,5089221102.9538355
2026-01-07T00:00:00Z,2690014063.5828648
2026-01-06T00:00:00Z,3316946406.37855
2026-01-05T00:00:00Z,3014064588.654304
