Datetime,Staking Inflow Total
2026-04-06T00:00:00Z,26267.431169074
2026-04-05T00:00:00Z,28974.440572562
2026-04-04T00:00:00Z,28196.82529052
2026-04-03T00:00:00Z,77640.914122314
2026-04-02T00:00:00Z,36045.258632593
2026-04-01T00:00:00Z,37251.152724326
2026-03-31T00:00:00Z,57888.077429683
2026-03-30T00:00:00Z,226132.617348776
2026-03-29T00:00:00Z,24865.409013188
2026-03-28T00:00:00Z,6060.989400358
2026-03-27T00:00:00Z,82797.66291191
2026-03-26T00:00:00Z,28694.627141066
2026-03-25T00:00:00Z,20871.608147975
2026-03-24T00:00:00Z,13430.540794657
2026-03-23T00:00:00Z,20075.850054356
2026-03-22T00:00:00Z,7687.802630097
2026-03-21T00:00:00Z,9951.533854085
2026-03-20T00:00:00Z,125723.242608498
2026-03-19T00:00:00Z,36283.888894499
2026-03-18T00:00:00Z,48194.832731746
2026-03-17T00:00:00Z,55008.028765927
2026-03-16T00:00:00Z,67175.554591075
2026-03-15T00:00:00Z,7009.308356242
2026-03-14T00:00:00Z,9143.562683591
2026-03-13T00:00:00Z,88004.245946313
2026-03-12T00:00:00Z,19405.668635874
2026-03-11T00:00:00Z,19526.214374885
2026-03-10T00:00:00Z,27232.889354948
2026-03-09T00:00:00Z,58627.91807014
2026-03-08T00:00:00Z,7776.723223557
2026-03-07T00:00:00Z,18881.404534112
2026-03-06T00:00:00Z,60847.641953512
2026-03-05T00:00:00Z,11444.911563774
2026-03-04T00:00:00Z,31584.470995159
2026-03-03T00:00:00Z,24270.610997315
2026-03-02T00:00:00Z,17667.557449949
2026-03-01T00:00:00Z,7126.047701
2026-02-28T00:00:00Z,9711.429239
2026-02-27T00:00:00Z,18511.006981538
2026-02-26T00:00:00Z,11580.012512366
2026-02-25T00:00:00Z,26051.858155662
2026-02-24T00:00:00Z,39092.829148592
2026-02-23T00:00:00Z,41285.284364851
2026-02-22T00:00:00Z,9330.101855267
2026-02-21T00:00:00Z,12251.43991397
2026-02-20T00:00:00Z,33791.693350971
2026-02-19T00:00:00Z,15403.728394802
2026-02-18T00:00:00Z,20725.394899121
2026-02-17T00:00:00Z,12267.679241585
2026-02-16T00:00:00Z,18828.744544379
2026-02-15T00:00:00Z,13313.299238195
2026-02-14T00:00:00Z,12873.803755951
2026-02-13T00:00:00Z,28341.63764315
2026-02-12T00:00:00Z,31043.588353662
2026-02-11T00:00:00Z,105528.838659861
2026-02-10T00:00:00Z,163310.935495673
2026-02-09T00:00:00Z,37279.431235886
2026-02-08T00:00:00Z,14249.409037759
2026-02-07T00:00:00Z,16647.677744308
2026-02-06T00:00:00Z,82102.281085066
2026-02-05T00:00:00Z,57518.946056265
2026-02-04T00:00:00Z,21434.395236662
2026-02-03T00:00:00Z,53584.095809183
2026-02-02T00:00:00Z,48664.340848664
2026-02-01T00:00:00Z,109330.506869224
2026-01-31T00:00:00Z,49545.108996115
2026-01-30T00:00:00Z,41268.555001084
2026-01-29T00:00:00Z,551865.511331794
2026-01-28T00:00:00Z,276787.481571385
2026-01-27T00:00:00Z,85928.369845492
2026-01-26T00:00:00Z,249630.298013817
2026-01-25T00:00:00Z,95196.859932098
2026-01-24T00:00:00Z,20550.220320259
2026-01-23T00:00:00Z,134261.292014221
2026-01-22T00:00:00Z,293647.468635838
2026-01-21T00:00:00Z,87436.335456258
2026-01-20T00:00:00Z,103115.117890866
2026-01-19T00:00:00Z,220822.763914466
2026-01-18T00:00:00Z,29679.439828309
2026-01-17T00:00:00Z,85220.44815144
2026-01-16T00:00:00Z,85522.58914813
2026-01-15T00:00:00Z,48674.305652591
2026-01-14T00:00:00Z,364188.886001037
2026-01-13T00:00:00Z,141310.325489573
2026-01-12T00:00:00Z,349993.014400713
2026-01-11T00:00:00Z,106102.682656425
2026-01-10T00:00:00Z,123021.73078508
2026-01-09T00:00:00Z,40277.990288108
2026-01-08T00:00:00Z,384930.414933458
2026-01-07T00:00:00Z,87094.630129627
2026-01-06T00:00:00Z,185613.592924001
2026-01-05T00:00:00Z,261491.248334894
2026-01-04T00:00:00Z,143469.276675688
2026-01-03T00:00:00Z,73349.812246212
2026-01-02T00:00:00Z,139561.436444908
2026-01-01T00:00:00Z,62127.948184024
2025-12-31T00:00:00Z,69118.236082327
2025-12-30T00:00:00Z,152953.624529412
2025-12-29T00:00:00Z,191362.441251713
2025-12-28T00:00:00Z,82833.627888639
2025-12-27T00:00:00Z,222201.557205357
2025-12-26T00:00:00Z,90911.25859758
2025-12-25T00:00:00Z,35221.392066919
2025-12-24T00:00:00Z,82613.343108991
2025-12-23T00:00:00Z,39971.976897858
2025-12-22T00:00:00Z,35449.563448508
2025-12-21T00:00:00Z,22190.808242331
2025-12-20T00:00:00Z,22787.083614512
2025-12-19T00:00:00Z,113492.432292062
2025-12-18T00:00:00Z,96281.513219843
2025-12-17T00:00:00Z,19890.322308746
2025-12-16T00:00:00Z,22870.940902572
2025-12-15T00:00:00Z,119346.614121365
2025-12-14T00:00:00Z,9794.507697548
2025-12-13T00:00:00Z,21883.117181509
2025-12-12T00:00:00Z,34537.949092579
2025-12-11T00:00:00Z,73792.122561085
2025-12-10T00:00:00Z,54083.761047318
2025-12-09T00:00:00Z,71915.408366043
2025-12-08T00:00:00Z,36818.19670273
2025-12-07T00:00:00Z,21890.794571669
2025-12-06T00:00:00Z,45097.995778356
2025-12-05T00:00:00Z,67210.443558817
2025-12-04T00:00:00Z,15352.302641847
2025-12-03T00:00:00Z,18456.056878217
2025-12-02T00:00:00Z,64032.176582742
2025-12-01T00:00:00Z,38534.977269585
2025-11-30T00:00:00Z,8606.554
2025-11-29T00:00:00Z,17129.778562569
2025-11-28T00:00:00Z,18181.571831301
2025-11-27T00:00:00Z,30554.410703513
2025-11-26T00:00:00Z,15517.389901328
2025-11-25T00:00:00Z,29696.95235248
