Datetime,Number of ETH 2.0 Deposits
2026-04-06T00:00:00Z,735
2026-04-05T00:00:00Z,880
2026-04-04T00:00:00Z,805
2026-04-03T00:00:00Z,918
2026-04-02T00:00:00Z,958
2026-04-01T00:00:00Z,850
2026-03-31T00:00:00Z,909
2026-03-30T00:00:00Z,481
2026-03-29T00:00:00Z,766
2026-03-28T00:00:00Z,155
2026-03-27T00:00:00Z,983
2026-03-26T00:00:00Z,529
2026-03-25T00:00:00Z,362
2026-03-24T00:00:00Z,345
2026-03-23T00:00:00Z,562
2026-03-22T00:00:00Z,159
2026-03-21T00:00:00Z,191
2026-03-20T00:00:00Z,702
2026-03-19T00:00:00Z,1005
2026-03-18T00:00:00Z,715
2026-03-17T00:00:00Z,975
2026-03-16T00:00:00Z,723
2026-03-15T00:00:00Z,203
2026-03-14T00:00:00Z,201
2026-03-13T00:00:00Z,382
2026-03-12T00:00:00Z,375
2026-03-11T00:00:00Z,318
2026-03-10T00:00:00Z,462
2026-03-09T00:00:00Z,619
2026-03-08T00:00:00Z,205
2026-03-07T00:00:00Z,539
2026-03-06T00:00:00Z,321
2026-03-05T00:00:00Z,274
2026-03-04T00:00:00Z,677
2026-03-03T00:00:00Z,334
2026-03-02T00:00:00Z,365
2026-03-01T00:00:00Z,217
2026-02-28T00:00:00Z,313
2026-02-27T00:00:00Z,333
2026-02-26T00:00:00Z,327
2026-02-25T00:00:00Z,687
2026-02-24T00:00:00Z,710
2026-02-23T00:00:00Z,943
2026-02-22T00:00:00Z,234
2026-02-21T00:00:00Z,395
2026-02-20T00:00:00Z,925
2026-02-19T00:00:00Z,470
2026-02-18T00:00:00Z,1460
2026-02-17T00:00:00Z,291
2026-02-16T00:00:00Z,474
2026-02-15T00:00:00Z,399
2026-02-14T00:00:00Z,379
2026-02-13T00:00:00Z,498
2026-02-12T00:00:00Z,628
2026-02-11T00:00:00Z,1388
2026-02-10T00:00:00Z,563
2026-02-09T00:00:00Z,1058
2026-02-08T00:00:00Z,440
2026-02-07T00:00:00Z,492
2026-02-06T00:00:00Z,2443
2026-02-05T00:00:00Z,1561
2026-02-04T00:00:00Z,627
2026-02-03T00:00:00Z,1381
2026-02-02T00:00:00Z,1472
2026-02-01T00:00:00Z,684
2026-01-31T00:00:00Z,1511
2026-01-30T00:00:00Z,978
2026-01-29T00:00:00Z,2917
2026-01-28T00:00:00Z,1447
2026-01-27T00:00:00Z,1664
2026-01-26T00:00:00Z,986
2026-01-25T00:00:00Z,1730
2026-01-24T00:00:00Z,537
2026-01-23T00:00:00Z,3857
2026-01-22T00:00:00Z,3721
2026-01-21T00:00:00Z,2346
2026-01-20T00:00:00Z,3110
2026-01-19T00:00:00Z,3798
2026-01-18T00:00:00Z,829
2026-01-17T00:00:00Z,1473
2026-01-16T00:00:00Z,677
2026-01-15T00:00:00Z,1068
2026-01-14T00:00:00Z,2594
2026-01-13T00:00:00Z,1443
2026-01-12T00:00:00Z,2092
2026-01-11T00:00:00Z,711
2026-01-10T00:00:00Z,1096
2026-01-09T00:00:00Z,1015
2026-01-08T00:00:00Z,1692
2026-01-07T00:00:00Z,1066
2026-01-06T00:00:00Z,3963
2026-01-05T00:00:00Z,1342
2026-01-04T00:00:00Z,646
