leverage_state,state_min,state_max,expected_shortfall_5pct,ci_low,ci_high,tail_observations,n,bootstrap_reps,block_length,sample_start,sample_end
1,0,0.514563106796116,-0.0996212788885006,-0.144492995812658,-0.0696439328383159,23,453,2000,10,2020-03-04,2024-09-09
2,0.514723926380368,0.700527704485488,-0.0670239350592257,-0.0842827097455024,-0.051081451957027,23,452,2000,10,2020-02-21,2026-03-27
3,0.701304543409807,0.811382878645343,-0.0586747890865597,-0.0660786988629005,-0.0505123877996304,23,453,2000,10,2020-02-14,2026-04-09
4,0.811579481970543,0.937677053824363,-0.0543555432493687,-0.0685699331422362,-0.0414857362037864,23,452,2000,10,2020-02-01,2026-04-12
5,0.937899543378995,1,-0.0896239488265717,-0.107764753989406,-0.0707672463145272,23,453,2000,10,2020-02-04,2025-10-11
