leverage_state,state_min,state_max,tail_probability,ci_low,ci_high,tail_threshold,tail_events,n,sample_start,sample_end,method
1,0,0.524454477050414,0.0659340659340659,0.0305662864716155,0.136464661994116,-0.100801360376777,6,91,2020-03-17,2024-09-07,non-overlapping five-session forward return; leverage-state Wilson interval
2,0.524725274725275,0.702914798206278,0.0333333333333333,0.0114003902228063,0.0934728603038988,-0.100801360376777,3,90,2020-02-21,2026-03-26,non-overlapping five-session forward return; leverage-state Wilson interval
3,0.702970297029703,0.806687565308255,0.0222222222222222,0.00611544198632521,0.0774452668862537,-0.100801360376777,2,90,2020-03-02,2026-04-05,non-overlapping five-session forward return; leverage-state Wilson interval
4,0.808035714285714,0.936034115138593,0.0555555555555556,0.023960971616962,0.123537362217995,-0.100801360376777,5,90,2020-02-01,2026-03-31,non-overlapping five-session forward return; leverage-state Wilson interval
5,0.93730407523511,1,0.0769230769230769,0.0377595013229532,0.150359271232253,-0.100801360376777,7,91,2020-02-06,2025-10-07,non-overlapping five-session forward return; leverage-state Wilson interval
