result_type,metric,estimate,ci_low,ci_high,n,sample_start,sample_end
quantile_regression,leverage,-0.0116217364934,-0.0359153034327,0.012671830446,2263,2020-02-01,2026-04-12
quantile_regression,volatility,-0.0401738604402,-0.0563106841059,-0.0240370367744,2263,2020-02-01,2026-04-12
quantile_regression,leverage,0.00090696335818,-0.010366500517,0.0121804272333,2263,2020-02-01,2026-04-12
quantile_regression,volatility,-0.0307265184943,-0.0389614734225,-0.0224915635661,2263,2020-02-01,2026-04-12
expected_shortfall,leverage_state_1,-0.0996212788885,-0.144492995813,-0.0696439328383,453,2020-03-04,2024-09-09
expected_shortfall,leverage_state_2,-0.0670239350592,-0.0842827097455,-0.051081451957,452,2020-02-21,2026-03-27
expected_shortfall,leverage_state_3,-0.0586747890866,-0.0660786988629,-0.0505123877996,453,2020-02-14,2026-04-09
expected_shortfall,leverage_state_4,-0.0543555432494,-0.0685699331422,-0.0414857362038,452,2020-02-01,2026-04-12
expected_shortfall,leverage_state_5,-0.0896239488266,-0.107764753989,-0.0707672463145,453,2020-02-04,2025-10-11
