asset,response,lag_sessions,coefficient_per_flow_bps,se_hac,pvalue_hac,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,bootstrap_reps,block_length,design_condition_number,durbin_watson,jarque_bera_pvalue,breusch_pagan_pvalue,n,sample_start,sample_end,method
BTC,return,0,0.00803615169849733,0.000728720573607973,2.80787866094731e-28,0.00660788561943233,0.00946441777756233,0.00617748447143518,0.00989481892555948,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,return,1,-0.0025444637074966,0.000975126138913406,0.0090709426787795,-0.00445567582015048,-0.000633251594842727,-0.00526562662537158,0.000176699210378371,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,return,2,-8.13821246455423e-05,0.00117525834060346,0.944793682553635,-0.00238484614475864,0.00222208189546756,-0.00331308894519665,0.00315032469590556,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,return,3,-0.00104939235965302,0.000982835375922683,0.285647122273237,-0.00297571429919337,0.000876929579887321,-0.00350422752003662,0.00140544280073057,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,return,4,0.00057313869392052,0.000965287413599639,0.552679826140124,-0.00131878987146459,0.00246506725930563,-0.00197512582762344,0.00312140321546448,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,return,5,-0.000399857452050412,0.000599375257015808,0.504693109061926,-0.00157461136902583,0.00077489646492501,-0.00197972371785461,0.00118000881375379,2000,10,4.10457963872561,2.54891363552981,5.94294594143748e-43,0.0151815953159326,557,2024-01-22,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,realized_volatility_20,0,0.00175225042693472,0.00328275600273461,0.593497772625564,-0.00468183310845779,0.00818633396232723,-0.00691253094682746,0.0104170318006969,2000,10,4.13284949061696,0.0528183913312883,4.50773262239682e-10,0.981768889823027,548,2024-02-02,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,realized_volatility_20,1,0.00029263964869041,0.00215027185115219,0.891746767994122,-0.00392181573653816,0.00450709503391898,-0.00514680798888843,0.00573208728626925,2000,10,4.13284949061696,0.0528183913312883,4.50773262239682e-10,0.981768889823027,548,2024-02-02,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,realized_volatility_20,2,-0.000413608921952662,0.00248834636919655,0.867985089308066,-0.0052906781866389,0.00446346034273358,-0.0066490594295801,0.00582184158567477,2000,10,4.13284949061696,0.0528183913312883,4.50773262239682e-10,0.981768889823027,548,2024-02-02,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,realized_volatility_20,3,0.00141749438087085,0.00236118805212726,0.548285663750891,-0.00321034916202486,0.00604533792376656,-0.00436405590574837,0.00719904466749007,2000,10,4.13284949061696,0.0528183913312883,4.50773262239682e-10,0.981768889823027,548,2024-02-02,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
BTC,realized_volatility_20,4,0.000653459562210327,0.00230517603598787,0.776812814489942,-0.0038646024463507,0.00517152157077135,-0.00493380635425832,0.00624072547867897,2000,10,4.13284949061696,0.0528183913312883,4.50773262239682e-10,0.981768889823027,548,2024-02-02,2026-04-10,simultaneous distributed-lag OLS with HAC and moving-block max-t bands
