asset,contract_name,category,coefficient_same_week_return_per_unit_net_share_change,se_hac,ci_low,ci_high,pvalue,n,sample_start,sample_end,timing,method,qvalue_bh
BTC,CME Bitcoin,dealer,-0.253841185875,0.289283625688,-0.82082667354,0.31314430179,0.38022487,327,2020-01-14,2026-04-14,Tuesday position and seven-day crypto return ending Tuesday; report available Friday proxy,HAC OLS contemporaneous association; standard contract only,0.38022487
BTC,CME Bitcoin,asset_manager,0.595036828235,0.170307869556,0.261239537621,0.928834118848,0.000476038521413,327,2020-01-14,2026-04-14,Tuesday position and seven-day crypto return ending Tuesday; report available Friday proxy,HAC OLS contemporaneous association; standard contract only,0.000952077042825
BTC,CME Bitcoin,leveraged_money,-0.288594287171,0.114642358803,-0.513289181529,-0.0638993928137,0.0118243222189,327,2020-01-14,2026-04-14,Tuesday position and seven-day crypto return ending Tuesday; report available Friday proxy,HAC OLS contemporaneous association; standard contract only,0.0141891866627
ETH,CME Ether,dealer,0.517863514703,0.2011617764,0.123593677892,0.912133351513,0.0100424732909,262,2021-04-13,2026-04-14,Tuesday position and seven-day crypto return ending Tuesday; report available Friday proxy,HAC OLS contemporaneous association; standard contract only,0.0141891866627
ETH,CME Ether,asset_manager,0.875133065925,0.215159727547,0.45342774901,1.29683838284,4.75478126236e-05,262,2021-04-13,2026-04-14,Tuesday position and seven-day crypto return ending Tuesday; report available Friday proxy,HAC OLS contemporaneous association; standard contract only,0.000142643437871
ETH,CME Ether,leveraged_money,-0.379943326927,0.0876494279531,-0.551733048981,-0.208153604874,1.45888263892e-05,262,2021-04-13,2026-04-14,Tuesday position and seven-day crypto return ending Tuesday; report available Friday proxy,HAC OLS contemporaneous association; standard contract only,8.7532958335e-05
