report_date,available_date,asset,contract_name,open_interest,dealer_net_share_oi,asset_manager_net_share_oi,leveraged_money_net_share_oi,same_week_log_return
2018-04-10,2018-04-13,BTC,CME Bitcoin,1702,0,0.0716803760282021,-0.121034077555817,
2018-04-17,2018-04-20,BTC,CME Bitcoin,2029,0,0.0601281419418433,-0.128141941843273,
2018-04-24,2018-04-27,BTC,CME Bitcoin,2380,0,0.0441176470588235,-0.205042016806723,
2018-05-01,2018-05-04,BTC,CME Bitcoin,1991,0,0,-0.0753390256152687,
2018-05-08,2018-05-11,BTC,CME Bitcoin,2485,0,0,-0.170221327967807,
2018-05-15,2018-05-18,BTC,CME Bitcoin,2505,0,-0.0115768463073852,-0.127345309381238,
2018-05-22,2018-05-25,BTC,CME Bitcoin,2684,0,-0.0108047690014903,-0.204545454545455,
2018-05-29,2018-06-01,BTC,CME Bitcoin,2714,0,0.00478997789240973,-0.23581429624171,
2018-06-05,2018-06-08,BTC,CME Bitcoin,2556,0,0.00704225352112676,-0.281298904538341,
2018-06-12,2018-06-15,BTC,CME Bitcoin,2643,0.0109723798713583,-0.0408626560726447,-0.10783200908059,
2018-06-19,2018-06-22,BTC,CME Bitcoin,2633,0.0110140524116977,-0.00265856437523737,0.0243068742878845,
2018-06-26,2018-06-29,BTC,CME Bitcoin,2687,0.0107927056196502,-0.0413100111648679,0.00111648678823967,
2018-07-03,2018-07-06,BTC,CME Bitcoin,2514,0,-0.0159108989657916,-0.175417661097852,
2018-07-10,2018-07-13,BTC,CME Bitcoin,2622,0,-0.0453852021357742,-0.091533180778032,
2018-07-17,2018-07-20,BTC,CME Bitcoin,2854,0,-0.0224246671338472,-0.182550805886475,
2018-07-24,2018-07-27,BTC,CME Bitcoin,3431,0.00874380647041679,-0.0349752258816672,-0.279801807053337,
2018-07-31,2018-08-03,BTC,CME Bitcoin,3063,0,-0.0682337577538361,-0.0806398955272608,
2018-08-07,2018-08-10,BTC,CME Bitcoin,2732,0,-0.0523426061493411,0.00988286969253294,
2018-08-14,2018-08-17,BTC,CME Bitcoin,2983,0,-0.0720750921890714,0.100234663090848,
2018-08-21,2018-08-24,BTC,CME Bitcoin,2981,0,-0.0640724589064072,0.0892318014089232,
2018-08-28,2018-08-31,BTC,CME Bitcoin,2840,0,-0.0362676056338028,-0.0200704225352113,
2018-09-04,2018-09-07,BTC,CME Bitcoin,2707,0,-0.0151459179903953,-0.173623937938678,
2018-09-11,2018-09-14,BTC,CME Bitcoin,2711,0,-0.0734046477314644,0.113611213574327,
2018-09-18,2018-09-21,BTC,CME Bitcoin,2742,0,-0.0510576221735959,0.0671043034281546,
2018-09-25,2018-09-28,BTC,CME Bitcoin,2746,-0.000364166059723234,-0.0477057538237436,-0.00291332847778587,
2018-10-02,2018-10-05,BTC,CME Bitcoin,2354,-0.0169923534409516,-0.0420560747663551,-0.0446049277824979,
2018-10-09,2018-10-12,BTC,CME Bitcoin,2848,-0.026685393258427,-0.0424859550561798,-0.00456460674157303,
2018-10-16,2018-10-19,BTC,CME Bitcoin,2730,-0.0278388278388278,-0.0197802197802198,-0.00512820512820513,
2018-10-23,2018-10-26,BTC,CME Bitcoin,3001,-0.0253248917027657,-0.0536487837387538,0.0863045651449517,
2018-10-30,2018-11-02,BTC,CME Bitcoin,2608,0,-0.0912576687116564,0.10659509202454,
2018-11-06,2018-11-09,BTC,CME Bitcoin,2913,0,-0.0123583934088568,-0.030209406110539,
2018-11-13,2018-11-16,BTC,CME Bitcoin,3530,0.00878186968838527,-0.0708215297450425,0.0308781869688385,
2018-11-20,2018-11-23,BTC,CME Bitcoin,3729,0,-0.0445159560203808,0.0643604183427192,
2018-11-27,2018-11-30,BTC,CME Bitcoin,3791,0,-0.062780269058296,0.0862569242943814,
2018-12-04,2018-12-07,BTC,CME Bitcoin,3301,0,-0.0269615268100576,0.0278703423205089,
2018-12-11,2018-12-14,BTC,CME Bitcoin,3970,0,-0.0576826196473552,0.0518891687657431,
2018-12-18,2018-12-21,BTC,CME Bitcoin,4359,0,0.00642349162651984,-0.0279880706584079,
2018-12-24,2018-12-27,BTC,CME Bitcoin,3857,0,-0.0101114856105782,0.0292973813844957,
2018-12-31,2019-01-03,BTC,CME Bitcoin,3708,0.0132146709816613,-0.0161812297734628,0.0169902912621359,
2019-01-08,2019-01-11,BTC,CME Bitcoin,3764,0,0.00664187035069075,-0.0100956429330499,
2019-01-15,2019-01-18,BTC,CME Bitcoin,4473,-0.000223563603845294,-0.0693047171920411,0.110440420299575,
2019-01-22,2019-01-25,BTC,CME Bitcoin,4976,-0.00020096463022508,-0.0637057877813505,0.0960610932475884,
2019-01-29,2019-02-01,BTC,CME Bitcoin,4047,-0.0239683716333086,-0.0815418828762046,0.046454163577959,
2019-02-05,2019-02-08,BTC,CME Bitcoin,3881,-0.0249935583612471,-0.0667353774800309,0.0265395516619428,
2019-02-12,2019-02-15,BTC,CME Bitcoin,3361,-0.0288604581969652,-0.021124665278191,-0.11692948527224,
2019-02-19,2019-02-22,BTC,CME Bitcoin,3964,-0.0244702320887992,0.00126135216952573,-0.107214934409687,
2019-02-26,2019-03-01,BTC,CME Bitcoin,3324,-0.0373044524669073,-0.0688929001203369,-0.0932611311672683,
2019-03-05,2019-03-08,BTC,CME Bitcoin,3226,-0.0384376937383757,-0.0604463732176069,-0.144141351518909,
2019-03-12,2019-03-15,BTC,CME Bitcoin,3480,-0.035632183908046,-0.0281609195402299,-0.229310344827586,
2019-03-19,2019-03-22,BTC,CME Bitcoin,3681,-0.0336864982341755,-0.00570497147514262,-0.290138549307253,
2019-03-26,2019-03-29,BTC,CME Bitcoin,3428,-0.0361726954492415,-0.0600933488914819,-0.25291715285881,
2019-04-02,2019-04-05,BTC,CME Bitcoin,4000,-0.0395,0.0565,-0.27025,
2019-04-09,2019-04-12,BTC,CME Bitcoin,4443,-0.0355615575061895,0.0369119963988296,-0.16790456898492,
2019-04-16,2019-04-19,BTC,CME Bitcoin,4324,-0.0365402405180388,-0.0087881591119334,-0.0622109158186864,
2019-04-23,2019-04-26,BTC,CME Bitcoin,4313,-0.0366334338047763,0.0261998608856944,-0.100394157199165,
2019-04-30,2019-05-03,BTC,CME Bitcoin,3817,-0.0322242598899659,0.047681425203039,-0.153523709719675,
2019-05-07,2019-05-10,BTC,CME Bitcoin,4388,-0.0280309936189608,0.0651777575205105,-0.171148587055606,
2019-05-14,2019-05-17,BTC,CME Bitcoin,4447,-0.0276590960197886,0.0447492691702271,-0.0373285360917472,
2019-05-21,2019-05-24,BTC,CME Bitcoin,4650,-0.0264516129032258,0.0479569892473118,-0.0309677419354839,
2019-05-28,2019-05-31,BTC,CME Bitcoin,5190,-0.0236994219653179,0.0614643545279383,-0.0104046242774566,
2019-06-04,2019-06-07,BTC,CME Bitcoin,4436,0,0.0550045085662759,-0.0849864743011722,
2019-06-11,2019-06-14,BTC,CME Bitcoin,4434,0,0.0809652683806946,-0.218989625620207,
2019-06-18,2019-06-21,BTC,CME Bitcoin,5391,0,0.0656649972175849,-0.064366536820627,
2019-06-25,2019-06-28,BTC,CME Bitcoin,6021,0,0.0514864640425179,-0.0254110612855007,
2019-07-02,2019-07-05,BTC,CME Bitcoin,5839,0.00616543928754924,0.00719301250214078,-0.0125021407775304,
2019-07-09,2019-07-12,BTC,CME Bitcoin,6075,0.00938271604938272,0.0230452674897119,-0.0818106995884774,
2019-07-16,2019-07-19,BTC,CME Bitcoin,5322,0.00732807215332582,0.0112739571589628,-0.155580608793687,
2019-07-23,2019-07-26,BTC,CME Bitcoin,4928,0.00811688311688312,-0.0018262987012987,-0.119926948051948,
2019-07-30,2019-08-02,BTC,CME Bitcoin,4302,0.0139470013947001,0.0241748024174802,-0.103440260344026,
2019-08-06,2019-08-09,BTC,CME Bitcoin,4692,0,0.00767263427109974,-0.0888746803069054,
