asset,issuer_count,report_dates,flow_hhi_median,flow_hhi_q10,flow_hhi_q90,total_flow_autocorrelation_1,sample_start,sample_end,method
BTC,12,563,0.381807906214273,0.238855631376826,0.670569726213862,0.529952528129289,2024-01-11,2026-04-10,absolute issuer-flow shares on actual XNYS report dates
ETH,10,431,0.498461586856584,0.30534478509074,0.920563662656953,0.5872272943888,2024-07-23,2026-04-10,absolute issuer-flow shares on actual XNYS report dates
