asset,response,lags_included,cumulative_coefficient,ci_low,ci_high,bootstrap_reps,block_length,n,sample_start,sample_end
BTC,return,0-5,0.00453419474857227,0.00291079454879724,0.00624116984027381,2000,10,557,2024-01-22,2026-04-10
BTC,realized_volatility_20,0-5,0.00458590078191874,-0.0166114813577197,0.0243703556256106,2000,10,548,2024-02-02,2026-04-10
ETH,return,0-5,0.00188388784063342,0.000285485901401524,0.00309245984904025,2000,10,426,2024-07-30,2026-04-10
ETH,realized_volatility_20,0-5,-0.010491058067084,-0.0206438621531809,0.00672517279768713,2000,10,426,2024-07-30,2026-04-10
