date,timestamp_utc,Fund Holdings
2021-02-07,2021-02-07T00:00:00Z,3036284.12622
2021-02-08,2021-02-08T00:00:00Z,3039237.891579
2021-02-09,2021-02-09T00:00:00Z,3051687.812342
2021-02-10,2021-02-10T00:00:00Z,3073623.825194
2021-02-11,2021-02-11T00:00:00Z,3126353.96993
2021-02-12,2021-02-12T00:00:00Z,3128580.955616
2021-02-13,2021-02-13T00:00:00Z,3128580.955616
2021-02-14,2021-02-14T00:00:00Z,3128580.955616
2021-02-15,2021-02-15T00:00:00Z,3128580.955616
2021-02-16,2021-02-16T00:00:00Z,3128628.735491
2021-02-17,2021-02-17T00:00:00Z,3148724.185776
2021-02-18,2021-02-18T00:00:00Z,3155746.813494
2021-02-19,2021-02-19T00:00:00Z,3156060.9949800004
2021-02-20,2021-02-20T00:00:00Z,3156060.9949800004
2021-02-21,2021-02-21T00:00:00Z,3156060.9949800004
2021-02-22,2021-02-22T00:00:00Z,3155458.1535
2021-02-23,2021-02-23T00:00:00Z,3155358.755335
2021-02-24,2021-02-24T00:00:00Z,3170880.107375
2021-02-25,2021-02-25T00:00:00Z,3170718.057794
2021-02-26,2021-02-26T00:00:00Z,3171465.707984
2021-02-27,2021-02-27T00:00:00Z,3171465.707984
2021-02-28,2021-02-28T00:00:00Z,3171465.707984
2021-03-01,2021-03-01T00:00:00Z,3174813.2019960005
2021-03-02,2021-03-02T00:00:00Z,3174596.464356
2021-03-03,2021-03-03T00:00:00Z,3174445.341628
2021-03-04,2021-03-04T00:00:00Z,3174865.225731
2021-03-05,2021-03-05T00:00:00Z,3174645.343204
2021-03-06,2021-03-06T00:00:00Z,3174645.343204
2021-03-07,2021-03-07T00:00:00Z,3174645.343204
2021-03-08,2021-03-08T00:00:00Z,3174031.882186
2021-03-09,2021-03-09T00:00:00Z,3173815.094076
2021-03-10,2021-03-10T00:00:00Z,3173595.208993
2021-03-11,2021-03-11T00:00:00Z,3173378.420883
2021-03-12,2021-03-12T00:00:00Z,3173161.632773
2021-03-13,2021-03-13T00:00:00Z,3173161.632773
2021-03-14,2021-03-14T00:00:00Z,3173161.632773
2021-03-15,2021-03-15T00:00:00Z,3172511.268443
2021-03-16,2021-03-16T00:00:00Z,3176958.18528
2021-03-17,2021-03-17T00:00:00Z,3176741.07825
2021-03-18,2021-03-18T00:00:00Z,3176523.97122
2021-03-19,2021-03-19T00:00:00Z,3176321.20173
2021-03-20,2021-03-20T00:00:00Z,3176321.20173
2021-03-21,2021-03-21T00:00:00Z,3176321.20173
2021-03-22,2021-03-22T00:00:00Z,3175669.8777
2021-03-23,2021-03-23T00:00:00Z,3175492.668965
2021-03-24,2021-03-24T00:00:00Z,3175275.558015
2021-03-25,2021-03-25T00:00:00Z,3175058.447065
2021-03-26,2021-03-26T00:00:00Z,3174841.336115
2021-03-27,2021-03-27T00:00:00Z,3174841.336115
