date,Fund Price (USD)
2019-06-14,6.66666666667
2019-06-17,6.66666666667
2019-06-18,6.66666666667
2019-06-19,6.66666666667
2019-06-20,33.3333333333
2019-06-21,64.4444444444
2019-06-24,14.6666666667
2019-06-25,24.6666666667
2019-06-26,18.3333333333
2019-06-27,13.8888888889
2019-06-28,13.3333333333
2019-07-01,8.66666666667
2019-07-02,11.1111111111
2019-07-03,12.0
2019-07-05,8.88888888889
2019-07-08,8.69444444444
2019-07-09,7.77777777778
2019-07-10,6.66666666667
2019-07-11,6.11111111111
2019-07-12,6.16666666667
2019-07-15,6.11111111111
2019-07-16,5.66666666667
2019-07-17,5.77777777778
2019-07-18,5.97222222222
2019-07-19,5.77777777778
2019-07-22,5.33333333333
2019-07-23,4.88888888889
2019-07-24,4.66666666667
2019-07-25,5.36111111111
2019-07-26,5.11111111111
2019-07-29,4.47777777778
2019-07-30,4.52777777778
2019-07-31,4.82888888889
2019-08-01,4.61111111111
2019-08-02,4.83333333333
2019-08-05,5.26666666667
2019-08-06,5.33111111111
2019-08-07,4.88888888889
2019-08-08,4.77777777778
2019-08-09,4.74444444444
2019-08-12,4.54444444444
2019-08-13,4.72222222222
2019-08-14,4.33333333333
2019-08-15,4.22222222222
2019-08-16,4.44444444444
2019-08-19,4.6
2019-08-20,4.60333333333
2019-08-21,4.38888888889
2019-08-22,4.42222222222
2019-08-23,4.27777777778
2019-08-26,4.16666666667
2019-08-27,4.15
2019-08-28,4.13333333333
2019-08-29,4.02777777778
2019-08-30,4.08333333333
2019-09-03,4.08333333333
2019-09-04,4.05555555556
2019-09-05,4.00555555556
2019-09-06,4.08888888889
2019-09-09,4.00555555556
2019-09-10,3.94444444444
2019-09-11,3.94444444444
2019-09-12,3.93888888889
2019-09-13,3.77888888889
2019-09-16,3.90111111111
2019-09-17,4.42222222222
2019-09-18,4.56666666667
2019-09-19,4.54444444444
2019-09-20,4.44444444444
2019-09-23,3.91666666667
2019-09-24,3.28777777778
2019-09-25,3.0
2019-09-26,2.86111111111
2019-09-27,2.61111111111
2019-09-30,2.41222222222
2019-10-01,2.52888888889
2019-10-02,2.61111111111
2019-10-03,2.55666666667
2019-10-04,2.57666666667
2019-10-07,2.72222222222
2019-10-08,2.69
2019-10-09,3.5
2019-10-10,3.55555555556
2019-10-11,3.44444444444
2019-10-14,3.57222222222
2019-10-15,3.30111111111
2019-10-16,3.17222222222
2019-10-17,3.21111111111
2019-10-18,3.44444444444
2019-10-21,2.79333333333
2019-10-22,2.95666666667
