date,Tokens Transferred (Total)
2018-11-24,0.0
2018-11-25,0.0
2018-11-26,0.0
2018-11-27,0.15
2018-11-28,0.04057724
2018-11-29,0.0
2018-11-30,0.0
2018-12-01,0.0
2018-12-02,0.0
2018-12-03,0.0
2018-12-04,0.0
2018-12-05,0.0
2018-12-06,0.0
2018-12-07,0.0
2018-12-08,0.0
2018-12-09,0.0
2018-12-10,0.0
2018-12-11,0.0
2018-12-12,0.0
2018-12-13,0.0
2018-12-14,0.0
2018-12-15,0.0
2018-12-16,0.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,0.0
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,0.0
2019-01-06,0.0
2019-01-07,0.0025
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0025
2019-01-12,0.0
2019-01-13,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-19,0.0
2019-01-20,0.0
2019-01-21,0.0
2019-01-22,0.0
2019-01-23,0.02057886
2019-01-24,0.0027994
2019-01-25,0.0007996
2019-01-26,0.11150546
2019-01-27,0.0
2019-01-28,3.05
2019-01-29,65.18297839
2019-01-30,72.8663618
2019-01-31,14.93981702
2019-02-01,9.80590919
2019-02-02,0.61998737
2019-02-03,2.99432083
2019-02-04,4.25652722
2019-02-05,1.1267432
2019-02-06,1.57289446
2019-02-07,22.65940915
2019-02-08,3.60331792
2019-02-09,0.41221914
2019-02-10,1.4323068
2019-02-11,1.47460849
2019-02-12,1.46105493
2019-02-13,2.32391341
2019-02-14,0.99698739
2019-02-15,0.27347099
2019-02-16,0.99360568
2019-02-17,1.99848143
2019-02-18,9.99563398
2019-02-19,14.65211244
2019-02-20,2.86572761
2019-02-21,1.22267772
2019-02-22,1.31201202
2019-02-23,2.13902084
2019-02-24,3.63066494
2019-02-25,7.66832011
2019-02-26,2.78661911
2019-02-27,6.16646147
2019-02-28,0.3797141
2019-03-01,0.60313826
2019-03-02,6.79379224
2019-03-03,9.57596264
2019-03-04,26.50300317
2019-03-05,14.8336898
2019-03-06,23.52469184
2019-03-07,20.78926151
2019-03-08,4.92555778
2019-03-09,7.92425551
2019-03-10,1.54715046
2019-03-11,2.08663026
2019-03-12,4.7896337
2019-03-13,6.06518605
2019-03-14,4.53809027
2019-03-15,10.83317604
2019-03-16,2.45041751
2019-03-17,19.97264532
2019-03-18,2.4341824
2019-03-19,3.82992907
2019-03-20,4.56072703
2019-03-21,28.25742966
2019-03-22,21.94076378
2019-03-23,1.58329397
2019-03-24,2.33201267
2019-03-25,1.93896311
2019-03-26,2.09827865
2019-03-27,12.10950512
2019-03-28,18.09101983
2019-03-29,1.24236072
2019-03-30,11.96873783
2019-03-31,1.26418054
2019-04-01,28.98060131
2019-04-02,40.73118021
2019-04-03,30.58321526
2019-04-04,40.81733021
2019-04-05,2.8164718
2019-04-06,8.32259933
2019-04-07,3.77547035
2019-04-08,57.35299652
2019-04-09,29.38625269
2019-04-10,5.74276656
2019-04-11,35.17859921
2019-04-12,13.03457107
2019-04-13,3.32125536
2019-04-14,10.20236959
2019-04-15,5.69207465
2019-04-16,1.71603911
2019-04-17,5.9746229
2019-04-18,2.19969979
2019-04-19,27.78303666
2019-04-20,2.00741194
2019-04-21,14.1758005
2019-04-22,22.09393093
2019-04-23,9.60062441
2019-04-24,14.60278149
2019-04-25,6.21838252
2019-04-26,9.05830762
2019-04-27,15.47743005
2019-04-28,23.30626574
2019-04-29,8.46879394
2019-04-30,12.44748357
2019-05-01,49.42854714
2019-05-02,17.41830208
2019-05-03,29.22648097
2019-05-04,122.7050976
2019-05-05,171.10571344
2019-05-06,62.63134046
2019-05-07,50.61035906
2019-05-08,13.80439533
2019-05-09,21.58122667
2019-05-10,54.20140807
2019-05-11,83.25238626
2019-05-12,23.10047665
2019-05-13,16.96629949
2019-05-14,51.29339518
2019-05-15,19.71194519
2019-05-16,146.31753831
2019-05-17,25.68923358
2019-05-18,33.27096153
2019-05-19,27.29555797
2019-05-20,96.61755348
2019-05-21,4.15480715
2019-05-22,25.15496479
2019-05-23,17.08495295
2019-05-24,15.26494419
2019-05-25,23.18032331
2019-05-26,10.3083469
2019-05-27,15.33263226
2019-05-28,11.32573378
2019-05-29,12.65394897
2019-05-30,37.08614884
2019-05-31,15.05507972
2019-06-01,19.55336652
2019-06-02,7.47855377
2019-06-03,18.41201079
2019-06-04,15.3487169
2019-06-05,27.96644582
2019-06-06,7.46777881
2019-06-07,4.08527754
2019-06-08,9.18426579
2019-06-09,15.76516749
2019-06-10,20.9200626
2019-06-11,3.11874106
2019-06-12,9.99462301
2019-06-13,19.03249521
2019-06-14,22.69582492
2019-06-15,23.9020543
2019-06-16,113.37236916
2019-06-17,125.6023631
2019-06-18,25.05050688
2019-06-19,9.20699598
2019-06-20,34.07933804
2019-06-21,39.47466127
2019-06-22,31.55439581
2019-06-23,17.73115006
2019-06-24,32.5440844
2019-06-25,43.75970474
2019-06-26,88.06384831
2019-06-27,66.69220544
2019-06-28,73.41277734
2019-06-29,17.30034696
2019-06-30,30.16204519
2019-07-01,28.76560079
2019-07-02,237.18975393
2019-07-03,241.94235462
2019-07-04,104.12734222
2019-07-05,112.44414681
2019-07-06,33.22262769
2019-07-07,32.91909911
2019-07-08,30.83837106
2019-07-09,88.03206678
2019-07-10,131.44408192
2019-07-11,82.85185948
2019-07-12,55.50308166
2019-07-13,45.85680541
2019-07-14,60.55452031
2019-07-15,70.11137372
2019-07-16,168.2839437
2019-07-17,473.43192367
2019-07-18,173.73296221
2019-07-19,35.24001253
2019-07-20,24.55819069
2019-07-21,45.8433002
2019-07-22,22.9147575
2019-07-23,71.34121438
2019-07-24,59.73982948
2019-07-25,38.22369962
2019-07-26,124.2190234
2019-07-27,13.63636788
2019-07-28,21.83933306
2019-07-29,13.89254815
2019-07-30,13.16272321
2019-07-31,34.59324035
2019-08-01,32.94815211
2019-08-02,51.03049274
2019-08-03,53.36753195
2019-08-04,22.61949388
2019-08-05,93.42275712
2019-08-06,102.10103149
2019-08-07,51.04628224
2019-08-08,24.56768965
2019-08-09,64.66373363
2019-08-10,33.20273932
2019-08-11,31.62596355
2019-08-12,20.2305783
2019-08-13,40.33978343
2019-08-14,105.09642334
2019-08-15,90.1535046
2019-08-16,93.12080091
2019-08-17,20.99895408
2019-08-18,30.46716206
2019-08-19,20.44552083
2019-08-20,33.09347734
2019-08-21,29.98738294
2019-08-22,39.22460615
2019-08-23,18.28389253
2019-08-24,30.03158225
2019-08-25,37.13572122
2019-08-26,26.61533321
2019-08-27,55.14532779
2019-08-28,69.71895225
2019-08-29,57.80888302
2019-08-30,27.67094069
2019-08-31,13.92470964
2019-09-01,8.56347593
2019-09-02,40.27901314
2019-09-03,53.75708447
2019-09-04,29.40998892
2019-09-05,68.38365655
2019-09-06,42.21795195
2019-09-07,30.07067691
2019-09-08,34.27314014
2019-09-09,15.12332772
2019-09-10,14.05395305
2019-09-11,53.66919655
2019-09-12,49.8787148
2019-09-13,11.41270325
