date,Transaction Count (Mean)
2018-11-24,0.00178891
2018-11-25,
2018-11-26,
2018-11-27,0.00133445
2018-11-28,0.00265516
2018-11-29,
2018-11-30,
2018-12-01,
2018-12-02,
2018-12-03,
2018-12-04,
2018-12-05,
2018-12-06,
2018-12-07,
2018-12-08,
2018-12-09,
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-15,
2018-12-16,
2018-12-17,
2018-12-18,
2018-12-19,0.00017097
2018-12-20,
2018-12-21,
2018-12-22,
2018-12-23,
2018-12-24,
2018-12-25,
2018-12-26,
2018-12-27,
2018-12-28,
2018-12-29,
2018-12-30,
2018-12-31,
2019-01-01,
2019-01-02,0.00016861
2019-01-03,
2019-01-04,
2019-01-05,
2019-01-06,
2019-01-07,0.00017825
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,0.00035932
2019-01-12,
2019-01-13,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-19,
2019-01-20,
2019-01-21,
2019-01-22,
2019-01-23,0.00300541
2019-01-24,0.00373575
2019-01-25,0.00117509
2019-01-26,0.00039565
2019-01-27,
2019-01-28,0.0012285
2019-01-29,0.00205339
2019-01-30,0.01838755
2019-01-31,0.06124518
2019-02-01,0.02124587
2019-02-02,0.01195542
2019-02-03,0.01523261
2019-02-04,0.01356825
2019-02-05,0.00755102
2019-02-06,0.00817661
2019-02-07,0.00610004
2019-02-08,0.01381272
2019-02-09,0.00591837
2019-02-10,0.01000465
2019-02-11,0.01311085
2019-02-12,0.00748888
2019-02-13,0.0083953
2019-02-14,0.00504081
2019-02-15,0.00986051
2019-02-16,0.01041667
2019-02-17,0.00893936
2019-02-18,0.01334604
2019-02-19,0.00746269
2019-02-20,0.01414427
2019-02-21,0.01505174
2019-02-22,0.01085418
2019-02-23,0.02871583
2019-02-24,0.01175364
2019-02-25,0.01911279
2019-02-26,0.00794207
2019-02-27,0.01261388
2019-02-28,0.00595511
2019-03-01,0.00483817
2019-03-02,0.00905967
2019-03-03,0.00971939
2019-03-04,0.00955514
2019-03-05,0.01633224
2019-03-06,0.00703235
2019-03-07,0.01537745
2019-03-08,0.00860989
2019-03-09,0.00736677
2019-03-10,0.0027637
2019-03-11,0.00641728
2019-03-12,0.00960793
2019-03-13,0.00765745
2019-03-14,0.00825288
2019-03-15,0.00544832
2019-03-16,0.00691138
2019-03-17,0.01044427
2019-03-18,0.01350503
2019-03-19,0.00950748
2019-03-20,0.03258687
2019-03-21,0.02197112
2019-03-22,0.02059604
2019-03-23,0.00839683
2019-03-24,0.00450871
2019-03-25,0.01757661
2019-03-26,0.01022334
2019-03-27,0.01703314
2019-03-28,0.01255296
2019-03-29,0.00910661
2019-03-30,0.00549364
2019-03-31,0.00685679
2019-04-01,0.00950156
2019-04-02,0.03618059
2019-04-03,0.03267045
2019-04-04,0.02185451
2019-04-05,0.01042477
2019-04-06,0.00976441
2019-04-07,0.00864731
2019-04-08,0.01940692
2019-04-09,0.01290824
2019-04-10,0.019055
2019-04-11,0.02396617
2019-04-12,0.02398754
2019-04-13,0.01527071
2019-04-14,0.01448147
2019-04-15,0.01691758
2019-04-16,0.00905119
2019-04-17,0.01739539
2019-04-18,0.02044958
2019-04-19,0.02387967
2019-04-20,0.02056515
2019-04-21,0.0185701
2019-04-22,0.02908695
2019-04-23,0.03351334
2019-04-24,0.03566959
2019-04-25,0.02134241
2019-04-26,0.02169534
2019-04-27,0.01822112
2019-04-28,0.01471279
2019-04-29,0.01317421
2019-04-30,0.02479726
2019-05-01,0.02892498
2019-05-02,0.01971437
2019-05-03,0.04557641
2019-05-04,0.04548239
2019-05-05,0.04682117
2019-05-06,0.04639094
2019-05-07,0.02142299
2019-05-08,0.01420455
2019-05-09,0.0190132
2019-05-10,0.03339028
2019-05-11,0.04721701
2019-05-12,0.02499612
2019-05-13,0.03757862
2019-05-14,0.03925811
2019-05-15,0.03338485
2019-05-16,0.03847367
2019-05-17,0.02329554
2019-05-18,0.01796314
2019-05-19,0.01879111
2019-05-20,0.02299575
2019-05-21,0.0153021
2019-05-22,0.01499766
2019-05-23,0.03744667
2019-05-24,0.01705257
2019-05-25,0.01225866
2019-05-26,0.02426882
2019-05-27,0.02424527
2019-05-28,0.01292968
2019-05-29,0.0246328
2019-05-30,0.03348675
2019-05-31,0.01343422
2019-06-01,0.01288093
2019-06-02,0.01534607
2019-06-03,0.0156596
2019-06-04,0.02312139
2019-06-05,0.02438262
2019-06-06,0.01022939
2019-06-07,0.01229314
2019-06-08,0.00852138
2019-06-09,0.01805905
2019-06-10,0.01101287
2019-06-11,0.02221527
2019-06-12,0.03013183
2019-06-13,0.02477793
2019-06-14,0.03307332
2019-06-15,0.03109296
2019-06-16,0.05500311
2019-06-17,0.02868339
2019-06-18,0.02527869
2019-06-19,0.01844615
2019-06-20,0.02469908
2019-06-21,0.03963992
2019-06-22,0.07728047
2019-06-23,0.04234375
2019-06-24,0.03946551
2019-06-25,0.0348801
2019-06-26,0.11073042
2019-06-27,0.08596931
2019-06-28,0.07068022
2019-06-29,0.03684129
2019-06-30,0.03548086
2019-07-01,0.03170656
2019-07-02,0.04401436
2019-07-03,0.05862123
2019-07-04,0.0706598
2019-07-05,0.05298636
2019-07-06,0.03408916
2019-07-07,0.02900339
2019-07-08,0.04050475
2019-07-09,0.07779327
2019-07-10,0.11050328
2019-07-11,0.08607831
2019-07-12,0.06026187
2019-07-13,0.06446101
2019-07-14,0.0662069
2019-07-15,0.0988024
2019-07-16,0.09844888
2019-07-17,0.12286475
2019-07-18,0.09786971
2019-07-19,0.037555
2019-07-20,0.05304428
2019-07-21,0.04123067
2019-07-22,0.03487116
2019-07-23,0.05573568
2019-07-24,0.08436917
2019-07-25,0.04624096
2019-07-26,0.04061386
2019-07-27,0.03967886
2019-07-28,0.0447507
2019-07-29,0.03150964
2019-07-30,0.03322055
2019-07-31,0.04918033
2019-08-01,0.05155289
2019-08-02,0.04776532
2019-08-03,0.04913473
2019-08-04,0.04257964
2019-08-05,0.14010861
2019-08-06,0.1075969
2019-08-07,0.08068497
2019-08-08,0.0606203
2019-08-09,0.08598131
2019-08-10,0.06480911
2019-08-11,0.09715086
2019-08-12,0.04210364
2019-08-13,0.06254862
2019-08-14,0.13330237
2019-08-15,0.09324809
2019-08-16,0.08993642
2019-08-17,0.04274691
2019-08-18,0.06369427
2019-08-19,0.03686853
2019-08-20,0.0391791
2019-08-21,0.06078462
2019-08-22,0.0515625
2019-08-23,0.04066172
2019-08-24,0.04845606
2019-08-25,0.0356056
2019-08-26,0.02608832
2019-08-27,0.03585347
2019-08-28,0.07925117
2019-08-29,0.06684121
2019-08-30,0.04552541
2019-08-31,0.02336449
2019-09-01,0.01577632
2019-09-02,0.04975124
2019-09-03,0.05592876
2019-09-04,0.02659574
2019-09-05,0.04527834
2019-09-06,0.06313646
2019-09-07,0.03827007
2019-09-08,0.04857857
2019-09-09,0.0281318
2019-09-10,0.01972448
2019-09-11,0.02827404
2019-09-12,0.02983219
2019-09-13,0.02106764
2019-09-14,0.0257764
2019-09-15,0.0359103
2019-09-16,0.04508133
2019-09-17,0.07528387
2019-09-18,0.0430755
2019-09-19,0.06654022
2019-09-20,0.03208805
2019-09-21,0.03316646
2019-09-22,0.03191989
2019-09-23,0.04001241
2019-09-24,0.11376673
2019-09-25,0.08223684
2019-09-26,0.05809777
2019-09-27,0.07227395
2019-09-28,0.0722274
2019-09-29,0.03988782
2019-09-30,0.04323308
2019-10-01,0.05664488
2019-10-02,0.05680922
2019-10-03,0.0428125
2019-10-04,0.05574534
2019-10-05,0.02608291
2019-10-06,0.03271825
2019-10-07,0.05311125
2019-10-08,0.03998741
2019-10-09,0.08597925
2019-10-10,0.05469735
2019-10-11,0.03459663
2019-10-12,0.02306842
2019-10-13,0.02714151
2019-10-14,0.03601065
2019-10-15,0.02814492
2019-10-16,0.03853443
2019-10-17,0.02206349
2019-10-18,0.03761062
2019-10-19,0.02785647
2019-10-20,0.02560075
2019-10-21,0.04640076
2019-10-22,0.02854024
2019-10-23,0.07315163
2019-10-24,0.04948914
