date,gecko_id,total_flow_usd
2024-10-07,bitcoin,235200000
2024-10-08,ethereum,-8100000
2024-10-09,bitcoin,-40600000
2024-10-10,ethereum,3100000
2024-10-11,ethereum,-100000
2024-10-14,bitcoin,555900000
2024-10-15,ethereum,-12700000
2024-10-16,bitcoin,458500000
2024-10-17,bitcoin,470500000
2024-10-18,ethereum,1900000
2024-10-21,ethereum,-20800000
2024-10-22,ethereum,11900000
2024-10-23,ethereum,1200000
2024-10-24,ethereum,2300000
2024-10-25,bitcoin,402000000
2024-10-28,bitcoin,479400000
2024-10-29,ethereum,7600000
2024-10-30,ethereum,4400000
2024-10-31,ethereum,13000000
2024-11-01,ethereum,-10900000
2024-11-04,ethereum,-63200000
2024-11-05,bitcoin,-116800000
2024-11-06,bitcoin,621900000
2024-11-07,ethereum,79700000
2024-11-08,ethereum,85900000
2024-11-11,ethereum,295500000
2024-11-12,bitcoin,817500000
2024-11-13,ethereum,146900000
2024-11-14,ethereum,-3200000
2024-11-15,ethereum,-59800000
2024-11-18,bitcoin,254800000
2024-11-19,ethereum,-81300000
2024-11-20,ethereum,-30300000
2024-11-21,bitcoin,1005100000
2024-11-22,ethereum,91300000
2024-11-25,ethereum,2900000
2024-11-26,ethereum,40600000
2024-11-27,ethereum,90100000
2024-11-29,bitcoin,320000000
2024-12-02,ethereum,24200000
2024-12-03,ethereum,132600000
2024-12-04,bitcoin,556800000
2024-12-05,bitcoin,766700000
2024-12-06,ethereum,83800000
2024-12-09,ethereum,149800000
2024-12-10,ethereum,305700000
2024-12-11,ethereum,102000000
2024-12-12,bitcoin,597500000
2024-12-13,ethereum,23600000
2024-12-16,bitcoin,636900000
2024-12-17,ethereum,144700000
2024-12-18,ethereum,2500000
2024-12-19,ethereum,-60500000
2024-12-20,ethereum,-75100000
2024-12-23,ethereum,130800000
2024-12-24,bitcoin,-338400000
2024-12-26,ethereum,117200000
2024-12-27,ethereum,47700000
2024-12-30,bitcoin,-415100000
2024-12-31,bitcoin,5300000
2025-01-02,ethereum,-77500000
2025-01-03,ethereum,58900000
2025-01-06,ethereum,128700000
2025-01-07,bitcoin,52400000
2025-01-08,bitcoin,-568800000
2025-01-10,bitcoin,-149400000
2025-01-13,ethereum,-39400000
2025-01-14,ethereum,1200000
2025-01-15,ethereum,59700000
2025-01-16,ethereum,166600000
2025-01-17,ethereum,23900000
2025-01-21,ethereum,74400000
2025-01-22,bitcoin,248700000
2025-01-23,bitcoin,188700000
2025-01-24,bitcoin,517700000
2025-01-27,ethereum,-136200000
2025-01-28,bitcoin,18400000
2025-01-29,ethereum,-4700000
2025-01-30,ethereum,67800000
2025-01-31,ethereum,27800000
2025-02-03,bitcoin,-234400000
2025-02-04,bitcoin,340700000
2025-02-05,bitcoin,66400000
2025-02-06,ethereum,10700000
2025-02-07,ethereum,0
2025-02-10,ethereum,-22500000
2025-02-11,bitcoin,-56700000
2025-02-12,ethereum,-40900000
2025-02-13,ethereum,12800000
2025-02-14,ethereum,11700000
2025-02-18,bitcoin,-60700000
2025-02-19,ethereum,19000000
2025-02-20,bitcoin,-364800000
2025-02-21,ethereum,-8900000
2025-02-24,ethereum,-78000000
2025-02-25,ethereum,-50100000
2025-02-26,ethereum,-94300000
2025-02-27,ethereum,-71200000
2025-02-28,bitcoin,94300000
2025-03-03,bitcoin,-74200000
2025-03-04,ethereum,14600000
2025-03-05,ethereum,-63300000
2025-03-06,ethereum,-10000000
2025-03-07,ethereum,-23100000
2025-03-10,ethereum,-37500000
2025-03-11,ethereum,-21600000
2025-03-12,bitcoin,13300000
2025-03-13,bitcoin,-143400000
2025-03-14,bitcoin,41300000
2025-03-17,ethereum,-7300000
2025-03-18,ethereum,-52800000
2025-03-19,ethereum,-11700000
2025-03-20,ethereum,-12500000
2025-03-21,bitcoin,83100000
2025-03-24,bitcoin,79700000
2025-03-25,bitcoin,26800000
2025-03-26,ethereum,-5900000
2025-03-27,ethereum,-4200000
2025-03-28,ethereum,4700000
2025-03-31,ethereum,6400000
2025-04-01,ethereum,-3600000
2025-04-02,ethereum,-51300000
2025-04-03,bitcoin,-99800000
2025-04-04,ethereum,2100000
2025-04-07,bitcoin,-109200000
2025-04-08,bitcoin,-328000000
2025-04-09,ethereum,-11200000
2025-04-10,ethereum,-38800000
2025-04-11,ethereum,-29200000
2025-04-14,ethereum,-6000000
2025-04-15,bitcoin,76400000
2025-04-16,ethereum,-12100000
2025-04-17,bitcoin,106900000
2025-04-21,ethereum,-25400000
2025-04-22,ethereum,38800000
2025-04-23,ethereum,-23900000
2025-04-24,ethereum,63500000
2025-04-25,ethereum,104100000
2025-04-28,bitcoin,591200000
2025-04-29,ethereum,18400000
2025-04-30,bitcoin,-56300000
2025-05-01,bitcoin,422500000
2025-05-02,ethereum,20100000
2025-05-05,ethereum,0
2025-05-06,ethereum,-17900000
2025-05-07,ethereum,-21800000
2025-05-08,ethereum,-16100000
2025-05-09,bitcoin,334500000
2025-05-12,bitcoin,5200000
2025-05-13,ethereum,13500000
