date,Bonds,Precious Metals,Private Credit,Public Equities,Real Estate,Digital Assets,Reinsurance,Private Equity & Venture,Equity Indices,Equity ETFs,Mixed Public Markets,Carbon Credits,Industrial Metals,Oil,Multi-Asset RWAs,Commodities,Commodity Baskets,Natural Gas,Agricultural Commodities,Collectibles & Luxury Goods,Energy
2021-09-04,,339983760.0,,,,,,,,52577555.0,,15059399.0,,,,,,,,,
2021-09-05,,338799850.0,,,,,,,,43089293.0,,14664428.0,,,,,,,,,
2021-09-06,,338601910.0,,,,,,,,57283579.0,,15089186.0,,,,,,,,,
2021-09-07,,339601527.0,,,,,,,,57366586.0,,14709149.0,,,,,,,,,
2021-09-08,,317737205.0,,,,,,,,58181157.0,,14319766.0,,,,,,,,,
2021-09-09,,315154418.0,,,,,,,,55800793.0,,13798736.0,,,,,,,,,
2021-09-10,,316093277.0,,,,,,,,57096585.0,,14688997.5,,,,,,,,,
2021-09-11,,317032136.0,,,,,,,,58392377.0,,15579259.0,,,,,,,,,
2021-09-12,,317909392.0,,,,,,,,45800128.0,,15652291.0,,,,,,,,,
2021-09-13,,316890004.0,,,,,,,,45800128.0,,15747479.0,,,,,,,,,
2021-09-14,,318226066.0,,,,,,,,54360834.0,,15531887.0,,,,,,,,,
2021-09-15,,318784168.0,,,,,,,,48336243.5,,17500939.0,,,,,,,,,
2021-09-16,,319342270.0,,,,,,,,42311653.0,,19469991.0,,,,,,,,,
2021-09-17,,313303185.0,,,,,,,,50714917.0,,29831446.0,,,,,,,,,
2021-09-18,,320618009.0,,,,,,,,47069806.0,,28512307.0,,,,,,,,,
2021-09-19,,321127529.0,,,,,,,,47058188.0,,29679325.0,,,,,,,,,
2021-09-20,,320825148.0,,,,,,,,46058438.0,,29106927.5,,,,,,,,,
2021-09-21,,320522767.0,,,,,,,,45058688.0,,28534530.0,,,,,,,,,
2021-09-22,,325558791.0,,,,,,,,51835739.0,,27861399.0,,,,,,,,,
2021-09-23,,322097148.0,,,,,,,,51835739.0,,28024891.0,,,,,,,,,
2021-09-24,,320186343.0,,,,,,,,52337520.0,,29916721.0,,,,,,,,,
2021-09-25,,321259871.0,,,,,,,,52337520.0,,28453490.0,,,,,,,,,
2021-09-26,,321190642.0,,,,,,,,58473873.0,,28356969.0,,,,,,,,,
2021-09-27,,320520024.0,,,,,,,,49642145.0,,28354080.0,,,,,,,,,
2021-09-28,,319847096.0,,,,,,,,50915429.0,,27478790.0,,,,,,,,,
2021-09-29,,318178263.0,,,,,,,,58446544.0,,27811636.0,,,,,,,,,
2021-09-30,,317811699.0,,,,,,,,47232798.0,,28205436.0,,,,,,,,,
2021-10-01,,326761942.0,,,,,,,,46870747.0,,28400839.0,,,,,,,,,
2021-10-02,,327166406.0,,,,,,,,46812722.0,,28013137.0,,,,,,,,,
2021-10-03,,327441726.0,,,,,,,,49377302.0,,27988489.0,,,,,,,,,
2021-10-04,,328316377.0,,,,,,,,50496714.0,,27814132.0,,,,,,,,,
2021-10-05,,328966475.0,,,,,,,,50496714.0,,29648247.0,,,,,,,,,
2021-10-06,,326905320.0,,,,,,,,59544766.0,,29682736.0,,,,,,,,,
2021-10-07,,327050029.0,,,,,,,,59617888.0,,28485522.0,,,,,,,,,
2021-10-08,,326282626.0,,,,,,,,52109227.0,,30517114.0,,,,,,,,,
