ticker,name,type,price,priceChange24h,volume24h,mcapRealized,realized_mNAV,totalUsdValue,totalCost,holdings
MSTR,"Strategy, Inc. (Formerly: MicroStrategy Inc.)",Stock,132.36000061,2.891792006871815,12370800,51789425149.91897,0.9543192801119242,54268446870.155464,58055861719,"{""bitcoin"":{""amount"":766972,""avgPrice"":75694.8907117861,""usdValue"":56805781180,""cost"":58055861719,""transactionCount"":107,""firstAnnouncementDate"":""2020-08-11"",""lastAnnouncementDate"":""2026-04-06"",""supplyPercentage"":3.830517479956911}}"
BMNR,"BitMine Immersion Technologies, Inc.",Stock,21.51000023,1.0808248709694843,54464200,9784091425.628363,0.9278018391795634,10545453794.616573,,"{""bitcoin"":{""amount"":192,""avgPrice"":null,""usdValue"":14220480,""cost"":null,""transactionCount"":2,""firstAnnouncementDate"":""2025-06-18"",""lastAnnouncementDate"":""2025-07-29"",""supplyPercentage"":0.0009589129148805002},""ethereum"":{""amount"":4804332,""avgPrice"":null,""usdValue"":11143792203.960001,""cost"":null,""transactionCount"":42,""firstAnnouncementDate"":""2025-07-14"",""lastAnnouncementDate"":""2026-04-06"",""supplyPercentage"":3.9788955121963836}}"
MARA,"Marathon Digital Holdings, Inc.",Stock,10.35999966,8.595384732056125,49642100,3939230689.320224,1.0379562598970529,3795179856.337035,,"{""bitcoin"":{""amount"":53637,""avgPrice"":null,""usdValue"":3972624405,""cost"":null,""transactionCount"":30,""firstAnnouncementDate"":""2021-03-16"",""lastAnnouncementDate"":""2025-11-04"",""supplyPercentage"":0.26788131258044473}}"
XXI,"Twenty One Capital, Inc.",Stock,6.98000002,4.6476752066245846,827486,2418906114.870963,0.7944087955768714,3044913561.303711,,"{""bitcoin"":{""amount"":43033.54119435001,""avgPrice"":null,""usdValue"":3187279228.559533,""cost"":null,""transactionCount"":5,""firstAnnouncementDate"":""2025-04-23"",""lastAnnouncementDate"":""2025-12-12"",""supplyPercentage"":0.2149240542932513}}"
SBET,"SharpLink Gaming, Inc.",Stock,6.51999998,1.5576308217117556,8182100,1285493778.0167675,0.6954960853567156,1848312025.1603513,,"{""ethereum"":{""amount"":823284.8030000001,""avgPrice"":null,""usdValue"":1909633799.1025903,""cost"":null,""transactionCount"":31,""firstAnnouncementDate"":""2025-06-13"",""lastAnnouncementDate"":""2026-03-09"",""supplyPercentage"":0.6818355200923217}}"
GLXY,Galaxy Digital Inc.,Stock,22.5,3.8781170628678545,5793400,8780829052.5,4.7872132526273905,1834225589.9464629,,"{""bitcoin"":{""amount"":20924,""avgPrice"":null,""usdValue"":1549736060,""cost"":null,""transactionCount"":5,""firstAnnouncementDate"":""2024-09-01"",""lastAnnouncementDate"":""2025-11-10"",""supplyPercentage"":0.10450153036958118},""solana"":{""amount"":656745,""avgPrice"":null,""usdValue"":55015528.65,""cost"":null,""transactionCount"":3,""firstAnnouncementDate"":""2025-05-13"",""lastAnnouncementDate"":""2025-11-10"",""supplyPercentage"":0.11415338958735499},""hype"":{""amount"":2306639,""avgPrice"":null,""usdValue"":99646804.80000001,""cost"":null,""transactionCount"":2,""firstAnnouncementDate"":""2025-08-05"",""lastAnnouncementDate"":""2025-11-10"",""supplyPercentage"":0.9675792335731648},""ethereum"":{""amount"":50251,""avgPrice"":null,""usdValue"":116558702.03000002,""cost"":null,""transactionCount"":4,""firstAnnouncementDate"":""2025-05-13"",""lastAnnouncementDate"":""2025-11-10"",""supplyPercentage"":0.041617331688022494},""xrp"":{""amount"":64064150,""avgPrice"":null,""usdValue"":87127244,""cost"":null,""transactionCount"":2,""firstAnnouncementDate"":""2025-05-13"",""lastAnnouncementDate"":""2025-08-05"",""supplyPercentage"":0.1043498877520069},""sui"":{""amount"":12037421,""avgPrice"":null,""usdValue"":11224678.408922,""cost"":null,""transactionCount"":1,""firstAnnouncementDate"":""2025-05-13"",""lastAnnouncementDate"":""2025-05-13"",""supplyPercentage"":0.3045192209419763}}"
BLSH,Bullish Inc.,Stock,38.95999908,7.535190655980896,1148200,5870648501.370721,3.4008387559168263,1726235473.8685818,,"{""bitcoin"":{""amount"":24396.76,""avgPrice"":null,""usdValue"":1806946029.3999999,""cost"":null,""transactionCount"":2,""firstAnnouncementDate"":""2025-09-30"",""lastAnnouncementDate"":""2025-11-19"",""supplyPercentage"":0.12184566794395829}}"
RIOT,"Riot Platforms, Inc.",Stock,17.37000084,4.6385568817679665,13949500,6458291133.138036,3.9924134968552525,1617640842.61941,,"{""bitcoin"":{""amount"":22862,""avgPrice"":null,""usdValue"":1693274030,""cost"":null,""transactionCount"":13,""firstAnnouncementDate"":""2020-03-02"",""lastAnnouncementDate"":""2026-03-02"",""supplyPercentage"":0.11418055760415621}}"
DJT,Trump Media & Technology Group Corp.,Stock,9.60000038,2.2364220702467046,2826300,2656620729.1579,2.1227017028392288,1251528052.95465,,"{""cronos"":{""amount"":684400000,""avgPrice"":null,""usdValue"":47127099.6,""cost"":null,""transactionCount"":1,""firstAnnouncementDate"":""2025-11-07"",""lastAnnouncementDate"":""2025-11-07"",""supplyPercentage"":1.6164422764825899},""bitcoin"":{""amount"":17030,""avgPrice"":117400,""usdValue"":1261326950,""cost"":1999322000,""transactionCount"":1,""firstAnnouncementDate"":""2025-07-21"",""lastAnnouncementDate"":""2025-07-21"",""supplyPercentage"":0.08505357781466104}}"
ETHM,The Ethereum Machine (Formerly: Dynamix Corporation),Stock,10.75,2.5763403802592184,3357100,237933329.75,0.21908996218701532,1086007443.5856626,,"{""ethereum"":{""amount"":495405,""avgPrice"":null,""usdValue"":1149106759.65,""cost"":null,""transactionCount"":4,""firstAnnouncementDate"":""2025-07-21"",""lastAnnouncementDate"":""2025-09-06"",""supplyPercentage"":0.41028903315167425}}"
