name,symbol,pegType,pegMechanism,circulating,circulatingPrevDay,circulatingPrevWeek,circulatingPrevMonth,chains,price
Tether,USDT,peggedUSD,fiat-backed,"{""peggedUSD"":185800396864.63583}","{""peggedUSD"":185468907564.97412}","{""peggedUSD"":184102575595.57303}","{""peggedUSD"":184062297760.86575}","Tron, Ethereum, BSC, Solana, Plasma, Arbitrum, Polygon, Aptos, Avalanche, TON, Mantle, Ink, OP Mainnet, Hyperliquid L1, Celo, Kava, Fantom, Omni, Monad, Near, Katana, Tezos, X Layer, Berachain, Polkadot, Mixin, Unichain, Flare, Stable, MegaETH, Sui, Injective, Corn, OKExChain, KCC, Linea, Morph, Metis, Scroll, PulseChain, NEO, Zilliqa, Manta, Sei, StarkNet, ICP, Rootstock, CORE, zkSync Lite, ZKsync Era, Movement, EOS, Gnosis, Soneium, Aurora, IoTeX, Algorand, EDU Chain, MultiversX, Moonriver, Etherlink, Redbelly, Osmosis, ThunderCore, Stacks, Mode, Hemi, Loopring, Canto, Cardano, Oasis, Wanchain, Bittorrent, Kusama, Statemine, Moonbeam, Telos, Viction, Zircuit, Waves, Meter, Boba, Taiko, Fuse, Immutable zkEVM, MANTRA, Syscoin, Dogechain, Plume Mainnet, EthereumClassic, Shiden, Evmos, REINetwork, Theta, Arbitrum Nova, Milkomeda C1, SXnetwork, DefiChain, Ontology, Kardia, Crab, Harmony, Astar, Heco, Terra Classic, Everscale, Kaia",1.00011983686696
USD Coin,USDC,peggedUSD,fiat-backed,"{""peggedUSD"":78765092743.57936}","{""peggedUSD"":78863449534.77673}","{""peggedUSD"":78183197916.39285}","{""peggedUSD"":79289211604.47865}","Ethereum, Solana, Hyperliquid L1, Base, Arbitrum, Polygon, BSC, Avalanche, Sui, Aptos, Stellar, Monad, StarkNet, OP Mainnet, Fantom, Cronos, Noble, Sonic, Algorand, XDC, edgeX L1, Sei, ZKsync Era, Codex, Mantle, Ink, Hedera, Polkadot, Unichain, Linea, Tron, World Chain, Katana, Osmosis, Gnosis, Cardano, Celo, Stacks, Etherlink, PulseChain, Abstract, Berachain, Scroll, MultiversX, X Layer, Flare, XRPL, Plume Mainnet, Kava, Metis, Canto, Moonriver, zkSync Lite, Morph, Soneium, Fogo, Flow, Movement, Immutable zkEVM, IoTeX, Mixin, Aurora, Manta, Taiko, KCC, Injective, ICP, Moonbeam, Story, Boba, Wanchain, Loopring, Polygon zkEVM, Mode, DFK, Perennial, CORE, Lisk, Meter, Telos, Hemi, Zircuit, Dogechain, Arbitrum Nova, Shape, Nibiru, ApeChain, BOB, OKExChain, Rootstock, MANTRA, EDU Chain, BSquared, Syscoin, GOAT, ThunderCore, Fuse, Elastos, Zkfair, Bitlayer, Redbelly, Oasis, Karura, Evmos, Glue, Corn, Waves, Theta, EthereumClassic, Superposition, Viction, Xai, Nero, WEMIX3.0, Ronin, REINetwork, Milkomeda C1, SXnetwork, DefiChain, Kardia, Crab, Kadena, Astar, Near, Terra Classic, Everscale, Kaia",0.9998596133049042
Sky Dollar,USDS,peggedUSD,crypto-backed,"{""peggedUSD"":8612674274.984627}","{""peggedUSD"":8600181544.684645}","{""peggedUSD"":8691412596.080698}","{""peggedUSD"":8032076446.806303}","Ethereum, Base, OP Mainnet, Unichain, Arbitrum, Solana",0.9996756935312693
Ethena USDe,USDe,peggedUSD,crypto-backed,"{""peggedUSD"":5830663669.985859}","{""peggedUSD"":5826095706.868337}","{""peggedUSD"":5830833325.251711}","{""peggedUSD"":5919130585.956378}","Ethereum, Plasma, BSC, Mantle, TON, Hyperliquid L1, Berachain, Solana, Arbitrum, Blast, Movement, Zircuit, Base, Fraxtal, OP Mainnet, Linea, Scroll, ZKsync Era, Manta, Mode, Metis, Kava, X Layer",0.9996312041701008
Dai,DAI,peggedUSD,crypto-backed,"{""peggedUSD"":4592198907.870236}","{""peggedUSD"":4610637359.406363}","{""peggedUSD"":4664819369.611093}","{""peggedUSD"":4541536715.068976}","Ethereum, Polygon, BSC, Fantom, Arbitrum, OP Mainnet, PulseChain, Avalanche, Kava, zkSync Lite, Moonriver, Solana, Aztec, StarkNet, ZKsync Era, Boba, Linea, Metis, Astar, Osmosis, Loopring, Mixin, Scroll, Arbitrum Nova, Aurora, Moonbeam, Gnosis, Rootstock, KCC, Syscoin, Velas, Cardano, Unichain, Shiden, ThunderCore, Evmos, Morph, Taiko, Hemi, Oasis, EDU Chain, Harmony, Milkomeda C1, SXnetwork, Terra Classic, Near, Everscale, Kaia",1.0001390068211704
World Liberty Financial USD,USD1,peggedUSD,fiat-backed,"{""peggedUSD"":4133967874.876312}","{""peggedUSD"":4094116856.025271}","{""peggedUSD"":4311004264.047311}","{""peggedUSD"":4552205445.969655}","BSC, Ethereum, Solana, Aptos, Tron, Abcore, Monad, Plume Mainnet",1.0001319767176304
PayPal USD,PYUSD,peggedUSD,fiat-backed,"{""peggedUSD"":4119970671.584696}","{""peggedUSD"":4072826288.6152925}","{""peggedUSD"":3947886052.895826}","{""peggedUSD"":4092555903.7238946}","Ethereum, Solana, Arbitrum, Flow, Berachain, Plume Mainnet, Cardano",0.9998996090639822
BlackRock USD,BUIDL,peggedUSD,fiat-backed,"{""peggedUSD"":3035834997.9404488}","{""peggedUSD"":3034360185.130449}","{""peggedUSD"":2958395342.480449}","{""peggedUSD"":2531343957.1604495}","Ethereum, Aptos, Solana, BSC, Avalanche, OP Mainnet, Arbitrum, Polygon",1
Circle USYC,USYC,peggedUSD,fiat-backed,"{""peggedUSD"":2815161613.0212574}","{""peggedUSD"":2665146151.779806}","{""peggedUSD"":2664991947.154776}","{""peggedUSD"":2271005472.7869825}","BSC, Ethereum",1.12235475
Ondo US Dollar Yield,USDY,peggedUSD,fiat-backed,"{""peggedUSD"":2178472851.3874187}","{""peggedUSD"":2142332293.9103622}","{""peggedUSD"":2131372018.2327816}","{""peggedUSD"":1321491083.2720804}","Ethereum, Plume Mainnet, Solana, Stellar, Sei, Aptos, Mantle, Sui, Noble, Osmosis, Arbitrum, MANTRA, Injective, Penumbra",1.1289423484097836
