Datetime,Exchange Outflow (Total)
2026-04-11T00:00:00Z,0
2026-04-10T00:00:00Z,1149835011.938227
2026-04-09T00:00:00Z,1161811495.633521
2026-04-08T00:00:00Z,1183464936.025812
2026-04-07T00:00:00Z,1169367130.538589
2026-04-06T00:00:00Z,923097286.268797
2026-04-05T00:00:00Z,220942891.65646
2026-04-04T00:00:00Z,961730442.456121
2026-04-03T00:00:00Z,658967750.672567
2026-04-02T00:00:00Z,963448056.326216
2026-04-01T00:00:00Z,1290145601.394964
2026-03-31T00:00:00Z,1057466653.008864
2026-03-30T00:00:00Z,1097691084.405856
2026-03-29T00:00:00Z,669498048.50341
2026-03-28T00:00:00Z,417603512.714394
2026-03-27T00:00:00Z,1374159517.426946
2026-03-26T00:00:00Z,1281962552.673344
2026-03-25T00:00:00Z,815668367.192658
2026-03-24T00:00:00Z,1114818279.711546
2026-03-23T00:00:00Z,980431404.199118
2026-03-22T00:00:00Z,2719094371.444618
2026-03-21T00:00:00Z,938923606.242341
2026-03-20T00:00:00Z,1976514705.885826
2026-03-19T00:00:00Z,1166766866.001697
2026-03-18T00:00:00Z,2278971643.934497
2026-03-17T00:00:00Z,1183463937.364977
2026-03-16T00:00:00Z,1136667300.276521
2026-03-15T00:00:00Z,366408670.72982
2026-03-14T00:00:00Z,428490655.762167
2026-03-13T00:00:00Z,1036735125.710068
2026-03-12T00:00:00Z,1212431741.510004
2026-03-11T00:00:00Z,2095248817.973222
2026-03-10T00:00:00Z,1280889019.855429
2026-03-09T00:00:00Z,931227907.494314
2026-03-08T00:00:00Z,1618953075.140565
2026-03-07T00:00:00Z,858730675.326976
2026-03-06T00:00:00Z,1800520319.12817
2026-03-05T00:00:00Z,3288163575.38177
2026-03-04T00:00:00Z,1565189696.660306
2026-03-03T00:00:00Z,1131736620.579173
2026-03-02T00:00:00Z,1307505381.135425
2026-03-01T00:00:00Z,707307943.838388
2026-02-28T00:00:00Z,969229602.836328
2026-02-27T00:00:00Z,1014155520.743168
2026-02-26T00:00:00Z,1124930357.013589
2026-02-25T00:00:00Z,1204091129.591596
2026-02-24T00:00:00Z,1446979579.841734
2026-02-23T00:00:00Z,1367859090.552914
2026-02-22T00:00:00Z,1468740225.674133
2026-02-21T00:00:00Z,1497899637.605362
2026-02-20T00:00:00Z,3276745042.594156
2026-02-19T00:00:00Z,847084348.03779
2026-02-18T00:00:00Z,837016361.896209
2026-02-17T00:00:00Z,666355312.889286
2026-02-16T00:00:00Z,739540017.603151
2026-02-15T00:00:00Z,493147861.394882
2026-02-14T00:00:00Z,1075537561.987678
2026-02-13T00:00:00Z,1285670960.752534
2026-02-12T00:00:00Z,2548856290.983518
2026-02-11T00:00:00Z,1407343863.194214
2026-02-10T00:00:00Z,2748781591.538431
2026-02-09T00:00:00Z,1570175917.212721
2026-02-08T00:00:00Z,883751767.125297
2026-02-07T00:00:00Z,2492252457.066724
2026-02-06T00:00:00Z,7286634261.855148
2026-02-05T00:00:00Z,3837255875.67032
2026-02-04T00:00:00Z,3261730597.070838
2026-02-03T00:00:00Z,3168936904.324513
2026-02-02T00:00:00Z,1774436865.439426
2026-02-01T00:00:00Z,1073684616.99742
2026-01-31T00:00:00Z,1221959422.035261
2026-01-30T00:00:00Z,2039391090.500153
2026-01-29T00:00:00Z,2110838387.903467
2026-01-28T00:00:00Z,2341033814.065423
2026-01-27T00:00:00Z,2091016386.737597
2026-01-26T00:00:00Z,1605127505.187533
2026-01-25T00:00:00Z,762189107.756037
2026-01-24T00:00:00Z,1582839123.687951
2026-01-23T00:00:00Z,2988009983.367842
2026-01-22T00:00:00Z,2704025886.50139
2026-01-21T00:00:00Z,2584372501.915246
2026-01-20T00:00:00Z,3559983719.974352
2026-01-19T00:00:00Z,1879017226.626474
2026-01-18T00:00:00Z,374137737.945218
2026-01-17T00:00:00Z,466002022.260812
2026-01-16T00:00:00Z,1638464226.608742
2026-01-15T00:00:00Z,1672824149.151677
2026-01-14T00:00:00Z,2090734238.12724
2026-01-13T00:00:00Z,1802982607.290393
2026-01-12T00:00:00Z,1634497703.739885
2026-01-11T00:00:00Z,397889480.83457
2026-01-10T00:00:00Z,712208080.576135
2026-01-09T00:00:00Z,3217303704.533761
2026-01-08T00:00:00Z,2616461446.491104
2026-01-07T00:00:00Z,1425458871.519971
2026-01-06T00:00:00Z,1386888574.460506
2026-01-05T00:00:00Z,1355759714.352112
2026-01-04T00:00:00Z,421839174.203794
2026-01-03T00:00:00Z,1041564512.257953
2026-01-02T00:00:00Z,1313145185.719946
2026-01-01T00:00:00Z,1539253994.915181
2025-12-31T00:00:00Z,2490267609.799214
2025-12-30T00:00:00Z,3425458781.706242
2025-12-29T00:00:00Z,1677704753.445681
2025-12-28T00:00:00Z,400415919.723772
2025-12-27T00:00:00Z,386105033.578178
2025-12-26T00:00:00Z,1020497036.01701
2025-12-25T00:00:00Z,652145605.83411
2025-12-24T00:00:00Z,1237758489.743205
2025-12-23T00:00:00Z,1407867609.102536
2025-12-22T00:00:00Z,1055317156.529598
2025-12-21T00:00:00Z,366129016.532893
2025-12-20T00:00:00Z,744306172.73408
2025-12-19T00:00:00Z,1688523900.080092
2025-12-18T00:00:00Z,1311364974.368595
2025-12-17T00:00:00Z,1293315241.589537
2025-12-16T00:00:00Z,1255994345.257127
2025-12-15T00:00:00Z,1391079569.410397
2025-12-14T00:00:00Z,1619349682.394764
2025-12-13T00:00:00Z,472893116.306452
2025-12-12T00:00:00Z,1289919287.778845
2025-12-11T00:00:00Z,1954114874.326714
2025-12-10T00:00:00Z,1930389404.64854
2025-12-09T00:00:00Z,2010700209.56738
2025-12-08T00:00:00Z,2635422486.645593
2025-12-07T00:00:00Z,390763131.247444
2025-12-06T00:00:00Z,1084312098.989775
2025-12-05T00:00:00Z,2604588119.368537
2025-12-04T00:00:00Z,1190132124.083647
2025-12-03T00:00:00Z,2176122792.575557
2025-12-02T00:00:00Z,2465353407.964607
2025-12-01T00:00:00Z,3038341817.828764
2025-11-30T00:00:00Z,606441160.542411
2025-11-29T00:00:00Z,633971258.447916
2025-11-28T00:00:00Z,2464291734.208779
2025-11-27T00:00:00Z,1177436584.637516
2025-11-26T00:00:00Z,1769085061.154275
2025-11-25T00:00:00Z,1476529742.11758
2025-11-24T00:00:00Z,1690219916.348795
2025-11-23T00:00:00Z,830267479.20418
2025-11-22T00:00:00Z,632540742.856296
2025-11-21T00:00:00Z,2915144613.936856
2025-11-20T00:00:00Z,3215643426.58654
2025-11-19T00:00:00Z,2252796903.87603
2025-11-18T00:00:00Z,3056812924.465445
2025-11-17T00:00:00Z,3015249650.761319
2025-11-16T00:00:00Z,3868824590.961873
2025-11-15T00:00:00Z,772397950.513927
2025-11-14T00:00:00Z,2798920452.565858
2025-11-13T00:00:00Z,2420743760.190197
2025-11-12T00:00:00Z,2227036364.81991
2025-11-11T00:00:00Z,1808722164.043949
2025-11-10T00:00:00Z,1380292323.319348
2025-11-09T00:00:00Z,810364948.231473
2025-11-08T00:00:00Z,1110127878.692518
2025-11-07T00:00:00Z,2255153399.783148
2025-11-06T00:00:00Z,1703985407.08657
2025-11-05T00:00:00Z,2166448323.80753
2025-11-04T00:00:00Z,2259547369.666601
2025-11-03T00:00:00Z,1762190603.228417
2025-11-02T00:00:00Z,550042540.560225
2025-11-01T00:00:00Z,1221930442.788876
2025-10-31T00:00:00Z,1836917020.555078
2025-10-30T00:00:00Z,2433637326.939959
2025-10-29T00:00:00Z,2078694818.615421
2025-10-28T00:00:00Z,1882658806.984282
2025-10-27T00:00:00Z,1996828765.515187
2025-10-26T00:00:00Z,1754181904.531597
2025-10-25T00:00:00Z,700576868.977609
2025-10-24T00:00:00Z,2053954525.667446
2025-10-23T00:00:00Z,3641432519.103757
2025-10-22T00:00:00Z,4090367720.770735
2025-10-21T00:00:00Z,3366298636.273648
2025-10-20T00:00:00Z,2388537918.849345
2025-10-19T00:00:00Z,1163909677.15177
2025-10-18T00:00:00Z,850307693.255842
2025-10-17T00:00:00Z,2306808959.279185
2025-10-16T00:00:00Z,1920961176.600281
2025-10-15T00:00:00Z,2313404579.310308
2025-10-14T00:00:00Z,2405627548.977754
2025-10-13T00:00:00Z,2967665256.181951
2025-10-12T00:00:00Z,1900732672.212155
2025-10-11T00:00:00Z,4714250129.233618
2025-10-10T00:00:00Z,3066979198.501286
2025-10-09T00:00:00Z,2605096857.486726
2025-10-08T00:00:00Z,1998364924.498558
2025-10-07T00:00:00Z,1728516492.065757
2025-10-06T00:00:00Z,2468502732.636507
2025-10-05T00:00:00Z,1829575340.158422
2025-10-04T00:00:00Z,837562108.047201
2025-10-03T00:00:00Z,2156764272.682318
2025-10-02T00:00:00Z,2114733114.589687
2025-10-01T00:00:00Z,2065638526.889507
2025-09-30T00:00:00Z,2568977808.8363
2025-09-29T00:00:00Z,2534486949.960083
2025-09-28T00:00:00Z,1117111843.764932
2025-09-27T00:00:00Z,1135644717.153151
2025-09-26T00:00:00Z,4009868802.286739
2025-09-25T00:00:00Z,3950235763.636972
2025-09-24T00:00:00Z,3399111957.317889
2025-09-23T00:00:00Z,2533816825.543817
2025-09-22T00:00:00Z,3239978177.987987
2025-09-21T00:00:00Z,898012502.429153
2025-09-20T00:00:00Z,1511032029.19834
2025-09-19T00:00:00Z,2039208507.657657
2025-09-18T00:00:00Z,2291741414.986088
2025-09-17T00:00:00Z,2600813848.367092
2025-09-16T00:00:00Z,2832719093.047403
2025-09-15T00:00:00Z,3249516034.880995
2025-09-14T00:00:00Z,1100880653.723525
2025-09-13T00:00:00Z,1546930181.924926
2025-09-12T00:00:00Z,2505648553.257878
2025-09-11T00:00:00Z,2195042628.118013
2025-09-10T00:00:00Z,2080912544.921185
2025-09-09T00:00:00Z,1876300342.725896
2025-09-08T00:00:00Z,2134742706.20513
2025-09-07T00:00:00Z,1664056497.090006
2025-09-06T00:00:00Z,1266619830.574426
2025-09-05T00:00:00Z,2143640807.702199
2025-09-04T00:00:00Z,2356699640.009311
2025-09-03T00:00:00Z,2419504750.239086
2025-09-02T00:00:00Z,3886550293.54419
2025-09-01T00:00:00Z,1781749370.061797
2025-08-31T00:00:00Z,1122292692.256852
2025-08-30T00:00:00Z,1378335467.809426
2025-08-29T00:00:00Z,2917404694.078031
2025-08-28T00:00:00Z,2517940852.61585
2025-08-27T00:00:00Z,2216617268.825161
