date,TVL,DEXs Volume,Perps Volume,Stablecoins Mcap
2016-04-19,,607.0,,
2016-04-20,,1728.0,,
2016-04-21,,3049.0,,
2016-04-22,,1464.0,,
2016-04-23,,1242.0,,
2016-04-24,,690.0,,
2016-04-25,,5.0,,
2016-04-26,,1090.0,,
2016-04-27,,762.0,,
2016-04-28,,544.0,,
2016-04-29,,1715.0,,
2016-04-30,,833.0,,
2016-05-01,,1615.0,,
2016-05-02,,1613.0,,
2016-05-03,,1733.0,,
2016-05-04,,957.0,,
2016-05-05,,857.0,,
2016-05-06,,2225.0,,
2016-05-07,,230.0,,
2016-05-08,,675.0,,
2016-05-10,,1544.0,,
2016-05-12,,682.0,,
2016-05-14,,1139.0,,
2016-05-15,,847.0,,
2016-05-16,,1174.0,,
2016-05-17,,1041.0,,
2016-05-18,,2367.0,,
2016-05-19,,1192.0,,
2016-05-20,,221.0,,
2016-05-21,,992.0,,
2016-05-22,,1549.0,,
2016-05-23,,1192.0,,
2016-05-24,,223.0,,
2016-05-25,,2872.0,,
2016-05-26,,3687.0,,
2016-05-27,,1262.0,,
2016-05-28,,2035.0,,
2016-05-29,,1102.0,,
2016-05-30,,321.0,,
2016-05-31,,800.0,,
2016-06-01,,895.0,,
2016-06-02,,1115.0,,
2016-06-03,,3537.0,,
2016-06-04,,1462.0,,
2016-06-05,,1881.0,,
2016-06-06,,1018.0,,
2016-06-07,,756.0,,
2016-06-08,,350.0,,
2016-06-09,,1097.0,,
2016-06-10,,1248.0,,
2016-06-11,,1937.0,,
2016-06-12,,1078.0,,
2016-06-13,,1162.0,,
2016-06-14,,130.0,,
2016-06-15,,1976.0,,
2016-06-16,,268.0,,
2016-06-17,,1075.0,,
2016-06-18,,2762.0,,
2016-06-20,,1542.0,,
2016-06-21,,1530.0,,
2016-06-22,,1893.0,,
2016-06-23,,2337.0,,
2016-06-24,,132.0,,
2016-06-25,,1965.0,,
2016-06-26,,315.0,,
2016-06-28,,809.0,,
2016-06-29,,159.0,,
2016-06-30,,504.0,,
2016-07-01,,1186.0,,
2016-07-02,,69.0,,
2016-07-03,,1868.0,,
2016-07-04,,749.0,,
2016-07-05,,694.0,,
2016-07-06,,1055.0,,
2016-07-07,,607.0,,
2016-07-08,,186.0,,
2016-07-09,,981.0,,
2016-07-10,,774.0,,
2016-07-11,,649.0,,
2016-07-12,,1476.0,,
2016-07-13,,99.0,,
2016-07-14,,1154.0,,
2016-07-15,,1358.0,,
2016-07-16,,1659.0,,
2016-07-17,,2795.0,,
2016-07-18,,472.0,,
2016-07-19,,843.0,,
2016-07-20,,735.0,,
2016-07-21,,1218.0,,
2016-07-22,,2474.0,,
2016-07-23,,675.0,,
2016-07-24,,1090.0,,
2016-07-25,,296.0,,
2016-07-26,,1010.0,,
2016-07-27,,1652.0,,
2016-07-28,,820.0,,
2016-07-29,,62.0,,
2016-07-30,,2750.0,,
2016-07-31,,1957.0,,
2016-08-01,,3230.0,,
2016-08-02,,1647.0,,
2016-08-03,,3467.0,,
2016-08-04,,1061.0,,
2016-08-05,,939.0,,
2016-08-06,,1446.0,,
2016-08-07,,640.0,,
2016-08-08,,4430.0,,
2016-08-09,,3900.0,,
2016-08-10,,4193.0,,
2016-08-11,,17045.0,,
2016-08-12,,4144.0,,
2016-08-13,,3050.0,,
2016-08-14,,3873.0,,
2016-08-15,,1987.0,,
2016-08-16,,4909.0,,
2016-08-17,,3660.0,,
2016-08-18,,5731.0,,
2016-08-19,,1720.0,,
2016-08-20,,2750.0,,
2016-08-21,,3640.0,,
2016-08-22,,10876.0,,
2016-08-23,,6859.0,,
2016-08-24,,549.0,,
2016-08-25,,1556.0,,
2016-08-26,,7828.0,,
2016-08-27,,4118.0,,
2016-08-28,,19815.0,,
2016-08-29,,8879.0,,
2016-08-30,,5615.0,,
2016-08-31,,5012.0,,
2016-09-01,,8574.0,,
2016-09-02,,2496.0,,
2016-09-03,,8142.0,,
2016-09-04,,2770.0,,
2016-09-05,,4439.0,,
2016-09-06,,2974.0,,
2016-09-07,,1757.0,,
2016-09-08,,2452.0,,
2016-09-09,,1866.0,,
2016-09-10,,1011.0,,
2016-09-11,,617.0,,
2016-09-12,,2060.0,,
2016-09-13,,2160.0,,
2016-09-14,,669.0,,
2016-09-15,,2779.0,,
2016-09-16,,1231.0,,
2016-09-17,,4793.0,,
2016-09-18,,1193.0,,
2016-09-19,,1887.0,,
2016-09-20,,2006.0,,
2016-09-21,,2353.0,,
2016-09-22,,1339.0,,
2016-09-23,,1204.0,,
2016-09-24,,1714.0,,
2016-09-25,,619.0,,
2016-09-26,,2297.0,,
2016-09-27,,1628.0,,
2016-09-28,,1630.0,,
2016-09-29,,2358.0,,
2016-09-30,,1998.0,,
2016-10-01,,1197.0,,
2016-10-02,,1918.0,,
2016-10-03,,2754.0,,
2016-10-04,,1889.0,,
2016-10-05,,1896.0,,
2016-10-06,,2315.0,,
2016-10-07,,2788.0,,
2016-10-08,,2343.0,,
2016-10-09,,3559.0,,
2016-10-10,,1843.0,,
2016-10-11,,4901.0,,
2016-10-12,,2895.0,,
2016-10-13,,2665.0,,
2016-10-14,,1372.0,,
2016-10-15,,1529.0,,
2016-10-16,,1316.0,,
2016-10-17,,1162.0,,
2016-10-18,,1030.0,,
2016-10-19,,1894.0,,
2016-10-20,,3355.0,,
2016-10-21,,4924.0,,
2016-10-22,,2299.0,,
2016-10-23,,3655.0,,
2016-10-24,,2335.0,,
2016-10-25,,2813.0,,
2016-10-26,,1549.0,,
2016-10-27,,5749.0,,
2016-10-28,,2613.0,,
2016-10-29,,4503.0,,
2016-10-30,,2052.0,,
2016-10-31,,5721.0,,
2016-11-01,,6089.0,,
2016-11-02,,5972.0,,
2016-11-03,,3736.0,,
2016-11-04,,5470.0,,
2016-11-05,,1690.0,,
2016-11-06,,2525.0,,
2016-11-07,,11836.0,,
2016-11-08,,5629.0,,
2016-11-09,,3720.0,,
2016-11-10,,2004.0,,
2016-11-11,,9268.0,,
2016-11-12,,3808.0,,
2016-11-13,,3235.0,,
2016-11-14,,1976.0,,
2016-11-15,,4270.0,,
2016-11-16,,2393.0,,
2016-11-17,,4818.0,,
2016-11-18,,4229.0,,
2016-11-19,,6167.0,,
2016-11-20,,3788.0,,
2016-11-21,,3797.0,,
2016-11-22,,4874.0,,
2016-11-23,,3607.0,,
2016-11-24,,2616.0,,
2016-11-25,,1724.0,,
2016-11-26,,3491.0,,
2016-11-27,,5829.0,,
2016-11-28,,4095.0,,
2016-11-29,,4030.0,,
2016-11-30,,6644.0,,
2016-12-01,,5564.0,,
2016-12-02,,5969.0,,
2016-12-03,,4957.0,,
2016-12-04,,3223.0,,
2016-12-05,,4751.0,,
2016-12-06,,3001.0,,
2016-12-07,,4622.0,,
2016-12-08,,4835.0,,
2016-12-09,,7036.0,,
2016-12-10,,4805.0,,
2016-12-11,,3138.0,,
2016-12-12,,5481.0,,
2016-12-13,,4560.0,,
2016-12-14,,4919.0,,
2016-12-15,,4207.0,,
2016-12-16,,4174.0,,
2016-12-17,,5618.0,,
2016-12-18,,2958.0,,
2016-12-19,,6145.0,,
