date,timestamp_utc,Exchange Outflow (Mean)
2019-11-05,2019-11-05T00:00:00Z,72383.72401795
2019-11-06,2019-11-06T00:00:00Z,34484.91515854
2019-11-07,2019-11-07T00:00:00Z,51176.56639987
2019-11-08,2019-11-08T00:00:00Z,40074.82907224
2019-11-09,2019-11-09T00:00:00Z,57152.70694547
2019-11-10,2019-11-10T00:00:00Z,46392.54003387
2019-11-11,2019-11-11T00:00:00Z,56131.59295212
2019-11-12,2019-11-12T00:00:00Z,60686.14326276
2019-11-13,2019-11-13T00:00:00Z,47952.32881791
2019-11-14,2019-11-14T00:00:00Z,17947.58090061
2019-11-15,2019-11-15T00:00:00Z,15840.89710754
2019-11-16,2019-11-16T00:00:00Z,14681.84991568
2019-11-17,2019-11-17T00:00:00Z,15765.79671042
2019-11-18,2019-11-18T00:00:00Z,32391.24352138
2019-11-19,2019-11-19T00:00:00Z,31299.12048968
2019-11-20,2019-11-20T00:00:00Z,26124.83453769
2019-11-21,2019-11-21T00:00:00Z,51259.12795602
2019-11-22,2019-11-22T00:00:00Z,47222.62973716
2019-11-23,2019-11-23T00:00:00Z,37344.02829318
2019-11-24,2019-11-24T00:00:00Z,39127.39902665
2019-11-25,2019-11-25T00:00:00Z,56183.45163672
2019-11-26,2019-11-26T00:00:00Z,49110.02268953
2019-11-27,2019-11-27T00:00:00Z,26885.66817541
2019-11-28,2019-11-28T00:00:00Z,33585.45348094
2019-11-29,2019-11-29T00:00:00Z,89774.77445415
2019-11-30,2019-11-30T00:00:00Z,31059.52540813
2019-12-01,2019-12-01T00:00:00Z,42555.72161169
2019-12-02,2019-12-02T00:00:00Z,27889.27414283
2019-12-03,2019-12-03T00:00:00Z,28821.14665949
2019-12-04,2019-12-04T00:00:00Z,93862.58975165
2019-12-05,2019-12-05T00:00:00Z,17325.33184246
2019-12-06,2019-12-06T00:00:00Z,17351.35418628
2019-12-07,2019-12-07T00:00:00Z,13724.66449311
2019-12-08,2019-12-08T00:00:00Z,9051.7797198
2019-12-09,2019-12-09T00:00:00Z,21165.29809412
2019-12-10,2019-12-10T00:00:00Z,16700.25915577
2019-12-11,2019-12-11T00:00:00Z,15626.73928847
2019-12-12,2019-12-12T00:00:00Z,15667.72820187
2019-12-13,2019-12-13T00:00:00Z,12581.33418285
2019-12-14,2019-12-14T00:00:00Z,11532.00947558
2019-12-15,2019-12-15T00:00:00Z,8552.07151295
2019-12-16,2019-12-16T00:00:00Z,15554.81203378
2019-12-17,2019-12-17T00:00:00Z,20189.95866565
2019-12-18,2019-12-18T00:00:00Z,18859.6407137
2019-12-19,2019-12-19T00:00:00Z,19509.70241429
2019-12-20,2019-12-20T00:00:00Z,16308.14681812
2019-12-21,2019-12-21T00:00:00Z,13614.7867061
2019-12-22,2019-12-22T00:00:00Z,15836.04805702
2019-12-23,2019-12-23T00:00:00Z,22087.54044332
2019-12-24,2019-12-24T00:00:00Z,20670.44110787
2019-12-25,2019-12-25T00:00:00Z,14659.72996431
2019-12-26,2019-12-26T00:00:00Z,15719.21771244
2019-12-27,2019-12-27T00:00:00Z,25688.90009277
2019-12-28,2019-12-28T00:00:00Z,22499.41040442
2019-12-29,2019-12-29T00:00:00Z,16817.44956925
2019-12-30,2019-12-30T00:00:00Z,15154.57403315
2019-12-31,2019-12-31T00:00:00Z,23398.65856
2020-01-01,2020-01-01T00:00:00Z,11429.0602155
2020-01-02,2020-01-02T00:00:00Z,17968.26175197
2020-01-03,2020-01-03T00:00:00Z,18807.61758099
2020-01-04,2020-01-04T00:00:00Z,19843.55675708
2020-01-05,2020-01-05T00:00:00Z,18585.57060533
2020-01-06,2020-01-06T00:00:00Z,25161.97026056
2020-01-07,2020-01-07T00:00:00Z,23738.23261188
2020-01-08,2020-01-08T00:00:00Z,28070.49539199
2020-01-09,2020-01-09T00:00:00Z,29768.75180157
2020-01-10,2020-01-10T00:00:00Z,33085.56465998
2020-01-11,2020-01-11T00:00:00Z,33288.88778011
2020-01-12,2020-01-12T00:00:00Z,31981.52317726
2020-01-13,2020-01-13T00:00:00Z,28406.29065104
2020-01-14,2020-01-14T00:00:00Z,28189.7239845
2020-01-15,2020-01-15T00:00:00Z,24798.993258
2020-01-16,2020-01-16T00:00:00Z,28538.77747682
2020-01-17,2020-01-17T00:00:00Z,26087.61179856
2020-01-18,2020-01-18T00:00:00Z,18044.99824164
2020-01-19,2020-01-19T00:00:00Z,25495.5407983
2020-01-20,2020-01-20T00:00:00Z,18471.28259323
2020-01-21,2020-01-21T00:00:00Z,30209.08014545
2020-01-22,2020-01-22T00:00:00Z,16844.70273466
2020-01-23,2020-01-23T00:00:00Z,22955.37564625
2020-01-24,2020-01-24T00:00:00Z,17292.31834937
2020-01-25,2020-01-25T00:00:00Z,30746.55843665
2020-01-26,2020-01-26T00:00:00Z,34157.86295233
2020-01-27,2020-01-27T00:00:00Z,30944.72065845
2020-01-28,2020-01-28T00:00:00Z,29920.65795836
2020-01-29,2020-01-29T00:00:00Z,22877.10346824
2020-01-30,2020-01-30T00:00:00Z,20437.4740427
2020-01-31,2020-01-31T00:00:00Z,20813.53114725
2020-02-01,2020-02-01T00:00:00Z,19623.87371563
2020-02-02,2020-02-02T00:00:00Z,18573.52489964
2020-02-03,2020-02-03T00:00:00Z,26452.1752401
2020-02-04,2020-02-04T00:00:00Z,34072.87613094
2020-02-05,2020-02-05T00:00:00Z,74067.12142874
2020-02-06,2020-02-06T00:00:00Z,22341.17293472
2020-02-07,2020-02-07T00:00:00Z,15858.06367747
2020-02-08,2020-02-08T00:00:00Z,16024.22524008
2020-02-09,2020-02-09T00:00:00Z,20890.01781602
2020-02-10,2020-02-10T00:00:00Z,26653.31548425
2020-02-11,2020-02-11T00:00:00Z,17097.74791705
2020-02-12,2020-02-12T00:00:00Z,19912.19831686
2020-02-13,2020-02-13T00:00:00Z,17831.97783649
2020-02-14,2020-02-14T00:00:00Z,18797.55074675
2020-02-15,2020-02-15T00:00:00Z,24909.45886923
2020-02-16,2020-02-16T00:00:00Z,18413.65385788
2020-02-17,2020-02-17T00:00:00Z,20977.07481722
2020-02-18,2020-02-18T00:00:00Z,24808.67308001
2020-02-19,2020-02-19T00:00:00Z,27748.35878714
2020-02-20,2020-02-20T00:00:00Z,33936.05442611
2020-02-21,2020-02-21T00:00:00Z,16237.39878485
2020-02-22,2020-02-22T00:00:00Z,22482.85172798
2020-02-23,2020-02-23T00:00:00Z,29753.47512355
2020-02-24,2020-02-24T00:00:00Z,19824.79772422
2020-02-25,2020-02-25T00:00:00Z,17626.88649926
2020-02-26,2020-02-26T00:00:00Z,23520.77957543
2020-02-27,2020-02-27T00:00:00Z,25808.74547855
2020-02-28,2020-02-28T00:00:00Z,16950.56708102
2020-02-29,2020-02-29T00:00:00Z,20305.48700998
2020-03-01,2020-03-01T00:00:00Z,29984.10784993
2020-03-02,2020-03-02T00:00:00Z,26055.45946255
2020-03-03,2020-03-03T00:00:00Z,17409.1134041
2020-03-04,2020-03-04T00:00:00Z,19065.67200024
2020-03-05,2020-03-05T00:00:00Z,23585.52908757
2020-03-06,2020-03-06T00:00:00Z,20263.93467522
