date,Exchange Inflow (Total)
2019-07-17,8803.786812
2019-07-18,384286.322436
2019-07-19,22719.818174
2019-07-20,363316.729607
2019-07-21,34658.525612
2019-07-22,2683.472885
2019-07-23,6067.083483
2019-07-24,5015.487305
2019-07-25,2710.497338
2019-07-26,15987.851528
2019-07-27,874.982307
2019-07-28,52412.453652
2019-07-29,19044.067342
2019-07-30,37679.879297
2019-07-31,7671616.684044
2019-08-01,19567.874522
2019-08-02,44690.402004
2019-08-03,6640.247656
2019-08-04,804.368318
2019-08-05,7744.47841
2019-08-06,7951.416774
2019-08-07,989.446674
2019-08-08,5075483.081154
2019-08-09,13940.558614
2019-08-10,1550.724292
2019-08-11,8074.983502
2019-08-12,35493.259142
2019-08-13,84456.458674
2019-08-14,85480.105517
2019-08-15,18684684.199391
2019-08-16,377585.009284
2019-08-17,8495.795617
2019-08-18,10.0
2019-08-19,939.981951
2019-08-20,11082.779835
2019-08-21,5325.0
2019-08-22,22966.0
2019-08-23,11721.599104
2019-08-24,5262.446395
2019-08-25,22.029481
2019-08-26,19526.700253
2019-08-27,337.840025
2019-08-28,16349.0
2019-08-29,113651.897008
2019-08-30,26821.996059
2019-08-31,16771.622
2019-09-01,14691.824
2019-09-02,11370.460796
2019-09-03,19427.416077
2019-09-04,20469.71047
2019-09-05,19679.968178
2019-09-06,18198.67
2019-09-07,40523.042044
2019-09-08,5160.272281
2019-09-09,18350.6183
2019-09-10,15174.0
2019-09-11,22869.3809
2019-09-12,40397.289
2019-09-13,20660.994087
2019-09-14,14542.736967
2019-09-15,2881.084461
2019-09-16,15298.797556
2019-09-17,35989.230977
2019-09-18,1126354.629559
2019-09-19,157202.0
2019-09-20,16736.089674
2019-09-21,31653.573938
2019-09-22,520.85
2019-09-23,193311.99
2019-09-24,242263.342798
2019-09-25,73079.14934
2019-09-26,73293.966789
2019-09-27,78536.741799
2019-09-28,27300.44
2019-09-29,0.290747
2019-09-30,28494.0
2019-10-01,7700845.125054
2019-10-02,16352521.391164
2019-10-03,814736.747089
2019-10-04,9554905.14
2019-10-05,346877.786647
2019-10-06,500221.89
2019-10-07,161130.293173
2019-10-08,78440.5576
2019-10-09,1909.49026
2019-10-10,117287.147973
2019-10-11,215772.847667
2019-10-12,5021097.177716
2019-10-13,1544922.416939
2019-10-14,795906.781881
2019-10-15,16111.942261
2019-10-16,9744.961381
2019-10-17,2233734.380932
2019-10-18,20826.143184
2019-10-19,44659390.535054
2019-10-20,33841384.071387
2019-10-21,65660625.62692999
2019-10-22,124755934.15613502
2019-10-23,157831526.04598802
2019-10-24,193878609.6097039
2019-10-25,373724343.11254704
2019-10-26,208123833.2054284
2019-10-27,158896259.376537
2019-10-28,198830525.43808648
2019-10-29,123836447.23686792
2019-10-30,78428783.35551299
2019-10-31,79399536.98259
2019-11-01,41034536.884307
2019-11-02,60262663.189259
2019-11-03,3701794.98817
2019-11-04,4045561.892238
2019-11-05,47486311.390949
2019-11-06,35380848.152405
2019-11-07,25927896.10485599
2019-11-08,30797273.694221
2019-11-09,7526201.446253
2019-11-10,13556827.850038
2019-11-11,30789875.39497301
2019-11-12,28730945.77297099
2019-11-13,27444804.22847499
2019-11-14,6736717.324851
2019-11-15,8242158.136085
2019-11-16,7078645.241212
2019-11-17,4876853.318492
2019-11-18,16228573.940097
2019-11-19,10896202.422664
2019-11-20,18670048.23878
2019-11-21,30395007.714841
2019-11-22,38628256.19693199
2019-11-23,91974010.149987
2019-11-24,25499611.700557
2019-11-25,43916962.317511
2019-11-26,13341582.092889
2019-11-27,19419571.53703699
2019-11-28,12829379.701876
2019-11-29,84048237.876151
2019-11-30,17770987.381365
2019-12-01,20638841.618147
2019-12-02,9363510.567137
2019-12-03,9656607.174533
2019-12-04,142139339.7185291
2019-12-05,21416276.45675699
2019-12-06,17814204.81835099
2019-12-07,19122879.221368
2019-12-08,9694124.46026601
2019-12-09,16711158.798245
2019-12-10,18804987.77825701
2019-12-11,54387578.87940601
2019-12-12,20483526.20591401
2019-12-13,23673168.69902799
2019-12-14,12219626.85422
2019-12-15,7423425.062406
2019-12-16,18653869.36858501
2019-12-17,24335572.922962
2019-12-18,35505163.80630299
2019-12-19,21353183.01947699
2019-12-20,20634946.08090299
2019-12-21,9952065.50910599
2019-12-22,16078208.58464499
2019-12-23,17589363.50227399
2019-12-24,26460571.219094
2019-12-25,14369128.74396699
2019-12-26,15863175.023002
2019-12-27,13781017.47691401
2019-12-28,10661091.39099501
2019-12-29,20731282.983054
2019-12-30,27525081.726363
2019-12-31,25072320.64029301
2020-01-01,7867769.635241
2020-01-02,20882604.13190501
2020-01-03,21743722.53741199
2020-01-04,20519105.157775
2020-01-05,27505757.226058
2020-01-06,41152334.401147
2020-01-07,59245818.37741501
2020-01-08,43861963.082552
2020-01-09,36431854.43430001
2020-01-10,49532535.890822
2020-01-11,33429664.68636
2020-01-12,30037292.57496901
2020-01-13,36529813.49572199
2020-01-14,64853378.84703103
2020-01-15,37928543.68247698
2020-01-16,31298188.414409
2020-01-17,37584719.56991701
2020-01-18,22772517.52580199
2020-01-19,35982247.30199499
2020-01-20,17622583.41728799
2020-01-21,21849024.710378
2020-01-22,15120150.755113
2020-01-23,12108873.192596
2020-01-24,20275753.718448
2020-01-25,4736954.740847
2020-01-26,3421889.238049
2020-01-27,12463463.809932
2020-01-28,21209501.29015499
2020-01-29,9553869.094816
2020-01-30,15925846.71175501
2020-01-31,21662158.93775701
2020-02-01,12034769.857663
2020-02-02,16896777.892197
2020-02-03,28664615.203934
2020-02-04,21693251.33784401
2020-02-05,59067368.74808996
2020-02-06,26648459.91823602
2020-02-07,20505914.666321
2020-02-08,18807969.90679101
2020-02-09,24731710.916684
2020-02-10,95489060.26639502
2020-02-11,31754723.64579802
2020-02-12,32455781.22955899
2020-02-13,31654103.09271701
2020-02-14,35087541.42944499
2020-02-15,69511897.54201901
2020-02-16,32304658.18632501
2020-02-17,57052234.246233
2020-02-18,42409454.98106899
2020-02-19,45884251.56594103
2020-02-20,58714191.10607497
2020-02-21,23736469.51296299
2020-02-22,47653953.28351199
2020-02-23,41939435.072101
2020-02-24,43469469.765643
2020-02-25,28069668.274002
2020-02-26,52984822.67978499
2020-02-27,56155452.20485201
2020-02-28,48219140.39450698
2020-02-29,28152952.38610002
2020-03-01,24515810.09715601
2020-03-02,43970756.668184
2020-03-03,35609446.85180999
2020-03-04,47967370.290176
2020-03-05,38824252.77649502
2020-03-06,38642059.47305903
2020-03-07,21548164.250857
2020-03-08,55163400.297838
2020-03-09,54926093.69396201
2020-03-10,42093799.751006
2020-03-11,36589163.07845699
2020-03-12,116901637.25775
2020-03-13,214295090.07927296
2020-03-14,44545800.130031
2020-03-15,31093287.44990902
2020-03-16,166300355.34253198
2020-03-17,51716858.40730602
2020-03-18,35917471.08146799
2020-03-19,62648133.09381002
2020-03-20,67109372.10604201
2020-03-21,23783656.48073399
2020-03-22,51864782.231741
2020-03-23,40486011.45809
2020-03-24,49641527.48177398
2020-03-25,52290828.69017505
2020-03-26,33532761.00987495
2020-03-27,31826532.80007499
2020-03-28,44536904.42683402
2020-03-29,19172577.535359
2020-03-30,44633146.43133996
2020-03-31,33755489.80102399
2020-04-01,29126481.96315701
2020-04-02,54284577.29608195
2020-04-03,35571798.85470098
2020-04-04,14869259.811464
2020-04-05,14632025.88015801
2020-04-06,25259313.14025198
2020-04-07,41253685.71964999
2020-04-08,33816138.96910198
2020-04-09,26661350.23870497
2020-04-10,62971847.97865101
2020-04-11,35402942.82221903
2020-04-12,48043148.36134103
2020-04-13,49343939.774856
2020-04-14,35814666.26659299
2020-04-15,36553474.82739111
2020-04-16,54498893.69533392
2020-04-17,39246271.11674299
2020-04-18,34315141.316789
2020-04-19,25912709.78755603
2020-04-20,394600483.21024704
2020-04-21,42481295.55760303
2020-04-22,39237096.19443197
2020-04-23,43171925.73963396
2020-04-24,19419447.898801
2020-04-25,14308129.638343
2020-04-26,13039244.39405799
2020-04-27,22460024.04526199
2020-04-28,26599427.05478801
2020-04-29,164581127.12841398
2020-04-30,170723895.940733
2020-05-01,44961825.04633201
2020-05-02,18422217.78503301
2020-05-03,24641592.67141399
2020-05-04,34454504.70619098
2020-05-05,131127663.42353606
2020-05-06,58779705.03211208
2020-05-07,156423501.30083993
2020-05-08,343713814.11218494
2020-05-09,48492423.04345299
2020-05-10,97953523.13546492
2020-05-11,236243285.9219789
2020-05-12,53354677.202384
2020-05-13,224433550.934033
2020-05-14,53094381.96822704
2020-05-15,240733933.07990605
2020-05-16,33137469.619615
2020-05-17,35855349.70414901
2020-05-18,56737639.92620404
2020-05-19,39313113.91110901
2020-05-20,48480688.10185693
2020-05-21,37342875.74169902
2020-05-22,38363003.06246798
2020-05-23,35324499.42867597
2020-05-24,38576680.47084002
2020-05-25,37764300.57381798
2020-05-26,41301296.55075896
2020-05-27,50328083.52898296
2020-05-28,42546224.94081694
2020-05-29,207902859.53218696
2020-05-30,18147670.785021
2020-05-31,28827868.95870198
2020-06-01,100915744.23290493
2020-06-02,111656543.87032512
2020-06-03,64400455.02310997
2020-06-04,69092357.78315805
2020-06-05,55934020.20838299
2020-06-06,43940050.80389101
2020-06-07,31999176.448213
2020-06-08,67198603.881136
2020-06-09,74233048.70108895
2020-06-10,170311093.7487084
2020-06-11,311930104.248677
2020-06-12,45381248.59999997
2020-06-13,46055281.647233
2020-06-14,30524879.52129699
2020-06-15,88670266.78036405
2020-06-16,45319596.89305604
2020-06-17,56873953.69130401
2020-06-18,39089029.65293705
2020-06-19,47043454.38819505
2020-06-20,32637040.95837999
2020-06-21,20988710.998717
2020-06-22,68214995.35272998
2020-06-23,44456092.71486201
2020-06-24,78944660.286366
2020-06-25,33102340.95127
2020-06-26,35316554.56106099
2020-06-27,47424034.71063799
2020-06-28,44720747.2859
2020-06-29,53432283.49159095
2020-06-30,48222964.08274498
2020-07-01,50066864.91660801
2020-07-02,75196320.14448497
2020-07-03,83550325.18676805
2020-07-04,34125149.08843499
2020-07-05,35770303.17719499
2020-07-06,187764518.11523387
2020-07-07,1010414179.081788
2020-07-08,103373335.61085597
2020-07-09,95566985.64193498
2020-07-10,79180161.93959399
2020-07-11,124015762.33456697
2020-07-12,80019957.85195205
2020-07-13,83887589.62001507
2020-07-14,90167644.25687107
2020-07-15,52306001.54829103
2020-07-16,108546034.918656
2020-07-17,46550306.641827
2020-07-18,67801687.34277001
2020-07-19,34324397.68563103
2020-07-20,154304726.83776802
2020-07-21,135412304.3647101
2020-07-22,175961241.72545004
2020-07-23,120637089.08109608
2020-07-24,105231681.27600902
2020-07-25,81896235.98400998
2020-07-26,69225542.83530492
2020-07-27,294618670.59821576
2020-07-28,137222567.916615
2020-07-29,334309994.59440005
2020-07-30,243032395.3203889
2020-07-31,148654663.059864
2020-08-01,175224304.59943822
2020-08-02,302393202.6309351
2020-08-03,112107125.96107388
2020-08-04,206317635.4853429
2020-08-05,142097537.22936428
2020-08-06,177477954.32695213
2020-08-07,94130795.00018
2020-08-08,273834356.63191205
2020-08-09,75289785.98353708
2020-08-10,133642831.13804229
2020-08-11,180438809.04271808
2020-08-12,122854603.37542522
2020-08-13,252663502.5738219
2020-08-14,148870211.87616712
2020-08-15,151687924.122272
2020-08-16,98066509.1183699
2020-08-17,163701183.4052632
2020-08-18,169404746.4672292
2020-08-19,177821050.9001022
2020-08-20,154787822.25335202
2020-08-21,120575411.75789784
2020-08-22,83721488.06664798
2020-08-23,74465797.95947585
2020-08-24,92161383.49846505
2020-08-25,99120756.38472508
2020-08-26,109090497.48210384
2020-08-27,276724928.73017484
2020-08-28,180126241.69737887
2020-08-29,86063122.72670406
2020-08-30,101279580.96063192
2020-08-31,160165316.78018108
2020-09-01,249956070.68028128
2020-09-02,350381937.3690376
2020-09-03,358359268.8675016
2020-09-04,517755805.94786286
2020-09-05,279803575.66682553
2020-09-06,196212363.456056
2020-09-07,166570613.35674277
2020-09-08,212944693.62330288
2020-09-09,160722931.70260042
2020-09-10,241143916.70485112
2020-09-11,222451885.4756612
2020-09-12,90081249.42036498
2020-09-13,118401595.82686213
2020-09-14,187865950.37277704
2020-09-15,159470177.14291286
2020-09-16,172166124.7963791
2020-09-17,255183132.37819856
2020-09-18,224177986.5202132
2020-09-19,95106554.45466287
2020-09-20,112783724.40529104
2020-09-21,197748710.20058173
2020-09-22,172516581.35207787
2020-09-23,138474895.34341913
2020-09-24,111686548.48868224
2020-09-25,133224022.93893924
2020-09-26,123922633.363551
2020-09-27,76545210.11280997
2020-09-28,136301855.31054774
2020-09-29,110581231.16869086
2020-09-30,147884297.35027093
2020-10-01,154499980.74351716
2020-10-02,164706235.32144502
2020-10-03,60478322.30532575
2020-10-04,64352501.16087705
2020-10-05,77026743.37929392
2020-10-06,69567862.71212399
2020-10-07,92683889.57871884
2020-10-08,105365080.49414805
2020-10-09,184907006.68202385
2020-10-10,112066290.84335008
2020-10-11,74765362.08996399
2020-10-12,136940144.7797693
2020-10-13,96560753.73572496
2020-10-14,133252687.2473441
2020-10-15,118762099.90346225
2020-10-16,114640342.52260695
2020-10-17,49537957.16341697
2020-10-18,44034233.96344589
2020-10-19,83761667.35740504
2020-10-20,102997749.51630215
2020-10-21,231920994.08962303
2020-10-22,135162305.73622105
2020-10-23,110381363.72553688
2020-10-24,62762014.97874992
2020-10-25,69163574.89218986
2020-10-26,179056202.96372497
2020-10-27,210807496.87693623
2020-10-28,206966485.44199696
2020-10-29,87399077.72078201
2020-10-30,238225199.240448
2020-10-31,68532875.71790199
2020-11-01,45086748.3721939
2020-11-02,504410864.8508869
2020-11-03,879935454.5754844
2020-11-04,150979961.6065433
2020-11-05,248832018.863614
2020-11-06,451579918.6310916
2020-11-07,117472478.08406489
2020-11-08,85982240.54848588
2020-11-09,185819145.44449908
2020-11-10,150375095.78598675
2020-11-11,232885100.85629776
2020-11-12,124073312.49757455
