date,Exchange Inflow (Mean)
2019-07-17,2934.595604
2019-07-18,4926.74772354
2019-07-19,873.83916054
2019-07-20,19121.93313721
2019-07-21,3150.77505564
2019-07-22,447.24548083
2019-07-23,551.55304391
2019-07-24,278.63818361
2019-07-25,387.21390543
2019-07-26,1229.83473292
2019-07-27,145.8303845
2019-07-28,3494.1635768
2019-07-29,1587.00561183
2019-07-30,3139.98994142
2019-07-31,547972.62028886
2019-08-01,2445.98431525
2019-08-02,2352.12642126
2019-08-03,830.030957
2019-08-04,114.90975971
2019-08-05,860.49760111
2019-08-06,611.64744415
2019-08-07,98.9446674
2019-08-08,338365.5387436
2019-08-09,1267.32351036
2019-08-10,129.22702433
2019-08-11,897.22038911
2019-08-12,3943.69546022
2019-08-13,8445.6458674
2019-08-14,7123.34212642
2019-08-15,1099099.07055241
2019-08-16,47198.1261605
2019-08-17,2831.93187233
2019-08-18,10.0
2019-08-19,313.327317
2019-08-20,2770.69495875
2019-08-21,1775.0
2019-08-22,22966.0
2019-08-23,3907.19970133
2019-08-24,1754.14879833
2019-08-25,22.029481
2019-08-26,6508.90008433
2019-08-27,84.46000625
2019-08-28,5449.66666667
2019-08-29,11365.1897008
2019-08-30,4470.3326765
2019-08-31,2795.27033333
2019-09-01,4897.27466667
2019-09-02,3790.15359867
2019-09-03,4856.85401925
2019-09-04,3411.61841167
2019-09-05,1967.9968178
2019-09-06,3033.11166667
2019-09-07,4052.3042044
2019-09-08,1032.0544562
2019-09-09,2621.5169
2019-09-10,3034.8
2019-09-11,3811.56348333
2019-09-12,8079.4578
2019-09-13,2951.57058386
2019-09-14,7271.3684835
2019-09-15,960.361487
2019-09-16,5099.59918533
2019-09-17,3998.80344189
2019-09-18,102395.87541445
2019-09-19,31440.4
2019-09-20,3347.2179348
2019-09-21,7913.3934845
2019-09-22,520.85
2019-09-23,48327.9975
2019-09-24,60565.8356995
2019-09-25,8119.90548222
2019-09-26,9161.74584862
2019-09-27,13089.4569665
2019-09-28,5460.088
2019-09-29,0.290747
2019-09-30,7123.5
2019-10-01,770084.5125054
2019-10-02,131875.17250939
2019-10-03,101842.09338613
2019-10-04,1194363.1425
2019-10-05,31534.34424064
2019-10-06,166740.63
2019-10-07,16113.0293173
2019-10-08,8715.61751111
2019-10-09,238.6862825
2019-10-10,10662.46799755
2019-10-11,14384.85651113
2019-10-12,717299.59681657
2019-10-13,85829.02316328
2019-10-14,46818.045993
2019-10-15,2685.32371017
2019-10-16,609.06008631
2019-10-17,117564.96741747
2019-10-18,2975.163312
2019-10-19,3189956.46678957
2019-10-20,1471364.52484291
2019-10-21,197179.05593673
2019-10-22,128217.81516561
2019-10-23,183738.67991384
2019-10-24,325299.68055319
2019-10-25,540845.64849862
2019-10-26,155664.79671311
2019-10-27,139750.44800047
2019-10-28,210402.67242126
2019-10-29,165778.37648844
2019-10-30,214286.29332107
2019-10-31,268241.67899524
2019-11-01,218268.8132144
2019-11-02,376641.64493287
2019-11-03,24678.63325447
2019-11-04,14244.93624027
2019-11-05,82298.63325988
2019-11-06,46189.09680471
2019-11-07,37522.28090428
2019-11-08,41283.20870539
2019-11-09,19150.63981235
2019-11-10,41331.79222573
2019-11-11,63615.44503094
2019-11-12,60232.59071902
2019-11-13,58894.42967484
2019-11-14,12930.35954866
2019-11-15,17725.0712604
2019-11-16,19183.32043689
2019-11-17,15005.70251844
2019-11-18,36468.70548336
2019-11-19,24053.4269816
2019-11-20,36824.55273921
2019-11-21,58116.64955037
2019-11-22,55901.96265837
2019-11-23,229361.62132166
2019-11-24,72032.801414
2019-11-25,78423.14699556
2019-11-26,41177.72250892
2019-11-27,47831.45698778
2019-11-28,41926.07745711
2019-11-29,219447.09628238
2019-11-30,65334.51243149
2019-12-01,48676.51325035
2019-12-02,24640.81728194
2019-12-03,28485.56688653
2019-12-04,119746.70574434
2019-12-05,21920.44673158
2019-12-06,18991.6895718
2019-12-07,19180.42048282
2019-12-08,10301.93885257
2019-12-09,22923.40027194
2019-12-10,25343.64929684
2019-12-11,86742.5500469
2019-12-12,27680.4408188
2019-12-13,30350.21628081
2019-12-14,16314.58859041
2019-12-15,11764.54051094
2019-12-16,23346.51986056
2019-12-17,29786.50296568
2019-12-18,35683.58171488
2019-12-19,27588.09175643
2019-12-20,26938.57190718
2019-12-21,15897.86822541
2019-12-22,26444.42201422
2019-12-23,21502.88936708
2019-12-24,33075.71402387
2019-12-25,18258.10513846
2019-12-26,25381.0800368
2019-12-27,24262.35471288
2019-12-28,24396.09013958
2019-12-29,34725.76714079
2019-12-30,32651.34249865
2019-12-31,35412.8822603
2020-01-01,11502.58718602
2020-01-02,20137.51603848
2020-01-03,25490.8822244
2020-01-04,29396.99879337
2020-01-05,39350.15339922
2020-01-06,42468.86935103
2020-01-07,41142.92942876
2020-01-08,37910.08045164
2020-01-09,42660.25109403
