date,Exchange Netflow (Total)
2019-07-17,8784.767639
2019-07-18,383360.675501
2019-07-19,-19680.681826
2019-07-20,20019.892365
2019-07-21,24293.181922
2019-07-22,-148858.106474
2019-07-23,-993960.39668
2019-07-24,-2103310.131471
2019-07-25,-997360.581674
2019-07-26,-9443.398472
2019-07-27,-112784.413709
2019-07-28,13914.321898
2019-07-29,16224.344316
2019-07-30,21763.585297
2019-07-31,2643221.907682
2019-08-01,-50060.125478
2019-08-02,16612.129644
2019-08-03,5711.417751
2019-08-04,-5720.684238
2019-08-05,941.574771
2019-08-06,-45694.61313
2019-08-07,-35537.506593
2019-08-08,2244817.39909
2019-08-09,-5892.75583
2019-08-10,-44188.275708
2019-08-11,8074.983502
2019-08-12,34578.990335
2019-08-13,6943.30702
2019-08-14,-80677.229604
2019-08-15,16893670.431819
2019-08-16,38217.852615
2019-08-17,-102023.204383
2019-08-18,-5980.385941
2019-08-19,-107934.018049
2019-08-20,73.779835
2019-08-21,-22003.035523
2019-08-22,12591.0
2019-08-23,-6968.400896
2019-08-24,-1070.525759
2019-08-25,-13801.970519
2019-08-26,14391.700253
2019-08-27,0.200919
2019-08-28,79.0
2019-08-29,95928.897008
2019-08-30,20711.672691
2019-08-31,8855.295356
2019-09-01,14691.824
2019-09-02,-15649.539204
2019-09-03,-32394.763942
2019-09-04,-13436.633981
2019-09-05,18794.03
2019-09-06,-18208.33
2019-09-07,40521.970034
2019-09-08,-1350.932201
2019-09-09,10618.2303
2019-09-10,-1430.105891
2019-09-11,6469.058858
2019-09-12,-18640.0
2019-09-13,-13330.716494
2019-09-14,-18026.19929
2019-09-15,-3855.413539
2019-09-16,-1313.743408
2019-09-17,19036.173591
2019-09-18,1009241.312345
2019-09-19,-95691.066424
2019-09-20,-6538.736185
2019-09-21,-147.591975
2019-09-22,-2218.57562
2019-09-23,76346.490862
2019-09-24,-208639.63528
2019-09-25,-24826.49966
2019-09-26,-75387.517797
2019-09-27,-8761.825201
2019-09-28,-28040.47
2019-09-29,-23554.02991
2019-09-30,-74641.225423
2019-10-01,-760535.910027
2019-10-02,8208760.275947
2019-10-03,-4423034.429407
2019-10-04,-8474176.504316
2019-10-05,-2909294.722433
2019-10-06,-1530431.80276
2019-10-07,-992526.758204
2019-10-08,-3007371.752792
2019-10-09,-2919409.948528
2019-10-10,-1187868.939927
2019-10-11,-1643564.333833
2019-10-12,3916702.259888
2019-10-13,-874700.276748
2019-10-14,-536551.287135
2019-10-15,-645805.998406
2019-10-16,-432093.90763
2019-10-17,1785096.380932
2019-10-18,-382971.170315
2019-10-19,37040896.770633
2019-10-20,7625153.81872
2019-10-21,46713040.66040801
2019-10-22,97151361.608264
2019-10-23,107917903.23889402
2019-10-24,93166691.56736088
2019-10-25,176855247.766812
2019-10-26,64208994.43807639
2019-10-27,12573601.59382522
2019-10-28,51622194.99903948
2019-10-29,-3734342.67517407
2019-10-30,-10114955.79419601
2019-10-31,4286899.10225004
2019-11-01,-54947847.40227105
2019-11-02,-19628882.096912
2019-11-03,-40550579.31142001
2019-11-04,-43562563.22173101
2019-11-05,-7597702.58670801
2019-11-06,-5276866.81951399
2019-11-07,-27756322.04860601
2019-11-08,-28793997.13620502
2019-11-09,-24193550.908481
2019-11-10,-15484902.211164
2019-11-11,-24162954.10515499
2019-11-12,-25522466.30393801
2019-11-13,-7608348.13741801
2019-11-14,-7370081.26303201
2019-11-15,-3274174.061095
2019-11-16,-1334054.76047
2019-11-17,-3384424.157768
2019-11-18,-5732689.167398
2019-11-19,-11357472.2455
2019-11-20,304289.558781
2019-11-21,-21325452.39278802
2019-11-22,-9963829.80260099
2019-11-23,69418217.060904
2019-11-24,4527325.822271
2019-11-25,-6198676.54244503
2019-11-26,-23785595.06039599
2019-11-27,-7654296.31559602
2019-11-28,-10109485.025608
2019-11-29,12228418.31282897
2019-11-30,-1051085.015961
2019-12-01,-3575363.97890499
2019-12-02,-11999673.42627401
2019-12-03,-13976733.086249
2019-12-04,32601697.47835709
2019-12-05,-11172672.73891699
2019-12-06,-14025530.11348101
2019-12-07,-9959684.83952901
2019-12-08,-7621930.14371901
2019-12-09,-12264134.29261199
2019-12-10,-3890664.414437
2019-12-11,34885408.247397
2019-12-12,-119536.37955099
2019-12-13,8235871.65666799
2019-12-14,-2218449.00920001
2019-12-15,-2334488.533867
2019-12-16,-2065140.26041499
2019-12-17,-6211834.53816999
2019-12-18,4462195.191558
2019-12-19,-7443137.74401402
2019-12-20,282378.85189399
2019-12-21,-4615756.26641701
2019-12-22,1192323.411047
2019-12-23,-10859388.58872499
2019-12-24,395144.982074
2019-12-25,-2079088.27599202
2019-12-26,-642003.57506099
2019-12-27,-9570192.70741598
2019-12-28,-5830976.43544799
2019-12-29,4065190.45992499
2019-12-30,4581056.640177
2019-12-31,1580067.446051
2020-01-01,-3869875.20607499
2020-01-02,-5458867.59647699
2020-01-03,-4643364.928723
2020-01-04,-2678012.69125399
2020-01-05,6318206.735983
2020-01-06,6277843.62000701
2020-01-07,6475727.28121202
2020-01-08,-8966709.24518101
2020-01-09,-3071279.20638799
2020-01-10,-559009.004391
2020-01-11,-13074911.542459
2020-01-12,-3831140.46975399
2020-01-13,-284739.18802
2020-01-14,-17404235.73973596
2020-01-15,-17596402.222183
2020-01-16,-6144687.63517602
2020-01-17,-4781561.990947
2020-01-18,-1443870.11448499
2020-01-19,6050482.40478498
2020-01-20,-2843597.696011
2020-01-21,-10051763.92321299
2020-01-22,-6137864.096026
2020-01-23,-2100504.33243
2020-01-24,10816855.581345
2020-01-25,-3164910.777373
2020-01-26,-10275413.80583701
2020-01-27,-2575670.430075
2020-01-28,-16131479.84187902
2020-01-29,-6185578.09133
2020-01-30,-6064875.35819099
2020-01-31,-2065266.570104
2020-02-01,-3978311.094294
2020-02-02,-2698290.87692801
2020-02-03,466596.39799199
2020-02-04,-19057908.51476501
2020-02-05,-105583842.18799298
2020-02-06,-3690852.92711002
2020-02-07,-6976109.686737
2020-02-08,-2536298.11300198
2020-02-09,-3407143.08149499
2020-02-10,24191441.34603604
2020-02-11,-1107147.85076695
2020-02-12,-459082.58821396
2020-02-13,-6613321.34438897
2020-02-14,-3259462.09393102
2020-02-15,21835193.266312
2020-02-16,798896.43549502
2020-02-17,14930268.01326201
2020-02-18,-8398707.48679299
2020-02-19,4816680.560977
2020-02-20,-4372934.07206604
2020-02-21,-6075394.65601899
2020-02-22,15278646.79522
2020-02-23,-13907837.73480698
2020-02-24,3918998.30582901
2020-02-25,-9528480.62891999
2020-02-26,-7345976.93118294
2020-02-27,4021786.33817705
2020-02-28,17250454.337476
2020-02-29,-2345889.10289399
2020-03-01,-23878539.97262802
2020-03-02,-2381905.71569801
2020-03-03,10453277.98288599
2020-03-04,11971381.553717
2020-03-05,-9290226.56214498
2020-03-06,39263.91676604
2020-03-07,-4488341.741106
2020-03-08,11727882.89070401
2020-03-09,-10925819.439276
2020-03-10,-3019056.14302598
2020-03-11,-5149471.25509701
2020-03-12,14658636.77746403
2020-03-13,74569262.93971498
2020-03-14,-9712398.11509902
2020-03-15,-18381388.98752095
2020-03-16,22643575.716253
2020-03-17,4877362.32149796
2020-03-18,-14037492.08836606
2020-03-19,13169359.098322
2020-03-20,10584314.95366201
2020-03-21,-13569133.939502
2020-03-22,3286618.277363
2020-03-23,-8719646.23755405
2020-03-24,5921598.22680602
2020-03-25,13139224.32164812
2020-03-26,8467530.75761099
2020-03-27,3572345.134229
2020-03-28,-2726386.87486005
2020-03-29,1199194.809077
2020-03-30,12472139.29503897
2020-03-31,-2618215.37103901
2020-04-01,-9136370.44337798
2020-04-02,6163291.50673197
2020-04-03,1427852.562733
2020-04-04,-10460850.95749799
2020-04-05,417863.507063
2020-04-06,-17011924.99592303
2020-04-07,-2237235.86477901
2020-04-08,2952209.43403097
2020-04-09,-3919517.17770901
2020-04-10,27047032.05770005
2020-04-11,18270521.26695303
2020-04-12,15139890.77844901
2020-04-13,6710794.03234999
2020-04-14,5824625.577595
2020-04-15,-3304451.49246991
2020-04-16,-10384484.09571707
2020-04-17,11135403.06535001
2020-04-18,6035533.67609901
2020-04-19,7367183.22557307
2020-04-20,359161451.43066305
2020-04-21,16150781.09558005
2020-04-22,10780897.66367193
2020-04-23,-9205187.49826605
2020-04-24,-56383761.00053097
2020-04-25,-10467528.31629197
2020-04-26,-4662765.652152
2020-04-27,-3812284.54236706
2020-04-28,3190621.633775
2020-04-29,107718069.26457196
2020-04-30,108385665.96314584
2020-05-01,8426075.02100102
2020-05-02,-7446885.83756001
2020-05-03,-13618002.18095702
2020-05-04,2755449.44188398
2020-05-05,95861361.41307203
2020-05-06,18168279.67520907
2020-05-07,99004838.98897198
2020-05-08,49427144.49108599
2020-05-09,20978816.82833801
2020-05-10,26127692.95354689
2020-05-11,194800572.6143689
2020-05-12,22385893.11398399
2020-05-13,191902389.71806404
2020-05-14,-6137000.81958902
2020-05-15,191843520.02584305
2020-05-16,-5029226.44266698
2020-05-17,2345871.29374601
2020-05-18,19203406.84312502
2020-05-19,5629554.704843
2020-05-20,3632790.37769796
2020-05-21,4392560.91460607
2020-05-22,-27913277.44706004
2020-05-23,10451758.81717195
2020-05-24,2318830.50023398
2020-05-25,5021383.20256297
2020-05-26,3038391.55351494
2020-05-27,6376194.50530799
2020-05-28,-2086316.77631608
2020-05-29,186855106.637738
2020-05-30,-14741909.16049702
2020-05-31,-6002957.37223302
2020-06-01,42239001.90883794
2020-06-02,16646481.56173013
2020-06-03,21316536.93200193
2020-06-04,9426181.22741707
2020-06-05,2857960.1361641
2020-06-06,22451589.55905202
2020-06-07,-6264771.16375801
2020-06-08,15647158.67263203
2020-06-09,12384358.197819
2020-06-10,20335543.83430718
2020-06-11,196154763.59750608
2020-06-12,-15071817.75488896
2020-06-13,9173111.79356709
2020-06-14,-11627074.52741302
2020-06-15,15537007.09637931
2020-06-16,-3411813.73474995
2020-06-17,5623859.33818999
2020-06-18,-45268.07925697
2020-06-19,1587604.25995507
2020-06-20,181769.289833
2020-06-21,-4025724.672938
2020-06-22,-987914769.868105
2020-06-23,11850752.37318303
2020-06-24,46152402.41333989
2020-06-25,6863303.80378997
2020-06-26,-198369.62218102
2020-06-27,3786449.68646191
2020-06-28,3417036.569271
2020-06-29,4504051.18179997
2020-06-30,2027871.21520696
2020-07-01,4692079.37294695
2020-07-02,7024722.52467182
2020-07-03,36029529.209282
2020-07-04,-5681536.84386803
2020-07-05,4431888.28782699
2020-07-06,-3411697.20850625
2020-07-07,869608925.9551051
2020-07-08,24669314.69906611
2020-07-09,24494156.06376804
2020-07-10,25097872.3964199
2020-07-11,-1186754.44715301
2020-07-12,17503121.69192622
2020-07-13,19799805.73511003
2020-07-14,-46410498.07542302
2020-07-15,4275081.58087892
2020-07-16,10373806.7895829
2020-07-17,6808590.12860903
2020-07-18,33884499.80209202
2020-07-19,7240298.92505214
2020-07-20,-48601250.01949481
2020-07-21,51434698.15594307
2020-07-22,-34836174.83771787
2020-07-23,55812133.25652905
2020-07-24,48961293.25260694
2020-07-25,23254982.93411202
2020-07-26,6811617.59134395
2020-07-27,22139070.90574672
2020-07-28,-12228565.49505096
2020-07-29,250875733.9792072
2020-07-30,56810208.71167606
