date,timestamp_utc,Exchange Inflow (Top10)
2019-11-07,2019-11-07T00:00:00Z,18703041.344984
2019-11-08,2019-11-08T00:00:00Z,22594864.610463
2019-11-09,2019-11-09T00:00:00Z,4955911.407132
2019-11-10,2019-11-10T00:00:00Z,11401039.207648
2019-11-11,2019-11-11T00:00:00Z,25459971.183506
2019-11-12,2019-11-12T00:00:00Z,23907877.986542
2019-11-13,2019-11-13T00:00:00Z,22791035.369847
2019-11-14,2019-11-14T00:00:00Z,2334460.117416
2019-11-15,2019-11-15T00:00:00Z,4439471.473723
2019-11-16,2019-11-16T00:00:00Z,4492764.135946
2019-11-17,2019-11-17T00:00:00Z,2822981.623899
2019-11-18,2019-11-18T00:00:00Z,11170640.031133
2019-11-19,2019-11-19T00:00:00Z,6553207.53725
2019-11-20,2019-11-20T00:00:00Z,13828546.271984
2019-11-21,2019-11-21T00:00:00Z,24354990.762126
2019-11-22,2019-11-22T00:00:00Z,24955507.324189
2019-11-23,2019-11-23T00:00:00Z,87883149.547263
2019-11-24,2019-11-24T00:00:00Z,21853175.875297
2019-11-25,2019-11-25T00:00:00Z,33281618.867751
2019-11-26,2019-11-26T00:00:00Z,9718662.170005
2019-11-27,2019-11-27T00:00:00Z,13220204.157025
2019-11-28,2019-11-28T00:00:00Z,9544641.894471
2019-11-29,2019-11-29T00:00:00Z,79426900.5377
2019-11-30,2019-11-30T00:00:00Z,15159686.909097
2019-12-01,2019-12-01T00:00:00Z,16335526.065804
2019-12-02,2019-12-02T00:00:00Z,5792177.666135
2019-12-03,2019-12-03T00:00:00Z,6550667.109422
2019-12-04,2019-12-04T00:00:00Z,119734186.090097
2019-12-05,2019-12-05T00:00:00Z,12033367.122878
2019-12-06,2019-12-06T00:00:00Z,8114558.020358
2019-12-07,2019-12-07T00:00:00Z,8950655.088875
2019-12-08,2019-12-08T00:00:00Z,3529282.740815
2019-12-09,2019-12-09T00:00:00Z,9046403.755511
2019-12-10,2019-12-10T00:00:00Z,12054038.643954
2019-12-11,2019-12-11T00:00:00Z,46132158.877275
2019-12-12,2019-12-12T00:00:00Z,10077137.771623
2019-12-13,2019-12-13T00:00:00Z,12691902.884899
2019-12-14,2019-12-14T00:00:00Z,5492739.798884
2019-12-15,2019-12-15T00:00:00Z,3264988.345801
2019-12-16,2019-12-16T00:00:00Z,6947135.92317
2019-12-17,2019-12-17T00:00:00Z,12223981.408018
2019-12-18,2019-12-18T00:00:00Z,16896718.175361
2019-12-19,2019-12-19T00:00:00Z,9537691.32864
2019-12-20,2019-12-20T00:00:00Z,10969986.399848
2019-12-21,2019-12-21T00:00:00Z,4585695.029731
2019-12-22,2019-12-22T00:00:00Z,10877829.667953
2019-12-23,2019-12-23T00:00:00Z,5357507.935244
2019-12-24,2019-12-24T00:00:00Z,16396819.966973
2019-12-25,2019-12-25T00:00:00Z,6211508.840435
2019-12-26,2019-12-26T00:00:00Z,5903158.427074
2019-12-27,2019-12-27T00:00:00Z,6221865.368138
2019-12-28,2019-12-28T00:00:00Z,5409378.676416
2019-12-29,2019-12-29T00:00:00Z,13057775.560224
2019-12-30,2019-12-30T00:00:00Z,17342257.789255
2019-12-31,2019-12-31T00:00:00Z,16513765.154483
2020-01-01,2020-01-01T00:00:00Z,2582183.070912
2020-01-02,2020-01-02T00:00:00Z,8386516.201929
2020-01-03,2020-01-03T00:00:00Z,7730449.05146
2020-01-04,2020-01-04T00:00:00Z,10168242.947462
2020-01-05,2020-01-05T00:00:00Z,19074943.7493
2020-01-06,2020-01-06T00:00:00Z,25628333.779088
2020-01-07,2020-01-07T00:00:00Z,28108496.913768
2020-01-08,2020-01-08T00:00:00Z,24087364.318469
2020-01-09,2020-01-09T00:00:00Z,21156827.041932
2020-01-10,2020-01-10T00:00:00Z,27468270.849682
2020-01-11,2020-01-11T00:00:00Z,20154720.853196
2020-01-12,2020-01-12T00:00:00Z,18402061.748611
2020-01-13,2020-01-13T00:00:00Z,22293338.897674
2020-01-14,2020-01-14T00:00:00Z,23017545.575909
2020-01-15,2020-01-15T00:00:00Z,14270925.224949
2020-01-16,2020-01-16T00:00:00Z,18367561.9961
2020-01-17,2020-01-17T00:00:00Z,16639134.732098
2020-01-18,2020-01-18T00:00:00Z,10678577.604366
2020-01-19,2020-01-19T00:00:00Z,19464683.335278
2020-01-20,2020-01-20T00:00:00Z,8407831.815551
2020-01-21,2020-01-21T00:00:00Z,12233417.689373
2020-01-22,2020-01-22T00:00:00Z,6610986.079058
2020-01-23,2020-01-23T00:00:00Z,6320415.254179
2020-01-24,2020-01-24T00:00:00Z,16842178.365016
2020-01-25,2020-01-25T00:00:00Z,3663518.56308
2020-01-26,2020-01-26T00:00:00Z,2600139.830467
2020-01-27,2020-01-27T00:00:00Z,8803117.1129
2020-01-28,2020-01-28T00:00:00Z,11198539.054558
2020-01-29,2020-01-29T00:00:00Z,5393327.222416
2020-01-30,2020-01-30T00:00:00Z,8368619.208419
2020-01-31,2020-01-31T00:00:00Z,9601299.781914
2020-02-01,2020-02-01T00:00:00Z,6942063.756557
2020-02-02,2020-02-02T00:00:00Z,8738044.931427
2020-02-03,2020-02-03T00:00:00Z,16578279.43833
2020-02-04,2020-02-04T00:00:00Z,11821865.55789
2020-02-05,2020-02-05T00:00:00Z,38672548.526
2020-02-06,2020-02-06T00:00:00Z,13392302.095255
2020-02-07,2020-02-07T00:00:00Z,6109015.48805
2020-02-08,2020-02-08T00:00:00Z,9304324.357847
2020-02-09,2020-02-09T00:00:00Z,10403995.4267
2020-02-10,2020-02-10T00:00:00Z,65619151.340862
2020-02-11,2020-02-11T00:00:00Z,11615491.467038
2020-02-12,2020-02-12T00:00:00Z,14277708.947798
2020-02-13,2020-02-13T00:00:00Z,11389888.928965
2020-02-14,2020-02-14T00:00:00Z,10790780.338691
2020-02-15,2020-02-15T00:00:00Z,42702587.742193
2020-02-16,2020-02-16T00:00:00Z,9485568.835349
2020-02-17,2020-02-17T00:00:00Z,20227678.860855
2020-02-18,2020-02-18T00:00:00Z,15359384.779525
2020-02-19,2020-02-19T00:00:00Z,26437661.899206
2020-02-20,2020-02-20T00:00:00Z,34212006.961693
2020-02-21,2020-02-21T00:00:00Z,8850114.936012
2020-02-22,2020-02-22T00:00:00Z,36147788.993355
2020-02-23,2020-02-23T00:00:00Z,21890224.382622
2020-02-24,2020-02-24T00:00:00Z,16812992.443511
2020-02-25,2020-02-25T00:00:00Z,9893427.940318
2020-02-26,2020-02-26T00:00:00Z,20044991.792736
2020-02-27,2020-02-27T00:00:00Z,35128592.96496399
2020-02-28,2020-02-28T00:00:00Z,17885230.50179
2020-02-29,2020-02-29T00:00:00Z,9499208.83257
2020-03-01,2020-03-01T00:00:00Z,9429876.807155
2020-03-02,2020-03-02T00:00:00Z,22245605.224005
2020-03-03,2020-03-03T00:00:00Z,19841212.017628
2020-03-04,2020-03-04T00:00:00Z,26914773.368528
2020-03-05,2020-03-05T00:00:00Z,18233313.537635
2020-03-06,2020-03-06T00:00:00Z,15040887.112823
2020-03-07,2020-03-07T00:00:00Z,7276596.639358
2020-03-08,2020-03-08T00:00:00Z,19963997.3192
2020-03-09,2020-03-09T00:00:00Z,21859739.522704
2020-03-10,2020-03-10T00:00:00Z,18910562.3888
2020-03-11,2020-03-11T00:00:00Z,14578280.426378
2020-03-12,2020-03-12T00:00:00Z,41335728.717315
2020-03-13,2020-03-13T00:00:00Z,129475143.543244
2020-03-14,2020-03-14T00:00:00Z,18260925.6713
2020-03-15,2020-03-15T00:00:00Z,11278123.254
2020-03-16,2020-03-16T00:00:00Z,123439078.7349
