date,Exchange Withdrawing Transactions
2015-08-07,6
2015-08-08,200
2015-08-09,370
2015-08-10,520
2015-08-11,501
2015-08-12,476
2015-08-13,1106
2015-08-14,1075
2015-08-15,658
2015-08-16,718
2015-08-17,594
2015-08-18,882
2015-08-19,576
2015-08-20,443
2015-08-21,904
2015-08-22,760
2015-08-23,844
2015-08-24,776
2015-08-25,736
2015-08-26,837
2015-08-27,714
2015-08-28,596
2015-08-29,568
2015-08-30,530
2015-08-31,516
2015-09-01,268
2015-09-02,226
2015-09-03,226
2015-09-04,208
2015-09-05,210
2015-09-06,204
2015-09-07,264
2015-09-08,309
2015-09-09,193
2015-09-10,258
2015-09-11,616
2015-09-12,265
2015-09-13,274
2015-09-14,336
2015-09-15,274
2015-09-16,242
2015-09-17,380
2015-09-18,276
2015-09-19,198
2015-09-20,194
2015-09-21,162
2015-09-22,162
2015-09-23,156
2015-09-24,194
2015-09-25,337
2015-09-26,269
2015-09-27,203
2015-09-28,486
2015-09-29,304
2015-09-30,234
2015-10-01,322
2015-10-02,134
2015-10-03,154
2015-10-04,158
2015-10-05,168
2015-10-06,194
2015-10-07,243
2015-10-08,148
2015-10-09,230
2015-10-10,116
2015-10-11,110
2015-10-12,142
2015-10-13,134
2015-10-14,329
2015-10-15,216
2015-10-16,226
2015-10-17,248
2015-10-18,205
2015-10-19,164
2015-10-20,224
2015-10-21,248
2015-10-22,214
2015-10-23,182
2015-10-24,157
2015-10-25,193
2015-10-26,198
2015-10-27,316
2015-10-28,408
2015-10-29,386
2015-10-30,454
2015-10-31,240
2015-11-01,170
2015-11-02,277
2015-11-03,333
2015-11-04,442
2015-11-05,349
2015-11-06,226
2015-11-07,216
2015-11-08,232
2015-11-09,328
2015-11-10,274
2015-11-11,328
2015-11-12,312
2015-11-13,241
2015-11-14,269
2015-11-15,242
2015-11-16,288
2015-11-17,338
2015-11-18,240
2015-11-19,300
2015-11-20,276
2015-11-21,240
2015-11-22,170
2015-11-23,346
2015-11-24,370
2015-11-25,308
2015-11-26,390
2015-11-27,254
2015-11-28,272
2015-11-29,256
2015-11-30,276
2015-12-01,252
2015-12-02,262
2015-12-03,288
2015-12-04,208
2015-12-05,220
2015-12-06,296
2015-12-07,298
2015-12-08,234
2015-12-09,287
2015-12-10,266
2015-12-11,348
2015-12-12,430
2015-12-13,290
2015-12-14,272
2015-12-15,238
2015-12-16,288
2015-12-17,312
2015-12-18,222
2015-12-19,242
2015-12-20,252
2015-12-21,316
2015-12-22,246
2015-12-23,288
2015-12-24,266
2015-12-25,172
2015-12-26,178
2015-12-27,198
2015-12-28,286
2015-12-29,246
2015-12-30,168
2015-12-31,322
2016-01-01,240
2016-01-02,266
2016-01-03,318
2016-01-04,338
2016-01-05,182
2016-01-06,240
2016-01-07,368
2016-01-08,402
2016-01-09,350
2016-01-10,398
2016-01-11,672
2016-01-12,817
2016-01-13,576
2016-01-14,518
2016-01-15,898
2016-01-16,725
2016-01-17,486
2016-01-18,1072
2016-01-19,752
2016-01-20,714
2016-01-21,762
2016-01-22,642
2016-01-23,1264
2016-01-24,1674
2016-01-25,1751
2016-01-26,2113
2016-01-27,1534
2016-01-28,1013
2016-01-29,1160
2016-01-30,1132
2016-01-31,1192
2016-02-01,950
2016-02-02,813
2016-02-03,982
2016-02-04,1028
2016-02-05,865
2016-02-06,776
2016-02-07,1226
2016-02-08,1738
2016-02-09,2324
2016-02-10,3683
2016-02-11,4312
2016-02-12,3498
2016-02-13,2351
2016-02-14,1785
2016-02-15,1920
2016-02-16,1936
2016-02-17,2077
2016-02-18,1869
2016-02-19,1878
2016-02-20,1396
2016-02-21,1052
2016-02-22,1602
2016-02-23,1991
2016-02-24,1706
2016-02-25,2514
2016-02-26,1894
2016-02-27,1507
2016-02-28,1784
2016-02-29,1798
2016-03-01,2459
2016-03-02,3939
2016-03-03,4856
2016-03-04,3977
2016-03-05,7338
2016-03-06,4462
2016-03-07,3761
2016-03-08,3164
2016-03-09,2853
2016-03-10,3362
2016-03-11,2800
2016-03-12,4642
2016-03-13,5030
2016-03-14,6006
2016-03-15,4712
2016-03-16,3459
2016-03-17,4589
2016-03-18,4349
2016-03-19,2450
2016-03-20,2246
2016-03-21,2710
2016-03-22,2297
2016-03-23,2193
2016-03-24,2521
2016-03-25,2142
2016-03-26,1648
2016-03-27,1734
2016-03-28,2586
2016-03-29,2266
2016-03-30,3930
2016-03-31,2974
2016-04-01,1782
2016-04-02,1561
2016-04-03,1398
2016-04-04,1945
2016-04-05,1958
2016-04-06,1625
2016-04-07,1824
2016-04-08,1128
2016-04-09,1204
2016-04-10,1844
2016-04-11,1316
2016-04-12,1914
2016-04-13,1682
2016-04-14,1092
2016-04-15,1202
2016-04-16,779
2016-04-17,1166
2016-04-18,1098
2016-04-19,1054
2016-04-20,1638
2016-04-21,2362
2016-04-22,1708
2016-04-23,1348
2016-04-24,1033
2016-04-25,1838
2016-04-26,1812
2016-04-27,1834
2016-04-28,1788
2016-04-29,1418
2016-04-30,4700
2016-05-01,4287
2016-05-02,4287
2016-05-03,3296
2016-05-04,3133
2016-05-05,3021
2016-05-06,3389
2016-05-07,2953
2016-05-08,3991
2016-05-09,4540
2016-05-10,4296
2016-05-11,6297
2016-05-12,6635
2016-05-13,11595
2016-05-14,9807
2016-05-15,5022
2016-05-16,4656
2016-05-17,6351
2016-05-18,6431
2016-05-19,6517
2016-05-20,6709
2016-05-21,4545
2016-05-22,4629
2016-05-23,4649
2016-05-24,5599
2016-05-25,5233
2016-05-26,5460
2016-05-27,11112
2016-05-28,12855
2016-05-29,3941
2016-05-30,3048
2016-05-31,3706
2016-06-01,2968
2016-06-02,2403
2016-06-03,2693
2016-06-04,2218
2016-06-05,1855
2016-06-06,2507
2016-06-07,2650
2016-06-08,2753
2016-06-09,2543
2016-06-10,2371
2016-06-11,1999
2016-06-12,3211
2016-06-13,4693
2016-06-14,6144
2016-06-15,4205
2016-06-16,5852
2016-06-17,9437
2016-06-18,9622
2016-06-19,5941
2016-06-20,5057
2016-06-21,5039
2016-06-22,6821
2016-06-23,4253
2016-06-24,3043
2016-06-25,2073
2016-06-26,1920
2016-06-27,2427
2016-06-28,4438
2016-06-29,3188
2016-06-30,2415
2016-07-01,2446
2016-07-02,1621
2016-07-03,1624
2016-07-04,2046
2016-07-05,4097
2016-07-06,2337
2016-07-07,2527
2016-07-08,2315
2016-07-09,2000
2016-07-10,1496
2016-07-11,2143
2016-07-12,3530
2016-07-13,1842
2016-07-14,2332
2016-07-15,3336
2016-07-16,1965
2016-07-17,2381
2016-07-18,2326
2016-07-19,2574
2016-07-20,2511
2016-07-21,3093
2016-07-22,5275
2016-07-23,6949
2016-07-24,16127
2016-07-25,14388
2016-07-26,18383
2016-07-27,14976
2016-07-28,11083
2016-07-29,10480
2016-07-30,8596
2016-07-31,10676
2016-08-01,11542
2016-08-02,16238
2016-08-03,13642
2016-08-04,13202
2016-08-05,10455
2016-08-06,10688
2016-08-07,10086
2016-08-08,10042
2016-08-09,11909
2016-08-10,12773
2016-08-11,12047
2016-08-12,10266
2016-08-13,8945
2016-08-14,9350
2016-08-15,9501
2016-08-16,9167
2016-08-17,9450
2016-08-18,9451
2016-08-19,8810
2016-08-20,8787
2016-08-21,9140
2016-08-22,8170
2016-08-23,11603
2016-08-24,8967
2016-08-25,9577
2016-08-26,9014
2016-08-27,8365
2016-08-28,9077
2016-08-29,8935
2016-08-30,9309
