date,Exchange Depositing Transactions
2016-06-21,6778
2016-06-22,7186
2016-06-23,6227
2016-06-24,6273
2016-06-25,5816
2016-06-26,5931
2016-06-27,5983
2016-06-28,6718
2016-06-29,6149
2016-06-30,6026
2016-07-01,6013
2016-07-02,5954
2016-07-03,5993
2016-07-04,6161
2016-07-05,5858
2016-07-06,6041
2016-07-07,6318
2016-07-08,6298
2016-07-09,5977
2016-07-10,5882
2016-07-11,5878
2016-07-12,6037
2016-07-13,5874
2016-07-14,6157
2016-07-15,6284
2016-07-16,5546
2016-07-17,5596
2016-07-18,6158
2016-07-19,16148
2016-07-20,6517
2016-07-21,5997
2016-07-22,6368
2016-07-23,9480
2016-07-24,16806
2016-07-25,13925
2016-07-26,21660
2016-07-27,15499
2016-07-28,15430
2016-07-29,14240
2016-07-30,12458
2016-07-31,15166
2016-08-01,15604
2016-08-02,18899
2016-08-03,14041
2016-08-04,16292
2016-08-05,13252
2016-08-06,14668
2016-08-07,14451
2016-08-08,13998
2016-08-09,16146
2016-08-10,15875
2016-08-11,15339
2016-08-12,14319
2016-08-13,13417
2016-08-14,13846
2016-08-15,13923
2016-08-16,13727
2016-08-17,14074
2016-08-18,14312
2016-08-19,13547
2016-08-20,13200
2016-08-21,13796
2016-08-22,12916
2016-08-23,16124
2016-08-24,14066
2016-08-25,14498
2016-08-26,13643
2016-08-27,13582
2016-08-28,14340
2016-08-29,13241
2016-08-30,14156
2016-08-31,14900
2016-09-01,15819
2016-09-02,14589
2016-09-03,14212
2016-09-04,14103
2016-09-05,13735
2016-09-06,13712
2016-09-07,11950
2016-09-08,14267
2016-09-09,14368
2016-09-10,13861
2016-09-11,14556
2016-09-12,14309
2016-09-13,14175
2016-09-14,14003
2016-09-15,13771
2016-09-16,15799
2016-09-17,14180
2016-09-18,11656
2016-09-19,13635
2016-09-20,18314
2016-09-21,16676
2016-09-22,12355
2016-09-23,12092
2016-09-24,14407
2016-09-25,14462
2016-09-26,12387
2016-09-27,14598
2016-09-28,14098
2016-09-29,15942
2016-09-30,13161
2016-10-01,13703
2016-10-02,16337
2016-10-03,15172
2016-10-04,8794
2016-10-05,9170
2016-10-06,11000
2016-10-07,13247
2016-10-08,12143
2016-10-09,15927
2016-10-10,15888
2016-10-11,14054
2016-10-12,8056
2016-10-13,5940
2016-10-14,11411
2016-10-15,8811
2016-10-16,14349
2016-10-17,13815
2016-10-18,18157
2016-10-19,9641
2016-10-20,15290
2016-10-21,16216
2016-10-22,16955
2016-10-23,16132
2016-10-24,14268
2016-10-25,14382
2016-10-26,14774
2016-10-27,14444
2016-10-28,14605
2016-10-29,13453
2016-10-30,11226
2016-10-31,14697
2016-11-01,12961
2016-11-02,11795
2016-11-03,12318
2016-11-04,10206
2016-11-05,10333
2016-11-06,10507
2016-11-07,12993
2016-11-08,13456
2016-11-09,13205
2016-11-10,12002
2016-11-11,11575
2016-11-12,12221
2016-11-13,12552
2016-11-14,12277
2016-11-15,12829
2016-11-16,12755
2016-11-17,12012
2016-11-18,13243
2016-11-19,12814
2016-11-20,13373
2016-11-21,13507
2016-11-22,10518
2016-11-23,12026
2016-11-24,7929
2016-11-25,10716
2016-11-26,10395
2016-11-27,10245
2016-11-28,11677
2016-11-29,11529
2016-11-30,9793
2016-12-01,10793
2016-12-02,11179
2016-12-03,10758
2016-12-04,13228
2016-12-05,11491
2016-12-06,12992
2016-12-07,11646
2016-12-08,11811
2016-12-09,11917
2016-12-10,11692
2016-12-11,11033
2016-12-12,11411
2016-12-13,11236
2016-12-14,11312
2016-12-15,10920
2016-12-16,11338
2016-12-17,10674
2016-12-18,10934
2016-12-19,12063
2016-12-20,11668
2016-12-21,12036
2016-12-22,11730
2016-12-23,11277
2016-12-24,9982
2016-12-25,10289
2016-12-26,9994
2016-12-27,10902
2016-12-28,10624
2016-12-29,10882
2016-12-30,10370
2016-12-31,10159
2017-01-01,10472
2017-01-02,10590
2017-01-03,11567
2017-01-04,13132
2017-01-05,13230
2017-01-06,11768
2017-01-07,12947
2017-01-08,11542
2017-01-09,13032
2017-01-10,12537
2017-01-11,12718
2017-01-12,12678
2017-01-13,12459
2017-01-14,11849
2017-01-15,10465
2017-01-16,12176
2017-01-17,12236
2017-01-18,12761
2017-01-19,12558
2017-01-20,12585
2017-01-21,12130
2017-01-22,12321
2017-01-23,12290
2017-01-24,12250
2017-01-25,11773
2017-01-26,12104
2017-01-27,12372
2017-01-28,11625
2017-01-29,11867
2017-01-30,11869
2017-01-31,12251
2017-02-01,11453
2017-02-02,12311
2017-02-03,11915
2017-02-04,13279
2017-02-05,12651
2017-02-06,12557
2017-02-07,12952
2017-02-08,12672
2017-02-09,13111
2017-02-10,13335
2017-02-11,12612
2017-02-12,12835
2017-02-13,13598
2017-02-14,15764
2017-02-15,15487
2017-02-16,14705
2017-02-17,14056
2017-02-18,13831
2017-02-19,13958
2017-02-20,14177
2017-02-21,14370
2017-02-22,13832
2017-02-23,13863
2017-02-24,15844
2017-02-25,14446
2017-02-26,14857
2017-02-27,15561
2017-02-28,16573
2017-03-01,16011
2017-03-02,23277
2017-03-03,17949
2017-03-04,16438
2017-03-05,17382
2017-03-06,16468
2017-03-07,15828
2017-03-08,16127
2017-03-09,16227
2017-03-10,18027
2017-03-11,17636
2017-03-12,17683
2017-03-13,21791
2017-03-14,18727
2017-03-15,20231
2017-03-16,26576
2017-03-17,27637
2017-03-18,24602
2017-03-19,22307
2017-03-20,21971
2017-03-21,21379
2017-03-22,20910
2017-03-23,20525
2017-03-24,24123
2017-03-25,22219
2017-03-26,20634
2017-03-27,21573
2017-03-28,21052
2017-03-29,21580
2017-03-30,21457
2017-03-31,28229
2017-04-01,21097
2017-04-02,22444
2017-04-03,27478
2017-04-04,20336
2017-04-05,21092
2017-04-06,20452
2017-04-07,20165
2017-04-08,19058
2017-04-09,18064
2017-04-10,19504
2017-04-11,18941
2017-04-12,20544
2017-04-13,20281
2017-04-14,20363
2017-04-15,18468
2017-04-16,18144
2017-04-17,18761
2017-04-18,21817
2017-04-19,19463
2017-04-20,20924
2017-04-21,19371
2017-04-22,18247
2017-04-23,19719
2017-04-24,21919
2017-04-25,20196
2017-04-26,20744
2017-04-27,23009
2017-04-28,23839
2017-04-29,22126
2017-04-30,22906
2017-05-01,25974
2017-05-02,22648
2017-05-03,22647
2017-05-04,24490
2017-05-05,25977
2017-05-06,22570
2017-05-07,26921
2017-05-08,28871
2017-05-09,27773
2017-05-10,24532
2017-05-11,24568
2017-05-12,24535
2017-05-13,21277
2017-05-14,20516
2017-05-15,24258
2017-05-16,26331
2017-05-17,29137
2017-05-18,27152
2017-05-19,29629
2017-05-20,25943
2017-05-21,29738
2017-05-22,27893
2017-05-23,38381
2017-05-24,38050
2017-05-25,35452
2017-05-26,34264
2017-05-27,31799
2017-05-28,28287
2017-05-29,28187
2017-05-30,36155
2017-05-31,38149
2017-06-01,36627
2017-06-02,32987
2017-06-03,36124
2017-06-04,34873
2017-06-05,34687
2017-06-06,38501
2017-06-07,35904
2017-06-08,34959
2017-06-09,35011
2017-06-10,36965
2017-06-11,37876
2017-06-12,43565
2017-06-13,49716
2017-06-14,43597
2017-06-15,43162
2017-06-16,38057
2017-06-17,38099
2017-06-18,35527
2017-06-19,50613
2017-06-20,33100
2017-06-21,33704
2017-06-22,35568
2017-06-23,45785
2017-06-24,36054
2017-06-25,50046
2017-06-26,50676
2017-06-27,43303
2017-06-28,41009
2017-06-29,40875
2017-06-30,38337
2017-07-01,34999
2017-07-02,35250
2017-07-03,44352
2017-07-04,40316
2017-07-05,37566
2017-07-06,37532
2017-07-07,42070
2017-07-08,37124
2017-07-09,30331
2017-07-10,39046
2017-07-11,45195
2017-07-12,38056
2017-07-13,32298
2017-07-14,36325
2017-07-15,33783
2017-07-16,41300
2017-07-17,37539
2017-07-18,43915
2017-07-19,41988
2017-07-20,38810
2017-07-21,35062
2017-07-22,31333
2017-07-23,46356
2017-07-24,44457
2017-07-25,42176
2017-07-26,34995
2017-07-27,35768
2017-07-28,45690
2017-07-29,37299
2017-07-30,35763
2017-07-31,46445
2017-08-01,44198
2017-08-02,46841
2017-08-03,41956
2017-08-04,45613
2017-08-05,45809
2017-08-06,43417
2017-08-07,49181
2017-08-08,53414
2017-08-09,52267
2017-08-10,60892
2017-08-11,64239
2017-08-12,51315
2017-08-13,59651
2017-08-14,59794
2017-08-15,54689
2017-08-16,50596
2017-08-17,57786
2017-08-18,56502
2017-08-19,48680
2017-08-20,41408
2017-08-21,59603
2017-08-22,47208
2017-08-23,52660
2017-08-24,45986
2017-08-25,44213
2017-08-26,39567
2017-08-27,37759
2017-08-28,44751
2017-08-29,50248
2017-08-30,51258
2017-08-31,47688
2017-09-01,51515
2017-09-02,48961
2017-09-03,40093
2017-09-04,62257
2017-09-05,53755
2017-09-06,52804
2017-09-07,48327
2017-09-08,51603
2017-09-09,43842
2017-09-10,38726
2017-09-11,47726
2017-09-12,47514
2017-09-13,44842
2017-09-14,51674
2017-09-15,59439
2017-09-16,42388
2017-09-17,41658
2017-09-18,68380
2017-09-19,40651
2017-09-20,37766
2017-09-21,39741
2017-09-22,32737
2017-09-23,28596
2017-09-24,29535
2017-09-25,34169
2017-09-26,34705
2017-09-27,36155
2017-09-28,38689
2017-09-29,29621
2017-09-30,29132
2017-10-01,35242
2017-10-02,36884
2017-10-03,34431
2017-10-04,29870
2017-10-05,31975
2017-10-06,32629
2017-10-07,30950
2017-10-08,32520
2017-10-09,38933
2017-10-10,36148
2017-10-11,34099
2017-10-12,37570
2017-10-13,45905
2017-10-14,35186
2017-10-15,34048
2017-10-16,35908
2017-10-17,41799
2017-10-18,40561
2017-10-19,40457
2017-10-20,42371
2017-10-21,45609
2017-10-22,40307
2017-10-23,54244
2017-10-24,49734
2017-10-25,41668
2017-10-26,40468
2017-10-27,40327
2017-10-28,37090
2017-10-29,40427
2017-10-30,39422
2017-10-31,44974
2017-11-01,63681
2017-11-02,70979
2017-11-03,50474
2017-11-04,39697
2017-11-05,38477
2017-11-06,44367
2017-11-07,44274
2017-11-08,50995
2017-11-09,51174
2017-11-10,49639
2017-11-11,46524
2017-11-12,66518
2017-11-13,52605
2017-11-14,49091
2017-11-15,53349
2017-11-16,55026
2017-11-17,55058
2017-11-18,47478
2017-11-19,52009
2017-11-20,63961
2017-11-21,52489
2017-11-22,50345
2017-11-23,60717
2017-11-24,58903
2017-11-25,52330
2017-11-26,52423
2017-11-27,58636
2017-11-28,70916
2017-11-29,81482
2017-11-30,71674
2017-12-01,64819
2017-12-02,70268
2017-12-03,84418
2017-12-04,69363
2017-12-05,70498
2017-12-06,76571
2017-12-07,49481
2017-12-08,86371
2017-12-09,81229
2017-12-10,60254
2017-12-11,73741
2017-12-12,95977
2017-12-13,74876
2017-12-14,88169
2017-12-15,79297
2017-12-16,69668
2017-12-17,71348
2017-12-18,94270
2017-12-19,99439
2017-12-20,97636
2017-12-21,94047
2017-12-22,151510
2017-12-23,94079
2017-12-24,69202
2017-12-25,74687
2017-12-26,71780
2017-12-27,74282
2017-12-28,89779
2017-12-29,125738
2017-12-30,125870
2017-12-31,75747
2018-01-01,93808
2018-01-02,102270
2018-01-03,102498
2018-01-04,137583
2018-01-05,117812
2018-01-06,105110
2018-01-07,101870
2018-01-08,123101
2018-01-09,127881
2018-01-10,111856
2018-01-11,111480
2018-01-12,87126
2018-01-13,90450
2018-01-14,82981
2018-01-15,197147
2018-01-16,176098
2018-01-17,185117
2018-01-18,177084
2018-01-19,128633
2018-01-20,85594
2018-01-21,226006
2018-01-22,90042
2018-01-23,77645
2018-01-24,78867
2018-01-25,71517
2018-01-26,104576
2018-01-27,89064
2018-01-28,74392
2018-01-29,79736
2018-01-30,80632
2018-01-31,77925
2018-02-01,88997
2018-02-02,102523
2018-02-03,66231
2018-02-04,61359
2018-02-05,99503
2018-02-06,100860
2018-02-07,88696
2018-02-08,73300
2018-02-09,62623
2018-02-10,65021
2018-02-11,78171
2018-02-12,71756
2018-02-13,60281
2018-02-14,60586
2018-02-15,65180
2018-02-16,56277
2018-02-17,53352
2018-02-18,50568
2018-02-19,58952
2018-02-20,55828
2018-02-21,61214
2018-02-22,48401
2018-02-23,53709
2018-02-24,48503
2018-02-25,48874
2018-02-26,61722
2018-02-27,51182
2018-02-28,50559
2018-03-01,49712
2018-03-02,54756
2018-03-03,46120
2018-03-04,44164
2018-03-05,65917
2018-03-06,83282
2018-03-07,166038
2018-03-08,62021
2018-03-09,57136
2018-03-10,61855
2018-03-11,41074
2018-03-12,44306
2018-03-13,74551
2018-03-14,60857
2018-03-15,57760
2018-03-16,47737
2018-03-17,49266
2018-03-18,46733
2018-03-19,78375
2018-03-20,42924
2018-03-21,74165
2018-03-22,53679
2018-03-23,87641
2018-03-24,100213
2018-03-25,44681
2018-03-26,59843
2018-03-27,52787
2018-03-28,51678
2018-03-29,58508
2018-03-30,51546
2018-03-31,49482
2018-04-01,53270
2018-04-02,53039
2018-04-03,51751
2018-04-04,47341
2018-04-05,62350
2018-04-06,47280
2018-04-07,41569
2018-04-08,43130
2018-04-09,58952
2018-04-10,51263
2018-04-11,50789
2018-04-12,61821
2018-04-13,64766
2018-04-14,47655
2018-04-15,46168
2018-04-16,55633
2018-04-17,52604
2018-04-18,54865
2018-04-19,58775
2018-04-20,67613
2018-04-21,69830
2018-04-22,78922
2018-04-23,92136
2018-04-24,72143
2018-04-25,65707
2018-04-26,64472
2018-04-27,65208
2018-04-28,54048
2018-04-29,59389
2018-04-30,67439
2018-05-01,60663
2018-05-02,70348
2018-05-03,80486
2018-05-04,343396
2018-05-05,118597
2018-05-06,66946
2018-05-07,60741
2018-05-08,66709
2018-05-09,57144
2018-05-10,63641
2018-05-11,72132
2018-05-12,61954
2018-05-13,48330
2018-05-14,74329
2018-05-15,67818
2018-05-16,64229
2018-05-17,58465
2018-05-18,68721
2018-05-19,60806
2018-05-20,56267
2018-05-21,73268
2018-05-22,67623
2018-05-23,72812
2018-05-24,68939
2018-05-25,73083
2018-05-26,51843
2018-05-27,52870
2018-05-28,71894
2018-05-29,65195
2018-05-30,62027
2018-05-31,87014
2018-06-01,61799
2018-06-02,63870
2018-06-03,47486
2018-06-04,76861
2018-06-05,60712
2018-06-06,51454
2018-06-07,61136
2018-06-08,54057
2018-06-09,47666
2018-06-10,58918
2018-06-11,63564
2018-06-12,64096
2018-06-13,65184
2018-06-14,60001
2018-06-15,58820
2018-06-16,44489
2018-06-17,53912
2018-06-18,52800
2018-06-19,61235
2018-06-20,69886
2018-06-21,73109
2018-06-22,86880
2018-06-23,54293
2018-06-24,75244
2018-06-25,103098
2018-06-26,65030
2018-06-27,86444
2018-06-28,52777
2018-06-29,61760
2018-06-30,43406
2018-07-01,41257
2018-07-02,54874
2018-07-03,53555
2018-07-04,46779
2018-07-05,78353
2018-07-06,46944
2018-07-07,51918
2018-07-08,72831
2018-07-09,60325
2018-07-10,53317
2018-07-11,53426
2018-07-12,42985
2018-07-13,43543
2018-07-14,38504
2018-07-15,47082
2018-07-16,60388
2018-07-17,54482
2018-07-18,61792
2018-07-19,51670
2018-07-20,54076
2018-07-21,45414
2018-07-22,42396
2018-07-23,61595
2018-07-24,83399
2018-07-25,67863
2018-07-26,56797
2018-07-27,42758
2018-07-28,42846
2018-07-29,41776
2018-07-30,54948
2018-07-31,62059
2018-08-01,43140
2018-08-02,54089
2018-08-03,50144
2018-08-04,46869
2018-08-05,44665
2018-08-06,48447
2018-08-07,48397
2018-08-08,65668
2018-08-09,50394
2018-08-10,62640
2018-08-11,44883
2018-08-12,43524
2018-08-13,53397
2018-08-14,58089
2018-08-15,55371
2018-08-16,58499
2018-08-17,74269
2018-08-18,43025
2018-08-19,42985
2018-08-20,47170
2018-08-21,44833
2018-08-22,51688
2018-08-23,53846
2018-08-24,64278
2018-08-25,71304
2018-08-26,66446
2018-08-27,73519
2018-08-28,59411
2018-08-29,54882
2018-08-30,49012
2018-08-31,53835
2018-09-01,57909
2018-09-02,45591
2018-09-03,66849
2018-09-04,67643
2018-09-05,79956
2018-09-06,62880
2018-09-07,64654
2018-09-08,48937
2018-09-09,49798
2018-09-10,71760
2018-09-11,54459
2018-09-12,59506
2018-09-13,61517
2018-09-14,53216
2018-09-15,43924
2018-09-16,43373
2018-09-17,54795
2018-09-18,48577
2018-09-19,49853
2018-09-20,48860
2018-09-21,59111
2018-09-22,52469
2018-09-23,46354
2018-09-24,48834
2018-09-25,47110
2018-09-26,51247
2018-09-27,48802
2018-09-28,45377
2018-09-29,39771
2018-09-30,50459
2018-10-01,43068
2018-10-02,40332
2018-10-03,44704
2018-10-04,45685
2018-10-05,43594
2018-10-06,60293
2018-10-07,47854
2018-10-08,53842
2018-10-09,46997
2018-10-10,48879
2018-10-11,55157
2018-10-12,44745
2018-10-13,52411
2018-10-14,36546
2018-10-15,54161
2018-10-16,51232
2018-10-17,59001
2018-10-18,55394
2018-10-19,50851
2018-10-20,42564
