date,Exchange Depositing Addresses
2015-08-07,521
2015-08-08,315
2015-08-09,247
2015-08-10,222
2015-08-11,285
2015-08-12,355
2015-08-13,472
2015-08-14,631
2015-08-15,487
2015-08-16,447
2015-08-17,472
2015-08-18,468
2015-08-19,482
2015-08-20,361
2015-08-21,550
2015-08-22,505
2015-08-23,576
2015-08-24,575
2015-08-25,615
2015-08-26,602
2015-08-27,613
2015-08-28,615
2015-08-29,589
2015-08-30,664
2015-08-31,666
2015-09-01,625
2015-09-02,617
2015-09-03,606
2015-09-04,614
2015-09-05,642
2015-09-06,688
2015-09-07,699
2015-09-08,708
2015-09-09,699
2015-09-10,703
2015-09-11,731
2015-09-12,676
2015-09-13,668
2015-09-14,714
2015-09-15,636
2015-09-16,647
2015-09-17,632
2015-09-18,579
2015-09-19,575
2015-09-20,643
2015-09-21,686
2015-09-22,677
2015-09-23,709
2015-09-24,709
2015-09-25,708
2015-09-26,645
2015-09-27,649
2015-09-28,677
2015-09-29,638
2015-09-30,636
2015-10-01,620
2015-10-02,603
2015-10-03,622
2015-10-04,590
2015-10-05,623
2015-10-06,620
2015-10-07,608
2015-10-08,594
2015-10-09,614
2015-10-10,572
2015-10-11,592
2015-10-12,580
2015-10-13,598
2015-10-14,637
2015-10-15,586
2015-10-16,576
2015-10-17,573
2015-10-18,535
2015-10-19,545
2015-10-20,536
2015-10-21,570
2015-10-22,567
2015-10-23,615
2015-10-24,583
2015-10-25,610
2015-10-26,659
2015-10-27,727
2015-10-28,804
2015-10-29,833
2015-10-30,850
2015-10-31,781
2015-11-01,741
2015-11-02,789
2015-11-03,816
2015-11-04,821
2015-11-05,794
2015-11-06,777
2015-11-07,769
2015-11-08,780
2015-11-09,811
2015-11-10,799
2015-11-11,808
2015-11-12,745
2015-11-13,725
2015-11-14,756
2015-11-15,763
2015-11-16,769
2015-11-17,784
2015-11-18,796
2015-11-19,780
2015-11-20,683
2015-11-21,796
2015-11-22,764
2015-11-23,793
2015-11-24,797
2015-11-25,811
2015-11-26,814
2015-11-27,747
2015-11-28,800
2015-11-29,787
2015-11-30,831
2015-12-01,827
2015-12-02,825
2015-12-03,843
2015-12-04,803
2015-12-05,839
2015-12-06,854
2015-12-07,864
2015-12-08,851
2015-12-09,864
2015-12-10,840
2015-12-11,879
2015-12-12,936
2015-12-13,923
2015-12-14,921
2015-12-15,923
2015-12-16,916
2015-12-17,1106
2015-12-18,887
2015-12-19,927
2015-12-20,932
2015-12-21,936
2015-12-22,962
2015-12-23,914
2015-12-24,918
2015-12-25,879
2015-12-26,920
2015-12-27,896
2015-12-28,914
2015-12-29,920
2015-12-30,833
2015-12-31,1044
2016-01-01,955
2016-01-02,974
2016-01-03,976
2016-01-04,972
2016-01-05,963
2016-01-06,1012
2016-01-07,1012
2016-01-08,1003
2016-01-09,988
2016-01-10,1042
2016-01-11,1082
2016-01-12,1169
2016-01-13,1062
2016-01-14,1042
2016-01-15,1165
2016-01-16,1138
2016-01-17,1101
2016-01-18,1230
2016-01-19,1154
2016-01-20,1280
2016-01-21,1219
2016-01-22,1224
2016-01-23,1355
2016-01-24,1451
2016-01-25,1554
2016-01-26,1620
2016-01-27,1489
2016-01-28,1491
2016-01-29,1439
2016-01-30,1430
2016-01-31,1511
2016-02-01,1484
2016-02-02,1487
2016-02-03,1498
2016-02-04,1490
2016-02-05,1527
2016-02-06,1546
2016-02-07,1618
2016-02-08,1684
2016-02-09,1784
2016-02-10,2056
2016-02-11,2239
2016-02-12,2197
2016-02-13,2196
2016-02-14,1827
2016-02-15,1998
2016-02-16,1943
2016-02-17,1893
2016-02-18,1918
2016-02-19,1911
2016-02-20,1822
2016-02-21,1812
2016-02-22,2031
2016-02-23,2070
2016-02-24,1996
2016-02-25,2142
2016-02-26,2023
2016-02-27,2070
2016-02-28,2024
2016-02-29,2078
2016-03-01,2363
2016-03-02,2621
2016-03-03,2750
2016-03-04,2519
2016-03-05,3000
2016-03-06,2741
2016-03-07,2709
2016-03-08,2623
2016-03-09,2667
2016-03-10,3125
2016-03-11,3608
2016-03-12,3299
2016-03-13,3150
2016-03-14,3193
2016-03-15,3038
2016-03-16,3033
2016-03-17,3321
2016-03-18,3678
2016-03-19,3113
2016-03-20,3189
2016-03-21,3315
2016-03-22,3098
2016-03-23,3036
2016-03-24,3010
2016-03-25,2966
2016-03-26,2931
2016-03-27,3161
2016-03-28,3274
2016-03-29,3580
2016-03-30,3346
2016-03-31,3335
2016-04-01,3108
2016-04-02,3087
2016-04-03,3025
2016-04-04,3438
2016-04-05,3316
2016-04-06,3388
2016-04-07,3335
2016-04-08,3158
2016-04-09,3172
2016-04-10,3347
2016-04-11,3160
2016-04-12,3264
2016-04-13,3266
2016-04-14,3222
2016-04-15,3120
2016-04-16,3100
2016-04-17,3412
2016-04-18,3308
2016-04-19,3286
2016-04-20,3344
2016-04-21,3325
2016-04-22,3466
2016-04-23,3421
2016-04-24,3310
2016-04-25,3555
2016-04-26,3547
2016-04-27,3407
2016-04-28,3242
2016-04-29,3199
2016-04-30,3670
2016-05-01,3357
2016-05-02,3729
2016-05-03,3480
2016-05-04,3395
2016-05-05,3420
2016-05-06,3401
2016-05-07,3217
2016-05-08,3324
2016-05-09,3548
2016-05-10,3340
2016-05-11,3630
2016-05-12,3644
2016-05-13,3864
2016-05-14,3549
2016-05-15,3339
2016-05-16,3716
2016-05-17,3756
2016-05-18,4279
2016-05-19,4363
2016-05-20,4150
2016-05-21,3630
2016-05-22,3419
2016-05-23,3892
2016-05-24,3896
2016-05-25,3800
2016-05-26,10935
2016-05-27,4042
2016-05-28,3824
2016-05-29,3909
2016-05-30,3622
2016-05-31,3965
2016-06-01,3773
2016-06-02,3632
2016-06-03,3714
2016-06-04,3372
2016-06-05,3642
2016-06-06,3578
2016-06-07,3670
2016-06-08,3854
2016-06-09,3617
2016-06-10,3603
2016-06-11,3420
2016-06-12,3917
2016-06-13,4339
2016-06-14,4331
2016-06-15,3874
2016-06-16,4256
2016-06-17,5285
2016-06-18,5664
2016-06-19,4169
2016-06-20,4032
2016-06-21,4163
2016-06-22,4756
2016-06-23,3751
2016-06-24,3837
2016-06-25,3672
2016-06-26,3490
2016-06-27,3565
2016-06-28,4078
2016-06-29,3640
2016-06-30,3571
2016-07-01,3579
