date,Exchange Inflow (Top10)
2015-08-13,599999.99253232
2015-08-14,742268.87752263
2015-08-15,628898.92526137
2015-08-16,644279.43766989
2015-08-17,303858.6946668937
2015-08-18,328946.21671640466
2015-08-19,207435.9983079
2015-08-20,90781.88007711685
2015-08-21,119014.57157668
2015-08-22,53941.65171166
2015-08-23,69397.29022091
2015-08-24,53038.11675099
2015-08-25,65209.3391306
2015-08-26,183999.9555622
2015-08-27,60712.77774371
2015-08-28,53106.7353544
2015-08-29,99896.97289166
2015-08-30,92866.01944577
2015-08-31,57718.6964314
2015-09-01,239329.45676549
2015-09-02,54355.37723042
2015-09-03,301896.32102707
2015-09-04,86926.97685
2015-09-05,27633.03265001
2015-09-06,50344.09129699
2015-09-07,49242.6118552
2015-09-08,74446.9029
2015-09-09,973057.66169246
2015-09-10,44324.74055
2015-09-11,222800.45659998
2015-09-12,36170.31812018
2015-09-13,26074.51761938
2015-09-14,63709.76527932
2015-09-15,106311.82116999
2015-09-16,62694.91377991
2015-09-17,91345.23893652
2015-09-18,90880.27054997
2015-09-19,118563.30447452
2015-09-20,15180.07310308
2015-09-21,46837.28465612
2015-09-22,22031.11987755
2015-09-23,30837.12559148
2015-09-24,117506.25154961
2015-09-25,279181.97700883
2015-09-26,65437.19344158
2015-09-27,170111.30163
2015-09-28,175326.9916
2015-09-29,131038.05526884
2015-09-30,213467.97975001
2015-10-01,60496.62631538
2015-10-02,40203.85185
2015-10-03,24211.02096118
2015-10-04,23291.48779731
2015-10-05,29914.50159999
2015-10-06,57711.74474998
2015-10-07,71691.29275088
2015-10-08,116471.87298137
2015-10-09,68255.79805422999
2015-10-10,20629.71264573
2015-10-11,13707.50825695
2015-10-12,79160.45065057
2015-10-13,78609.75659999
2015-10-14,482252.925585781
2015-10-15,50398.04893013
2015-10-16,155464.8398063
2015-10-17,55496.84761822
2015-10-18,31358.80121304753
2015-10-19,132865.978283
2015-10-20,130879.00138002
2015-10-21,258505.36475
2015-10-22,297062.68257933
2015-10-23,295575.30800756003
2015-10-24,15201.051498827315
2015-10-25,43290.88961356
2015-10-26,252619.64449676
2015-10-27,440676.38656472
2015-10-28,368081.66018951
2015-10-29,143411.82678196
2015-10-30,633546.53475
2015-10-31,45328.17974998
2015-11-01,21752.78808243
2015-11-02,60180.92264999
2015-11-03,89186.80958273
2015-11-04,228668.10817432
2015-11-05,88518.7534949
2015-11-06,63569.254251720005
2015-11-07,108866.23883553
2015-11-08,55510.53159999
2015-11-09,275019.35879998
2015-11-10,430596.24012044
2015-11-11,16725.68778193
2015-11-12,106722.1358175
2015-11-13,25591.48501841
2015-11-14,116535.53428458
2015-11-15,33884.64454335
2015-11-16,49654.1685
2015-11-17,81925.64515337
2015-11-18,17405.02479784
2015-11-19,27823.25796067
2015-11-20,19174.8689
2015-11-21,13656.78871495
2015-11-22,88669.32512852999
2015-11-23,389804.54417
2015-11-24,20301.56903742
2015-11-25,27567.01703
2015-11-26,725274.1911806
2015-11-27,13675.69238619
2015-11-28,25793.98009784
2015-11-29,23004.68734297
2015-11-30,54272.35824802
2015-12-01,47251.22606931
2015-12-02,145155.9621
2015-12-03,11972.21424898
2015-12-04,40802.87566033
2015-12-05,40214.26637828
2015-12-06,60761.97999687
2015-12-07,89995.72824506
2015-12-08,50563.34892034
2015-12-09,122276.06913134
2015-12-10,12480.40937833
2015-12-11,48551.15486309
2015-12-12,105266.46865999
2015-12-13,188357.43965428
2015-12-14,44217.22378364
2015-12-15,166476.41790741423
2015-12-16,1098721.77693091
2015-12-17,87408.08016999
2015-12-18,86696.42328863
2015-12-19,70809.97623762999
2015-12-20,44042.19100586
2015-12-21,35695.10100007
2015-12-22,60399.16669784
2015-12-23,17376.83616871
2015-12-24,12059.47963367
2015-12-25,4652.48411824
2015-12-26,21736.80116569
2015-12-27,11702.981702763584
2015-12-28,17663.80859488
2015-12-29,9814.84634358
2015-12-30,18927.85162830896
2015-12-31,69933.28906989
2016-01-01,84724.02511899
2016-01-02,40023.01118
2016-01-03,69554.51480059
2016-01-04,17384.26853769
2016-01-05,623536.27824362
2016-01-06,24013.54806662
2016-01-07,54555.15697985
2016-01-08,11573.82338911
2016-01-09,8969.88508615
2016-01-10,21235.60184691
2016-01-11,67486.18366000999
2016-01-12,186756.12244001
2016-01-13,182332.35492
2016-01-14,81061.02748
2016-01-15,98038.06475155
