date,Exchange Inflow (Mean)
2015-08-13,1205.30688035
2015-08-14,1352.59822787
2015-08-15,1228.69745456
2015-08-16,1241.17404837
2015-08-17,572.67650412
2015-08-18,756.10431843
2015-08-19,330.42228961
2015-08-20,230.58711052
2015-08-21,129.68410507
2015-08-22,60.86355705
2015-08-23,62.85511193
2015-08-24,65.8534284
2015-08-25,59.08543143
2015-08-26,131.82903818
2015-08-27,46.47797324
2015-08-28,51.04073743
2015-08-29,74.74459882
2015-08-30,105.65565466
2015-08-31,93.47170899
2015-09-01,233.36613812
2015-09-02,55.0710028
2015-09-03,244.84235313
2015-09-04,71.27693858
2015-09-05,30.13796783
2015-09-06,54.88317539
2015-09-07,50.87906316
2015-09-08,69.73270961
2015-09-09,552.60421342
2015-09-10,47.46937301
2015-09-11,150.10536022
2015-09-12,30.85960113
2015-09-13,27.81856343
2015-09-14,61.00810284
2015-09-15,85.75698629
2015-09-16,80.70824487
2015-09-17,85.80677309
2015-09-18,103.47104053
2015-09-19,96.30396645
2015-09-20,19.59173654
2015-09-21,41.91746831
2015-09-22,23.77224324
2015-09-23,26.4482901
2015-09-24,90.50659401
2015-09-25,218.75672744
2015-09-26,53.22190325
2015-09-27,114.39335342
2015-09-28,167.07907194
2015-09-29,96.42680026
2015-09-30,132.64955494
2015-10-01,57.61780434
2015-10-02,31.92287131
2015-10-03,22.66169506
2015-10-04,23.4056825
2015-10-05,30.30456393
2015-10-06,46.50067449
2015-10-07,54.97120813
2015-10-08,75.94837476
2015-10-09,50.27018785
2015-10-10,19.31974371
2015-10-11,17.13219852
2015-10-12,62.65625717
2015-10-13,72.72341503
2015-10-14,308.34358952
2015-10-15,45.18981893
2015-10-16,102.9530381
2015-10-17,53.30969191
2015-10-18,31.39510556
2015-10-19,93.73594643
2015-10-20,116.92211867
2015-10-21,207.97174963
2015-10-22,222.89194636
2015-10-23,198.22764323
2015-10-24,19.39543234
2015-10-25,50.14109294
2015-10-26,176.25601074
2015-10-27,287.26524879
2015-10-28,263.22282168
2015-10-29,119.29357733
2015-10-30,349.69894958
2015-10-31,39.11346568
2015-11-01,22.28752113
2015-11-02,65.66629292
2015-11-03,63.47583121
2015-11-04,173.29575026
2015-11-05,67.70690012
2015-11-06,59.50175654
2015-11-07,83.37729622
2015-11-08,47.51493391
2015-11-09,182.53204307
2015-11-10,222.69038704
2015-11-11,16.93612901
2015-11-12,62.38422365
2015-11-13,23.19123109
2015-11-14,69.43810809
2015-11-15,26.38842528
2015-11-16,38.85456627
2015-11-17,68.94268851
2015-11-18,19.11961968
2015-11-19,28.23620244
2015-11-20,18.35642082
2015-11-21,16.47024113
2015-11-22,50.99155176
2015-11-23,193.41403435
2015-11-24,25.95744846
2015-11-25,26.47807298
2015-11-26,368.86496611
2015-11-27,16.19263396
2015-11-28,20.34007287
2015-11-29,18.90538268
2015-11-30,40.45930774
2015-12-01,40.16874093
2015-12-02,83.71117521
2015-12-03,12.75994471
2015-12-04,28.20320967
2015-12-05,25.62168641
2015-12-06,41.04509125
2015-12-07,51.08501878
2015-12-08,35.04568023
2015-12-09,67.85625723
2015-12-10,13.73065548
2015-12-11,35.11344108
2015-12-12,109.02012938
2015-12-13,94.56003617
2015-12-14,34.15617271
2015-12-15,94.81378853
2015-12-16,526.31553898
2015-12-17,58.42197172
2015-12-18,58.44977063
2015-12-19,38.44673591
2015-12-20,32.49310166
2015-12-21,29.34771805
2015-12-22,37.93879356
2015-12-23,16.23998026
2015-12-24,13.1096615
2015-12-25,9.33769093
2015-12-26,17.51947847
2015-12-27,12.10352856
2015-12-28,17.65505068
2015-12-29,11.21805341
2015-12-30,22.30797533
2015-12-31,47.3378555
2016-01-01,47.99527825
2016-01-02,28.64904836
2016-01-03,39.26010968
2016-01-04,15.44038886
2016-01-05,261.50122624
2016-01-06,25.24571589
2016-01-07,40.04441412
2016-01-08,14.22391103
2016-01-09,13.40924432
2016-01-10,18.61857865
2016-01-11,58.63705473
2016-01-12,113.34984904
2016-01-13,79.65999656
2016-01-14,50.59785561
2016-01-15,89.7701541
2016-01-16,57.58619943
2016-01-17,56.38837958
2016-01-18,375.27153349
2016-01-19,213.09026497
2016-01-20,65.10291777
2016-01-21,40.54831184
2016-01-22,31.72978838
2016-01-23,121.5556341
2016-01-24,236.21285669
2016-01-25,243.58653666
2016-01-26,138.65791309
2016-01-27,106.19303262
2016-01-28,86.2374483
2016-01-29,49.76328267
2016-01-30,135.81540217
2016-01-31,161.69777553
2016-02-01,44.03667345
2016-02-02,27.55184052
2016-02-03,28.47769082
2016-02-04,18.1878557
2016-02-05,62.56479989
2016-02-06,14.53964376
2016-02-07,130.25783235
2016-02-08,125.49226152
2016-02-09,156.97614039
2016-02-10,151.86732977
2016-02-11,117.05263311
2016-02-12,177.67415632
2016-02-13,109.73711541
2016-02-14,82.95279965
2016-02-15,49.49181715
2016-02-16,55.92597415
2016-02-17,53.91715256
2016-02-18,67.83020954
2016-02-19,32.63971877
2016-02-20,128.22202253
2016-02-21,18.40018306
2016-02-22,48.0248516
2016-02-23,43.48520332
2016-02-24,44.28389849
2016-02-25,48.56072622
2016-02-26,367.03558985
2016-02-27,298.18817947
2016-02-28,72.63720038
2016-02-29,47.23888699
2016-03-01,115.55925317
2016-03-02,399.94671866
2016-03-03,132.86413472
2016-03-04,102.07410829
2016-03-05,186.74625006
2016-03-06,121.76524617
2016-03-07,108.95000013
2016-03-08,72.32583041
2016-03-09,63.42553752
2016-03-10,59.65786623
2016-03-11,35.94544469
2016-03-12,93.16784902
2016-03-13,145.19421118
2016-03-14,110.28188836
2016-03-15,70.54839527
2016-03-16,62.02239275
2016-03-17,80.3178331
2016-03-18,153.89234611
2016-03-19,36.20489602
2016-03-20,26.78017331
2016-03-21,40.53550876
2016-03-22,19.73057638
2016-03-23,27.26576647
2016-03-24,41.95311071
2016-03-25,17.24354469
2016-03-26,12.11951501
2016-03-27,54.39785229
2016-03-28,56.33046699
2016-03-29,89.7213469
2016-03-30,18.19320042
2016-03-31,47.25357438
2016-04-01,15.19305321
2016-04-02,14.36290764
2016-04-03,9.61017814
2016-04-04,16.01200172
2016-04-05,28.17429442
2016-04-06,21.58233958
2016-04-07,33.56771838
2016-04-08,26.02725549
2016-04-09,121.84559185
2016-04-10,56.83356788
2016-04-11,26.91790775
2016-04-12,46.60661267
2016-04-13,74.69076901
2016-04-14,86.07023526
2016-04-15,31.27178338
2016-04-16,14.55912106
2016-04-17,33.30371066
2016-04-18,27.83691418
2016-04-19,24.28145796
2016-04-20,31.78576301
2016-04-21,21.46218938
2016-04-22,35.69484197
2016-04-23,111.54463587
2016-04-24,19.16876772
2016-04-25,39.96044059
2016-04-26,54.61061047
2016-04-27,31.83827882
2016-04-28,29.7351132
2016-04-29,30.26940159
2016-04-30,153.56486891
2016-05-01,58.00891312
2016-05-02,80.35838419
2016-05-03,46.13207533
2016-05-04,58.07060788
2016-05-05,45.36915514
2016-05-06,74.76566454
2016-05-07,39.73791981
2016-05-08,45.41637846
2016-05-09,101.93338203
2016-05-10,83.48804625
2016-05-11,201.80258697
2016-05-12,107.54693314
2016-05-13,347.76296741
2016-05-14,279.62079646
2016-05-15,54.58771182
2016-05-16,106.40509525
2016-05-17,50.72430082
2016-05-18,71.50392121
2016-05-19,199.61747362
2016-05-20,85.82690297
2016-05-21,45.4506924
2016-05-22,32.71992498
2016-05-23,55.07648419
2016-05-24,95.07689622
2016-05-25,69.1171161
2016-05-26,32.22464789
2016-05-27,126.96227613
2016-05-28,173.5718989
2016-05-29,57.69949534
2016-05-30,69.46409221
2016-05-31,57.85481651
2016-06-01,49.49351597
2016-06-02,26.50692298
2016-06-03,27.62073758
2016-06-04,17.635266
2016-06-05,20.33842747
2016-06-06,21.70801091
2016-06-07,44.30915303
2016-06-08,217.33959828
2016-06-09,18.34543228
2016-06-10,84.70528032
2016-06-11,30.41733917
2016-06-12,58.86855376
2016-06-13,60.86764111
2016-06-14,74.70351288
2016-06-15,73.09433721
2016-06-16,102.13332986
2016-06-17,200.89614878
2016-06-18,277.98364898
2016-06-19,97.6864417
2016-06-20,126.72731145
2016-06-21,112.11972884
2016-06-22,92.21670341
