date,timestamp_utc,Exchange Outflow (Top10)
2015-08-13,2015-08-13T00:00:00Z,448121.20189831
2015-08-14,2015-08-14T00:00:00Z,370784.37758
2015-08-15,2015-08-15T00:00:00Z,494844.63
2015-08-16,2015-08-16T00:00:00Z,399749.44840973
2015-08-17,2015-08-17T00:00:00Z,273781.32452699775
2015-08-18,2015-08-18T00:00:00Z,226573.3594088172
2015-08-19,2015-08-19T00:00:00Z,273595.6866
2015-08-20,2015-08-20T00:00:00Z,98276.69545968
2015-08-21,2015-08-21T00:00:00Z,130576.45508951
2015-08-22,2015-08-22T00:00:00Z,58350.56588
2015-08-23,2015-08-23T00:00:00Z,120591.18506182
2015-08-24,2015-08-24T00:00:00Z,90702.56
2015-08-25,2015-08-25T00:00:00Z,28670.53394219
2015-08-26,2015-08-26T00:00:00Z,154645.85292540002
2015-08-27,2015-08-27T00:00:00Z,55597.28776634
2015-08-28,2015-08-28T00:00:00Z,48912.35667341
2015-08-29,2015-08-29T00:00:00Z,102335.84760001
2015-08-30,2015-08-30T00:00:00Z,91814.2
2015-08-31,2015-08-31T00:00:00Z,64404.48214156
2015-09-01,2015-09-01T00:00:00Z,156484.78273198
2015-09-02,2015-09-02T00:00:00Z,83357.06999999999
2015-09-03,2015-09-03T00:00:00Z,258771.545
2015-09-04,2015-09-04T00:00:00Z,33742.81691499
2015-09-05,2015-09-05T00:00:00Z,43576.84143533
2015-09-06,2015-09-06T00:00:00Z,43311.62206926
2015-09-07,2015-09-07T00:00:00Z,32947.41083881
2015-09-08,2015-09-08T00:00:00Z,45124.555
2015-09-09,2015-09-09T00:00:00Z,50252.30293847
2015-09-10,2015-09-10T00:00:00Z,39425.12984578
2015-09-11,2015-09-11T00:00:00Z,217170.96239986
2015-09-12,2015-09-12T00:00:00Z,44647.55047465
2015-09-13,2015-09-13T00:00:00Z,33434.55522493
2015-09-14,2015-09-14T00:00:00Z,41577.03589277
2015-09-15,2015-09-15T00:00:00Z,88672.77189619
2015-09-16,2015-09-16T00:00:00Z,58390.26647778
2015-09-17,2015-09-17T00:00:00Z,94797.49784478
2015-09-18,2015-09-18T00:00:00Z,70732.74673542
2015-09-19,2015-09-19T00:00:00Z,116233.31486889
2015-09-20,2015-09-20T00:00:00Z,30121.79520262
2015-09-21,2015-09-21T00:00:00Z,20654.5284746122
2015-09-22,2015-09-22T00:00:00Z,26529.8911441506
2015-09-23,2015-09-23T00:00:00Z,28739.84850532
2015-09-24,2015-09-24T00:00:00Z,76308.299373975
2015-09-25,2015-09-25T00:00:00Z,280273.45333
2015-09-26,2015-09-26T00:00:00Z,68097.63688533
2015-09-27,2015-09-27T00:00:00Z,183270.98721633
2015-09-28,2015-09-28T00:00:00Z,51510.45802437
2015-09-29,2015-09-29T00:00:00Z,149450.9231752765
2015-09-30,2015-09-30T00:00:00Z,136569.89388999998
2015-10-01,2015-10-01T00:00:00Z,59055.5017053074
2015-10-02,2015-10-02T00:00:00Z,24545.67207944
2015-10-03,2015-10-03T00:00:00Z,27330.665
2015-10-04,2015-10-04T00:00:00Z,28079.441856790003
2015-10-05,2015-10-05T00:00:00Z,44204.05606941
2015-10-06,2015-10-06T00:00:00Z,219222.01908915
2015-10-07,2015-10-07T00:00:00Z,63344.925
2015-10-08,2015-10-08T00:00:00Z,61565.47104402
2015-10-09,2015-10-09T00:00:00Z,70743.3450983702
2015-10-10,2015-10-10T00:00:00Z,31982.46972762
2015-10-11,2015-10-11T00:00:00Z,71474.41656186
2015-10-12,2015-10-12T00:00:00Z,103181.28173615
2015-10-13,2015-10-13T00:00:00Z,102432.64327
2015-10-14,2015-10-14T00:00:00Z,430410.3184871489
2015-10-15,2015-10-15T00:00:00Z,60071.84906959
2015-10-16,2015-10-16T00:00:00Z,176690.6473
2015-10-17,2015-10-17T00:00:00Z,38348.3225861
2015-10-18,2015-10-18T00:00:00Z,26468.30834644
2015-10-19,2015-10-19T00:00:00Z,195355.80908073
2015-10-20,2015-10-20T00:00:00Z,187059.52325988
2015-10-21,2015-10-21T00:00:00Z,69654.7667448044
2015-10-22,2015-10-22T00:00:00Z,281141.1799
2015-10-23,2015-10-23T00:00:00Z,181426.7614075734
2015-10-24,2015-10-24T00:00:00Z,26578.90189397
2015-10-25,2015-10-25T00:00:00Z,46453.77945513
2015-10-26,2015-10-26T00:00:00Z,340354.7195615581
2015-10-27,2015-10-27T00:00:00Z,430589.7763547203
2015-10-28,2015-10-28T00:00:00Z,383457.01381
2015-10-29,2015-10-29T00:00:00Z,75820.4858993694
2015-10-30,2015-10-30T00:00:00Z,340147.3106453923
2015-10-31,2015-10-31T00:00:00Z,58113.8227669
2015-11-01,2015-11-01T00:00:00Z,41182.49460417
2015-11-02,2015-11-02T00:00:00Z,86134.995
2015-11-03,2015-11-03T00:00:00Z,116985.8775376
2015-11-04,2015-11-04T00:00:00Z,205778.7187129
2015-11-05,2015-11-05T00:00:00Z,56898.83057152
2015-11-06,2015-11-06T00:00:00Z,38987.255
2015-11-07,2015-11-07T00:00:00Z,59588.8156383986
2015-11-08,2015-11-08T00:00:00Z,36774.54
2015-11-09,2015-11-09T00:00:00Z,71339.9995845426
2015-11-10,2015-11-10T00:00:00Z,430071.66467168
2015-11-11,2015-11-11T00:00:00Z,79157.98114829
2015-11-12,2015-11-12T00:00:00Z,141716.3260548022
