date,timestamp_utc,Exchange Outflow (Total)
2015-08-13,2015-08-13T00:00:00Z,634366.0485250115
2015-08-14,2015-08-14T00:00:00Z,549783.4286395242
2015-08-15,2015-08-15T00:00:00Z,620942.7283406861
2015-08-16,2015-08-16T00:00:00Z,534732.8254858012
2015-08-17,2015-08-17T00:00:00Z,400440.214760024
2015-08-18,2015-08-18T00:00:00Z,421688.19749496656
2015-08-19,2015-08-19T00:00:00Z,414176.10681325855
2015-08-20,2015-08-20T00:00:00Z,184055.5599354237
2015-08-21,2015-08-21T00:00:00Z,233357.81325472385
2015-08-22,2015-08-22T00:00:00Z,99324.91374135272
2015-08-23,2015-08-23T00:00:00Z,156877.14266079056
2015-08-24,2015-08-24T00:00:00Z,145821.80081177576
2015-08-25,2015-08-25T00:00:00Z,65240.477021057006
2015-08-26,2015-08-26T00:00:00Z,203131.4858467519
2015-08-27,2015-08-27T00:00:00Z,86315.89994417097
2015-08-28,2015-08-28T00:00:00Z,74583.72233556518
2015-08-29,2015-08-29T00:00:00Z,123990.04380024286
2015-08-30,2015-08-30T00:00:00Z,132196.55278934387
2015-08-31,2015-08-31T00:00:00Z,133042.78117517487
2015-09-01,2015-09-01T00:00:00Z,198689.23378876003
2015-09-02,2015-09-02T00:00:00Z,111665.81334532112
2015-09-03,2015-09-03T00:00:00Z,282443.5246151632
2015-09-04,2015-09-04T00:00:00Z,52764.76514625644
2015-09-05,2015-09-05T00:00:00Z,66080.68768069243
2015-09-06,2015-09-06T00:00:00Z,57764.6917989659
2015-09-07,2015-09-07T00:00:00Z,42582.59178584626
2015-09-08,2015-09-08T00:00:00Z,65448.12937091725
2015-09-09,2015-09-09T00:00:00Z,63429.60457719136
2015-09-10,2015-09-10T00:00:00Z,67781.62865667453
2015-09-11,2015-09-11T00:00:00Z,361119.3953192316
2015-09-12,2015-09-12T00:00:00Z,69039.0804432261
2015-09-13,2015-09-13T00:00:00Z,67680.6514532978
2015-09-14,2015-09-14T00:00:00Z,73681.01815969845
2015-09-15,2015-09-15T00:00:00Z,123967.62194507007
2015-09-16,2015-09-16T00:00:00Z,81808.97686216795
2015-09-17,2015-09-17T00:00:00Z,127305.88016629804
2015-09-18,2015-09-18T00:00:00Z,96011.3364190847
2015-09-19,2015-09-19T00:00:00Z,121566.40055025792
2015-09-20,2015-09-20T00:00:00Z,42006.8541481635
2015-09-21,2015-09-21T00:00:00Z,30060.4781246922
2015-09-22,2015-09-22T00:00:00Z,36928.090122588845
2015-09-23,2015-09-23T00:00:00Z,36408.69839372938
2015-09-24,2015-09-24T00:00:00Z,107518.40099679829
