date,Exchange Withdrawing Addresses
2015-08-07,3
2015-08-08,58
2015-08-09,139
2015-08-10,160
2015-08-11,144
2015-08-12,153
2015-08-13,331
2015-08-14,317
2015-08-15,205
2015-08-16,200
2015-08-17,193
2015-08-18,271
2015-08-19,169
2015-08-20,122
2015-08-21,173
2015-08-22,136
2015-08-23,108
2015-08-24,117
2015-08-25,111
2015-08-26,127
2015-08-27,87
2015-08-28,87
2015-08-29,74
2015-08-30,83
2015-08-31,92
2015-09-01,90
2015-09-02,83
2015-09-03,80
2015-09-04,73
2015-09-05,72
2015-09-06,67
2015-09-07,67
2015-09-08,69
2015-09-09,67
2015-09-10,67
2015-09-11,190
2015-09-12,77
2015-09-13,84
2015-09-14,88
2015-09-15,72
2015-09-16,77
2015-09-17,99
2015-09-18,85
2015-09-19,49
2015-09-20,52
2015-09-21,55
2015-09-22,45
2015-09-23,39
2015-09-24,63
2015-09-25,92
2015-09-26,71
2015-09-27,57
2015-09-28,128
2015-09-29,78
2015-09-30,75
2015-10-01,80
2015-10-02,46
2015-10-03,55
2015-10-04,54
2015-10-05,66
2015-10-06,68
2015-10-07,78
2015-10-08,47
2015-10-09,53
2015-10-10,43
2015-10-11,36
2015-10-12,33
2015-10-13,44
2015-10-14,96
2015-10-15,71
2015-10-16,65
2015-10-17,69
2015-10-18,53
2015-10-19,44
2015-10-20,61
2015-10-21,61
2015-10-22,66
2015-10-23,62
2015-10-24,56
2015-10-25,65
2015-10-26,54
2015-10-27,88
2015-10-28,118
2015-10-29,125
2015-10-30,130
2015-10-31,64
2015-11-01,53
2015-11-02,77
2015-11-03,104
2015-11-04,148
2015-11-05,121
2015-11-06,82
2015-11-07,72
2015-11-08,70
2015-11-09,102
2015-11-10,84
2015-11-11,98
2015-11-12,94
2015-11-13,78
2015-11-14,73
2015-11-15,66
2015-11-16,76
2015-11-17,100
2015-11-18,68
2015-11-19,83
2015-11-20,83
2015-11-21,83
2015-11-22,67
2015-11-23,88
2015-11-24,93
2015-11-25,75
2015-11-26,99
2015-11-27,69
2015-11-28,64
2015-11-29,65
2015-11-30,81
2015-12-01,65
2015-12-02,72
2015-12-03,82
2015-12-04,65
2015-12-05,67
2015-12-06,79
2015-12-07,87
2015-12-08,58
2015-12-09,75
2015-12-10,80
2015-12-11,83
2015-12-12,103
2015-12-13,79
2015-12-14,61
2015-12-15,73
2015-12-16,83
2015-12-17,89
2015-12-18,76
2015-12-19,81
2015-12-20,70
2015-12-21,100
2015-12-22,77
2015-12-23,81
