gecko_id,tvl,tokensymbol,cmcid,name,chainid
berachain-bera,74464444.52686374,BERA,24647.0,Berachain,80094.0
kava,73405179.08497286,KAVA,4846.0,Kava,
hydradx,72185955.35760082,HDX,6753.0,Hydration,
sei-network,61575809.58615256,SEI,23149.0,Sei,
pulsechain,59903427.633981004,PLS,11145.0,PulseChain,
the-open-network,59096484.882196575,TON,11419.0,TON,
hedera-hashgraph,57817369.4608551,HBAR,4642.0,Hedera,295.0
ripple,46962027.467172295,XRP,52.0,XRPL,
ethena-usde,46389972.36295609,USDe,29470.0,Ethereal,5064014.0
,44177057.431886464,,,BSquared,
proton,42171548.50267982,XPR,5350.0,XPR Network,
algorand,39506178.909391165,ALGO,4030.0,Algorand,
eos,38926845.24850492,EOS,1765.0,Vaulta,
,37147483.36760371,-,,Unichain,130.0
thorchain,35159692.58585386,RUNE,4157.0,Thorchain,
,34758815.46334633,,,Blast,81457.0
sonic-3,34226563.53810144,S,,Sonic,146.0
tezos,28145991.395789336,XTZ,2011.0,Tezos,
,27142740.05787746,,,Mezo,31612.0
worldcoin-wld,26340325.022030264,WLD,,World Chain,480.0
fraxtal,26196988.381683853,FXTL,,Fraxtal,252.0
celo,26050581.218394857,CELO,5567.0,Celo,42220.0
x-layer,25238361.145376153,,,X Layer,
scroll,23579150.183342658,SCR,,Scroll,534352.0
zksync,22476638.511055116,ZK,24091.0,ZKsync Era,324.0
,22404663.47326236,,,Etherlink,42793.0
verus-coin,22399317.00847474,VRSC,5049.0,Verus,
,18522422.584270064,,,Abstract,2741.0
,18367025.38303557,,,ReyaChain,1729.0
flow,17592267.59474541,FLOW,4558.0,Flow,747.0
osmosis,16800315.28569327,OSMO,12220.0,Osmosis,
injective-protocol,14249545.016969996,INJ,,Injective,
,13613225.261512725,RON,,Ronin,2020.0
bifrost,13120553.606722828,BFC,7817.0,Bifrost Network,
,12620767.068602955,,,Rollux,
klay-token,12254719.583036523,KLAY,4256.0,Kaia,8217.0
elrond-erd-2,12168086.700473169,EGLD,6892.0,MultiversX,
chainflip,11727230.365580462,FLIP,13268.0,Chainflip,
immutable-x,11175300.7963875,IMX,10603.0,Immutable zkEVM,13371.0
internet-computer,11074977.658687877,ICP,8916.0,ICP,
,10628600.06833014,,,BOB,60808.0
plume,10326241.041145336,PLUME,35364.0,Plume Mainnet,98866.0
dogecoin,10226570.245284285,DOGE,74.0,Doge,
,10121199.321176786,,,Merlin,
,9648068.160365798,,,Soneium,1868.0
waves,8761906.453692697,WAVES,1274.0,Waves,
,7688857.635129874,,,Hemi,43111.0
wemix-token,7573984.821146362,WEMIX,7548.0,WEMIX3.0,
conflux-token,7551557.855330643,CFX,7334.0,Conflux,
gala,7312489.124823438,GALA,7080.0,Gala,
bitcoin-cash,6865367.470723348,BCH,1831.0,Bitcoincash,
,6802323.705425739,,,Taiko,167000.0
stable-2,6600696.6102828495,STABLE,,Stable,988.0
metis-token,6599742.661385158,METIS,9640.0,Metis,1088.0
,6546708.646377688,,,Cronos zkEVM,388.0
iota,6513688.405888051,IOTA,1720.0,IOTA,
manta-network,6279280.823013073,MANTA,13631.0,Manta,169.0
marcopolo,5889274.093858608,MAP,4956.0,MAP Protocol,
,5813830.571756934,,,Neutron,
zignaly,5734894.805214104,ZIG,9260.0,ZIGChain,
,5699909.225829901,-,,Morph,
aelf,5362322.132424998,ELF,2299.0,aelf,
terra-luna-2,5260721.252923488,LUNA,20314.0,Terra2,
cacao,5077750.035782664,CACAO,,Mayachain,
ontology,4995746.671063999,ONT,2566.0,Ontology,
vite,4949487.653459508,VITE,2937.0,Vite,
coredaoorg,4873764.717729991,CORE,23254.0,CORE,
chiliz,4868424.74246107,CHZ,4066.0,Chiliz,88888.0
bifrost-native-coin,4765890.581645628,BNC,8705.0,Bifrost,
fantom,4665406.992926053,FTM,3513.0,Fantom,250.0
,4619404.420108201,,,Fuel Ignition,
xdce-crowd-sale,4497132.8417554395,XDC,2634.0,XDC,
filecoin,4414485.939546086,FIL,2280.0,Filecoin,314.0
,4156186.129381669,,,Botanix,3637.0
initia,4095659.4738349887,INIT,33120.0,Initia,
canto,3563556.045497016,CANTO,21516.0,Canto,
neo,3454278.8435121146,NEO,1376.0,NEO,
nibiru,3238340.3805058077,NIBI,28508.0,Nibiru,6900.0
wanchain,3204889.3288146053,WAN,2606.0,Wanchain,888.0
alephium,3036498.576381647,ALPH,14878.0,Alephium,
aurora-near,3013941.1593460757,AURORA,14803.0,Aurora,1313161554.0
,2991554.2799181403,,,Tempo,4217.0
,2753514.167090786,,,Echelon Initia,
g-token,2589746.0322624226,G,32120.0,Gravity by Galxe,1625.0
tac,2546766.2696854584,TAC,,TAC,239.0
,2526207.818582571,GT,,GateLayer,10088.0
boba-network,2396327.881011355,BOBA,14556.0,Boba,288.0
secret,2327133.8188796104,SCRT,5604.0,Secret,
apecoin,2287536.2783161877,APE,18876.0,ApeChain,33139.0
grx-chain,2249978.007243545,GRX,,GRX Chain,1110.0
capx-ai,2228052.1393529875,CAPX,36557.0,Capx Chain,757.0
icon,2108506.995047716,ICX,2099.0,Icon,
dexalot,2102282.437119394,ALOT,18732.0,Dexalot,432204.0
radix,2062989.3943528542,XRD,11948.0,Radix,
mode,2019580.3601397409,MODE,31016.0,Mode,34443.0
iotex,1952531.7842195276,IOTX,2777.0,IoTeX,4689.0
supra,1924196.9872132416,SUPRA,34240.0,Supra,
,1915783.1290542136,,,Citrea,4114.0
nuls,1881398.0,NULS,2092.0,Nuls,
astar,1880578.7465135525,ASTR,12885.0,Astar,592.0
zero-gravity,1863291.7470712392,0G,38337.0,0G,16661.0
bitkub-coin,1821112.7892152534,KUB,16093.0,KUB,96.0
,1747377.040668679,,,opBNB,204.0
moonbeam,1740600.9244424303,GLMR,6836.0,Moonbeam,1284.0
moonriver,1718020.6970973918,MOVR,9285.0,Moonriver,1285.0
telos,1623311.5344437205,TLOS,4660.0,Telos,40.0
zcash,1583687.4119052845,ZEC,1437.0,Zcash,
hashkey-ecopoints,1555023.735868738,HSK,33849.0,HashKey Chain,177.0
namada,1474804.0443940256,NAM,,Namada,
oec-token,1473023.701981724,OKT,8267.0,OKTChain,66.0
,1471336.5552977258,,,Eclipse,
,1422534.8639673418,,,Cabal,
iota,1415266.6614436596,IOTA,,IOTA EVM,8822.0
somnia,1403147.376874439,SOMI,37637.0,Somnia,5031.0
litecoin,1331909.8181410988,LTC,2.0,Litecoin,
sophon,1315876.1663642556,SOPH,,Sophon,50104.0
ergo,1280002.6232557206,ERG,1555.0,Ergo,
vechain,1242203.1796697988,VET,3077.0,VeChain,
defichain,1158593.7659270458,DFI,5804.0,DefiChain,
equilibrium-token,1134428.7005913283,EQ,6780.0,Equilibrium,
fogo,1109592.5387100065,FOGO,,Fogo,
,1050670.9447878303,MC,,Beam,4337.0
shido-2,1030536.5136483317,SHIDO,28211.0,Shido,
dogechain,971349.1070445927,DG,,Dogechain,
lisk,926978.3226391037,LSK,1214.0,Lisk,1135.0
,906505.536337344,,,Swellchain,1923.0
coti,896745.2306267867,COTI,3992.0,Coti,
kucoin-shares,891432.5300019903,KCS,2087.0,KCC,321.0
,872162.7735796305,,,GodwokenV1,71402.0
zetachain,855710.8941978336,ZETA,21259.0,ZetaChain,7000.0
sx-network-2,846221.5315696787,SX,,SX Rollup,
,842480.3530054064,,,Yominet,
,838103.2870779255,,,Eventum,
byteball,830994.097671736,GBYTE,1492.0,Obyte,
,827217.7062098585,,,K2,2410.0
,808600.4249627115,,,Bitlayer,200901.0
kujira,804144.0911945008,KUJI,15185.0,Kujira,
defi-kingdoms,777977.7155282781,JEWEL,12319.0,DFK,53935.0
story-2,756911.674175902,IP,35626.0,Story,1514.0
venom,753453.0,VENOM,22059.0,Venom,
,748982.4264099053,TKX,,Titan,18888.0
winr-protocol,743033.0902094106,WINR,23681.0,WINR,777777.0
vana,690529.0679837437,VANA,,Vana,
terra-luna,678713.9534656071,LUNC,4172.0,Terra Classic,
starcoin,673036.4580120519,STC,10202.0,Starcoin,
mantra,669668.3227208833,MANTRA,39611.0,MANTRA,5887.0
,651044.6558692688,,,Doma,97477.0
bouncebit,650614.233658081,BB,30746.0,BounceBit,6001.0
shimmer,633130.211027701,SMR,14801.0,ShimmerEVM,148.0
,594110.478394736,,,Polynomial,8008.0
goat-network,570162.9490311119,GOATED,38494.0,GOAT,2345.0
edu-coin,545104.3263820737,EDU,24613.0,EDU Chain,41923.0
switcheo,542288.3379072205,SWTH,2620.0,Carbon,
prometeus,525934.4592661,PROM,,Prom,277.0
zilliqa,508781.63032499934,ZIL,2469.0,Zilliqa,
peaq-2,508728.18723264197,PEAQ,14588.0,Peaq,3338.0
unit0,504121.7771129002,UNIT0,33785.0,Unit Zero,
zircuit,479234.48004168906,ZRC,29711.0,Zircuit,48900.0
,472934.31227377977,,,Polygon zkEVM,1101.0
,464882.5014253124,,,Arbitrum Nova,42170.0
,461091.15613210504,IGRA,,Igra,38833.0
,436247.6342903943,,,Shibarium,
newton-project,424375.22694685776,AB,3871.0,AB,
wax,420414.46008848597,WAXP,2300.0,Wax,
,414329.6842310713,,,LightLink,1890.0
theta-token,370231.49217934074,THETA,2416.0,Theta,361.0
bittorrent,354053.09212622745,BTT,16086.0,Bittorrent,199.0
meter,310769.451875282,MTRG,5919.0,Meter,82.0
,307515.52359306155,BESC,,BESC Hyperchain,2372.0
coinex-token,305242.41229162447,CET,2941.0,CSC,52.0
harmony,294276.865439138,ONE,3945.0,Harmony,1666600000.0
dash,285942.9755299526,DASH,131.0,Dash,
,285580.02038197155,,,Elysium,
onus,284924.6288379899,ONUS,15261.0,Onus,
thunder-token,281172.6656958768,TT,3930.0,ThunderCore,108.0
