date,timestamp_utc,Fees Burnt USD (Total)
2021-03-02,2021-03-02T00:00:00Z,
2021-03-03,2021-03-03T00:00:00Z,
2021-03-04,2021-03-04T00:00:00Z,
2021-03-05,2021-03-05T00:00:00Z,
2021-03-06,2021-03-06T00:00:00Z,
2021-03-07,2021-03-07T00:00:00Z,
2021-03-08,2021-03-08T00:00:00Z,
2021-03-09,2021-03-09T00:00:00Z,
2021-03-10,2021-03-10T00:00:00Z,
2021-03-11,2021-03-11T00:00:00Z,
2021-03-12,2021-03-12T00:00:00Z,
2021-03-13,2021-03-13T00:00:00Z,
2021-03-14,2021-03-14T00:00:00Z,
2021-03-15,2021-03-15T00:00:00Z,
2021-03-16,2021-03-16T00:00:00Z,
2021-03-17,2021-03-17T00:00:00Z,
2021-03-18,2021-03-18T00:00:00Z,
2021-03-19,2021-03-19T00:00:00Z,
2021-03-20,2021-03-20T00:00:00Z,
2021-03-21,2021-03-21T00:00:00Z,
2021-03-22,2021-03-22T00:00:00Z,
2021-03-23,2021-03-23T00:00:00Z,
2021-03-24,2021-03-24T00:00:00Z,
2021-03-25,2021-03-25T00:00:00Z,
2021-03-26,2021-03-26T00:00:00Z,
2021-03-27,2021-03-27T00:00:00Z,
2021-03-28,2021-03-28T00:00:00Z,
2021-03-29,2021-03-29T00:00:00Z,
2021-03-30,2021-03-30T00:00:00Z,
2021-03-31,2021-03-31T00:00:00Z,
2021-04-01,2021-04-01T00:00:00Z,
2021-04-02,2021-04-02T00:00:00Z,
2021-04-03,2021-04-03T00:00:00Z,
2021-04-04,2021-04-04T00:00:00Z,
2021-04-05,2021-04-05T00:00:00Z,
2021-04-06,2021-04-06T00:00:00Z,
2021-04-07,2021-04-07T00:00:00Z,
2021-04-08,2021-04-08T00:00:00Z,
2021-04-09,2021-04-09T00:00:00Z,
2021-04-10,2021-04-10T00:00:00Z,
2021-04-11,2021-04-11T00:00:00Z,
2021-04-12,2021-04-12T00:00:00Z,
2021-04-13,2021-04-13T00:00:00Z,
2021-04-14,2021-04-14T00:00:00Z,
2021-04-15,2021-04-15T00:00:00Z,
2021-04-16,2021-04-16T00:00:00Z,
2021-04-17,2021-04-17T00:00:00Z,
2021-04-18,2021-04-18T00:00:00Z,
2021-04-19,2021-04-19T00:00:00Z,
2021-04-20,2021-04-20T00:00:00Z,
2021-04-21,2021-04-21T00:00:00Z,
2021-04-22,2021-04-22T00:00:00Z,
2021-04-23,2021-04-23T00:00:00Z,
2021-04-24,2021-04-24T00:00:00Z,
2021-04-25,2021-04-25T00:00:00Z,
2021-04-26,2021-04-26T00:00:00Z,
2021-04-27,2021-04-27T00:00:00Z,
2021-04-28,2021-04-28T00:00:00Z,
2021-04-29,2021-04-29T00:00:00Z,
2021-04-30,2021-04-30T00:00:00Z,
2021-05-01,2021-05-01T00:00:00Z,
2021-05-02,2021-05-02T00:00:00Z,
2021-05-03,2021-05-03T00:00:00Z,
2021-05-04,2021-05-04T00:00:00Z,
2021-05-05,2021-05-05T00:00:00Z,
2021-05-06,2021-05-06T00:00:00Z,
2021-05-07,2021-05-07T00:00:00Z,
2021-05-08,2021-05-08T00:00:00Z,
2021-05-09,2021-05-09T00:00:00Z,
2021-05-10,2021-05-10T00:00:00Z,
2021-05-11,2021-05-11T00:00:00Z,
2021-05-12,2021-05-12T00:00:00Z,
2021-05-13,2021-05-13T00:00:00Z,
2021-05-14,2021-05-14T00:00:00Z,
2021-05-15,2021-05-15T00:00:00Z,
2021-05-16,2021-05-16T00:00:00Z,
2021-05-17,2021-05-17T00:00:00Z,
2021-05-18,2021-05-18T00:00:00Z,
2021-05-19,2021-05-19T00:00:00Z,
2021-05-20,2021-05-20T00:00:00Z,
2021-05-21,2021-05-21T00:00:00Z,
2021-05-22,2021-05-22T00:00:00Z,
2021-05-23,2021-05-23T00:00:00Z,
2021-05-24,2021-05-24T00:00:00Z,
2021-05-25,2021-05-25T00:00:00Z,
2021-05-26,2021-05-26T00:00:00Z,
2021-05-27,2021-05-27T00:00:00Z,
2021-05-28,2021-05-28T00:00:00Z,
2021-05-29,2021-05-29T00:00:00Z,
2021-05-30,2021-05-30T00:00:00Z,
2021-05-31,2021-05-31T00:00:00Z,
2021-06-01,2021-06-01T00:00:00Z,
2021-06-02,2021-06-02T00:00:00Z,
2021-06-03,2021-06-03T00:00:00Z,
2021-06-04,2021-06-04T00:00:00Z,
2021-06-05,2021-06-05T00:00:00Z,
2021-06-06,2021-06-06T00:00:00Z,
2021-06-07,2021-06-07T00:00:00Z,
2021-06-08,2021-06-08T00:00:00Z,
2021-06-09,2021-06-09T00:00:00Z,
2021-06-10,2021-06-10T00:00:00Z,
