date,Fees (Total)
2020-11-02,4397.645830555131
2020-11-03,3354.799838846664
2020-11-04,2771.9645148388668
2020-11-05,3763.177025266295
2020-11-06,4519.434580562016
2020-11-07,4275.488754362713
2020-11-08,2131.6680356890965
2020-11-09,3182.897313536645
2020-11-10,3776.709143616455
2020-11-11,3752.2799718277006
2020-11-12,4175.992024341708
2020-11-13,4109.253811259927
2020-11-14,2791.5896010184592
2020-11-15,2520.817489438703
2020-11-16,3540.927879130815
2020-11-17,5886.356957043018
2020-11-18,6371.600162011501
2020-11-19,3886.146956314735
2020-11-20,5098.655479830899
2020-11-21,5071.950928216764
2020-11-22,4852.224582306656
2020-11-23,5825.9584161983175
2020-11-24,7166.078127459041
2020-11-25,4578.870014023181
2020-11-26,11194.82994950849
2020-11-27,3124.3613532994664
2020-11-28,2243.4404873729923
2020-11-29,1962.351069141875
2020-11-30,6022.470624959343
2020-12-01,6541.401465064967
2020-12-02,3155.093081356284
2020-12-03,3488.168407202459
2020-12-04,3936.325226402196
2020-12-05,2662.91684949962
2020-12-06,2648.307254583118
2020-12-07,3570.713220894821
2020-12-08,4845.224402755908
2020-12-09,5024.9154251574
2020-12-10,4250.053824138107
2020-12-11,4829.411382476887
2020-12-12,3106.768214039432
2020-12-13,3321.300573124516
2020-12-14,4749.089317124694
2020-12-15,6519.638015594606
2020-12-16,6414.620451282445
2020-12-17,11024.418931986822
2020-12-18,5561.513982684309
2020-12-19,4889.283132148064
2020-12-20,3415.530311898718
2020-12-21,6179.877798102817
2020-12-22,5216.004397573693
2020-12-23,8973.283352898772
2020-12-24,6673.366342259495
2020-12-25,7100.311115767877
2020-12-26,5203.245310740139
2020-12-27,7559.85975262819
2020-12-28,8873.285573476836
2020-12-29,7421.205326538726
2020-12-30,8986.76406768946
2020-12-31,7765.748557006718
2021-01-01,5188.673350531176
2021-01-02,8012.065284591725
2021-01-03,13011.093414713252
2021-01-04,20121.6893109184
2021-01-05,10958.666235017976
2021-01-06,9762.94678174504
2021-01-07,10633.97917174048
2021-01-08,11193.151282887737
2021-01-09,7201.345914579737
2021-01-10,6984.828711784491
2021-01-11,19748.38003857788
2021-01-12,6776.868851920189
2021-01-13,5372.778086980114
2021-01-14,6499.371431415467
2021-01-15,7421.966136148511
2021-01-16,6302.569290204783
2021-01-17,4872.880895114209
2021-01-18,5797.311326614873
2021-01-19,7959.149669110944
2021-01-20,6658.691192087621
2021-01-21,9736.678614934524
2021-01-22,10383.079231260572
2021-01-23,6336.81110542511
2021-01-24,6396.685655600982
2021-01-25,8615.004048348665
2021-01-26,6683.69281549312
2021-01-27,7733.098276022722
2021-01-28,7335.124632177531
2021-01-29,10902.221997387524
2021-01-30,8642.494763495231
2021-01-31,10261.03311318056
2021-02-01,12133.382592579925
2021-02-02,13774.193894744592
2021-02-03,13710.006459665205
2021-02-04,18797.57949625329
2021-02-05,19744.59478979089
2021-02-06,14069.806309724048
2021-02-07,12582.483936142624
2021-02-08,16517.111731421846
2021-02-09,18354.158265520826
2021-02-10,16946.130504446566
2021-02-11,13602.17049761193
2021-02-12,14025.280105176138
2021-02-13,14523.666757962956
2021-02-14,11680.626065906396
2021-02-15,14269.453142041932
2021-02-16,13460.13544169142
2021-02-17,13849.546528774468
2021-02-18,14406.597028680184
2021-02-19,14951.121918959028
2021-02-20,15925.496384518428
2021-02-21,11338.021333935634
2021-02-22,22368.80684079628
2021-02-23,31702.760973821933
2021-02-24,16301.979400513224
2021-02-25,13131.672119319222
2021-02-26,12724.116392048558
2021-02-27,9481.603056450584
2021-02-28,9587.082321326665
2021-03-01,9272.588476905814
2021-03-02,9933.724507414729
2021-03-03,10186.824284111926
2021-03-04,8932.718515545677
2021-03-05,11007.323918824242
2021-03-06,7843.7168240104675
2021-03-07,10461.902303473516
2021-03-08,10860.456038381388
2021-03-09,11010.833749891644
2021-03-10,10727.397898463909
2021-03-11,10620.444112852178
2021-03-12,13597.562723655985
2021-03-13,12999.054088625398
2021-03-14,11927.853651881558
2021-03-15,15017.507737253762
2021-03-16,14933.713897480804
2021-03-17,15502.620841954638
2021-03-18,14353.836719305284
2021-03-19,12608.01105600181
2021-03-20,11257.63548585218
2021-03-21,10816.93886218346
2021-03-22,14989.829126934908
2021-03-23,13061.673606463122
2021-03-24,14029.336265922851
2021-03-25,14548.15148250386
2021-03-26,11651.07730374207
2021-03-27,9393.141906035273
2021-03-28,9804.159958747336
2021-03-29,11888.53556409643
2021-03-30,13279.09424347315
2021-03-31,16824.29295211952
2021-04-01,15538.193336138856
2021-04-02,14621.88289827635
2021-04-03,11764.40819235194
2021-04-04,8861.749839297112
2021-04-05,11723.791426512364
2021-04-06,12228.08252290269
2021-04-07,12230.859552933636
2021-04-08,9614.43446538055
2021-04-09,9338.46875790199
2021-04-10,7988.993143479311
2021-04-11,6690.483670602316
2021-04-12,8635.031458841495
2021-04-13,9404.908628691484
2021-04-14,10853.269936188342
2021-04-15,7884.271801474835
2021-04-16,14336.227928975411
2021-04-17,11693.617711285076
2021-04-18,13988.487240357625
2021-04-19,15401.609239746673
2021-04-20,21627.73084186283
2021-04-21,14889.136406640358
2021-04-22,13169.122807035836
2021-04-23,11486.335370923898
2021-04-24,6351.769301024408
2021-04-25,5169.258984674785
2021-04-26,5693.145153393699
2021-04-27,6042.241807885653
2021-04-28,7236.849992155018
2021-04-29,6652.47167971268
2021-04-30,5210.401691967365
2021-05-01,4908.59831327719
2021-05-02,3862.553056677517
2021-05-03,6164.078650275375
2021-05-04,6403.313722546303
2021-05-05,5578.410842099695
2021-05-06,6142.596407984821
2021-05-07,6347.754183963807
2021-05-08,13122.030255765178
2021-05-09,12144.018697046724
2021-05-10,22503.72157346462
2021-05-11,28202.45349668608
2021-05-12,26940.380043358982
2021-05-13,16479.162318675717
2021-05-14,12221.28858138604
2021-05-15,8920.270006779392
2021-05-16,7728.844029954938
2021-05-17,8943.088142015198
2021-05-18,8250.40286879946
2021-05-19,30798.9395904571
2021-05-20,12343.667540285924
2021-05-21,10973.200259658292
2021-05-22,5302.534504081635
2021-05-23,13635.525533392098
2021-05-24,6355.702776189329
2021-05-25,4776.78367363077
2021-05-26,4592.754085376195
2021-05-27,3632.657750447915
2021-05-28,3766.05311143483
2021-05-29,3095.523313416171
2021-05-30,2644.965246083468
2021-05-31,3078.7710524098843
2021-06-01,2835.0065470676564
2021-06-02,2966.323386581217
2021-06-03,3057.50572652628
2021-06-04,2606.231242055989
2021-06-05,1837.0555379852456
2021-06-06,1560.4327023144535
2021-06-07,2102.2047853490817
2021-06-08,2852.44239963886
2021-06-09,2373.7183708915563
2021-06-10,2000.5939521564264
2021-06-11,2281.2766470528923
2021-06-12,1912.1818373803976
