date,timestamp_utc,Fees per Transaction USD (Mean)
2020-11-02,2020-11-02T00:00:00Z,1.4568409358214172
2020-11-03,2020-11-03T00:00:00Z,1.163201816521348
2020-11-04,2020-11-04T00:00:00Z,0.9818986805439238
2020-11-05,2020-11-05T00:00:00Z,1.3904543027183076
2020-11-06,2020-11-06T00:00:00Z,1.7601296479691022
2020-11-07,2020-11-07T00:00:00Z,1.6474729664183692
2020-11-08,2020-11-08T00:00:00Z,0.95348429173648
2020-11-09,2020-11-09T00:00:00Z,1.2326503733305234
2020-11-10,2020-11-10T00:00:00Z,1.4710374451417805
2020-11-11,2020-11-11T00:00:00Z,1.586293384536761
2020-11-12,2020-11-12T00:00:00Z,1.7567864910128232
2020-11-13,2020-11-13T00:00:00Z,1.692122575791214
2020-11-14,2020-11-14T00:00:00Z,1.2049014928788142
2020-11-15,2020-11-15T00:00:00Z,1.0888745154678907
2020-11-16,2020-11-16T00:00:00Z,1.4749277421439666
2020-11-17,2020-11-17T00:00:00Z,2.4203503865419056
2020-11-18,2020-11-18T00:00:00Z,2.718417389428517
2020-11-19,2020-11-19T00:00:00Z,1.6312227935657622
2020-11-20,2020-11-20T00:00:00Z,2.2367678635214148
2020-11-21,2020-11-21T00:00:00Z,2.3875312374709106
2020-11-22,2020-11-22T00:00:00Z,2.3641432669725257
2020-11-23,2020-11-23T00:00:00Z,2.921713543356864
2020-11-24,2020-11-24T00:00:00Z,3.49765547243097
2020-11-25,2020-11-25T00:00:00Z,2.161984453623468
2020-11-26,2020-11-26T00:00:00Z,4.971293333369858
2020-11-27,2020-11-27T00:00:00Z,1.471668226632773
2020-11-28,2020-11-28T00:00:00Z,1.2166384404344674
2020-11-29,2020-11-29T00:00:00Z,1.13844580669146
2020-11-30,2020-11-30T00:00:00Z,3.1372739625436625
2020-12-01,2020-12-01T00:00:00Z,3.27091980568627
2020-12-02,2020-12-02T00:00:00Z,1.75882924066813
2020-12-03,2020-12-03T00:00:00Z,1.92974749309112
2020-12-04,2020-12-04T00:00:00Z,1.9693750547556943
2020-12-05,2020-12-05T00:00:00Z,1.50638991614873
2020-12-06,2020-12-06T00:00:00Z,1.5417989727916186
2020-12-07,2020-12-07T00:00:00Z,1.916401338902564
2020-12-08,2020-12-08T00:00:00Z,2.338055774093123
2020-12-09,2020-12-09T00:00:00Z,2.503425484017621
2020-12-10,2020-12-10T00:00:00Z,2.175767197912837
2020-12-11,2020-12-11T00:00:00Z,2.3436215594929024
2020-12-12,2020-12-12T00:00:00Z,1.6167999868774248
2020-12-13,2020-12-13T00:00:00Z,1.7172943017191813
2020-12-14,2020-12-14T00:00:00Z,2.242976934303264
2020-12-15,2020-12-15T00:00:00Z,3.160784512480344
2020-12-16,2020-12-16T00:00:00Z,3.240353027304645
2020-12-17,2020-12-17T00:00:00Z,5.274995413407378
2020-12-18,2020-12-18T00:00:00Z,3.048042937756112
2020-12-19,2020-12-19T00:00:00Z,2.7685630772514043
2020-12-20,2020-12-20T00:00:00Z,2.028718886605226
2020-12-21,2020-12-21T00:00:00Z,3.273765086670154
2020-12-22,2020-12-22T00:00:00Z,2.893035731616641
2020-12-23,2020-12-23T00:00:00Z,4.186738329529654
2020-12-24,2020-12-24T00:00:00Z,3.575404318464106
2020-12-25,2020-12-25T00:00:00Z,3.9038009648213614
2020-12-26,2020-12-26T00:00:00Z,2.906121965095412
2020-12-27,2020-12-27T00:00:00Z,4.39276477212572
2020-12-28,2020-12-28T00:00:00Z,5.15048829734389
2020-12-29,2020-12-29T00:00:00Z,4.497734095050295
