date,0 ~ 1 USD,1 ~ 10 USD,10 ~ 100 USD,100 ~ 1K USD,1K ~ 10K USD,10K ~ 100K USD,100K ~ 1M USD,1M ~ USD
2021-01-27,5834.5783699,299625.57495622,12429204.24724522,112817060.62007286,443292409.3200684,1787452310.2908137,5817775810.862235,53727788289.66186
2021-01-28,5024.66109,320524.82647088,12791938.66932077,113122161.71393456,429611163.06034136,1794146061.0403545,6326149714.500174,60771284461.88823
2021-01-29,1263.20384367,144565.61629049,12751739.01089114,126557490.42959628,534636676.5686964,2276196890.7859225,7721190795.603472,76822057151.64671
2021-01-30,1618.63591558,212790.37333802,12508562.29965686,109431503.07573593,409688685.22122645,1619291198.512683,5227798344.995717,59230362917.97608
2021-01-31,4977.53811385,347277.19607549,15781662.02689713,105029353.97723176,368102066.2386108,1521278623.7643597,4673768411.228887,59822300432.41992
2021-02-01,1663.00836619,149527.44046664,9592695.3673958,100306123.3183914,388015724.7319934,1707873338.2437537,6163439402.133115,54701050302.17528
2021-02-02,1812.80143371,201315.97027251,12428972.36120791,129318440.87934206,499203052.10921896,2031956021.7609613,6876285304.360624,59042759324.98122
2021-02-03,2891.25830347,212791.22759525,12116959.10769782,123393495.59954956,511908069.4041566,2000733265.6813345,6828238015.238842,66068671953.71328
2021-02-04,1659.41920985,164580.62172244,12186475.26799553,138562023.53308088,605137241.0396802,2228014727.459865,7150726038.02402,71763596781.13445
2021-02-05,3075.44972289,275063.3542077,14631105.20804428,146726672.08849192,536778329.34664327,2081969967.401357,6219288182.229795,64685020092.97902
2021-02-06,3151.04743427,272006.54222151,13558301.09722068,132330602.62944388,507591150.4364316,2012023309.030792,5955597460.384587,77186919853.87546
2021-02-07,6695.19914031,360823.01983297,15843337.13049683,123153173.66443792,390901816.9963671,1607569132.0226202,4643338535.875171,72491001840.27188
2021-02-08,3289.02731691,192862.08722403,13834352.85273248,137007282.5193887,585687056.7581544,2400020847.930011,8542796353.287608,83364172085.14922
2021-02-09,1484.17354862,71157.82957412,9367373.11813953,124477781.18539514,584343968.787112,2696864535.823955,11224360746.367908,144039424559.36044
2021-02-10,1935.70959665,102084.70781722,10184557.55105884,133166217.98459284,548459229.0361854,2254171513.0659995,8057838140.683489,87853402405.34618
2021-02-11,1188.88045572,89553.20752643,8981823.07958198,109459276.87271,479026801.7993065,2090703831.43154,7574961011.602967,99672109175.09308
2021-02-12,1321.2487038,95454.37852752,10496701.95997651,120768009.26007688,541570198.2946199,2303708259.611413,8091824921.269298,90899979949.18668
2021-02-13,2492.39187179,244312.91551721,15856057.87968609,136867413.00603417,500692020.7982375,1932887048.1004336,6338674142.688919,63094862392.06278
2021-02-14,2930.54061303,323247.75549205,14869057.31004236,120814935.29766744,439787700.4917708,1901650057.357916,5340380993.638691,83796760026.38634
2021-02-15,3328.28610355,209920.66441005,14431843.90359543,129512989.4502944,485778516.2363788,2189858141.205337,7501327673.913022,103250679575.74196
2021-02-16,1664.31040367,117363.36692637,8706420.3679969,106146442.11795188,460447889.17518497,2157721231.039899,7940897764.587487,112513162742.56476
2021-02-17,1617.18447892,99165.91322932,9902194.90093421,120722666.67370284,537965564.1929363,2366697248.939902,8738301941.169924,94457229728.55994
2021-02-18,1833.46749836,110914.61076652,9826327.74173871,120410565.80904502,533802206.337439,2296425602.043792,8286957409.704455,103077503754.64175
2021-02-19,1729.72552095,113629.64799992,12943564.17207232,130876572.07927844,561141078.7174165,2416277281.753178,9286450851.82968,114218865802.4053
2021-02-20,1775.59443444,112640.33589181,11578402.40829004,128036667.43575248,578403846.6170076,2376613239.9819665,8224548033.042302,112162792081.98875
2021-02-21,1967.53682518,232093.57786244,10731352.07468367,117116998.39025396,598851761.1115594,3062017855.0866203,6992353403.094436,91008450002.3903
2021-02-22,1614.66555881,106798.34889528,11024596.65217179,119865223.05214418,485412944.7886965,2398974512.128464,8958742803.663269,97250713825.62962
2021-02-23,1237.07459223,59265.46146188,8738604.87622701,116829269.12965807,542461964.3504082,2524123897.9729857,9328527754.372644,94234289822.53432
2021-02-24,1995.06156415,146569.18790408,13554390.96150787,133867924.21592128,565273840.8081883,2489355726.56882,8301982975.746189,94143430377.46053
2021-02-25,1951.85569037,245308.87904498,14066897.48077034,130739591.87322694,532879089.0490309,2181448131.2702365,8158575600.652801,104559136007.80965
2021-02-26,1700.36939612,162577.66663213,10909417.57711296,122226823.13398696,502251381.9304502,2240990374.962184,7591466796.570574,86017019550.26749
2021-02-27,3567.29987206,395851.13398722,14918882.94610707,132653235.92896956,444449854.2466365,1805536940.8432355,5195041009.232678,71421099779.97418
2021-02-28,3319.32724948,301785.49255591,16197760.2913832,104595267.85202768,366248394.98293215,1719558580.192884,5234589954.369893,70116466851.31339
2021-03-01,2017.62979372,210119.54231461,11309669.98455148,100875991.51305966,421654639.61062944,2059299968.642572,7151839446.462652,75665565923.52972
2021-03-02,1703.57809982,213045.98747797,11311444.43028069,132174540.07326968,509399510.0960136,2105740681.9806223,7267788482.390376,81552797580.95973
2021-03-03,2369.74874092,245089.67598598,12117043.25892862,132565486.28322291,519988069.96182126,2097936517.321007,7764273888.116179,83987243390.37202
2021-03-04,1372.82885621,166184.0786764,10333591.24780651,111405123.55416152,455634112.79591984,1964222660.147426,6861438577.69944,65315405004.29699
2021-03-05,2105.69421283,246515.92051961,14155865.32694203,124968932.46754088,458901940.8371621,2038589343.9208665,7782565134.171507,74446969028.16148
2021-03-06,4529.54636064,386727.84960941,16259878.4759198,121730252.82088698,401644092.6875834,1643749161.366057,5030603493.192122,66878837649.92456
2021-03-07,3812.59175134,250693.78708237,17176474.06582036,114303760.93910226,375662665.0531421,1624098577.9535851,5551554993.363327,99350066012.47458
2021-03-08,4938.55233305,282710.86148299,15561667.54569666,128703268.69744354,430985817.1895252,1981001468.556537,7030758819.405747,89992132192.39487
2021-03-09,2303.80343341,153712.31875796,10851055.53842701,121275655.09329154,502176641.3257485,2254731250.0736947,7930446646.731669,94425549568.12262
2021-03-10,3288.42753913,187494.9298379,11098207.00416619,134295856.31388056,545032428.8192631,2337365592.664211,8116262288.248606,83639724497.96988
2021-03-11,1485.54502437,101092.0567495,9482729.79306714,121421894.60838386,497745516.74032426,2101184660.977308,7060062346.283956,85121432252.74342
2021-03-12,1846.79158995,164604.69044197,13874869.64576994,125502583.853756,499699427.9429045,2191737914.544157,7454924913.931502,69466462833.29683
2021-03-13,1823.89332742,116374.50608499,11397678.55242177,124269663.25907916,562257437.2859209,2627419378.000098,7205162103.765232,60536802593.15033
2021-03-14,3724.16639733,348898.23166976,14939525.29173981,135005950.03320187,461059816.111695,1996248880.3743136,6437665947.500976,70138057711.36592
2021-03-15,4712.07785127,199133.12289763,14080183.34514159,124264911.60617869,462014005.2114365,2238918017.951407,7761114622.517368,64045994483.81993
2021-03-16,4016.87269866,192856.0690958,13208658.62561952,127692862.6258714,501727787.77984726,2240252601.205617,7503400699.962771,70461117936.94987
2021-03-17,4254.57399227,241893.84547804,10770507.64589504,114209613.6571764,464385907.04421,2021370819.4578607,7021970965.820381,72595958547.71408
2021-03-18,1619.67509697,109672.66363532,11210642.86863464,136454705.38310578,554153957.1656581,2218436473.024869,7157554115.960835,66128415298.00718
2021-03-19,2051.86627232,190273.715012,12358489.34921581,131198447.81671584,496782678.14750266,2214517366.0961075,6952454482.896056,61817918981.32831
2021-03-20,3641.0325547,270332.9885758,16078566.24133516,125727219.81073548,440462967.5733085,1860954073.388904,5561049017.870775,58949456664.25701
2021-03-21,8786.80876862,345948.99121311,19823836.41712387,151233643.6732804,329354553.6885331,1582184944.636721,5238530462.358977,56267863786.58495
2021-03-22,9340.10719577,219665.19305004,13347519.78017198,135035338.12510392,458158542.64842695,2028518439.478894,6967793646.922631,64131282971.44945
2021-03-23,5260.88108175,345193.57209677,15327512.36635972,143138129.3214032,461919006.25799054,2110777947.9976096,7309929012.007503,89674811742.47964
2021-03-24,17528.75366152,393376.74212523,13254918.74200617,129690021.36291271,443304152.2659322,2191975758.964915,7035871146.290408,80496151313.81755
2021-03-25,2335.34233811,257085.23169484,12765455.7703296,136342274.74508062,519630401.4997185,2201597740.763414,7394021347.928799,78866880673.82312
2021-03-26,1763.95857073,162606.79626513,12245326.20552502,112843863.06716058,433108562.27998006,2174191685.488924,7574185616.664834,67165549275.94157
2021-03-27,4043.53111726,312738.27753687,19938798.01015171,119485150.4932626,398936365.4159946,1742673524.0053964,5422945844.587878,60424090007.14039
2021-03-28,4166.57989754,278882.70098843,19895943.42207527,122713353.31858516,337464709.70866483,1542638798.2594488,4939758833.516553,44445361251.51218
2021-03-29,3033.22244526,310921.87657388,12898856.97993192,118833444.3945057,464299789.3453435,2049163318.854452,7489495287.948608,81609300780.082
2021-03-30,2145.24680455,192293.22849296,11136686.12134421,134750930.85189033,523367950.6037033,2280802623.6067305,7655413073.707751,76782346652.24086
2021-03-31,1850.63811323,187916.89198494,12478789.4415573,143405281.24372706,563373520.4915333,2363297706.636021,7623530924.019855,69361631274.57343
2021-04-01,1849.46091999,199819.05962305,11696039.69807816,130240748.57321458,483148047.6129624,2242412763.380815,7934847443.147753,69608566479.61032
2021-04-02,1764.74623226,218667.39951483,10716273.90791132,128012057.52049462,465176672.6526912,2100785211.0951395,7031971857.097476,72223068790.37627
2021-04-03,2778.13629524,194631.37485636,11746826.08619371,114899601.9447551,401109979.9705072,1886185908.412816,6081144452.352025,70661980028.49765
2021-04-04,5072.11516878,352938.76956733,15473762.78970497,119838682.544188,343630518.359882,1684933336.4268208,5468796667.397618,59181926325.01903
2021-04-05,6829.81507476,301605.16948999,16545220.37458277,133066664.46298186,457871257.7088167,2126376898.0474324,7428570419.593016,91883357168.46432
2021-04-06,1777.69095692,186202.78935234,11883962.66024943,127538831.47273798,470703509.8493213,2356674339.729245,8610542556.603073,111804300691.37717
2021-04-07,2318.01784084,245086.62431435,14323296.91514813,140633707.16632172,530508563.80524015,2319472721.523876,8005514659.565974,85700466012.05067
2021-04-08,2449.7582376,201481.61039657,10684035.58571561,117770732.11975472,452365690.8199102,1998411966.858871,6874508887.590185,76440646598.89595
2021-04-09,2170.66822089,151326.87899461,13264330.10518973,140534477.71919242,495476475.841881,2149181751.6338983,6868359340.75558,83209504878.82764
2021-04-10,4194.80697996,257748.77783348,14697758.19117342,138048717.1582986,467870972.219365,1967056765.591565,7182467041.66941,82717166554.26541
2021-04-11,6298.47168515,324813.63661663,17805631.9733737,120305587.29181977,362551133.5967269,1627046399.755442,6245247209.534714,73468010411.33891
2021-04-12,4019.48332636,257243.28337254,12168735.7224939,122169254.29762755,473306099.52283216,2340307297.35649,7896573264.944218,89988898564.28137
2021-04-13,1872.67400595,124096.99344884,10361684.94029912,135152332.35039306,511281236.59343934,2276174523.5473213,8824765811.421541,107182366137.14355
2021-04-14,1066.68089795,62009.69777056,8982334.19563202,131574179.78024624,551166780.0211245,2359533684.155903,8770321465.275053,103842676393.9488
2021-04-15,2081.03455724,121313.35473442,13039541.98340053,178867769.48786482,623567823.5284449,2517680398.922409,7978622309.336337,104823975787.8178
2021-04-16,765.78462213,45071.29938796,6820452.04071597,96338984.38383584,376741454.85159993,1876826024.6116447,7194174057.340096,103644614791.91226
2021-04-17,708.96968786,36616.4155088,6938936.22720372,86813107.7502936,334263160.4135477,1717401918.525651,5392108848.016332,62554306912.92947
2021-04-18,1439.2448185,86882.02993986,10073987.49083923,115633523.38225852,455687083.8221602,2142955234.3577063,7582103472.8776865,82902127893.75044
2021-04-19,862.93840716,29682.22913137,7474779.09795095,89889553.68517984,358907192.3391101,1816884984.269181,7020517721.783864,62672995201.176704
2021-04-20,1160.04748063,70487.2182156,10644405.28171385,123959981.39894646,478979680.7413262,2215071189.914203,7624368252.447469,93369500730.31036
2021-04-21,585.35400274,37609.20073172,6768781.46227431,103433847.00652692,385992798.2208239,1796498763.4307094,6695701224.737569,98144231494.59348
2021-04-22,1106.65847235,88305.72687621,12819774.87774237,136516200.9717626,534172927.0606902,2245764257.096976,7550893311.573454,107171176075.51324
2021-04-23,1607.60815074,79006.55471386,11819067.14550593,127954638.46914364,530126904.3857712,2362396413.9168,8624693527.91198,97332354855.9947
2021-04-24,2893.0495953,198798.4620673,16708787.70080718,129608531.23822986,415634583.0352856,1605497446.91821,4924368783.512817,72847044177.36906
2021-04-25,2193.84626801,431566.92256325,16985439.34026026,125005665.26343717,432287279.2472313,1830065346.2239373,5469753627.858094,73143646173.64307
2021-04-26,2909.78560227,97506.75632567,9404604.09628587,103969028.1620712,427486161.7866298,1686967726.8228328,7396144727.452157,104513340681.0438
2021-04-27,2350.55021469,152177.50039191,13387964.16013323,134754308.93126273,472473645.4896225,1909685420.8633409,7519508372.400265,114919047865.44774
2021-04-28,4680.45588162,190467.79772242,15964907.190145,123824529.33312573,447635328.7034485,1784790128.7473023,6596552586.13372,100903981852.73495
2021-04-29,3136.56657147,111640.85853507,9074230.11105561,118253825.85897171,504141823.9902944,1918817792.679452,6890918050.476903,104004195153.02344
2021-04-30,2176.52731369,162756.16941714,12290774.52571818,136076535.63604793,564986134.2993414,2347577257.130936,7690874230.217909,116134949882.75624
2021-05-01,2976.50451359,262369.39700312,12716038.06334768,133270796.9435414,427434272.29229903,1558170311.7974308,5747541489.903628,85027553651.6128
2021-05-02,8124.45024084,539903.47639726,24752169.09064306,146436093.22187898,372557865.1229847,1461686063.2548056,5192576239.045363,77578099732.4016
2021-05-03,5857.09284903,367219.7806938,21037822.44370132,162350844.841678,467440699.892693,1986590038.1536653,7580586550.154892,114822833872.98744
2021-05-04,9421.15892148,454992.1880632,16972574.71259401,163893430.92262444,611145731.4719454,2194671127.9936266,8051850326.541137,114986890162.42725
2021-05-05,5763.95194071,303667.98784357,15031633.75434131,137166139.88823143,495813985.9200447,2093848673.1385007,7453975364.830352,92138784330.62926
2021-05-06,12917.08226287,279841.15071018,15407514.11232355,150558160.57538056,542448160.5867473,2246695768.4810066,8156387797.663206,91677179575.57748
2021-05-07,7967.42882372,262338.51696567,14947411.89964776,153867669.29945734,558759482.8009212,2126580948.5331888,8146144752.2753315,99422574708.71866
2021-05-08,4654.89126521,184667.35831467,13594644.41636803,175658965.28984043,639083633.2047329,1947229850.3053195,6200273145.992385,71528836066.51164
2021-05-09,19352.58841868,308360.05350837,17735298.74844218,179703455.95838457,546980029.3028802,1815472245.2136312,6003631942.821554,54286383228.948685
2021-05-10,7360.55172877,393669.38649867,21242771.55436507,150785146.6248605,516294607.9020952,2312800592.7505784,9088831763.49578,69394728693.14835
2021-05-11,7902.9380942,353041.17852292,17554792.60675307,140296571.16709068,517641756.3265539,2186347911.214898,7842248360.194929,56573719736.65624
2021-05-12,8390.00043928,316750.34984264,15863793.8088548,158686553.60318232,512387549.6990152,2308994540.7997074,8619231543.738281,75274274471.7744
2021-05-13,3646.89111663,223767.11128176,14826684.39008071,161109275.18005154,520648816.5054921,2408000214.049242,8969665231.176,112565322523.73495
2021-05-14,2401.00287994,187899.65662943,10597665.01740915,136451212.8699461,479035450.5195911,2078952646.9865284,7405044487.746438,104820093705.33864
2021-05-15,3240.71546355,199335.49646831,12594288.82719763,119474946.9660338,385791919.0973296,1811393417.9267893,5758686433.965652,85751886093.69208
