date,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2021-01-31,1489.0375391,6199.36728139,23694.97856847,84996.9848809,210086.47148273,336401.78977178,40690.11648086,1286792.82962556
2021-02-01,1148.14335502,6487.68473462,24824.32624085,109945.38275453,283818.7411428,322759.35112142,76520.42495764,1047104.24398016
2021-02-02,1547.17475889,8223.20994184,31507.95175468,116952.19806777,287257.23318342,323370.55308421,84973.48263142,1123175.17325438
2021-02-03,1462.03310968,7759.72019076,30174.03532105,125460.39545754,266992.81763965,349726.94593377,70503.51871312,1212128.690957
2021-02-04,1549.03831733,9441.48837098,33256.69253128,121994.95031929,283908.5689307,370699.69296954,131873.8487113,1227495.06605978
2021-02-05,1706.18574756,8463.44492392,30648.34975321,113772.61437669,253645.60303095,339857.33484667,142023.81835999,1068700.61971621
2021-02-06,1668.74131299,7668.80620657,29216.03861514,101972.31700395,255261.36327084,296672.5277806,29462.02286569,1433933.4102962
2021-02-07,1770.41975722,6071.60385266,23792.6062147,86183.5418315,209195.04130049,314433.42454061,62678.78808829,1343277.06652154
2021-02-08,1705.78669578,8165.42489166,34505.56031723,129424.06258329,313440.004765,396701.67810516,156492.62143824,1222211.24573977
2021-02-09,1293.63611152,7884.65121278,33259.49158935,175777.84258477,345203.63968058,482573.57105476,587774.03323563,1765799.62910057
2021-02-10,1327.48951319,8141.40454011,28994.90585276,121078.57243223,304790.91388895,301757.44734841,178664.72063134,1217072.94487702
2021-02-11,1174.50623851,6808.50058298,26635.96128756,113298.53389863,254476.70035615,273927.60762622,113805.77535017,1590788.72284216
2021-02-12,1315.01848424,7450.71524416,29114.69657849,122845.48544061,241014.64747008,270465.66761122,134498.3821448,1335956.69828191
2021-02-13,1683.95486988,7013.83808796,25697.82213118,89409.51001637,185465.10391166,162103.23673196,32843.13832977,1019298.55480216
2021-02-14,1523.23945409,6190.04158805,23092.75882983,87458.23519857,169377.8148443,181458.98704894,16944.09000559,1399262.34562265
2021-02-15,1556.40807588,6567.95039421,27563.41829501,108105.51547175,240178.67354696,183792.17380851,132822.45691422,1673234.18764636
2021-02-16,1123.51767071,6253.5622053,27769.95175223,109518.95185115,238701.36592933,256517.40246312,50101.03878845,1824567.84836942
2021-02-17,1345.16466714,7329.91156119,29826.91385826,119444.19579158,277843.80585474,271676.97971182,97456.12111651,1271910.70364101
2021-02-18,1361.66016788,7121.19306925,29381.83744831,115770.12923125,229283.76606883,249018.20657243,187318.01924477,1382809.98751181
2021-02-19,1512.34545685,7576.84440135,31135.98440131,121475.66803321,255181.73536038,402037.25102433,89535.38926172,1456581.33680671
2021-02-20,1502.18319362,7602.75928396,29039.12969175,109507.15426324,256608.63726025,247910.36725434,105209.56337947,1437167.72627145
2021-02-21,1350.8722239,6996.68470545,36624.14177023,107053.74858942,226227.31455915,278189.01354433,32229.86477234,1095019.31024021
2021-02-22,1457.31041476,6218.19386832,28490.05603185,117574.10935811,288734.25818821,361567.42249172,68614.16559005,1117754.63998333
2021-02-23,1214.2970368,7059.24234112,32230.48236824,127882.71367669,329193.56081807,419227.31441413,179947.82255575,1075945.76156477
2021-02-24,1527.37427516,7800.50982045,32641.86362402,116430.69150847,302153.8018707,424299.50685304,94007.98020226,1141564.27446928
2021-02-25,1537.31821866,7425.26947707,28693.91208447,107203.68707026,283821.89295762,651395.11783047,87191.31592601,1145186.65914369
2021-02-26,1295.88834237,7174.75614848,29174.5743465,107995.52994467,265832.05169576,344695.01612021,124735.31400328,1187335.80214753
2021-02-27,1589.72501794,6727.71663365,23176.19478416,82337.47769931,164534.73059471,182754.07985912,78546.03459666,1136921.32547448
2021-02-28,1373.80583722,5416.43569823,22572.85063157,85584.25501129,187178.19088179,204423.85323691,30433.58107197,1194726.72231358
2021-03-01,1160.77687274,5765.65867103,25050.11534771,109864.36964732,234253.17648399,270136.69989962,64413.16652576,1072818.57921614
2021-03-02,1395.92942821,7483.03240555,26637.19576253,102241.62285256,243283.06920347,287067.91860054,83473.63600896,1136122.2363969
2021-03-03,1481.16128227,7358.49353885,27157.23444345,104982.08655093,239532.8500447,319682.0218217,46094.60310995,1128317.15469795
2021-03-04,1258.53537736,6344.89747749,24115.65717103,99935.62486691,211002.81634338,272438.20863913,80249.15968882,822483.4712899
2021-03-05,1455.28918526,6675.89985699,26093.52815126,115432.76067255,195550.8331944,258908.19688157,137428.71476343,1037248.28939915
2021-03-06,1531.86693807,5751.07152591,22204.834841,76742.7277532,139048.30714638,162876.35494471,20359.61334528,1103462.9159831
2021-03-07,1615.46819606,5066.55611752,20848.96558817,77092.53916482,155769.14504348,249307.08828526,19934.32468384,1600624.35736157
2021-03-08,1713.39446128,5833.5513132,24055.70240355,99106.98091065,212975.80637224,341544.94961593,63566.87037068,1210398.68507788
2021-03-09,1391.99402504,6381.97619736,27015.49220832,112108.79740025,226861.12583877,296312.82948786,113759.95762864,1166052.57379607
2021-03-10,1498.08408123,7259.61116137,28309.12332252,110125.24488412,248253.70888506,265089.31421464,77504.66389892,968252.44615833
2021-03-11,1303.91795308,6733.63872052,25048.22189487,98640.37681651,228901.16891223,262379.72393829,127325.66940353,935126.80798187
2021-03-12,1468.69293835,6536.12929327,26006.52284121,105432.58156314,227248.94680751,255866.06393893,137190.64639634,643307.15062917
2021-03-13,1419.57976482,7005.48221323,30905.83465143,106542.21858631,233623.71999251,208396.5861809,37958.26677738,572023.18811771
2021-03-14,1620.15310694,5607.77537865,23651.02093845,83744.438421,176633.83640723,210393.42330445,49785.66858521,758287.43547032
2021-03-15,1518.64582707,5863.50223433,25375.05846345,109966.37683307,240244.94264614,338785.96084664,92840.16122313,489193.3150978
2021-03-16,1509.4644436,6619.36170825,27041.16788616,103481.66694563,239495.01200291,303381.06003587,134296.42259044,645555.96557488
2021-03-17,1317.3872523,5936.43597081,24779.8969611,101050.55817785,213426.32501096,302895.45338733,114837.27192795,694856.03622224
2021-03-18,1526.56377601,7207.59924969,26787.54889618,96977.49991277,211829.17721035,269313.37560388,62410.09713243,628653.37554622
2021-03-19,1478.55380967,6451.7801205,26352.13970568,101587.85863476,194621.28438104,257632.36054174,43416.71098698,596712.67204465
2021-03-20,1558.38275331,5604.42986779,23321.46865837,73512.7580068,146172.99326112,232629.10231694,30686.19219659,626660.39448211
2021-03-21,2051.28376756,4376.32792251,18946.18205409,70673.72499778,160844.2379791,199678.52494789,18822.13698502,634901.82875577
2021-03-22,1633.82093597,5846.94580541,24526.93615147,93551.91572343,262572.65748513,338872.35593624,50597.04564199,524482.96709712
2021-03-23,1758.88728145,6114.75837861,25927.1900539,99425.01749066,257005.50169143,451148.01985827,79714.67172769,897937.45620255
2021-03-24,1552.51940609,5887.87590584,26370.6417595,104573.26305649,232527.43200311,382400.98515022,75498.51158888,812501.23071857
2021-03-25,1582.54534464,7139.15638407,27794.51789233,105419.10027502,275699.47974559,573845.9630483,114535.33036914,607714.72747817
2021-03-26,1340.32530187,5823.12556052,25196.97658504,109921.62841871,223463.19265744,315370.03189027,115161.18746037,658816.30259204
2021-03-27,1599.7858084,5322.50100263,21467.39282167,79521.95864908,161700.6280566,223863.79607743,46863.14436821,692923.31690224
2021-03-28,1724.7563703,4491.59215366,18478.17040825,71402.3806559,142689.42529994,202174.50736236,14357.42749313,465559.47087677
2021-03-29,1380.57551745,6040.91600645,23795.35586,100759.19780541,240033.84028648,274308.59220479,81106.58952469,880021.41877959
2021-03-30,1463.81048161,6749.03786771,27397.92245887,102987.2001943,225243.43210154,283889.30138447,55822.91990118,793928.27066433
