date,Average Dormancy
2021-09-02,1.37402953
2021-09-03,2.00453654
2021-09-04,1.41453746
2021-09-05,1.46466314
2021-09-06,1.53022019
2021-09-07,1.69446188
2021-09-08,1.64271418
2021-09-09,3.56871713
2021-09-10,1.12560333
2021-09-11,0.68880372
2021-09-12,0.78284872
2021-09-13,0.43547834
2021-09-14,1.10200898
2021-09-15,2.72992562
2021-09-16,2.79149571
2021-09-17,1.43162164
2021-09-18,1.24234632
2021-09-19,1.6454519
2021-09-20,1.12204094
2021-09-21,0.31911691
2021-09-22,1.42675916
2021-09-23,1.11865734
2021-09-24,1.15816069
2021-09-25,0.33515714
2021-09-26,23.22941375
2021-09-27,2.11749594
2021-09-28,1.69123782
2021-09-29,1.57019639
2021-09-30,2.35625475
2021-10-01,1.48092306
2021-10-02,1.39249302
2021-10-03,1.06951196
2021-10-04,1.89051746
2021-10-05,1.75481438
2021-10-06,2.22428428
2021-10-07,2.21705545
2021-10-08,1.61382791
2021-10-09,1.51519913
2021-10-10,4.09911207
2021-10-11,1.75555859
2021-10-12,5.3933272
2021-10-13,2.05710694
2021-10-14,2.84005011
2021-10-15,2.43824227
2021-10-16,3.5269388
2021-10-17,1.2753457
2021-10-18,3.29608401
2021-10-19,2.58261954
2021-10-20,3.04501789
2021-10-21,2.97580058
2021-10-22,4.04593552
2021-10-23,1.91319007
2021-10-24,6.13538296
2021-10-25,4.24921069
2021-10-26,2.77499291
2021-10-27,1.97931845
2021-10-28,2.50783018
2021-10-29,2.61369713
2021-10-30,1.43967743
2021-10-31,7.11897446
2021-11-01,10.07375317
2021-11-02,5.49892717
2021-11-03,5.00964638
2021-11-04,1.41240716
2021-11-05,3.93516766
2021-11-06,1.30032443
2021-11-07,0.92359206
2021-11-08,2.88465299
2021-11-09,2.48057851
2021-11-10,5.00861195
2021-11-11,2.77552847
2021-11-12,9.17233439
2021-11-13,2.36644819
2021-11-14,1.47516976
2021-11-15,2.36918295
2021-11-16,1.85059191
2021-11-17,2.78050651
2021-11-18,1.28834704
2021-11-19,1.62561092
2021-11-20,1.81218085
2021-11-21,1.40870929
2021-11-22,2.37874157
2021-11-23,2.35381281
2021-11-24,1.56175698
2021-11-25,7.97757388
2021-11-26,2.26595433
2021-11-27,1.00649755
2021-11-28,1.93603172
2021-11-29,2.31272805
2021-11-30,2.23502384
2021-12-01,3.47228628
2021-12-02,1.88541036
2021-12-03,2.38904204
2021-12-04,1.9603793
2021-12-05,2.15771323
2021-12-06,1.87741438
2021-12-07,3.99070526
2021-12-08,1.6971934
2021-12-09,4.58509644
2021-12-10,2.58844825
2021-12-11,2.64724123
2021-12-12,1.17205979
2021-12-13,3.16428857
2021-12-14,2.26742772
2021-12-15,2.07495078
2021-12-16,3.12695352
2021-12-17,2.03667538
2021-12-18,1.92301376
2021-12-19,1.35113292
2021-12-20,2.41370551
2021-12-21,2.37232627
2021-12-22,3.20791631
2021-12-23,3.31969007
2021-12-24,1.28689647
2021-12-25,2.3661586
2021-12-26,2.68515817
2021-12-27,1.81569035
2021-12-28,1.84752041
2021-12-29,2.58940266
2021-12-30,5.08414014
2021-12-31,6.03413935
2022-01-01,2.51379826
2022-01-02,0.89599499
2022-01-03,2.17749336
2022-01-04,2.29896585
2022-01-05,2.17104037
2022-01-06,3.34509205
2022-01-07,2.05929501
2022-01-08,1.185072
2022-01-09,1.36297039
2022-01-10,2.15111354
2022-01-11,0.73839364
2022-01-12,1.94766547
2022-01-13,0.94617021
2022-01-14,1.16991443
2022-01-15,0.61296834
2022-01-16,0.78778858
2022-01-17,1.76037286
2022-01-18,1.35352258
2022-01-19,2.62070263
2022-01-20,2.6783552
2022-01-21,1.97328236
2022-01-22,1.42924316
2022-01-23,1.65190379
2022-01-24,1.52196764
2022-01-25,2.19218652
2022-01-26,1.18768973
2022-01-27,2.5566289
2022-01-28,1.29319822
2022-01-29,1.94889967
2022-01-30,1.31541374
2022-01-31,1.22517059
2022-02-01,51.01965017
2022-02-02,1.17909972
2022-02-03,1.69920866
2022-02-04,0.87325072
2022-02-05,1.06644537
2022-02-06,1.59160793
2022-02-07,1.75503671
2022-02-08,0.57647217
2022-02-09,1.15890904
2022-02-10,2.23493564
2022-02-11,2.18571207
2022-02-12,1.01965048
2022-02-13,1.05168978
2022-02-14,1.09343827
2022-02-15,1.87745182
2022-02-16,1.12492091
2022-02-17,2.45594983
2022-02-18,1.2715527
2022-02-19,0.8285164
2022-02-20,1.88941009
2022-02-21,3.01528918
2022-02-22,1.04943486
2022-02-23,3.62801647
2022-02-24,1.27428795
2022-02-25,2.03400163
2022-02-26,1.38025267
2022-02-27,2.40698558
2022-02-28,12.42510871
2022-03-01,1.81971171
2022-03-02,3.05191363
2022-03-03,2.93914631
2022-03-04,2.22869398
2022-03-05,1.099073
2022-03-06,1.33991847
2022-03-07,3.93567342
2022-03-08,1.12651794
2022-03-09,1.65610922
2022-03-10,1.64428667
2022-03-11,9.67081775
2022-03-12,1.55555333
2022-03-13,1.07593514
2022-03-14,1.41227788
2022-03-15,1.68281888
2022-03-16,3.51017602
2022-03-17,5.31501608
2022-03-18,1.02372527
2022-03-19,1.46922307
2022-03-20,1.03490151
2022-03-21,1.37910265
2022-03-22,1.37727647
2022-03-23,1.70493419
2022-03-24,1.52736535
2022-03-25,13.74967625
2022-03-26,1.74359766
2022-03-27,0.90610704
2022-03-28,2.09819632
2022-03-29,8.3269467
2022-03-30,1.33419118
2022-03-31,2.14682005
2022-04-01,2.18849139
2022-04-02,0.84428895
2022-04-03,1.68843892
2022-04-04,3.38504359
2022-04-05,1.05348625
2022-04-06,1.01437013
2022-04-07,0.90283425
2022-04-08,1.15250552
2022-04-09,0.82371838
2022-04-10,0.78403029
2022-04-11,1.09010636
2022-04-12,4.24368985
2022-04-13,1.37940396
2022-04-14,6.78278684
2022-04-15,0.73593735
2022-04-16,0.58377807
2022-04-17,0.5176878
2022-04-18,0.64605276
2022-04-19,1.39511944
2022-04-20,1.4815332
2022-04-21,7.14037229
2022-04-22,1.51408616
2022-04-23,0.75642992
2022-04-24,0.45018876
2022-04-25,0.64085942
2022-04-26,0.93825672
