date,Mean Coin Age
2021-07-18,1157.10385757
2021-07-19,1157.72589173
2021-07-20,1158.16517623
2021-07-21,1158.80049636
2021-07-22,1159.42962072
2021-07-23,1160.05495035
2021-07-24,1160.8859267
2021-07-25,1161.66084439
2021-07-26,1161.38163133
2021-07-27,1161.09493505
2021-07-28,1160.18750254
2021-07-29,1153.22209916
2021-07-30,1153.87545143
2021-07-31,1154.61062341
2021-08-01,1155.39842457
2021-08-02,1156.12139265
2021-08-03,1156.84824202
2021-08-04,1157.61205577
2021-08-05,1158.35528868
2021-08-06,1158.87455384
2021-08-07,1159.59813564
2021-08-08,1160.21166397
2021-08-09,1160.8378629
2021-08-10,1161.55401553
2021-08-11,1162.17882691
2021-08-12,1162.88069592
2021-08-13,1163.56852549
2021-08-14,1163.72636903
2021-08-15,1164.53526319
2021-08-16,1165.22012839
2021-08-17,1165.85680975
2021-08-18,1166.33193999
2021-08-19,1166.98422103
2021-08-20,1167.67325486
2021-08-21,1168.25806175
2021-08-22,1168.95843948
2021-08-23,1169.28607991
2021-08-24,1170.01869112
2021-08-25,1169.32947841
2021-08-26,1169.59142958
2021-08-27,1170.32701692
2021-08-28,1171.05836345
2021-08-29,1171.82789018
2021-08-30,1172.39868106
2021-08-31,1172.89154607
2021-09-01,1173.49829085
2021-09-02,1174.13048264
2021-09-03,1174.75702661
2021-09-04,1175.47475651
2021-09-05,1176.24962352
2021-09-06,1176.89717828
2021-09-07,1177.48455563
2021-09-08,1178.12948842
2021-09-09,1178.36072382
2021-09-10,1178.67470602
2021-09-11,1179.44399528
2021-09-12,1180.20055943
2021-09-13,1180.91390904
2021-09-14,1181.18756673
2021-09-15,1181.55357119
2021-09-16,1181.86209268
2021-09-17,1182.53871813
2021-09-18,1183.26824663
2021-09-19,1183.99383026
2021-09-20,1184.59772285
2021-09-21,1185.36031982
2021-09-22,1185.91768701
2021-09-23,1186.5696792
2021-09-24,1187.28831033
2021-09-25,1188.1325158
2021-09-26,1185.35935035
2021-09-27,1185.81474912
2021-09-28,1186.44217337
2021-09-29,1187.05504331
2021-09-30,1187.44212066
2021-10-01,1188.03378145
2021-10-02,1188.70387884
2021-10-03,1189.44755199
2021-10-04,1190.02096928
2021-10-05,1190.49849927
2021-10-06,1190.86140226
2021-10-07,1191.27735229
2021-10-08,1191.89332675
2021-10-09,1192.58095646
2021-10-10,1192.90120554
2021-10-11,1193.44086431
2021-10-12,1193.38164973
2021-10-13,1193.96098416
2021-10-14,1194.49527812
2021-10-15,1194.93275499
2021-10-16,1195.31652694
2021-10-17,1196.04941444
2021-10-18,1196.28335023
2021-10-19,1195.70488384
2021-10-20,1195.81435452
2021-10-21,1196.07756564
2021-10-22,1196.26278921
2021-10-23,1196.92726769
2021-10-24,1196.96509736
2021-10-25,1197.14130094
2021-10-26,1197.59347194
2021-10-27,1198.22240416
2021-10-28,1198.77152777
2021-10-29,1199.26083597
2021-10-30,1199.95844563
2021-10-31,1199.87247158
2021-11-01,1199.13039123
2021-11-02,1199.03506098
2021-11-03,1199.05695197
2021-11-04,1199.70251918
2021-11-05,1199.73218995
2021-11-06,1200.37507623
2021-11-07,1201.14855564
2021-11-08,1201.19787559
2021-11-09,1201.48184921
2021-11-10,1201.20368353
2021-11-11,1201.56984115
2021-11-12,1200.54296604
2021-11-13,1201.07679278
2021-11-14,1201.78163196
2021-11-15,1202.16713722
2021-11-16,1201.90453108
2021-11-17,1201.94280723
2021-11-18,1202.51205419
2021-11-19,1203.07190328
2021-11-20,1203.67960878
2021-11-21,1204.36191369
2021-11-22,1204.73483827
2021-11-23,1205.15505407
2021-11-24,1205.69695019
2021-11-25,1204.45738239
2021-11-26,1204.80277523
2021-11-27,1205.58961676
2021-11-28,1206.2015875
2021-11-29,1206.62930698
2021-11-30,1207.06138422
2021-12-01,1207.33342557
2021-12-02,1207.89338831
2021-12-03,1208.36717662
2021-12-04,1208.87318433
2021-12-05,1209.45971757
2021-12-06,1209.84816597
2021-12-07,1209.67312239
2021-12-08,1210.20693616
2021-12-09,1210.39285589
2021-12-10,1210.9241784
2021-12-11,1211.50360108
2021-12-12,1212.3029656
2021-12-13,1212.74457379
2021-12-14,1212.61442446
2021-12-15,1213.12477646
2021-12-16,1213.50336603
2021-12-17,1214.1131236
2021-12-18,1214.79045627
2021-12-19,1215.56161426
2021-12-20,1216.12502401
2021-12-21,1216.71864214
2021-12-22,1217.16367812
2021-12-23,1217.52163486
2021-12-24,1218.27939236
2021-12-25,1218.92196146
2021-12-26,1219.52011447
2021-12-27,1220.15837201
2021-12-28,1220.78667221
2021-12-29,1221.24970509
2021-12-30,1221.35114019
2021-12-31,1221.28392659
2022-01-01,1221.8952783
2022-01-02,1222.7325458
2022-01-03,1223.28585846
2022-01-04,1223.83252755
2022-01-05,1224.30157045
2022-01-06,1224.57913518
2022-01-07,1225.12637481
2022-01-08,1225.8850613
2022-01-09,1226.64851057
2022-01-10,1227.1908171
2022-01-11,1227.84481312
2022-01-12,1228.30811118
2022-01-13,1229.02912378
2022-01-14,1229.72489182
2022-01-15,1230.53000741
2022-01-16,1231.30325656
2022-01-17,1231.87663966
2022-01-18,1232.52354587
2022-01-19,1232.93231861
2022-01-20,1233.36316816
2022-01-21,1233.77173509
2022-01-22,1234.23326117
2022-01-23,1234.65835862
2022-01-24,1235.07736663
2022-01-25,1235.34478385
2022-01-26,1236.04095298
2022-01-27,1236.45222846
2022-01-28,1237.09378619
2022-01-29,1237.63739771
2022-01-30,1238.30724851
2022-01-31,1239.00220444
2022-02-01,1229.45008926
2022-02-02,1230.1813047
2022-02-03,1230.79539307
2022-02-04,1231.53714167
2022-02-05,1232.29136799
2022-02-06,1232.97361057
2022-02-07,1233.47998136
2022-02-08,1234.05317338
2022-02-09,1234.66668169
2022-02-10,1234.9752329
2022-02-11,1235.46626286
2022-02-12,1236.21613798
2022-02-13,1236.96979611
2022-02-14,1237.67411358
2022-02-15,1238.25130793
2022-02-16,1238.96076703
2022-02-17,1239.42973051
2022-02-18,1240.11743779
2022-02-19,1240.91026593
2022-02-20,1241.5058556
2022-02-21,1241.6524651
2022-02-22,1242.34653012
2022-02-23,1242.59511775
2022-02-24,1243.25431761
2022-02-25,1243.74009454
2022-02-26,1244.44186533
2022-02-27,1245.03177685
2022-02-28,1243.16122156
2022-03-01,1243.61395337
2022-03-02,1243.97385485
2022-03-03,1244.29434656
2022-03-04,1244.82765656
2022-03-05,1245.62425418
2022-03-06,1246.37767371
2022-03-07,1246.56927396
2022-03-08,1246.9834098
2022-03-09,1247.27030878
2022-03-10,1247.78716152
