date,NVT Ratio
2020-12-31,9.60519789
2021-01-01,11.64799485
2021-01-02,8.8462438
2021-01-03,8.31711746
2021-01-04,9.74726253
2021-01-05,8.86922605
2021-01-06,9.20599416
2021-01-07,6.98296648
2021-01-08,7.50342345
2021-01-09,9.63502288
2021-01-10,9.97900091
2021-01-11,7.93275991
2021-01-12,8.22682185
2021-01-13,11.19048814
2021-01-14,9.75237936
2021-01-15,10.54338637
2021-01-16,10.73055084
2021-01-17,13.10299978
2021-01-18,10.55905265
2021-01-19,8.58162035
2021-01-20,9.30144438
2021-01-21,7.94155572
2021-01-22,9.65645399
2021-01-23,11.27818957
2021-01-24,12.30648419
2021-01-25,7.76484207
2021-01-26,11.08400431
2021-01-27,9.13913553
2021-01-28,8.95202119
2021-01-29,7.2823887
2021-01-30,9.58495476
2021-01-31,9.26528569
2021-02-01,9.90214312
2021-02-02,9.63463052
2021-02-03,9.27210095
2021-02-04,8.40140817
2021-02-05,9.67703581
2021-02-06,8.50760881
2021-02-07,9.12169485
2021-02-08,9.09218577
2021-02-09,5.45309332
2021-02-10,8.44405307
2021-02-11,8.13116471
2021-02-12,8.64960936
2021-02-13,12.20245373
2021-02-14,9.88612849
2021-02-15,7.8593021
2021-02-16,7.4334248
2021-02-17,9.14476513
2021-02-18,8.40421598
2021-02-19,8.22991839
2021-02-20,8.43070454
2021-02-21,10.52003705
2021-02-22,9.23386532
2021-02-23,8.54057594
2021-02-24,8.76843304
2021-02-25,7.59204688
2021-02-26,8.95234906
2021-02-27,10.8930656
2021-02-28,10.86003522
2021-03-01,10.82341404
2021-03-02,9.86609182
2021-03-03,9.93601426
2021-03-04,12.06509294
2021-03-05,10.71059782
2021-03-06,12.2996198
2021-03-07,8.88042297
2021-03-08,9.80930978
2021-03-09,9.73033305
2021-03-10,10.99236036
2021-03-11,11.36038837
2021-03-12,13.38427129
2021-03-13,16.05531209
2021-03-14,13.89391479
2021-03-15,13.9020278
2021-03-16,13.13430048
2021-03-17,13.36446169
2021-03-18,14.10979869
2021-03-19,15.11912788
2021-03-20,16.1878978
2021-03-21,16.83530667
2021-03-22,13.69309022
2021-03-23,10.17090043
2021-03-24,10.80705086
2021-03-25,10.74925027
2021-03-26,13.25513543
2021-03-27,15.29565736
2021-03-28,20.24554905
2021-03-29,11.72641344
2021-03-30,12.5583299
2021-03-31,13.70068264
2021-04-01,13.63106165
2021-04-02,13.43670708
2021-04-03,13.46419053
2021-04-04,16.26972505
2021-04-05,10.82295965
2021-04-06,8.77960034
2021-04-07,10.80298162
2021-04-08,12.63101317
2021-04-09,11.68781366
2021-04-10,12.07608861
2021-04-11,13.69388145
2021-04-12,11.09273564
2021-04-13,9.98646722
2021-04-14,10.16522903
2021-04-15,10.17047624
2021-04-16,10.13090989
2021-04-17,16.00238227
2021-04-18,11.26777924
2021-04-19,14.45203958
2021-04-20,10.16144248
2021-04-21,9.38099061
2021-04-22,8.2132715
2021-04-23,8.77092284
2021-04-24,11.69905851
2021-04-25,11.32200999
2021-04-26,8.84278042
2021-04-27,8.22976306
2021-04-28,9.33278685
2021-04-29,8.82524886
2021-04-30,8.50269508
2021-05-01,11.63586024
2021-05-02,12.4827509
2021-05-03,8.54901476
2021-05-04,7.89702484
2021-05-05,10.50239622
2021-05-06,10.26262001
2021-05-07,9.71157557
2021-05-08,13.68521551
2021-05-09,17.3462024
2021-05-10,12.81251766
2021-05-11,15.76935839
2021-05-12,10.65604266
2021-05-13,7.45767018
2021-05-14,8.1136174
2021-05-15,9.32524818
2021-05-16,10.09349836
2021-05-17,7.11122789
2021-05-18,9.73059665
2021-05-19,5.84983346
2021-05-20,6.65661432
2021-05-21,8.16008004
2021-05-22,7.92559266
2021-05-23,8.42170923
2021-05-24,7.49624578
2021-05-25,8.24716631
2021-05-26,8.4161599
2021-05-27,9.39472093
2021-05-28,6.30453556
2021-05-29,9.04303236
2021-05-30,17.47449289
2021-05-31,17.2153356
2021-06-01,12.6038462
2021-06-02,16.38326964
2021-06-03,15.5972666
2021-06-04,18.13577601
2021-06-05,23.87797679
2021-06-06,10.44696569
2021-06-07,8.12916743
2021-06-08,7.55588857
2021-06-09,15.02490392
2021-06-10,13.14781906
2021-06-11,12.89038673
2021-06-12,18.43727539
2021-06-13,16.96635228
2021-06-14,12.84388652
2021-06-15,13.3360967
2021-06-16,11.37754754
2021-06-17,11.79653531
2021-06-18,11.68685471
2021-06-19,17.23485903
2021-06-20,14.94951361
2021-06-21,10.29245491
2021-06-22,9.86087096
2021-06-23,10.27108843
2021-06-24,10.35289729
2021-06-25,7.49076217
2021-06-26,10.84500863
2021-06-27,15.43168372
2021-06-28,11.25394709
2021-06-29,13.75124262
2021-06-30,15.56020426
2021-07-01,11.17839205
2021-07-02,10.98651883
2021-07-03,14.6346942
2021-07-04,11.81080259
2021-07-05,12.85893807
2021-07-06,14.1175378
2021-07-07,13.86596854
2021-07-08,5.78321391
2021-07-09,5.58221635
2021-07-10,10.0628359
2021-07-11,10.22566539
2021-07-12,11.027112
2021-07-13,12.36907118
2021-07-14,12.61021146
2021-07-15,10.1293183
2021-07-16,10.15353254
2021-07-17,10.09647051
2021-07-18,16.03491284
2021-07-19,10.36032351
2021-07-20,10.30749683
2021-07-21,10.2757652
2021-07-22,10.43142263
2021-07-23,11.0990868
2021-07-24,12.65377516
2021-07-25,13.20716401
2021-07-26,7.96722971
2021-07-27,2.6677161
2021-07-28,4.6271914
2021-07-29,7.21815068
2021-07-30,11.01937196
2021-07-31,9.15167865
2021-08-01,5.49491604
2021-08-02,6.8582298
2021-08-03,7.50280462
2021-08-04,8.07952817
2021-08-05,10.60794202
2021-08-06,9.65714869
2021-08-07,10.18841715
2021-08-08,10.56874151
2021-08-09,10.05697089
2021-08-10,10.2266399
2021-08-11,8.2287404
2021-08-12,9.84040362
2021-08-13,11.65837056
2021-08-14,10.76133354
2021-08-15,10.75754931
2021-08-16,7.88557869
2021-08-17,7.59004275
2021-08-18,6.82632552
2021-08-19,7.51466237
2021-08-20,8.4306585
2021-08-21,7.71675171
2021-08-22,10.46695027
2021-08-23,5.8829783
2021-08-24,2.24200273
