date,timestamp_utc,Supply in Profit
2020-12-31,2020-12-31T00:00:00Z,18503563.48806306
2021-01-01,2021-01-01T00:00:00Z,18481789.69864228
2021-01-02,2021-01-02T00:00:00Z,18469802.99668279
2021-01-03,2021-01-03T00:00:00Z,18420538.97702889
2021-01-04,2021-01-04T00:00:00Z,18214534.54008171
2021-01-05,2021-01-05T00:00:00Z,18503904.79287844
2021-01-06,2021-01-06T00:00:00Z,18567878.36815216
2021-01-07,2021-01-07T00:00:00Z,18421279.04381267
2021-01-08,2021-01-08T00:00:00Z,18400541.4412197
2021-01-09,2021-01-09T00:00:00Z,18304120.47544464
2021-01-10,2021-01-10T00:00:00Z,17873280.53790006
2021-01-11,2021-01-11T00:00:00Z,17741534.75111332
2021-01-12,2021-01-12T00:00:00Z,17269432.73255379
2021-01-13,2021-01-13T00:00:00Z,17904183.17665626
2021-01-14,2021-01-14T00:00:00Z,18049930.95619957
2021-01-15,2021-01-15T00:00:00Z,17605133.20228508
2021-01-16,2021-01-16T00:00:00Z,17539275.17176074
2021-01-17,2021-01-17T00:00:00Z,17443848.75335001
2021-01-18,2021-01-18T00:00:00Z,17664527.67831493
2021-01-19,2021-01-19T00:00:00Z,17388115.05143007
2021-01-20,2021-01-20T00:00:00Z,17342735.53010442
2021-01-21,2021-01-21T00:00:00Z,16357484.14053675
2021-01-22,2021-01-22T00:00:00Z,16812487.891882
2021-01-23,2021-01-23T00:00:00Z,16534378.33144243
2021-01-24,2021-01-24T00:00:00Z,16595075.27243351
2021-01-25,2021-01-25T00:00:00Z,16617935.41354087
2021-01-26,2021-01-26T00:00:00Z,16743614.32667311
2021-01-27,2021-01-27T00:00:00Z,16193450.10164882
2021-01-28,2021-01-28T00:00:00Z,17033093.25180054
2021-01-29,2021-01-29T00:00:00Z,17131143.36732972
2021-01-30,2021-01-30T00:00:00Z,17172206.11274369
2021-01-31,2021-01-31T00:00:00Z,16729588.93966381
2021-02-01,2021-02-01T00:00:00Z,16795654.46578595
2021-02-02,2021-02-02T00:00:00Z,17537523.8106831
2021-02-03,2021-02-03T00:00:00Z,18049472.52329499
2021-02-04,2021-02-04T00:00:00Z,17592519.21027908
2021-02-05,2021-02-05T00:00:00Z,18020155.84632307
2021-02-06,2021-02-06T00:00:00Z,18086243.92087377
2021-02-07,2021-02-07T00:00:00Z,18063420.51084032
2021-02-08,2021-02-08T00:00:00Z,18594604.18343915
2021-02-09,2021-02-09T00:00:00Z,18332600.12276477
2021-02-10,2021-02-10T00:00:00Z,18100634.59254371
2021-02-11,2021-02-11T00:00:00Z,18558524.56902883
2021-02-12,2021-02-12T00:00:00Z,18386956.27491864
2021-02-13,2021-02-13T00:00:00Z,18207315.41143288
2021-02-14,2021-02-14T00:00:00Z,18577530.50991002
2021-02-15,2021-02-15T00:00:00Z,18339854.40736852
2021-02-16,2021-02-16T00:00:00Z,18529732.7751291
2021-02-17,2021-02-17T00:00:00Z,18562456.32171268
2021-02-18,2021-02-18T00:00:00Z,18354589.51400645
2021-02-19,2021-02-19T00:00:00Z,18611919.56425612
2021-02-20,2021-02-20T00:00:00Z,18446532.38481062
2021-02-21,2021-02-21T00:00:00Z,18546051.04029484
2021-02-22,2021-02-22T00:00:00Z,17952933.3711461
2021-02-23,2021-02-23T00:00:00Z,17599308.80720362
2021-02-24,2021-02-24T00:00:00Z,17641527.93902872
2021-02-25,2021-02-25T00:00:00Z,16926429.65825752
2021-02-26,2021-02-26T00:00:00Z,16878769.20443856
2021-02-27,2021-02-27T00:00:00Z,16740939.10906067
2021-02-28,2021-02-28T00:00:00Z,16649571.68203605
2021-03-01,2021-03-01T00:00:00Z,17777572.58898499
2021-03-02,2021-03-02T00:00:00Z,17532879.86241657
2021-03-03,2021-03-03T00:00:00Z,17797761.71680867
2021-03-04,2021-03-04T00:00:00Z,17384368.53706051
2021-03-05,2021-03-05T00:00:00Z,17593106.50502984
2021-03-06,2021-03-06T00:00:00Z,17612133.21293915
2021-03-07,2021-03-07T00:00:00Z,18049727.0841508
2021-03-08,2021-03-08T00:00:00Z,18265918.52547435
2021-03-09,2021-03-09T00:00:00Z,18361110.65445022
2021-03-10,2021-03-10T00:00:00Z,18457590.54851815
2021-03-11,2021-03-11T00:00:00Z,18616064.7306835
2021-03-12,2021-03-12T00:00:00Z,18530578.4533155
2021-03-13,2021-03-13T00:00:00Z,18618140.37482722
2021-03-14,2021-03-14T00:00:00Z,18391189.34194475
2021-03-15,2021-03-15T00:00:00Z,17823703.87955789
2021-03-16,2021-03-16T00:00:00Z,18103096.77515592
2021-03-17,2021-03-17T00:00:00Z,18499730.83898448
2021-03-18,2021-03-18T00:00:00Z,18335282.38590477
2021-03-19,2021-03-19T00:00:00Z,18276783.16370614
2021-03-20,2021-03-20T00:00:00Z,18214615.71468021
2021-03-21,2021-03-21T00:00:00Z,18174711.39737375
2021-03-22,2021-03-22T00:00:00Z,17355128.40200502
2021-03-23,2021-03-23T00:00:00Z,17210161.36589406
2021-03-24,2021-03-24T00:00:00Z,16954581.09106359
2021-03-25,2021-03-25T00:00:00Z,16756393.40994279
2021-03-26,2021-03-26T00:00:00Z,17512886.21621063
2021-03-27,2021-03-27T00:00:00Z,17773384.47668836
2021-03-28,2021-03-28T00:00:00Z,17753752.63522274
2021-03-29,2021-03-29T00:00:00Z,18300189.09679002
2021-03-30,2021-03-30T00:00:00Z,18393115.56956888
2021-03-31,2021-03-31T00:00:00Z,18244955.7145861
2021-04-01,2021-04-01T00:00:00Z,18205942.89723837
2021-04-02,2021-04-02T00:00:00Z,18351089.53848992
2021-04-03,2021-04-03T00:00:00Z,17675744.0384214
2021-04-04,2021-04-04T00:00:00Z,18036436.04621421
2021-04-05,2021-04-05T00:00:00Z,18432814.62035557
2021-04-06,2021-04-06T00:00:00Z,17829185.78528832
2021-04-07,2021-04-07T00:00:00Z,17037218.18458825
2021-04-08,2021-04-08T00:00:00Z,17863480.98118399
2021-04-09,2021-04-09T00:00:00Z,17902149.44658699
2021-04-10,2021-04-10T00:00:00Z,18433652.45626894
2021-04-11,2021-04-11T00:00:00Z,18483881.21569445
2021-04-12,2021-04-12T00:00:00Z,18372583.63840565
2021-04-13,2021-04-13T00:00:00Z,18646083.41424788
2021-04-14,2021-04-14T00:00:00Z,18428658.32300827
2021-04-15,2021-04-15T00:00:00Z,18493729.4761803
2021-04-16,2021-04-16T00:00:00Z,18213289.18976423
2021-04-17,2021-04-17T00:00:00Z,17914791.16150849
2021-04-18,2021-04-18T00:00:00Z,16798280.62874154
2021-04-19,2021-04-19T00:00:00Z,16523916.48726585
2021-04-20,2021-04-20T00:00:00Z,16922959.81221808
2021-04-21,2021-04-21T00:00:00Z,15955555.43500449
2021-04-22,2021-04-22T00:00:00Z,15762520.09616721
2021-04-23,2021-04-23T00:00:00Z,15826146.28843214
2021-04-24,2021-04-24T00:00:00Z,15611738.57070522
2021-04-25,2021-04-25T00:00:00Z,15388502.88786351
2021-04-26,2021-04-26T00:00:00Z,16322931.79630302
2021-04-27,2021-04-27T00:00:00Z,16526548.49782826
2021-04-28,2021-04-28T00:00:00Z,16386189.82191095
2021-04-29,2021-04-29T00:00:00Z,16050337.5376536
2021-04-30,2021-04-30T00:00:00Z,17653499.01057314
2021-05-01,2021-05-01T00:00:00Z,17599886.57936391
2021-05-02,2021-05-02T00:00:00Z,17105415.1529496
2021-05-03,2021-05-03T00:00:00Z,17295462.66131876
2021-05-04,2021-05-04T00:00:00Z,15771311.40918684
2021-05-05,2021-05-05T00:00:00Z,17389055.89694379
2021-05-06,2021-05-06T00:00:00Z,16904015.50622468
2021-05-07,2021-05-07T00:00:00Z,17279806.1587824
2021-05-08,2021-05-08T00:00:00Z,17982334.16815369
2021-05-09,2021-05-09T00:00:00Z,17790938.23285216
2021-05-10,2021-05-10T00:00:00Z,16451640.21437168
2021-05-11,2021-05-11T00:00:00Z,16935401.6830619
2021-05-12,2021-05-12T00:00:00Z,14952250.42675175
2021-05-13,2021-05-13T00:00:00Z,14998877.8508919
2021-05-14,2021-05-14T00:00:00Z,15083261.46308453
2021-05-15,2021-05-15T00:00:00Z,14320720.96977265
2021-05-16,2021-05-16T00:00:00Z,14354363.3282857
2021-05-17,2021-05-17T00:00:00Z,14165113.52661219
2021-05-18,2021-05-18T00:00:00Z,14040164.69619225
2021-05-19,2021-05-19T00:00:00Z,13866413.54530549
2021-05-20,2021-05-20T00:00:00Z,14335034.85616176
2021-05-21,2021-05-21T00:00:00Z,13592075.25697029
2021-05-22,2021-05-22T00:00:00Z,13722020.50318246
2021-05-23,2021-05-23T00:00:00Z,13366755.05792964
2021-05-24,2021-05-24T00:00:00Z,14157445.30020047
2021-05-25,2021-05-25T00:00:00Z,14076968.1979038
2021-05-26,2021-05-26T00:00:00Z,14305824.22853979
2021-05-27,2021-05-27T00:00:00Z,14002822.57788508
2021-05-28,2021-05-28T00:00:00Z,13369784.67872325
2021-05-29,2021-05-29T00:00:00Z,13234524.79887004
2021-05-30,2021-05-30T00:00:00Z,13425400.00491644
2021-05-31,2021-05-31T00:00:00Z,13872329.22069092
2021-06-01,2021-06-01T00:00:00Z,13704228.78206034
2021-06-02,2021-06-02T00:00:00Z,14007247.19413143
2021-06-03,2021-06-03T00:00:00Z,14507465.31953838
2021-06-04,2021-06-04T00:00:00Z,13641974.20585424
2021-06-05,2021-06-05T00:00:00Z,13300204.42387334
2021-06-06,2021-06-06T00:00:00Z,13335335.64302602
2021-06-07,2021-06-07T00:00:00Z,12900194.67170734
2021-06-08,2021-06-08T00:00:00Z,13057378.11315054
2021-06-09,2021-06-09T00:00:00Z,14129962.84964297
2021-06-10,2021-06-10T00:00:00Z,13812234.00531353
2021-06-11,2021-06-11T00:00:00Z,14137579.7184319
2021-06-12,2021-06-12T00:00:00Z,13323618.85365166
2021-06-13,2021-06-13T00:00:00Z,14775286.77831227
2021-06-14,2021-06-14T00:00:00Z,15018930.40601651
2021-06-15,2021-06-15T00:00:00Z,14947343.64668612
2021-06-16,2021-06-16T00:00:00Z,14279958.22533728
2021-06-17,2021-06-17T00:00:00Z,14248018.63990452
2021-06-18,2021-06-18T00:00:00Z,13228061.10190522
2021-06-19,2021-06-19T00:00:00Z,13255026.56345484
2021-06-20,2021-06-20T00:00:00Z,13338780.25820955
2021-06-21,2021-06-21T00:00:00Z,12648360.15876982
2021-06-22,2021-06-22T00:00:00Z,12760197.57503643
2021-06-23,2021-06-23T00:00:00Z,13157295.69688912
2021-06-24,2021-06-24T00:00:00Z,13393276.04860406
2021-06-25,2021-06-25T00:00:00Z,12541081.44272286
2021-06-26,2021-06-26T00:00:00Z,13002984.40784983
2021-06-27,2021-06-27T00:00:00Z,13605578.21316919
2021-06-28,2021-06-28T00:00:00Z,13617930.7428609
2021-06-29,2021-06-29T00:00:00Z,13938775.31880053
2021-06-30,2021-06-30T00:00:00Z,13752289.66443697
2021-07-01,2021-07-01T00:00:00Z,13268676.69429829
2021-07-02,2021-07-02T00:00:00Z,13480464.61934435
2021-07-03,2021-07-03T00:00:00Z,13829255.75674164
2021-07-04,2021-07-04T00:00:00Z,13985506.31241452
2021-07-05,2021-07-05T00:00:00Z,13361733.53510229
2021-07-06,2021-07-06T00:00:00Z,13581593.58244316
2021-07-07,2021-07-07T00:00:00Z,13337953.64234159
2021-07-08,2021-07-08T00:00:00Z,12983893.53609689
2021-07-09,2021-07-09T00:00:00Z,13520292.58453228
2021-07-10,2021-07-10T00:00:00Z,13348590.27003195
2021-07-11,2021-07-11T00:00:00Z,13740261.44982254
2021-07-12,2021-07-12T00:00:00Z,13098257.74552275
2021-07-13,2021-07-13T00:00:00Z,12951779.99715094
2021-07-14,2021-07-14T00:00:00Z,13044181.15290573
2021-07-15,2021-07-15T00:00:00Z,12848352.26381313
2021-07-16,2021-07-16T00:00:00Z,12408416.36752426
2021-07-17,2021-07-17T00:00:00Z,12500813.21671229
2021-07-18,2021-07-18T00:00:00Z,12893216.74536132
2021-07-19,2021-07-19T00:00:00Z,12370406.65678441
2021-07-20,2021-07-20T00:00:00Z,12377819.40868703
2021-07-21,2021-07-21T00:00:00Z,13179015.43853743
2021-07-22,2021-07-22T00:00:00Z,13217246.4431852
2021-07-23,2021-07-23T00:00:00Z,13862498.89636977
2021-07-24,2021-07-24T00:00:00Z,14128683.29323351
2021-07-25,2021-07-25T00:00:00Z,14439924.1568577
2021-07-26,2021-07-26T00:00:00Z,14759403.99577821
2021-07-27,2021-07-27T00:00:00Z,15399588.10297595
2021-07-28,2021-07-28T00:00:00Z,15484062.08573645
2021-07-29,2021-07-29T00:00:00Z,15465879.13568934
2021-07-30,2021-07-30T00:00:00Z,15880966.81418768
2021-07-31,2021-07-31T00:00:00Z,15833129.80590096
2021-08-01,2021-08-01T00:00:00Z,15321042.02179476
2021-08-02,2021-08-02T00:00:00Z,14848647.2491517
2021-08-03,2021-08-03T00:00:00Z,14537635.44874388
2021-08-04,2021-08-04T00:00:00Z,15372364.98897019
2021-08-05,2021-08-05T00:00:00Z,15752518.66884243
2021-08-06,2021-08-06T00:00:00Z,15892797.84461959
2021-08-07,2021-08-07T00:00:00Z,16000342.52503213
2021-08-08,2021-08-08T00:00:00Z,15844124.02010436
2021-08-09,2021-08-09T00:00:00Z,16061159.06961568
2021-08-10,2021-08-10T00:00:00Z,15837341.5488068
2021-08-11,2021-08-11T00:00:00Z,15839741.60792529
2021-08-12,2021-08-12T00:00:00Z,15639409.4370921
2021-08-13,2021-08-13T00:00:00Z,16396087.34989248
2021-08-14,2021-08-14T00:00:00Z,16167892.59952396
2021-08-15,2021-08-15T00:00:00Z,16157324.22953228
2021-08-16,2021-08-16T00:00:00Z,15786242.14118077
2021-08-17,2021-08-17T00:00:00Z,15474588.26254738
2021-08-18,2021-08-18T00:00:00Z,15544396.67769553
2021-08-19,2021-08-19T00:00:00Z,16083764.64701399
2021-08-20,2021-08-20T00:00:00Z,16617916.88345956
2021-08-21,2021-08-21T00:00:00Z,16502501.20452736
2021-08-22,2021-08-22T00:00:00Z,16617740.02567909
2021-08-23,2021-08-23T00:00:00Z,16549184.16915862
2021-08-24,2021-08-24T00:00:00Z,16007150.69037589
2021-08-25,2021-08-25T00:00:00Z,16443563.45242381
2021-08-26,2021-08-26T00:00:00Z,15891106.43081296
2021-08-27,2021-08-27T00:00:00Z,16506560.76922539
2021-08-28,2021-08-28T00:00:00Z,16382331.86726629
2021-08-29,2021-08-29T00:00:00Z,16378596.33262822
2021-08-30,2021-08-30T00:00:00Z,15647377.2787959
2021-08-31,2021-08-31T00:00:00Z,15667218.93589407
2021-09-01,2021-09-01T00:00:00Z,16459599.03206502
2021-09-02,2021-09-02T00:00:00Z,16423089.51064518
2021-09-03,2021-09-03T00:00:00Z,16612263.74082513
2021-09-04,2021-09-04T00:00:00Z,16570509.74928753
2021-09-05,2021-09-05T00:00:00Z,16997476.47722116
2021-09-06,2021-09-06T00:00:00Z,17090777.36983383
2021-09-07,2021-09-07T00:00:00Z,15402146.04303972
2021-09-08,2021-09-08T00:00:00Z,15243969.23452696
2021-09-09,2021-09-09T00:00:00Z,15260659.21755521
2021-09-10,2021-09-10T00:00:00Z,14751855.41125421
2021-09-11,2021-09-11T00:00:00Z,14876123.05824628
2021-09-12,2021-09-12T00:00:00Z,15274175.52331059
2021-09-13,2021-09-13T00:00:00Z,14935498.84433187
2021-09-14,2021-09-14T00:00:00Z,15810128.93159371
2021-09-15,2021-09-15T00:00:00Z,16171659.80717137
2021-09-16,2021-09-16T00:00:00Z,15970701.98974091
2021-09-17,2021-09-17T00:00:00Z,15665557.10543999
2021-09-18,2021-09-18T00:00:00Z,16129920.38522358
2021-09-19,2021-09-19T00:00:00Z,15518542.81222197
2021-09-20,2021-09-20T00:00:00Z,14551017.27483705
2021-09-21,2021-09-21T00:00:00Z,14490155.86000046
2021-09-22,2021-09-22T00:00:00Z,14788618.9710718
2021-09-23,2021-09-23T00:00:00Z,14940191.52323302
2021-09-24,2021-09-24T00:00:00Z,14750205.19625282
2021-09-25,2021-09-25T00:00:00Z,14767705.56925034
2021-09-26,2021-09-26T00:00:00Z,14839754.67476946
2021-09-27,2021-09-27T00:00:00Z,14527034.51951379
2021-09-28,2021-09-28T00:00:00Z,14339157.85147148
2021-09-29,2021-09-29T00:00:00Z,14472954.13483966
2021-09-30,2021-09-30T00:00:00Z,14999104.04076067
2021-10-01,2021-10-01T00:00:00Z,16333448.7476688
2021-10-02,2021-10-02T00:00:00Z,16233710.08118474
2021-10-03,2021-10-03T00:00:00Z,16311527.41431687
2021-10-04,2021-10-04T00:00:00Z,16603548.40679967
2021-10-05,2021-10-05T00:00:00Z,17053318.69600395
2021-10-06,2021-10-06T00:00:00Z,17633747.15267984
2021-10-07,2021-10-07T00:00:00Z,16904443.88238627
2021-10-08,2021-10-08T00:00:00Z,16854742.23794394
2021-10-09,2021-10-09T00:00:00Z,17435582.55351055
2021-10-10,2021-10-10T00:00:00Z,17089528.40981518
2021-10-11,2021-10-11T00:00:00Z,18120863.46628272
2021-10-12,2021-10-12T00:00:00Z,17608432.23774252
2021-10-13,2021-10-13T00:00:00Z,18074356.47354996
2021-10-14,2021-10-14T00:00:00Z,17812582.53932092
2021-10-15,2021-10-15T00:00:00Z,18664825.04830696
2021-10-16,2021-10-16T00:00:00Z,18525928.78794443
2021-10-17,2021-10-17T00:00:00Z,18654531.27678516
2021-10-18,2021-10-18T00:00:00Z,18664087.73454683
2021-10-19,2021-10-19T00:00:00Z,18797654.08125254
2021-10-20,2021-10-20T00:00:00Z,18649510.35165765
2021-10-21,2021-10-21T00:00:00Z,18171488.01888719
2021-10-22,2021-10-22T00:00:00Z,17911567.35967042
2021-10-23,2021-10-23T00:00:00Z,18142562.74881132
2021-10-24,2021-10-24T00:00:00Z,17967162.0541926
2021-10-25,2021-10-25T00:00:00Z,18514197.13643386
2021-10-26,2021-10-26T00:00:00Z,17663668.55453439
2021-10-27,2021-10-27T00:00:00Z,17327515.7491699
2021-10-28,2021-10-28T00:00:00Z,17782092.43848529
2021-10-29,2021-10-29T00:00:00Z,18169112.45778379
2021-10-30,2021-10-30T00:00:00Z,18138503.14069316
2021-10-31,2021-10-31T00:00:00Z,18031801.66432869
2021-11-01,2021-11-01T00:00:00Z,17859670.41017804
2021-11-02,2021-11-02T00:00:00Z,18585387.90102414
2021-11-03,2021-11-03T00:00:00Z,18308790.35326457
2021-11-04,2021-11-04T00:00:00Z,17846962.75761028
2021-11-05,2021-11-05T00:00:00Z,17595506.1042548
2021-11-06,2021-11-06T00:00:00Z,17909329.96845248
2021-11-07,2021-11-07T00:00:00Z,18653459.952001
2021-11-08,2021-11-08T00:00:00Z,18728192.74389629
2021-11-09,2021-11-09T00:00:00Z,18594769.64222113
2021-11-10,2021-11-10T00:00:00Z,18269089.18047373
2021-11-11,2021-11-11T00:00:00Z,18226591.87787255
2021-11-12,2021-11-12T00:00:00Z,18214773.66844475
2021-11-13,2021-11-13T00:00:00Z,18288062.22646753
2021-11-14,2021-11-14T00:00:00Z,18551949.31050126
2021-11-15,2021-11-15T00:00:00Z,18099976.87042931
2021-11-16,2021-11-16T00:00:00Z,16854809.91951684
2021-11-17,2021-11-17T00:00:00Z,16719534.73946323
2021-11-18,2021-11-18T00:00:00Z,15931849.39080602
2021-11-19,2021-11-19T00:00:00Z,16621060.70816733
2021-11-20,2021-11-20T00:00:00Z,16952470.96508587
2021-11-21,2021-11-21T00:00:00Z,16680627.99208308
2021-11-22,2021-11-22T00:00:00Z,15884917.92041305
2021-11-23,2021-11-23T00:00:00Z,16526489.75637862
2021-11-24,2021-11-24T00:00:00Z,16208775.55978425
2021-11-25,2021-11-25T00:00:00Z,16934394.95077851
2021-11-26,2021-11-26T00:00:00Z,14997608.71117308
2021-11-27,2021-11-27T00:00:00Z,15430850.74804041
2021-11-28,2021-11-28T00:00:00Z,16374916.46417255
2021-11-29,2021-11-29T00:00:00Z,16728262.24535345
2021-11-30,2021-11-30T00:00:00Z,16276914.87483299
2021-12-01,2021-12-01T00:00:00Z,16245244.5331068
2021-12-02,2021-12-02T00:00:00Z,15724464.52809646
2021-12-03,2021-12-03T00:00:00Z,14861968.42252812
2021-12-04,2021-12-04T00:00:00Z,14413709.16486509
2021-12-05,2021-12-05T00:00:00Z,14537836.02705785
2021-12-06,2021-12-06T00:00:00Z,14800950.87407652
2021-12-07,2021-12-07T00:00:00Z,14756214.22396908
2021-12-08,2021-12-08T00:00:00Z,14792800.3612523
2021-12-09,2021-12-09T00:00:00Z,13929302.55859627
2021-12-10,2021-12-10T00:00:00Z,13534288.3036334
2021-12-11,2021-12-11T00:00:00Z,14695580.31311065
2021-12-12,2021-12-12T00:00:00Z,14848453.65924337
2021-12-13,2021-12-13T00:00:00Z,13493620.92554605
2021-12-14,2021-12-14T00:00:00Z,14315060.11393427
2021-12-15,2021-12-15T00:00:00Z,14589455.55212369
2021-12-16,2021-12-16T00:00:00Z,13817961.33841657
2021-12-17,2021-12-17T00:00:00Z,13342319.54490697
2021-12-18,2021-12-18T00:00:00Z,13629441.87330461
2021-12-19,2021-12-19T00:00:00Z,13499731.10654872
2021-12-20,2021-12-20T00:00:00Z,13749272.82541236
2021-12-21,2021-12-21T00:00:00Z,14856266.09393613
2021-12-22,2021-12-22T00:00:00Z,14543749.94968553
2021-12-23,2021-12-23T00:00:00Z,15402556.12147847
2021-12-24,2021-12-24T00:00:00Z,15230177.89479811
2021-12-25,2021-12-25T00:00:00Z,15157130.50504964
2021-12-26,2021-12-26T00:00:00Z,15334977.44070688
2021-12-27,2021-12-27T00:00:00Z,15150075.40026859
2021-12-28,2021-12-28T00:00:00Z,13759621.06926809
2021-12-29,2021-12-29T00:00:00Z,13306847.11219947
2021-12-30,2021-12-30T00:00:00Z,13578195.81823837
2021-12-31,2021-12-31T00:00:00Z,13188914.91460894
2022-01-01,2022-01-01T00:00:00Z,13967493.22521491
2022-01-02,2022-01-02T00:00:00Z,13816684.27572322
2022-01-03,2022-01-03T00:00:00Z,13357449.2053496
2022-01-04,2022-01-04T00:00:00Z,13039108.06107485
2022-01-05,2022-01-05T00:00:00Z,12851062.04077505
2022-01-06,2022-01-06T00:00:00Z,12946568.49746016
2022-01-07,2022-01-07T00:00:00Z,12716703.8969256
2022-01-08,2022-01-08T00:00:00Z,12943227.95537389
2022-01-09,2022-01-09T00:00:00Z,12912589.54219938
2022-01-10,2022-01-10T00:00:00Z,13029598.67418722
2022-01-11,2022-01-11T00:00:00Z,13188862.98070892
2022-01-12,2022-01-12T00:00:00Z,13453810.39432439
2022-01-13,2022-01-13T00:00:00Z,12939449.63263188
2022-01-14,2022-01-14T00:00:00Z,13189281.40835258
2022-01-15,2022-01-15T00:00:00Z,13161382.04393994
2022-01-16,2022-01-16T00:00:00Z,13176731.63067943
2022-01-17,2022-01-17T00:00:00Z,13025429.78488004
2022-01-18,2022-01-18T00:00:00Z,13086360.00618203
2022-01-19,2022-01-19T00:00:00Z,12810787.30567841
2022-01-20,2022-01-20T00:00:00Z,12548477.54462793
2022-01-21,2022-01-21T00:00:00Z,11710409.08958831
2022-01-22,2022-01-22T00:00:00Z,11607380.27576104
2022-01-23,2022-01-23T00:00:00Z,11956000.81425558
2022-01-24,2022-01-24T00:00:00Z,12053909.86791239
2022-01-25,2022-01-25T00:00:00Z,12145934.36675034
2022-01-26,2022-01-26T00:00:00Z,12004936.1821308
2022-01-27,2022-01-27T00:00:00Z,12279389.22581977
2022-01-28,2022-01-28T00:00:00Z,12447359.30537443
2022-01-29,2022-01-29T00:00:00Z,12690673.34158082
2022-01-30,2022-01-30T00:00:00Z,12566114.91032201
2022-01-31,2022-01-31T00:00:00Z,12977874.20202327
2022-02-01,2022-02-01T00:00:00Z,12962450.12038317
2022-02-02,2022-02-02T00:00:00Z,11954490.26467761
2022-02-03,2022-02-03T00:00:00Z,12197339.28754003
2022-02-04,2022-02-04T00:00:00Z,13807384.5074985
2022-02-05,2022-02-05T00:00:00Z,13558600.72559658
2022-02-06,2022-02-06T00:00:00Z,13953967.76800218
2022-02-07,2022-02-07T00:00:00Z,14090424.2100441
2022-02-08,2022-02-08T00:00:00Z,14167263.53970187
2022-02-09,2022-02-09T00:00:00Z,14171254.96788422
2022-02-10,2022-02-10T00:00:00Z,13810967.15943927
2022-02-11,2022-02-11T00:00:00Z,13526490.65049768
2022-02-12,2022-02-12T00:00:00Z,13417192.19566803
2022-02-13,2022-02-13T00:00:00Z,13480171.70281138
2022-02-14,2022-02-14T00:00:00Z,13772095.66026722
2022-02-15,2022-02-15T00:00:00Z,14385239.02934697
2022-02-16,2022-02-16T00:00:00Z,14233370.10964168
2022-02-17,2022-02-17T00:00:00Z,13018898.23169845
2022-02-18,2022-02-18T00:00:00Z,12917363.82327647
2022-02-19,2022-02-19T00:00:00Z,13102787.9542303
2022-02-20,2022-02-20T00:00:00Z,12612112.74674513
2022-02-21,2022-02-21T00:00:00Z,11790640.01977957
