date,Supply in Loss
2020-12-31,78694.82512021
2021-01-01,90210.10875942
2021-01-02,99625.33609075
2021-01-03,130596.05264564
2021-01-04,375039.00474112
2021-01-05,85168.68163861
2021-01-06,7065.54307443
2021-01-07,151271.18338571
2021-01-08,187229.35461437
2021-01-09,272167.5218842
2021-01-10,722125.25194425
2021-01-11,849587.10646292
2021-01-12,1328340.00156571
2021-01-13,679079.63255117
2021-01-14,548484.34543195
2021-01-15,991152.66055485
2021-01-16,1047484.88054009
2021-01-17,1143885.23311803
2021-01-18,938416.22898132
2021-01-19,1196777.72161978
2021-01-20,1259912.72295465
2021-01-21,2236644.73983312
2021-01-22,1794196.19933522
2021-01-23,2072935.29097566
2021-01-24,1992400.31878407
2021-01-25,1991261.41317194
2021-01-26,1866272.78892719
2021-01-27,2417374.43463494
2021-01-28,1577252.85225719
2021-01-29,1463466.636471
2021-01-30,1438746.77177139
2021-01-31,1867484.84713191
2021-02-01,1795472.35931943
2021-02-02,1060031.25608072
2021-02-03,567191.51484702
2021-02-04,1024279.15673434
2021-02-05,593791.9473182
2021-02-06,515053.23475657
2021-02-07,556897.46792817
2021-02-08,0.0
2021-02-09,270396.29281373
2021-02-10,523515.38400729
2021-02-11,61639.69917615
2021-02-12,217133.2691411
2021-02-13,414612.68644199
2021-02-14,32489.38247199
2021-02-15,285006.70856561
2021-02-16,99590.33217589
2021-02-17,49571.01278934
2021-02-18,277067.94988377
2021-02-19,11279.39134649
2021-02-20,165103.95916404
2021-02-21,87209.89358549
2021-02-22,654787.3963581
2021-02-23,1012213.70785251
2021-02-24,992683.70158954
2021-02-25,1712291.38671344
2021-02-26,1738414.80948374
2021-02-27,1870076.57006694
2021-02-28,1966149.60866368
2021-03-01,860181.76682039
2021-03-02,1091602.91766208
2021-03-03,823908.3499392
2021-03-04,1237605.66511877
2021-03-05,1048425.63090562
2021-03-06,1033905.63902
2021-03-07,597725.09295159
2021-03-08,380013.06274235
2021-03-09,286703.6951992
2021-03-10,178752.98370321
2021-03-11,31335.36438727
2021-03-12,113318.5801573
2021-03-13,20946.35579372
2021-03-14,245272.58057358
2021-03-15,828591.62801775
2021-03-16,551590.15122733
2021-03-17,153715.71756661
2021-03-18,319654.75354892
2021-03-19,378262.25878407
2021-03-20,429188.05078225
2021-03-21,483864.90381408
2021-03-22,1305473.26710102
2021-03-23,1451909.39991503
2021-03-24,1707700.57854185
2021-03-25,1888553.29425538
2021-03-26,1147311.95391255
2021-03-27,892475.43784288
2021-03-28,912169.60744891
2021-03-29,365448.91727812
2021-03-30,252668.27784194
2021-03-31,424820.51517415
2021-04-01,450202.89234906
2021-04-02,304015.2746875
2021-04-03,995792.12008943
2021-04-04,620210.61163342
2021-04-05,223083.12502453
2021-04-06,831362.6273382
2021-04-07,1621947.47614951
2021-04-08,806828.88329194
2021-04-09,762439.62407622
2021-04-10,229585.38984592
2021-04-11,194556.02943514
2021-04-12,298436.77703055
2021-04-13,33058.36219465
2021-04-14,253795.46091751
2021-04-15,179666.0910198
2021-04-16,464972.89692062
2021-04-17,764305.49386436
2021-04-18,1874280.71833397
2021-04-19,2159403.38151114
2021-04-20,1734400.30788662
2021-04-21,2725944.50217972
2021-04-22,2911864.50880396
2021-04-23,2844212.0379298
2021-04-24,3078376.3191513
2021-04-25,3298448.03547264
2021-04-26,2365624.11566916
2021-04-27,2136971.95267442
2021-04-28,2276187.6058922
2021-04-29,2624054.67229868
2021-04-30,1040892.47240808
2021-05-01,1094015.61021291
2021-05-02,1579951.92870562
2021-05-03,1388643.99842125
2021-05-04,2926879.05068223
2021-05-05,1296452.94481343
2021-05-06,1797257.54189612
2021-05-07,1408745.67137603
2021-05-08,718450.01292932
2021-05-09,906724.24500248
2021-05-10,2251621.11355177
2021-05-11,1770829.97544561
2021-05-12,3755080.96367056
2021-05-13,3708996.3894731
2021-05-14,3624459.73021204
2021-05-15,4389784.01263118
2021-05-16,4356314.33313335
2021-05-17,4543035.27883353
2021-05-18,4657227.05405312
2021-05-19,4842826.92475708
2021-05-20,4344933.09467385
2021-05-21,5106228.93070225
2021-05-22,4993836.29595487
2021-05-23,5327885.97062483
