date,Realized Price
2021-07-18,19326.99327427
2021-07-19,19316.85881479
2021-07-20,19305.87958521
2021-07-21,19308.33038132
2021-07-22,19319.45431789
2021-07-23,19271.62884942
2021-07-24,19277.00768376
2021-07-25,19279.63232109
2021-07-26,19378.52757804
2021-07-27,19508.0172271
2021-07-28,19603.20958047
2021-07-29,19834.20882906
2021-07-30,19852.92829778
2021-07-31,19868.0229092
2021-08-01,19876.06582696
2021-08-02,19882.48908099
2021-08-03,19876.27842158
2021-08-04,19889.9871674
2021-08-05,19903.03086159
2021-08-06,19937.40694489
2021-08-07,19960.54942662
2021-08-08,19978.12591884
2021-08-09,20028.94633503
2021-08-10,20064.67503323
2021-08-11,20094.44215941
2021-08-12,20108.78557835
2021-08-13,20146.77540957
2021-08-14,20194.30066033
2021-08-15,20204.80798363
2021-08-16,20230.74302527
2021-08-17,20244.48340704
2021-08-18,20272.1727604
2021-08-19,20299.73116722
2021-08-20,20342.9732359
2021-08-21,20372.26981059
2021-08-22,20392.78781558
2021-08-23,20449.67895647
2021-08-24,20464.31504125
2021-08-25,20555.67014561
2021-08-26,20581.11485973
2021-08-27,20603.22156145
2021-08-28,20621.45880216
2021-08-29,20633.22610333
2021-08-30,20652.86696811
2021-08-31,20675.85809999
2021-09-01,20703.03638598
2021-09-02,20747.10449047
2021-09-03,20778.55534025
2021-09-04,20800.98537306
2021-09-05,20817.88934618
2021-09-06,20850.71069501
2021-09-07,20837.72196187
2021-09-08,20839.50638509
2021-09-09,20876.17925016
2021-09-10,20876.58198502
2021-09-11,20881.61334453
2021-09-12,20891.38117953
2021-09-13,20884.47121384
2021-09-14,20913.04479895
2021-09-15,20954.02129746
2021-09-16,20981.94710283
2021-09-17,20995.74039932
2021-09-18,21012.13375069
2021-09-19,21019.88141793
2021-09-20,20986.53266108
2021-09-21,20952.88679574
2021-09-22,20968.07552118
2021-09-23,20978.09212483
2021-09-24,20958.03201529
2021-09-25,20958.73782244
2021-09-26,21100.67559928
2021-09-27,21111.81015252
2021-09-28,21094.07954046
2021-09-29,21096.6487536
2021-09-30,21125.26563266
2021-10-01,21182.94399041
2021-10-02,21218.84666197
2021-10-03,21235.03898417
2021-10-04,21264.72094952
2021-10-05,21321.90088703
2021-10-06,21472.07142653
2021-10-07,21565.94015112
2021-10-08,21607.45968323
2021-10-09,21635.21156789
2021-10-10,21671.64593572
2021-10-11,21731.32555601
2021-10-12,21790.81580162
2021-10-13,21842.08458228
2021-10-14,21910.53654561
2021-10-15,22020.16468317
2021-10-16,22072.12304108
2021-10-17,22098.1053975
2021-10-18,22184.85541469
2021-10-19,22349.98724385
2021-10-20,22500.10660087
2021-10-21,22605.67475963
2021-10-22,22620.91833285
2021-10-23,22641.35635401
2021-10-24,22688.94690699
2021-10-25,22784.26663055
2021-10-26,22836.55351047
2021-10-27,22826.43114667
2021-10-28,22878.89255077
2021-10-29,22935.39694701
2021-10-30,22957.27903427
2021-10-31,23002.68446748
2021-11-01,23112.61468197
2021-11-02,23252.87726809
2021-11-03,23345.2600618
2021-11-04,23359.13335994
2021-11-05,23419.86201685
2021-11-06,23447.16257964
2021-11-07,23469.20089938
2021-11-08,23608.13373984
2021-11-09,23705.11488049
2021-11-10,23782.01392984
2021-11-11,23829.23823003
2021-11-12,24141.85143346
2021-11-13,24164.04971115
2021-11-14,24181.19171769
2021-11-15,24248.64515587
2021-11-16,24283.66145257
2021-11-17,24316.55547844
2021-11-18,24291.50470054
2021-11-19,24292.79076781
2021-11-20,24310.76308086
2021-11-21,24319.52888108
2021-11-22,24302.27943968
2021-11-23,24307.92110353
2021-11-24,24321.02930536
2021-11-25,24499.41909742
2021-11-26,24454.9943388
2021-11-27,24451.03621293
2021-11-28,24463.5968614
2021-11-29,24512.84170682
2021-11-30,24533.92352908
2021-12-01,24577.41498502
2021-12-02,24577.31397829
2021-12-03,24561.94483685
2021-12-04,24446.74499526
2021-12-05,24437.29823025
2021-12-06,24406.61392205
2021-12-07,24478.51718789
2021-12-08,24467.71369123
2021-12-09,24437.85285841
2021-12-10,24426.06560307
2021-12-11,24436.17830252
2021-12-12,24441.16826681
2021-12-13,24422.90808666
2021-12-14,24433.77793318
2021-12-15,24435.04848916
2021-12-16,24440.24952565
2021-12-17,24417.30440039
2021-12-18,24415.54551123
2021-12-19,24417.73534499
2021-12-20,24398.26573273
2021-12-21,24420.67120072
2021-12-22,24429.30175065
2021-12-23,24452.2929141
2021-12-24,24475.76604028
2021-12-25,24474.61620731
2021-12-26,24477.45663177
2021-12-27,24499.35411822
2021-12-28,24477.75067965
2021-12-29,24460.73864107
2021-12-30,24463.24540751
2021-12-31,24466.75238613
2022-01-01,24472.02563833
2022-01-02,24471.60221809
2022-01-03,24460.49022282
2022-01-04,24446.93921709
2022-01-05,24438.46511715
2022-01-06,24392.70617682
