date,Supply in Loss (%)
2020-12-31,0.42338803
2021-01-01,0.48531738
2021-01-02,0.53594274
2021-01-03,0.70251495
2021-01-04,2.01732885
2021-01-05,0.45809681
2021-01-06,0.03800118
2021-01-07,0.81354799
2021-01-08,1.0068837
2021-01-09,1.46359656
2021-01-10,3.88306271
2021-01-11,4.56822312
2021-01-12,7.14211841
2021-01-13,3.6510377
2021-01-14,2.94875301
2021-01-15,5.32834201
2021-01-16,5.63090053
2021-01-17,6.14883926
2021-01-18,5.04411571
2021-01-19,6.43252211
2021-01-20,6.77154366
2021-01-21,12.02057966
2021-01-22,9.64223622
2021-01-23,11.13963149
2021-01-24,10.70634926
2021-01-25,10.69972615
2021-01-26,10.0275775
2021-01-27,12.988055
2021-01-28,8.47384215
2021-01-29,7.86212074
2021-01-30,7.7289663
2021-01-31,10.03166779
2021-02-01,9.64444915
2021-02-02,5.69370639
2021-02-03,3.04638125
2021-02-04,5.50109998
2021-02-05,3.18889978
2021-02-06,2.76589385
2021-02-07,2.99044552
2021-02-08,0.0
2021-02-09,1.4518339
2021-02-10,2.81076674
2021-02-11,0.33093071
2021-02-12,1.16568776
2021-02-13,2.22574587
2021-02-14,0.17440257
2021-02-15,1.52983418
2021-02-16,0.53455061
2021-02-17,0.26605985
2021-02-18,1.48702365
2021-02-19,0.06053339
2021-02-20,0.88602406
2021-02-21,0.46798642
2021-02-22,3.51356854
2021-02-23,5.43127554
2021-02-24,5.3261986
2021-02-25,9.18673984
2021-02-26,9.32646183
2021-02-27,10.03228892
2021-02-28,10.54722299
2021-03-01,4.61416234
2021-03-02,5.85526432
2021-03-03,4.41914846
2021-03-04,6.63778745
2021-03-05,5.62285639
2021-03-06,5.54470109
2021-03-07,3.20536486
2021-03-08,2.03775491
2021-03-09,1.53732729
2021-03-10,0.9584394
2021-03-11,0.16800681
2021-03-12,0.6075352
2021-03-13,0.11229437
2021-03-14,1.31484835
2021-03-15,4.44166368
2021-03-16,2.95665025
2021-03-17,0.82391411
2021-03-18,1.7132578
2021-03-19,2.02727671
2021-03-20,2.30009217
2021-03-21,2.59297929
2021-03-22,6.99553517
2021-03-23,7.77981126
2021-03-24,9.14995931
2021-03-25,10.11845689
2021-03-26,6.14676743
2021-03-27,4.78121655
2021-03-28,4.88646305
2021-03-29,1.95759905
2021-03-30,1.3534012
2021-03-31,2.27540387
2021-04-01,2.41123874
2021-04-02,1.62819713
2021-04-03,5.33287276
2021-04-04,3.32131836
2021-04-05,1.19458033
2021-04-06,4.45162124
2021-04-07,8.68443715
2021-04-08,4.31983196
2021-04-09,4.08196038
2021-04-10,1.22909304
2021-04-11,1.04151166
2021-04-12,1.59753676
2021-04-13,0.17695353
2021-04-14,1.3584452
2021-04-15,0.96161096
2021-04-16,2.48854764
2021-04-17,4.09045936
2021-04-18,10.03048022
2021-04-19,11.55597984
2021-04-20,9.2811918
2021-04-21,14.58668973
2021-04-22,15.5808135
2021-04-23,15.21813139
2021-04-24,16.47024314
2021-04-25,17.64686126
2021-04-26,12.6557244
2021-04-27,11.43192779
2021-04-28,12.17609662
2021-04-29,14.03638258
2021-04-30,5.56758855
2021-05-01,5.85146489
2021-05-02,8.45002708
2021-05-03,7.4264191
2021-05-04,15.65189895
2021-05-05,6.93260138
2021-05-06,9.61003815
2021-05-07,7.53221015
2021-05-08,3.84115272
2021-05-09,4.84744907
2021-05-10,12.03669397
2021-05-11,9.46594146
2021-05-12,20.07156792
2021-05-13,19.82417151
2021-05-14,19.37146537
2021-05-15,23.46089116
2021-05-16,23.28098832
2021-05-17,24.27788005
2021-05-18,24.88728714
2021-05-19,25.87801525
2021-05-20,23.21661316
2021-05-21,27.28350112
2021-05-22,26.68193341
2021-05-23,28.46562069
2021-05-24,24.16296289
2021-05-25,24.61774446
2021-05-26,23.49034196
2021-05-27,25.16521795
2021-05-28,28.56740017
2021-05-29,29.22643623
2021-05-30,28.28422589
2021-05-31,25.88651555
2021-06-01,26.71548548
2021-06-02,25.1841466
2021-06-03,22.38682533
2021-06-04,27.13830375
2021-06-05,28.96612072
2021-06-06,28.72303331
2021-06-07,31.05159917
2021-06-08,30.2842319
2021-06-09,24.4812308
2021-06-10,26.2437623
2021-06-11,24.45778624
2021-06-12,28.81652928
2021-06-13,21.0612574
2021-06-14,19.82774477
2021-06-15,20.1262608
2021-06-16,23.7128288
2021-06-17,23.93146393
2021-06-18,29.3357942
2021-06-19,29.26093474
2021-06-20,28.73353328
2021-06-21,32.43209475
2021-06-22,31.83945863
2021-06-23,29.723745
2021-06-24,28.53009473
2021-06-25,33.01886168
2021-06-26,30.60775779
2021-06-27,27.27423256
2021-06-28,27.2758731
2021-06-29,25.56020613
2021-06-30,26.58568938
2021-07-01,29.13933307
2021-07-02,28.00508181
2021-07-03,26.2264365
2021-07-04,25.30215932
2021-07-05,28.64857405
2021-07-06,27.55412291
2021-07-07,28.75153254
2021-07-08,30.64641534
2021-07-09,27.894995
2021-07-10,28.7031887
2021-07-11,26.65796474
2021-07-12,30.08379194
2021-07-13,30.93446083
2021-07-14,30.44874212
2021-07-15,31.37238407
2021-07-16,33.7393086
2021-07-17,33.27801277
2021-07-18,31.16445268
2021-07-19,34.06337125
2021-07-20,33.92536313
2021-07-21,29.73234537
2021-07-22,29.55799643
2021-07-23,26.10625846
2021-07-24,24.70643119
2021-07-25,22.97071463
2021-07-26,21.17611755
2021-07-27,17.82814057
2021-07-28,17.40613828
2021-07-29,17.5002016
2021-07-30,15.37814377
2021-07-31,15.5683907
2021-08-01,18.16360558
2021-08-02,20.80714557
2021-08-03,22.44959615
2021-08-04,18.11318353
2021-08-05,15.99181279
2021-08-06,15.27175964
2021-08-07,14.79047311
2021-08-08,15.53935317
2021-08-09,14.37881877
2021-08-10,15.64896336
2021-08-11,15.66145854
2021-08-12,16.72278503
2021-08-13,12.71232006
2021-08-14,13.84696018
2021-08-15,13.99099698
2021-08-16,15.88245258
2021-08-17,17.62684337
2021-08-18,17.16221835
2021-08-19,14.40683948
2021-08-20,11.46748821
2021-08-21,12.160535
2021-08-22,11.57983979
2021-08-23,11.8725987
2021-08-24,14.73982988
2021-08-25,12.4729577
2021-08-26,15.27500389
2021-08-27,12.12942589
2021-08-28,12.69569729
2021-08-29,12.81062513
2021-08-30,16.77383126
2021-08-31,16.47287345
2021-09-01,12.37262373
2021-09-02,12.46607617
2021-09-03,11.53380176
2021-09-04,11.88379531
2021-09-05,9.6179632
2021-09-06,9.01704653
2021-09-07,17.96087893
2021-09-08,18.94090374
2021-09-09,18.86022173
2021-09-10,21.20029763
2021-09-11,20.79355097
2021-09-12,18.67158218
2021-09-13,20.60345638
2021-09-14,15.95775181
2021-09-15,13.92179215
2021-09-16,14.99426124
2021-09-17,16.74096774
2021-09-18,14.14718573
2021-09-19,17.39779013
2021-09-20,22.54736892
2021-09-21,22.8802524
2021-09-22,21.27066028
2021-09-23,20.49560046
2021-09-24,21.50765539
2021-09-25,21.40919896
2021-09-26,21.16460833
2021-09-27,22.76912738
2021-09-28,23.83231819
2021-09-29,22.75328425
2021-09-30,20.32861182
2021-10-01,13.22052174
2021-10-02,13.78700216
2021-10-03,13.25376101
2021-10-04,11.68863345
2021-10-05,9.43048278
2021-10-06,6.24119388
2021-10-07,10.23784543
2021-10-08,10.48555387
2021-10-09,7.44924952
2021-10-10,9.28971759
2021-10-11,3.68362528
2021-10-12,6.40755307
2021-10-13,4.02386738
2021-10-14,5.45921025
2021-10-15,0.79265027
2021-10-16,1.69457418
2021-10-17,0.88358542
2021-10-18,0.83729774
2021-10-19,0.26426514
2021-10-20,0.79490038
2021-10-21,3.44987903
2021-10-22,4.84137016
2021-10-23,3.62015197
2021-10-24,4.5405558
2021-10-25,1.78492585
2021-10-26,6.16897827
2021-10-27,8.02013585
2021-10-28,5.43354262
2021-10-29,3.65296565
2021-10-30,3.79586689
2021-10-31,4.3875172
2021-11-01,5.17668491
2021-11-02,1.46150481
2021-11-03,2.93526563
2021-11-04,5.2177421
2021-11-05,6.70667369
2021-11-06,4.92692555
2021-11-07,1.00555421
2021-11-08,0.56269486
2021-11-09,1.35789808
2021-11-10,3.03281213
2021-11-11,3.25063712
2021-11-12,3.47882629
2021-11-13,2.90160133
2021-11-14,1.67905574
2021-11-15,4.06926807
2021-11-16,10.51855323
2021-11-17,11.21637007
2021-11-18,15.5798551
2021-11-19,11.94898357
2021-11-20,10.17917948
2021-11-21,11.64588281
2021-11-22,15.82114197
2021-11-23,12.27825104
2021-11-24,14.1494373
2021-11-25,10.01409378
2021-11-26,20.5503264
2021-11-27,18.2901234
2021-11-28,13.28050633
2021-11-29,11.41464866
2021-11-30,13.80659694
2021-12-01,13.96365549
2021-12-02,16.51080215
2021-12-03,21.20902203
2021-12-04,23.2355249
2021-12-05,23.02875557
2021-12-06,21.34323866
2021-12-07,21.828724
2021-12-08,21.69167238
2021-12-09,26.28581481
2021-12-10,28.3678727
2021-12-11,22.11266186
2021-12-12,21.4008405
2021-12-13,28.48014931
2021-12-14,24.25342472
2021-12-15,22.66173049
2021-12-16,26.7589441
2021-12-17,29.30103044
2021-12-18,27.89199879
2021-12-19,28.59107247
2021-12-20,26.99048659
2021-12-21,21.28841086
2021-12-22,22.94435936
2021-12-23,18.52286788
2021-12-24,19.31001319
2021-12-25,19.84808519
2021-12-26,18.75713846
2021-12-27,19.87873652
2021-12-28,27.23081158
2021-12-29,29.49380974
2021-12-30,28.0185958
2021-12-31,30.15249205
2022-01-01,26.15320998
2022-01-02,26.93886586
2022-01-03,29.26995027
2022-01-04,31.03691177
2022-01-05,31.92935784
2022-01-06,31.43453242
2022-01-07,32.79251609
2022-01-08,31.59930417
2022-01-09,31.6417351
2022-01-10,31.14734426
2022-01-11,30.31293914
2022-01-12,28.74836952
2022-01-13,31.63590187
2022-01-14,30.17610185
2022-01-15,30.44400879
2022-01-16,30.3961851
2022-01-17,31.19380957
2022-01-18,30.72633619
2022-01-19,32.33171084
2022-01-20,33.60403856
2022-01-21,37.94101633
2022-01-22,38.51762252
2022-01-23,36.85298186
2022-01-24,36.13351504
2022-01-25,35.64554804
2022-01-26,36.58550427
2022-01-27,34.86496292
2022-01-28,34.10332805
2022-01-29,32.83964147
2022-01-30,33.66796841
2022-01-31,31.44196778
2022-02-01,31.57570642
2022-02-02,36.7424046
2022-02-03,35.62262589
2022-02-04,27.09774813
2022-02-05,28.24832729
2022-02-06,26.36480087
2022-02-07,25.56584454
2022-02-08,25.2426477
2022-02-09,25.2262408
2022-02-10,26.96013363
2022-02-11,28.47735132
2022-02-12,29.21959263
2022-02-13,28.70790627
2022-02-14,27.16738648
2022-02-15,24.1100761
2022-02-16,24.92051468
2022-02-17,31.33119587
2022-02-18,31.86416401
2022-02-19,30.89283156
2022-02-20,33.32840822
2022-02-21,37.66835778
2022-02-22,34.28210924
2022-02-23,37.5950154
2022-02-24,33.94563235
2022-02-25,31.24963168
2022-02-26,31.80215275
2022-02-27,36.62602263
2022-02-28,25.29084876
2022-03-01,22.99164077
2022-03-02,24.51450508
2022-03-03,26.97774223
2022-03-04,34.15325666
2022-03-05,32.95095616
2022-03-06,36.52578054
2022-03-07,37.28724523
2022-03-08,34.49924363
2022-03-09,27.71010213
2022-03-10,32.13518488
2022-03-11,34.55225707
2022-03-12,34.5551078
2022-03-13,38.11424717
2022-03-14,30.45324305
2022-03-15,31.49728863
2022-03-16,28.56290795
2022-03-17,28.73432124
2022-03-18,25.49248471
2022-03-19,24.68067908
2022-03-20,28.90303726
2022-03-21,29.36432943
2022-03-22,25.66828201
2022-03-23,23.9761162
2022-03-24,22.51367237
2022-03-25,21.74418306
2022-03-26,21.50785357
2022-03-27,19.25936404
2022-03-28,21.00601876
2022-03-29,19.4600619
2022-03-30,20.84775723
2022-03-31,23.94253008
2022-04-01,22.62534544
2022-04-02,23.2344947
2022-04-03,21.36516496
2022-04-04,20.70299167
2022-04-05,24.68955088
2022-04-06,27.74743207
2022-04-07,27.19050879
2022-04-08,29.15647051
2022-04-09,27.77362892
2022-04-10,29.10803477
2022-04-11,34.86161186
2022-04-12,33.14612125
