Datetime,Active Addresses
2026-04-11T00:00:00Z,239922
2026-04-10T00:00:00Z,302721
2026-04-09T00:00:00Z,300583
2026-04-08T00:00:00Z,305036
2026-04-07T00:00:00Z,293192
2026-04-06T00:00:00Z,345486
2026-04-05T00:00:00Z,224771
2026-04-04T00:00:00Z,233496
2026-04-03T00:00:00Z,261639
2026-04-02T00:00:00Z,293533
2026-04-01T00:00:00Z,361765
2026-03-31T00:00:00Z,330297
2026-03-30T00:00:00Z,350742
2026-03-29T00:00:00Z,213330
2026-03-28T00:00:00Z,274339
2026-03-27T00:00:00Z,276171
2026-03-26T00:00:00Z,308927
2026-03-25T00:00:00Z,340300
2026-03-24T00:00:00Z,331561
2026-03-23T00:00:00Z,297390
2026-03-22T00:00:00Z,269916
2026-03-21T00:00:00Z,323653
2026-03-20T00:00:00Z,397239
2026-03-19T00:00:00Z,367478
2026-03-18T00:00:00Z,350759
2026-03-17T00:00:00Z,336070
2026-03-16T00:00:00Z,306666
2026-03-15T00:00:00Z,350905
2026-03-14T00:00:00Z,302651
2026-03-13T00:00:00Z,340919
2026-03-12T00:00:00Z,334685
2026-03-11T00:00:00Z,373990
2026-03-10T00:00:00Z,366631
2026-03-09T00:00:00Z,335184
2026-03-08T00:00:00Z,260229
2026-03-07T00:00:00Z,275475
2026-03-06T00:00:00Z,366190
2026-03-05T00:00:00Z,341213
2026-03-04T00:00:00Z,335198
2026-03-03T00:00:00Z,337344
2026-03-02T00:00:00Z,327206
2026-03-01T00:00:00Z,266847
2026-02-28T00:00:00Z,291748
2026-02-27T00:00:00Z,334557
2026-02-26T00:00:00Z,331868
2026-02-25T00:00:00Z,263274
2026-02-24T00:00:00Z,320282
2026-02-23T00:00:00Z,293476
2026-02-22T00:00:00Z,235408
2026-02-21T00:00:00Z,230179
2026-02-20T00:00:00Z,250970
2026-02-19T00:00:00Z,272976
2026-02-18T00:00:00Z,268351
2026-02-17T00:00:00Z,279515
2026-02-16T00:00:00Z,276254
2026-02-15T00:00:00Z,234916
2026-02-14T00:00:00Z,276502
2026-02-13T00:00:00Z,317088
2026-02-12T00:00:00Z,274335
2026-02-11T00:00:00Z,285067
2026-02-10T00:00:00Z,347950
2026-02-09T00:00:00Z,347124
2026-02-08T00:00:00Z,326339
2026-02-07T00:00:00Z,307693
2026-02-06T00:00:00Z,314558
2026-02-05T00:00:00Z,280102
2026-02-04T00:00:00Z,346552
2026-02-03T00:00:00Z,326587
2026-02-02T00:00:00Z,294431
2026-02-01T00:00:00Z,373895
2026-01-31T00:00:00Z,322554
2026-01-30T00:00:00Z,332965
